Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	James Abankwah	ie IRL	DF	Watford	21	2004	28.8	0.03	0.38	0.03	9.1	0.38	0.03	0.09	1.00	0.00	0.00	Matches
2	Ebou Adams	gm GAM	MF	Derby County	29	1996	16.7	0.06	0.54	0.06	11.1	0.54	0.06	0.11	1.00	0.00	0.00	Matches
3	Ebou Adams	gm GAM	MF	Portsmouth	29	1996	13.7	0.15	1.97	0.44	22.2	1.97	0.44	0.07	0.33	0.00	0.00	Matches
4	Kealey Adamson	au AUS	DF	QPR	22	2003	2.5	0.00	1.60	0.00	0.0	1.61	0.00	0.00		0.00	0.00	Matches
5	Tayo Adaramola	ie IRL	MF,DF	Sheffield Weds	21	2003	14.8	0.00	0.34	0.20	60.0	0.34	0.20	0.00	0.00	0.00	0.00	Matches
6	Dapo Afolayan	eng ENG	MF	Blackburn	27	1997	1.8	0.00	0.56	0.00	0.0	0.55	0.00	0.00		0.00	0.00	Matches
7	Sydney Agina	ke KEN	DF	Stoke City	17	2007	2.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
8	Patrick Agyemang	us USA	FW,MF	Derby County	24	2000	30.4	0.33	2.80	1.02	36.5	2.79	1.02	0.12	0.32	0.00	0.00	Matches
9	Ali Ahmed	ca CAN	MF	Norwich City	24	2000	14.5	0.28	1.59	0.55	34.8	1.59	0.55	0.17	0.50	0.00	0.00	Matches
10	Semi Ajayi	ng NGA	DF	Hull City	31	1993	18.4	0.05	0.65	0.27	41.7	0.65	0.27	0.08	0.20	0.00	0.00	Matches
11	Babajide Akintola	ng NGA	MF	Hull City	29	1996	5.7	0.18	1.75	0.70	40.0	1.76	0.71	0.10	0.25	0.00	0.00	Matches
12	Chuba Akpom	eng ENG	MF,FW	Ipswich Town	29	1995	10.0	0.20	2.20	0.80	36.4	2.20	0.80	0.09	0.25	0.00	0.00	Matches
13	Yisa Alao		MF	Sheffield Weds			0.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
14	Ryan Alebiosu	ng NGA	MF,DF	Blackburn	23	2001	35.5	0.03	0.65	0.14	21.7	0.65	0.14	0.04	0.20	0.00	0.00	Matches
15	Isak Alemayehu Mulugeta	se SWE	MF	QPR	18	2006	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
16	Ajibola Alese	eng ENG	DF	Portsmouth	24	2001	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
17	Cruz Allen	wls WAL	MF	Derby County	18	2007	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
18	Jamie Allen	eng ENG	MF	Coventry City	30	1995	6.5	0.15	0.92	0.31	33.3	0.92	0.31	0.17	0.50	0.00	0.00	Matches
19	Max Alleyne	eng ENG	DF	Watford	20	2005	14.0	0.00	0.36	0.00	0.0	0.36	0.00	0.00		0.00	0.00	Matches
20	Millenic Alli	ie IRL	MF	Portsmouth	25	2000	17.3	0.06	2.02	0.52	25.7	2.02	0.52	0.03	0.11	0.00	0.00	Matches
21	Ryan Allsop	eng ENG	GK	Birmingham City	33	1992	11.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
22	Olabade Aluko		DF	Leicester City			1.9	0.00	1.05	0.00	0.0	1.07	0.00	0.00		0.00	0.00	Matches
23	Papa Amadou Diallo	sn SEN	MF	Norwich City	21	2004	5.9	0.00	1.36	0.34	25.0	1.35	0.34	0.00	0.00	0.00	0.00	Matches
24	Harry Amass	eng ENG	MF	Norwich City	18	2007	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
25	Harry Amass	eng ENG	MF	Sheffield Weds	18	2007	20.7	0.05	0.68	0.14	21.4	0.68	0.14	0.07	0.33	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Jaydon Amauri Banel	nl NED	MF	Derby County	20	2004	6.2	0.48	2.90	0.97	33.3	2.89	0.96	0.17	0.50	0.00	0.00	Matches
27	Karoy Anderson	jm JAM	MF	Charlton Athletic	20	2004	5.9	0.00	0.34	0.00	0.0	0.34	0.00	0.00		0.00	0.00	Matches
28	Keshi Anderson	eng ENG	MF	Portsmouth	30	1995	2.8	0.36	0.71	0.36	50.0	0.73	0.36	0.50	1.00	0.00	0.00	Matches
29	Keshi Anderson	eng ENG	MF	Birmingham City	30	1995	8.1	0.12	1.36	0.49	36.4	1.36	0.50	0.09	0.25	0.00	0.00	Matches
30	Kai Andrews	wls WAL	MF	Coventry City	18	2006	0.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
31	Ryan Andrews	eng ENG	DF,MF	Watford	20	2004	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
32	Rob Apter	sct SCO	MF	Charlton Athletic	22	2003	6.5	0.15	1.85	0.77	41.7	1.83	0.76	0.08	0.20	0.00	0.00	Matches
33	Oliver Arblaster	eng ENG	MF	Sheffield United	21	2004	10.0	0.00	0.80	0.10	12.5	0.80	0.10	0.00	0.00	0.00	0.00	Matches
34	Cameron Archer	eng ENG	FW,MF	Southampton	24	2001	11.2	0.36	2.68	1.07	40.0	2.69	1.08	0.13	0.33	0.00	0.00	Matches
35	Joe Aribo	ng NGA	FW,MF	Southampton	29	1996	1.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
36	Joe Aribo	ng NGA	MF	Leicester City	29	1996	1.5	0.00	1.33	0.67	50.0	1.36	0.68	0.00	0.00	0.00	0.00	Matches
37	Adam Armstrong	eng ENG	FW,MF	Southampton	28	1997	22.6	0.49	3.85	1.64	42.5	3.85	1.64	0.11	0.27	0.04	0.13	Matches
38	Harrison Armstrong	eng ENG	MF	Preston	18	2007	12.5	0.08	0.72	0.16	22.2	0.72	0.16	0.11	0.50	0.00	0.00	Matches
39	Sinclair Armstrong	ie IRL	FW	Bristol City	22	2003	17.9	0.22	2.51	1.17	46.7	2.52	1.17	0.09	0.19	0.00	0.00	Matches
40	Harry Ashfield	eng ENG	MF	Wrexham	19	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
41	Tom Atcheson	nir NIR	DF	Blackburn	18	2006	12.1	0.00	0.91	0.17	18.2	0.91	0.17	0.00	0.00	0.00	0.00	Matches
42	Robert Atkinson	eng ENG	DF	Bristol City	27	1998	20.5	0.15	0.39	0.24	62.5	0.39	0.24	0.38	0.60	0.00	0.00	Matches
43	Jordan Ayew	gh GHA	FW,MF	Leicester City	33	1991	25.1	0.24	1.91	0.76	39.6	1.91	0.76	0.08	0.21	0.08	0.12	Matches
44	Luke Ayling	eng ENG	DF	Middlesbrough	33	1991	38.8	0.03	0.88	0.21	23.5	0.88	0.21	0.03	0.13	0.00	0.00	Matches
45	Finn Azaz	ie IRL	MF	Southampton	24	2000	32.9	0.30	2.77	0.88	31.9	2.76	0.88	0.11	0.34	0.00	0.00	Matches
46	Finn Azaz	ie IRL	MF	Middlesbrough	24	2000	1.0	1.00	3.00	1.00	33.3	2.90	0.97	0.33	1.00	0.00	0.00	Matches
47	Femi Azeez	ng NGA	MF	Millwall	24	2001	31.0	0.35	2.90	0.94	32.2	2.90	0.94	0.12	0.38	0.00	0.00	Matches
48	Ivan Azón	es ESP	FW	Ipswich Town	22	2002	19.9	0.25	3.87	1.31	33.8	3.87	1.31	0.06	0.19	0.00	0.00	Matches
49	Kwadwo Baah	eng ENG	MF,FW	Watford	22	2003	9.3	0.11	2.37	0.75	31.8	2.37	0.75	0.05	0.14	0.00	0.00	Matches
50	Lewis Baker	eng ENG	MF	Stoke City	30	1995	14.0	0.29	1.14	0.36	31.3	1.15	0.36	0.25	0.80	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Thierno Ballo	at AUT	MF	Millwall	23	2002	20.2	0.05	1.73	0.59	34.3	1.73	0.59	0.03	0.08	0.00	0.00	Matches
52	Patrick Bamford	eng ENG	FW	Sheffield United	31	1993	20.2	0.59	2.92	1.68	57.6	2.92	1.68	0.20	0.35	0.00	0.00	Matches
53	Alex Bangura	sl SLE	DF	Middlesbrough	26	1999	6.1	0.16	0.82	0.49	60.0	0.82	0.49	0.20	0.33	0.00	0.00	Matches
54	Raees Bangura-Williams		MF	Millwall			5.1	0.20	2.16	0.78	36.4	2.17	0.79	0.09	0.25	0.00	0.00	Matches
55	Tamer Bani Odeh	jo JOR	FW	West Brom	21	2003	0.6	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
56	Barry Bannan	sct SCO	MF	Sheffield Weds	35	1989	27.2	0.11	1.07	0.40	37.9	1.07	0.40	0.10	0.27	0.00	0.00	Matches
57	Barry Bannan	sct SCO	MF	Millwall	35	1989	5.9	0.00	1.19	0.34	28.6	1.18	0.34	0.00	0.00	0.00	0.00	Matches
58	Moussa Baradji	fr FRA	MF	Blackburn	24	2000	19.4	0.10	1.91	0.57	29.7	1.90	0.57	0.05	0.18	0.00	0.00	Matches
59	Ryan Barnett	eng ENG	MF	Wrexham	25	1999	4.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
60	Louie Barry	eng ENG	MF,FW	Sheffield United	22	2003	4.9	0.00	1.22	0.41	33.3	1.21	0.40	0.00	0.00	0.00	0.00	Matches
61	Danny Batth	eng ENG	DF	Derby County	34	1990	6.7	0.00	0.15	0.00	0.0	0.15	0.00	0.00		0.00	0.00	Matches
62	Nathan Baxter	eng ENG	GK	Watford	26	1998	6.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
63	Gavin Bazunu	ie IRL	GK	Stoke City	23	2002	6.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
64	Gavin Bazunu	ie IRL	GK	Southampton	23	2002	19.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
