Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Birmingham City	32	26.4	53.8	46	506	4,140	46.0	56	35	91	54	2	3	89	5	1.22	0.76	1.98	1.17	1.93
Blackburn	37	26.5	48.1	46	506	4,140	46.0	42	31	73	40	2	2	98	1	0.91	0.67	1.59	0.87	1.54
Bristol City	30	26.1	49.3	46	506	4,140	46.0	57	40	97	56	1	2	82	1	1.24	0.87	2.11	1.22	2.09
Charlton Athletic	32	26.8	42.4	46	506	4,140	46.0	43	25	68	41	2	3	98	1	0.93	0.54	1.48	0.89	1.43
Coventry City	27	26.2	55.3	46	506	4,140	46.0	94	56	150	89	5	5	69	3	2.04	1.22	3.26	1.93	3.15
Derby County	34	27.0	44.6	46	506	4,140	46.0	64	43	107	59	5	5	115	3	1.39	0.93	2.33	1.28	2.22
Hull City	34	26.8	45.8	46	506	4,140	46.0	67	51	118	63	4	5	117	2	1.46	1.11	2.57	1.37	2.48
Ipswich Town	29	26.6	56.1	46	506	4,140	46.0	74	42	116	65	9	10	88	0	1.61	0.91	2.52	1.41	2.33
Leicester City	34	26.4	52.0	46	506	4,140	46.0	57	44	101	54	3	6	84	4	1.24	0.96	2.20	1.17	2.13
Middlesbrough	34	26.2	59.6	46	506	4,140	46.0	69	50	119	65	4	4	71	1	1.50	1.09	2.59	1.41	2.50
Millwall	32	25.5	47.0	46	506	4,140	46.0	60	45	105	60	0	2	85	3	1.30	0.98	2.28	1.30	2.28
Norwich City	35	24.8	53.7	46	506	4,140	46.0	61	39	100	59	2	3	88	1	1.33	0.85	2.17	1.28	2.13
Oxford United	35	25.8	40.0	46	506	4,140	46.0	43	27	70	41	2	2	74	1	0.93	0.59	1.52	0.89	1.48
Portsmouth	37	26.7	50.3	46	506	4,140	46.0	47	29	76	46	1	2	86	2	1.02	0.63	1.65	1.00	1.63
Preston	30	26.5	45.5	46	506	4,140	46.0	54	45	99	53	1	1	93	3	1.17	0.98	2.15	1.15	2.13
QPR	32	25.2	46.1	46	506	4,140	46.0	55	35	90	52	3	3	86	1	1.20	0.76	1.96	1.13	1.89
Sheffield United	34	25.5	52.3	46	506	4,140	46.0	64	46	110	60	4	6	79	6	1.39	1.00	2.39	1.30	2.30
Sheffield Weds	40	26.4	44.9	46	506	4,140	46.0	29	15	44	29	0	1	73	3	0.63	0.33	0.96	0.63	0.96
Southampton	36	25.4	56.8	46	506	4,140	46.0	82	57	139	81	1	3	84	1	1.78	1.24	3.02	1.76	3.00
Stoke City	29	25.3	51.9	46	506	4,140	46.0	48	35	83	47	1	1	96	5	1.04	0.76	1.80	1.02	1.78
Swansea City	29	25.7	54.6	46	506	4,140	46.0	56	38	94	50	6	6	90	1	1.22	0.83	2.04	1.09	1.91
Watford	36	24.5	51.3	46	506	4,140	46.0	52	34	86	50	2	4	96	3	1.13	0.74	1.87	1.09	1.83
West Brom	34	25.9	51.6	46	506	4,140	46.0	46	35	81	45	1	1	79	3	1.00	0.76	1.76	0.98	1.74
Wrexham	29	27.4	48.3	46	506	4,140	46.0	64	49	113	61	3	4	73	1	1.39	1.07	2.46	1.33	2.39
