Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Birmingham City	32	46.0	56	626	189	30.2	13.61	4.11	0.09	0.29	2	3
Blackburn	37	46.0	42	526	145	27.6	11.43	3.15	0.08	0.28	2	2
Bristol City	30	46.0	57	563	189	33.6	12.24	4.11	0.10	0.30	1	2
Charlton Athletic	32	46.0	43	504	162	32.1	10.96	3.52	0.08	0.25	2	3
Coventry City	27	46.0	94	745	255	34.2	16.20	5.54	0.12	0.35	5	5
Derby County	34	46.0	64	506	165	32.6	11.00	3.59	0.12	0.36	5	5
Hull City	34	46.0	67	513	190	37.0	11.15	4.13	0.12	0.33	4	5
Ipswich Town	29	46.0	74	693	236	34.1	15.07	5.13	0.09	0.28	9	10
Leicester City	34	46.0	57	591	191	32.3	12.85	4.15	0.09	0.28	3	6
Middlesbrough	34	46.0	69	743	229	30.8	16.15	4.98	0.09	0.28	4	4
Millwall	32	46.0	60	595	192	32.3	12.93	4.17	0.10	0.31	0	2
Norwich City	35	46.0	61	578	204	35.3	12.57	4.43	0.10	0.29	2	3
Oxford United	35	46.0	43	545	155	28.4	11.85	3.37	0.08	0.26	2	2
Portsmouth	37	46.0	47	563	167	29.7	12.24	3.63	0.08	0.28	1	2
Preston	30	46.0	54	505	164	32.5	10.98	3.57	0.10	0.32	1	1
QPR	32	46.0	55	586	187	31.9	12.74	4.07	0.09	0.28	3	3
Sheffield United	34	46.0	64	617	196	31.8	13.41	4.26	0.10	0.31	4	6
Sheffield Weds	40	46.0	29	397	114	28.7	8.63	2.48	0.07	0.25	0	1
Southampton	36	46.0	82	667	243	36.4	14.50	5.28	0.12	0.33	1	3
Stoke City	29	46.0	48	521	175	33.6	11.33	3.80	0.09	0.27	1	1
Swansea City	29	46.0	56	568	180	31.7	12.35	3.91	0.09	0.28	6	6
Watford	36	46.0	52	639	204	31.9	13.89	4.43	0.08	0.25	2	4
West Brom	34	46.0	46	618	186	30.1	13.43	4.04	0.07	0.24	1	1
Wrexham	29	46.0	64	521	171	32.8	11.33	3.72	0.12	0.36	3	4
