Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
33	Oliver Arblaster	eng ENG	MF	Sheffield United	21	2004	21	9	898	10.0	0.00	0.10	0.10	0.00	0.00	0.00	0.20	0.00	0.00	0.10	0.10	0.00	0.10	Matches
34	Cameron Archer	eng ENG	FW,MF	Southampton	24	2001	30	11	1,004	11.2	0.36	0.27	0.63	0.36	0.00	0.00	0.18	0.00	0.36	0.27	0.63	0.36	0.63	Matches
35	Joe Aribo	ng NGA	FW,MF	Southampton	29	1996	7	0	118	1.3	0.00	0.00	0.00	0.00	0.00	0.00	0.77	0.00	0.00	0.00	0.00	0.00	0.00	Matches
36	Joe Aribo	ng NGA	MF	Leicester City	29	1996	6	1	132	1.5	0.00	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.00	0.00	0.00	0.00	Matches
37	Adam Armstrong	eng ENG	FW,MF	Southampton	28	1997	29	24	2,036	22.6	0.49	0.18	0.66	0.44	0.04	0.13	0.18	0.00	0.49	0.18	0.66	0.44	0.62	Matches
38	Harrison Armstrong	eng ENG	MF	Preston	18	2007	17	13	1,127	12.5	0.08	0.08	0.16	0.08	0.00	0.00	0.24	0.00	0.08	0.08	0.16	0.08	0.16	Matches
39	Sinclair Armstrong	ie IRL	FW	Bristol City	22	2003	41	11	1,610	17.9	0.22	0.00	0.22	0.22	0.00	0.00	0.39	0.00	0.22	0.00	0.22	0.22	0.22	Matches
40	Harry Ashfield	eng ENG	MF	Wrexham	19	2006	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
41	Tom Atcheson	nir NIR	DF	Blackburn	18	2006	14	11	1,088	12.1	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.00	0.00	0.00	0.00	0.00	0.00	Matches
42	Robert Atkinson	eng ENG	DF	Bristol City	27	1998	25	23	1,845	20.5	0.15	0.05	0.20	0.15	0.00	0.00	0.05	0.00	0.15	0.05	0.20	0.15	0.20	Matches
43	Jordan Ayew	gh GHA	FW,MF	Leicester City	33	1991	42	24	2,259	25.1	0.24	0.12	0.36	0.16	0.08	0.12	0.20	0.00	0.24	0.12	0.36	0.16	0.28	Matches
44	Luke Ayling	eng ENG	DF	Middlesbrough	33	1991	43	38	3,492	38.8	0.03	0.13	0.15	0.03	0.00	0.00	0.21	0.00	0.03	0.13	0.15	0.03	0.15	Matches
45	Finn Azaz	ie IRL	MF	Southampton	24	2000	41	36	2,964	32.9	0.30	0.21	0.52	0.30	0.00	0.00	0.15	0.00	0.30	0.21	0.52	0.30	0.52	Matches
46	Finn Azaz	ie IRL	MF	Middlesbrough	24	2000	2	1	93	1.0	1.00	1.00	2.00	1.00	0.00	0.00	0.00	0.00	0.97	0.97	1.94	0.97	1.94	Matches
47	Femi Azeez	ng NGA	MF	Millwall	24	2001	35	33	2,791	31.0	0.35	0.23	0.58	0.35	0.00	0.00	0.16	0.03	0.35	0.23	0.58	0.35	0.58	Matches
48	Ivan Azón	es ESP	FW	Ipswich Town	22	2002	38	20	1,793	19.9	0.25	0.20	0.45	0.25	0.00	0.00	0.10	0.00	0.25	0.20	0.45	0.25	0.45	Matches
49	Kwadwo Baah	eng ENG	MF,FW	Watford	22	2003	27	6	835	9.3	0.11	0.11	0.22	0.11	0.00	0.00	0.43	0.00	0.11	0.11	0.22	0.11	0.22	Matches
50	Lewis Baker	eng ENG	MF	Stoke City	30	1995	17	14	1,256	14.0	0.29	0.07	0.36	0.29	0.00	0.00	0.21	0.00	0.29	0.07	0.36	0.29	0.36	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Thierno Ballo	at AUT	MF	Millwall	23	2002	31	23	1,820	20.2	0.05	0.25	0.30	0.05	0.00	0.00	0.30	0.00	0.05	0.25	0.30	0.05	0.30	Matches
52	Patrick Bamford	eng ENG	FW	Sheffield United	31	1993	28	22	1,817	20.2	0.59	0.05	0.64	0.59	0.00	0.00	0.15	0.05	0.59	0.05	0.64	0.59	0.64	Matches
53	Alex Bangura	sl SLE	DF	Middlesbrough	26	1999	13	8	547	6.1	0.16	0.16	0.33	0.16	0.00	0.00	0.00	0.00	0.16	0.16	0.33	0.16	0.33	Matches
54	Raees Bangura-Williams		MF	Millwall			14	5	456	5.1	0.20	0.20	0.39	0.20	0.00	0.00	0.39	0.00	0.20	0.20	0.39	0.20	0.39	Matches
55	Tamer Bani Odeh	jo JOR	FW	West Brom	21	2003	4	0	58	0.6	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	Matches
56	Barry Bannan	sct SCO	MF	Sheffield Weds	35	1989	28	28	2,450	27.2	0.11	0.11	0.22	0.11	0.00	0.00	0.26	0.04	0.11	0.11	0.22	0.11	0.22	Matches
57	Barry Bannan	sct SCO	MF	Millwall	35	1989	14	6	534	5.9	0.00	0.17	0.17	0.00	0.00	0.00	0.17	0.00	0.00	0.17	0.17	0.00	0.17	Matches
58	Moussa Baradji	fr FRA	MF	Blackburn	24	2000	32	18	1,749	19.4	0.10	0.00	0.10	0.10	0.00	0.00	0.21	0.00	0.10	0.00	0.10	0.10	0.10	Matches
59	Ryan Barnett	eng ENG	MF	Wrexham	25	1999	12	4	419	4.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
60	Louie Barry	eng ENG	MF,FW	Sheffield United	22	2003	9	6	445	4.9	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	Matches
61	Danny Batth	eng ENG	DF	Derby County	34	1990	10	7	602	6.7	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	Matches
62	Nathan Baxter	eng ENG	GK	Watford	26	1998	7	6	585	6.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
63	Gavin Bazunu	ie IRL	GK	Stoke City	23	2002	6	6	540	6.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
64	Gavin Bazunu	ie IRL	GK	Southampton	23	2002	19	19	1,710	19.0	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	Matches
65	James Beadle	eng ENG	GK	Birmingham City	21	2004	35	35	3,150	35.0	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	Matches
66	Asmir Begović	ba BIH	GK	Leicester City	38	1987	11	10	945	10.5	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	Matches
67	Amari'i Bell	jm JAM	DF,MF	Charlton Athletic	31	1994	34	32	2,699	30.0	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	Matches
68	Sam Bell	eng ENG	MF	Bristol City	23	2002	13	3	364	4.0	1.00	0.25	1.25	1.00	0.00	0.00	0.00	0.00	0.99	0.25	1.24	0.99	1.24	Matches
69	Bachir Belloumi	dz ALG	MF	Hull City	23	2002	22	10	936	10.4	0.19	0.29	0.48	0.19	0.00	0.00	0.10	0.00	0.19	0.29	0.48	0.19	0.48	Matches
70	Anis Ben Slimane	tn TUN	MF	Norwich City	24	2001	22	15	1,225	13.6	0.37	0.15	0.51	0.37	0.00	0.00	0.29	0.00	0.37	0.15	0.51	0.37	0.51	Matches
71	Steven Benda	de GER	GK	Millwall	26	1998	9	9	810	9.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
72	Daniel Bennie	au AUS	FW,MF	QPR	19	2006	17	5	647	7.2	0.14	0.14	0.28	0.14	0.00	0.00	0.28	0.00	0.14	0.14	0.28	0.14	0.28	Matches
73	Victor Bernth Kristiansen	dk DEN	DF	Leicester City	22	2002	5	2	167	1.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
74	Luke Berry	eng ENG	MF	Charlton Athletic	33	1992	16	6	486	5.4	0.19	0.00	0.19	0.19	0.00	0.00	0.19	0.00	0.19	0.00	0.19	0.19	0.19	Matches
75	Florian Bianchini	fr FRA	MF	Portsmouth	24	2001	10	6	512	5.7	0.00	0.18	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.18	0.00	0.18	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Jake Bidwell	eng ENG	DF	Coventry City	32	1993	11	3	431	4.8	0.00	0.21	0.21	0.00	0.00	0.00	0.21	0.00	0.00	0.21	0.21	0.00	0.21	Matches
77	Krystian Bielik	pl POL	DF,MF	West Brom	27	1998	17	11	942	10.5	0.00	0.10	0.10	0.00	0.00	0.00	0.19	0.00	0.00	0.10	0.10	0.00	0.10	Matches
78	Tyler Bindon	nz NZL	DF	Sheffield United	20	2005	25	22	2,029	22.5	0.04	0.00	0.04	0.04	0.00	0.00	0.04	0.00	0.04	0.00	0.04	0.04	0.04	Matches
79	Max Bird	eng ENG	MF	Bristol City	24	2000	15	4	565	6.3	0.32	0.16	0.48	0.32	0.00	0.00	0.16	0.00	0.32	0.16	0.48	0.32	0.48	Matches
80	Colby Bishop	eng ENG	FW	Portsmouth	28	1996	42	37	3,397	37.7	0.08	0.03	0.11	0.05	0.03	0.05	0.11	0.00	0.08	0.03	0.11	0.05	0.08	Matches
81	Corey Blackett-Taylor	eng ENG	MF	Derby County	27	1997	9	2	273	3.0	0.00	0.33	0.33	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.33	0.00	0.33	Matches
82	Harvey Blair	eng ENG	MF	Portsmouth	21	2003	15	4	485	5.4	0.00	0.19	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.19	0.00	0.19	Matches
83	Eric Bocat	fr FRA	DF,MF	Stoke City	26	1999	29	21	1,816	20.2	0.00	0.05	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.05	0.00	0.05	Matches
84	Marc Bola	eng ENG	DF,MF	Watford	27	1997	37	31	2,899	32.2	0.06	0.09	0.16	0.06	0.00	0.00	0.06	0.00	0.06	0.09	0.16	0.06	0.16	Matches
85	Neto Borges	br BRA	DF,MF	Middlesbrough	28	1996	3	0	11	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
86	Neto Borges	br BRA	MF,DF	Bristol City	28	1996	38	30	2,726	30.3	0.00	0.10	0.10	0.00	0.00	0.00	0.23	0.00	0.00	0.10	0.10	0.00	0.10	Matches
87	Raphael Borges Rodrigues	au AUS	MF	Coventry City	21	2003	2	0	36	0.4	0.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	2.50	2.50	0.00	2.50	Matches
88	Ollie Bostock	wls WAL	MF	West Brom	18	2007	7	2	205	2.3	0.43	0.00	0.43	0.43	0.00	0.00	0.00	0.00	0.44	0.00	0.44	0.44	0.44	Matches
89	Edoardo Bove	it ITA	MF,FW	Watford	23	2002	11	2	275	3.1	0.32	0.00	0.32	0.32	0.00	0.00	0.65	0.00	0.33	0.00	0.33	0.33	0.33	Matches
90	Ibane Bowat	sct SCO	DF	Portsmouth	22	2002	17	8	802	8.9	0.22	0.00	0.22	0.22	0.00	0.00	0.11	0.00	0.22	0.00	0.22	0.22	0.22	Matches
91	Róbert Boženík	sk SVK	FW	Stoke City	25	1999	22	9	829	9.2	0.11	0.00	0.11	0.11	0.00	0.00	0.22	0.00	0.11	0.00	0.11	0.11	0.11	Matches
92	Tom Bradshaw	wls WAL	FW	Oxford United	33	1992	5	0	69	0.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
93	Robbie Brady	ie IRL	DF,FW	Preston	33	1992	5	0	95	1.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
94	Cameron Bragg	eng ENG	MF	Southampton	20	2005	16	7	688	7.6	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	Matches
95	Cameron Brannagan	eng ENG	MF	Oxford United	29	1996	37	36	3,085	34.3	0.17	0.09	0.26	0.12	0.06	0.06	0.23	0.00	0.18	0.09	0.26	0.12	0.20	Matches
96	Brau	es ESP	DF	Coventry City	23	2001	9	1	203	2.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
97	James Bree	eng ENG	MF,DF	Charlton Athletic	27	1997	21	19	1,671	18.6	0.11	0.16	0.27	0.11	0.00	0.00	0.38	0.00	0.11	0.16	0.27	0.11	0.27	Matches
98	James Bree	eng ENG	DF	Southampton	27	1997	18	17	1,444	16.0	0.13	0.13	0.25	0.13	0.00	0.00	0.06	0.00	0.12	0.12	0.25	0.12	0.25	Matches
99	Ben Brereton	cl CHI	MF	Derby County	26	1999	40	39	3,044	33.8	0.21	0.09	0.30	0.18	0.03	0.03	0.24	0.00	0.21	0.09	0.30	0.18	0.27	Matches
100	Rhian Brewster	eng ENG	MF,FW	Derby County	25	2000	29	19	1,460	16.2	0.43	0.12	0.56	0.37	0.06	0.06	0.06	0.00	0.43	0.12	0.55	0.37	0.49	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Callum Brittain	eng ENG	DF,MF	Middlesbrough	27	1998	41	41	3,615	40.2	0.00	0.10	0.10	0.00	0.00	0.00	0.17	0.00	0.00	0.10	0.10	0.00	0.10	Matches
102	Nathan Broadhead	wls WAL	FW,MF	Ipswich Town	27	1998	1	0	23	0.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
103	Nathan Broadhead	wls WAL	MF,FW	Wrexham	27	1998	37	20	1,903	21.1	0.33	0.19	0.52	0.33	0.00	0.00	0.00	0.00	0.33	0.19	0.52	0.33	0.52	Matches
104	Andre Brooks	jm JAM	MF	Sheffield United	21	2003	39	28	2,432	27.0	0.22	0.07	0.30	0.22	0.00	0.00	0.26	0.00	0.22	0.07	0.30	0.22	0.30	Matches
105	Ciaron Brown	nir NIR	DF	Oxford United	27	1998	37	37	3,320	36.9	0.08	0.03	0.11	0.08	0.00	0.00	0.16	0.00	0.08	0.03	0.11	0.08	0.11	Matches
106	Dajaune Brown	jm JAM	FW	Derby County	19	2005	1	0	2	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
107	George Brown		FW	Sheffield Weds			7	3	310	3.4	0.59	0.00	0.59	0.59	0.00	0.00	0.00	0.00	0.58	0.00	0.58	0.58	0.58	Matches
108	Jacob Brown	sct SCO	FW,MF	Portsmouth	27	1998	15	5	493	5.5	0.18	0.18	0.36	0.18	0.00	0.00	0.36	0.00	0.18	0.18	0.37	0.18	0.37	Matches
109	Alan Browne	ie IRL	MF,DF	Middlesbrough	30	1995	38	26	2,471	27.5	0.15	0.11	0.25	0.15	0.00	0.00	0.07	0.00	0.15	0.11	0.25	0.15	0.25	Matches
110	Lewis Brunt	eng ENG	DF	Wrexham	24	2000	9	6	552	6.1	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	Matches
111	Joe Bryan	eng ENG	DF	Millwall	31	1993	19	6	738	8.2	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.12	0.00	0.00	0.00	0.00	0.00	Matches
112	Solomon Brynn	eng ENG	GK	Middlesbrough	24	2000	46	46	4,140	46.0	0.00	0.02	0.02	0.00	0.00	0.00	0.02	0.00	0.00	0.02	0.02	0.00	0.02	Matches
113	Cameron Burgess	au AUS	DF	Swansea City	29	1995	46	46	4,140	46.0	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	Matches
114	Delano Burgzorg	sr SUR	MF,FW	Middlesbrough	26	1998	25	11	1,083	12.0	0.17	0.17	0.33	0.17	0.00	0.00	0.08	0.00	0.17	0.17	0.33	0.17	0.33	Matches
115	Delano Burgzorg	sr SUR	FW,MF	Bristol City	26	1998	15	4	547	6.1	0.16	0.16	0.33	0.16	0.00	0.00	0.66	0.00	0.16	0.16	0.33	0.16	0.33	Matches
116	Reece Burke	eng ENG	DF	Charlton Athletic	28	1996	17	12	942	10.5	0.10	0.00	0.10	0.10	0.00	0.00	0.10	0.00	0.10	0.00	0.10	0.10	0.10	Matches
117	Wes Burns	wls WAL	MF	Ipswich Town	30	1994	18	9	795	8.8	0.23	0.11	0.34	0.23	0.00	0.00	0.34	0.00	0.23	0.11	0.34	0.23	0.34	Matches
118	Rumarn Burrell	jm JAM	FW	QPR	24	2000	30	22	2,000	22.2	0.45	0.14	0.59	0.45	0.00	0.00	0.18	0.00	0.45	0.14	0.59	0.45	0.59	Matches
119	Harrison Burrows	eng ENG	DF	Sheffield United	23	2002	44	30	2,966	33.0	0.15	0.12	0.27	0.15	0.00	0.03	0.09	0.00	0.15	0.12	0.27	0.15	0.27	Matches
120	Josef Bursik	eng ENG	GK	Portsmouth	25	2000	10	10	813	9.0	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	Matches
121	Gustavo Caballero	py PAR	MF	Portsmouth	23	2001	12	9	759	8.4	0.12	0.00	0.12	0.12	0.00	0.00	0.12	0.00	0.12	0.00	0.12	0.12	0.12	Matches
122	Ben Cabango	wls WAL	DF	Swansea City	25	2000	45	45	4,034	44.8	0.02	0.00	0.02	0.02	0.00	0.00	0.18	0.00	0.02	0.00	0.02	0.02	0.02	Matches
123	Liberato Cacace	nz NZL	MF	Wrexham	24	2000	12	8	721	8.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
124	Bailey-Tye Cadamarteri	jm JAM	FW	Sheffield Weds	20	2005	29	23	2,103	23.4	0.09	0.00	0.09	0.09	0.00	0.00	0.09	0.00	0.09	0.00	0.09	0.09	0.09	Matches
125	Bailey-Tye Cadamarteri	jm JAM	FW	Wrexham	20	2005	3	0	29	0.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Jens Cajuste	se SWE	MF	Ipswich Town	25	1999	30	13	1,194	13.3	0.08	0.23	0.30	0.08	0.00	0.00	0.08	0.00	0.08	0.23	0.30	0.08	0.30	Matches
127	George Campbell	us USA	DF	West Brom	24	2001	39	33	3,081	34.2	0.12	0.06	0.18	0.12	0.00	0.00	0.20	0.00	0.12	0.06	0.18	0.12	0.18	Matches
128	Tyreece Campbell	jm JAM	FW,MF	Charlton Athletic	21	2003	45	31	2,921	32.5	0.09	0.09	0.18	0.09	0.00	0.00	0.09	0.00	0.09	0.09	0.18	0.09	0.18	Matches
129	Tyrese Campbell	eng ENG	FW	Sheffield United	25	1999	34	21	1,883	20.9	0.29	0.10	0.38	0.29	0.00	0.00	0.14	0.00	0.29	0.10	0.38	0.29	0.38	Matches
130	Tom Cannon	ie IRL	FW,MF	Sheffield United	22	2002	36	19	1,726	19.2	0.31	0.10	0.42	0.31	0.00	0.00	0.10	0.00	0.31	0.10	0.42	0.31	0.42	Matches
131	Todd Cantwell	eng ENG	MF	Blackburn	27	1998	28	22	2,068	23.0	0.22	0.13	0.35	0.17	0.04	0.04	0.43	0.00	0.22	0.13	0.35	0.17	0.30	Matches
132	Sonny Carey	eng ENG	MF,FW	Charlton Athletic	24	2001	46	40	3,385	37.6	0.21	0.05	0.27	0.21	0.00	0.00	0.11	0.00	0.21	0.05	0.27	0.21	0.27	Matches
133	Julián Carranza	ar ARG	FW	Leicester City	25	2000	9	3	318	3.5	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	Matches
134	Hayden Carter	eng ENG	DF	Blackburn	25	1999	10	10	787	8.7	0.23	0.00	0.23	0.23	0.00	0.00	0.46	0.00	0.23	0.00	0.23	0.23	0.23	Matches
135	Kaelan Casey	eng ENG	DF	Swansea City	20	2004	8	3	292	3.2	0.00	0.31	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.31	0.00	0.31	Matches
