Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	James Abankwah	ie IRL	DF	Watford	21	2004	28.8	0.17	0.03	0.00	1.39	0.97	0.10	0.49	1.01	1.01			0.00	Matches
2	Ebou Adams	gm GAM	MF	Derby County	29	1996	16.7	0.42	0.00	0.00	2.16	2.22	0.24	0.60	1.50	2.28			0.00	Matches
3	Ebou Adams	gm GAM	MF	Portsmouth	29	1996	13.7	0.22	0.00	0.00	1.46	2.99	0.00	0.73	0.95	2.04			0.00	Matches
4	Kealey Adamson	au AUS	DF	QPR	22	2003	2.5	0.40	0.00	0.00	2.00	0.40	0.00	1.20	0.40	1.60			0.00	Matches
5	Tayo Adaramola	ie IRL	MF,DF	Sheffield Weds	21	2003	14.8	0.14	0.00	0.00	0.74	1.35	0.00	2.23	0.47	1.82			0.00	Matches
6	Dapo Afolayan	eng ENG	MF	Blackburn	27	1997	1.8	0.00	0.00	0.00	1.67	4.44	1.11	5.56	2.22	1.11			0.00	Matches
7	Sydney Agina	ke KEN	DF	Stoke City	17	2007	2.8	0.36	0.00	0.00	0.71	0.71	0.00	1.79	1.07	1.07			0.00	Matches
8	Patrick Agyemang	us USA	FW,MF	Derby County	24	2000	30.4	0.20	0.00	0.00	2.11	1.88	0.69	0.43	0.10	0.13			0.00	Matches
9	Ali Ahmed	ca CAN	MF	Norwich City	24	2000	14.5	0.07	0.00	0.00	0.76	1.93	0.48	2.48	0.76	1.17			0.00	Matches
10	Semi Ajayi	ng NGA	DF	Hull City	31	1993	18.4	0.11	0.00	0.00	0.38	0.98	0.11	0.27	1.58	0.76			0.00	Matches
11	Babajide Akintola	ng NGA	MF	Hull City	29	1996	5.7	0.70	0.00	0.00	2.81	1.05	0.88	1.05	0.35	1.93			0.00	Matches
12	Chuba Akpom	eng ENG	MF,FW	Ipswich Town	29	1995	10.0	0.10	0.00	0.00	1.00	2.50	0.20	0.00	0.10	0.40			0.00	Matches
13	Yisa Alao		MF	Sheffield Weds			0.7	0.00	0.00	0.00	4.29	0.00	0.00	1.43	2.86	0.00			0.00	Matches
14	Ryan Alebiosu	ng NGA	MF,DF	Blackburn	23	2001	35.5	0.11	0.00	0.00	0.76	0.17	0.17	5.24	0.79	1.38			0.00	Matches
15	Isak Alemayehu Mulugeta	se SWE	MF	QPR	18	2006	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
16	Ajibola Alese	eng ENG	DF	Portsmouth	24	2001	0.1	10.0	0.00	0.00	0.00	0.00	0.00	20.0	0.00	0.00			0.00	Matches
17	Cruz Allen	wls WAL	MF	Derby County	18	2007	0.1	0.00	0.00	0.00	10.0	0.00	0.00	10.0	0.00	0.00			0.00	Matches
18	Jamie Allen	eng ENG	MF	Coventry City	30	1995	6.5	0.00	0.00	0.00	0.77	0.31	0.00	0.00	0.92	0.92			0.00	Matches
19	Max Alleyne	eng ENG	DF	Watford	20	2005	14.0	0.14	0.00	0.00	0.29	0.57	0.07	0.21	1.21	1.29			0.07	Matches
