Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
23	Ryan Allsop	eng ENG	GK	Birmingham City	33	1992	11	990	90	23.9	11.0	1.00	90	1.00	0.00		3.18	1.09	0.73	1.36	-0.64	-0.64	-0.86	Matches
24	Olabade Aluko		DF	Leicester City			8	169	21	4.1	1.9	0.53	32	0.00	3.68	20	8.95	1.00	0.53	2.63	-2.11	-2.13	-1.99	Matches
25	Will Alves	eng ENG	MF	Leicester City	20	2005	0					0		0	0		1							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
26	Papa Amadou Diallo	sn SEN	MF	Norwich City	21	2004	9	535	59	12.9	5.9	1.02	74	0.00	0.51	30	0.17	1.78	1.53	1.02	0.51	+0.50	+0.40	Matches
27	Harry Amass	eng ENG	MF	Norwich City	18	2007	1	16	16	0.4	0.2	0.00		0.00	5.00	16	0.00	3.00	0.00	0.00	0.00	0.00	-0.15	Matches
28	Harry Amass	eng ENG	MF	Sheffield Weds	18	2007	21	1,865	89	45.0	20.7	1.01	89	0.87	0.00		0.00	0.45	0.72	2.08	-1.35	-1.35	-0.09	Matches
29	Jaydon Amauri Banel	nl NED	MF	Derby County	20	2004	14	560	40	13.5	6.2	0.81	69	0.00	1.45	24	0.16	1.71	1.77	0.97	0.81	+0.80	+0.73	Matches
30	Karoy Anderson	jm JAM	MF	Charlton Athletic	20	2004	10	527	53	12.7	5.9	1.02	75	0.17	0.68	20	1.36	0.80	0.68	0.68	0.00	0.00	+0.35	Matches
31	Keshi Anderson	eng ENG	MF	Portsmouth	30	1995	7	248	35	6.0	2.8	1.07	54	0.00	1.43	22	0.00	2.14	1.07	0.71	0.36	+0.36	+0.73	Matches
32	Keshi Anderson	eng ENG	MF	Birmingham City	30	1995	19	726	38	17.5	8.1	0.86	66	0.00	1.48	22	0.00	1.32	0.99	1.48	-0.49	-0.50	-0.63	Matches
33	Kai Andrews	wls WAL	MF	Coventry City	18	2006	7	60	9	1.4	0.7	0.00		0.00	10.0	9	22.9	2.14	2.86	1.43	1.43	+1.50	+0.37	Matches
34	Ryan Andrews	eng ENG	DF,MF	Watford	20	2004	3	31	10	0.7	0.3	0.00		0.00	10.0	10	3.33	1.67	0.00	3.33	-3.33	-2.90	-2.66	Matches
35	Rob Apter	sct SCO	MF	Charlton Athletic	22	2003	13	589	45	14.2	6.5	1.23	66	0.31	0.77	12	2.15	0.69	0.77	1.23	-0.46	-0.46	-0.18	Matches
36	Oliver Arblaster	eng ENG	MF	Sheffield United	21	2004	21	898	43	21.7	10.0	0.90	69	0.20	1.20	23	0.70	1.52	1.30	1.70	-0.40	-0.40	-0.51	Matches
37	Cameron Archer	eng ENG	FW,MF	Southampton	24	2001	30	1,004	33	24.3	11.2	0.98	65	0.00	1.70	15	0.89	1.60	1.70	1.25	0.45	+0.45	-0.15	Matches
38	Joe Aribo	ng NGA	FW,MF	Southampton	29	1996	7	118	17	2.9	1.3	0.00		0.00	5.38	17	3.85	2.14	0.77	3.85	-3.08	-3.05	-3.72	Matches
39	Joe Aribo	ng NGA	MF	Leicester City	29	1996	6	132	22	3.2	1.5	0.67	76	0.00	3.33	11	4.67	1.17	1.33	2.00	-0.67	-0.68	-0.48	Matches
40	Adam Armstrong	eng ENG	FW,MF	Southampton	28	1997	29	2,036	70	49.2	22.6	1.06	80	0.58	0.22	25	0.00	1.28	1.50	1.42	0.09	+0.09	-0.94	Matches
41	Harrison Armstrong	eng ENG	MF	Preston	18	2007	17	1,127	66	27.2	12.5	1.04	79	0.32	0.32	26	0.00	1.53	1.20	1.12	0.08	+0.08	+0.32	Matches
42	Sinclair Armstrong	ie IRL	FW	Bristol City	22	2003	41	1,610	39	38.9	17.9	0.61	76	0.06	1.68	26	0.28	1.24	1.06	1.34	-0.28	-0.28	-0.46	Matches
43	Stanley Ashbee	ie IRL	DF	Hull City	18	2006	0					0		0	0		3							Matches
44	Harry Ashfield	eng ENG	MF	Wrexham	19	2006	1	4	4	0.1	0.0	0		0	1	4	5	3.00	0	0	0	0.00	-0.09	Matches
45	Tom Atcheson	nir NIR	DF	Blackburn	18	2006	14	1,088	78	26.3	12.1	0.91	90	0.91	0.25	33	0.91	1.21	0.91	1.32	-0.41	-0.41	-0.15	Matches
46	Robert Atkinson	eng ENG	DF	Bristol City	27	1998	25	1,845	74	44.6	20.5	1.12	77	0.63	0.10	32	0.00	1.68	1.66	1.07	0.59	+0.59	+1.06	Matches
47	Chinedu AwamAcu	ng NGA	FW	Portsmouth	22	2003	0					0		0	0		1							Matches
48	Jordan Ayew	gh GHA	FW,MF	Leicester City	33	1991	42	2,259	54	54.6	25.1	0.96	79	0.36	0.72	20	0.12	1.05	1.27	1.39	-0.12	-0.12	+0.22	Matches
49	Leon Ayinde	ie IRL	FW	Ipswich Town	20	2004	0					0		0	0		1							Matches
50	Luke Ayling	eng ENG	DF	Middlesbrough	33	1991	43	3,492	81	84.3	38.8	0.98	89	0.88	0.13	26	0.03	1.61	1.57	1.11	0.46	+0.46	-0.51	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
51	Michael Ayodele		FW	Preston			0					0		0	0		1							Matches
52	Finn Azaz	ie IRL	MF	Southampton	24	2000	41	2,964	72	71.6	32.9	1.09	79	0.43	0.15	22	0.03	1.79	1.95	1.31	0.64	+0.64	+0.25	Matches
53	Finn Azaz	ie IRL	MF	Middlesbrough	24	2000	2	93	47	2.2	1.0	1.00	71	0.00	1.00	22	0.00	3.00	4.00	0.00	4.00	+3.87	+3.40	Matches
54	Femi Azeez	ng NGA	MF	Millwall	24	2001	35	2,791	80	67.4	31.0	1.06	83	0.35	0.06	29	0.00	1.92	1.58	0.90	0.68	+0.68	+1.08	Matches
55	Ivan Azón	es ESP	FW	Ipswich Town	22	2002	38	1,793	47	43.3	19.9	1.01	69	0.00	0.90	23	0.15	1.92	1.76	0.95	0.80	+0.80	+0.15	Matches
56	Kwadwo Baah	eng ENG	MF,FW	Watford	22	2003	27	835	31	20.2	9.3	0.65	66	0.11	2.26	21	0.43	1.11	1.08	1.29	-0.22	-0.22	+0.06	Matches
57	Elkan Baggott	id IDN	DF	Ipswich Town	22	2002	0					0		0	0		4							Matches
58	Lewis Baker	eng ENG	MF	Stoke City	30	1995	17	1,256	74	30.3	14.0	1.00	83	0.64	0.21	30	0.14	1.65	1.50	0.79	0.71	+0.72	+1.18	Matches
59	Thierno Ballo	at AUT	MF	Millwall	23	2002	31	1,820	59	44.0	20.2	1.14	75	0.15	0.40	13	0.50	1.70	1.39	0.94	0.45	+0.45	+0.21	Matches
60	Patrick Bamford	eng ENG	FW	Sheffield United	31	1993	28	1,817	65	43.9	20.2	1.09	77	0.50	0.30	21	0.00	1.64	1.73	1.39	0.35	+0.35	+0.62	Matches
61	Alex Bangura	sl SLE	DF	Middlesbrough	26	1999	13	547	42	13.2	6.1	1.31	60	0.33	0.82	14	1.80	1.62	1.80	0.98	0.82	+0.82	+0.32	Matches
62	Raees Bangura-Williams		MF	Millwall			14	456	33	11.0	5.1	0.98	65	0.00	1.76	14	3.14	1.50	0.98	0.98	0.00	0.00	-0.37	Matches
63	Tamer Bani Odeh	jo JOR	FW	West Brom	21	2003	4	58	15	1.4	0.6	0.00		0.00	6.67	15	13.3	1.00	1.67	0.00	1.67	+1.55	+1.79	Matches
64	Barry Bannan	sct SCO	MF	Sheffield Weds	35	1989	28	2,450	88	59.2	27.2	1.03	88	0.81	0.00		0.00	0.39	0.66	1.91	-1.25	-1.25	+0.14	Matches
65	Barry Bannan	sct SCO	MF	Millwall	35	1989	14	534	38	12.9	5.9	1.02	72	0.00	1.36	13	0.51	1.63	1.36	0.51	0.85	+0.84	+0.59	Matches
66	Moussa Baradji	fr FRA	MF	Blackburn	24	2000	32	1,749	55	42.2	19.4	0.93	81	0.31	0.72	21	0.00	1.13	0.77	1.24	-0.46	-0.46	-0.27	Matches
67	Finley Barbrook	eng ENG	MF	Ipswich Town	20	2004	0					0		0	0		1							Matches
68	Daniel Barlaser	tr TUR	MF	Middlesbrough	28	1997	0					0		0	0		4							Matches
69	Ryan Barnett	eng ENG	MF	Wrexham	25	1999	12	419	35	10.1	4.7	0.85	73	0.00	1.70	16	4.47	0.50	1.49	0.85	0.64	+0.64	+0.62	Matches
70	Louie Barry	eng ENG	MF,FW	Sheffield United	22	2003	9	445	49	10.7	4.9	1.22	64	0.00	0.61	20	0.61	0.33	0.20	2.04	-1.84	-1.82	-2.04	Matches
71	Briar Bateman		FW	Birmingham City			0					0		0	0		1							Matches
72	Danny Batth	eng ENG	DF	Derby County	34	1990	10	602	60	14.5	6.7	1.04	86	0.75	0.45	1	3.58	1.30	1.34	2.24	-0.90	-0.90	-1.25	Matches
73	Zachary Baumann	ua UKR	MF	Norwich City	18	2007	0					0		0	0		1							Matches
74	Nathan Baxter	eng ENG	GK	Watford	26	1998	7	585	84	14.1	6.5	0.92	90	0.92	0.15	45	5.85	1.57	1.69	1.38	0.31	+0.31	+0.66	Matches
75	Gavin Bazunu	ie IRL	GK	Stoke City	23	2002	6	540	90	13.0	6.0	1.00	90	1.00	0.00		0.00	0.83	0.67	1.33	-0.67	-0.67	-0.64	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
76	Gavin Bazunu	ie IRL	GK	Southampton	23	2002	19	1,710	90	41.3	19.0	1.00	90	1.00	0.00		0.37	1.42	1.68	1.47	0.21	+0.21	-0.60	Matches
77	James Beadle	eng ENG	GK	Birmingham City	21	2004	35	3,150	90	76.1	35.0	1.00	90	1.00	0.00		0.23	1.49	1.40	1.17	0.23	+0.23	+0.86	Matches
78	Asmir Begović	ba BIH	GK	Leicester City	38	1987	11	945	86	22.8	10.5	0.95	90	0.95	0.10	45	2.86	0.91	1.43	2.00	-0.57	-0.57	-0.46	Matches
79	Amari'i Bell	jm JAM	DF,MF	Charlton Athletic	31	1994	34	2,699	79	65.2	30.0	1.07	83	0.90	0.07	24	0.03	1.18	1.07	0.93	0.13	+0.13	+1.26	Matches
80	Sam Bell	eng ENG	MF	Bristol City	23	2002	13	364	28	8.8	4.0	0.75	59	0.00	2.50	19	3.25	1.31	2.00	2.25	-0.25	-0.25	-0.27	Matches
81	Bachir Belloumi	dz ALG	MF	Hull City	23	2002	22	936	43	22.6	10.4	0.96	65	0.00	1.15	24	0.10	1.48	1.73	0.96	0.77	+0.77	+0.88	Matches
82	Anis Ben Slimane	tn TUN	MF	Norwich City	24	2001	22	1,225	56	29.6	13.6	1.10	70	0.15	0.51	26	0.44	2.05	1.47	1.10	0.37	+0.37	+0.31	Matches
83	Steven Benda	de GER	GK	Millwall	26	1998	9	810	90	19.6	9.0	1.00	90	1.00	0.00		1.22	1.56	1.00	1.33	-0.33	-0.33	-0.82	Matches
84	Daniel Bennie	au AUS	FW,MF	QPR	19	2006	17	647	38	15.6	7.2	0.69	70	0.14	1.67	25	1.39	1.18	1.67	2.36	-0.69	-0.70	-0.52	Matches
85	Victor Bernth Kristiansen	dk DEN	DF	Leicester City	22	2002	5	167	33	4.0	1.9	1.05	51	0.00	1.58	22	1.58	0.60	0.53	2.11	-1.58	-1.62	-1.46	Matches
86	Luke Berry	eng ENG	MF	Charlton Athletic	33	1992	16	486	30	11.7	5.4	1.11	65	0.00	1.85	10	3.52	0.25	0.74	2.22	-1.48	-1.48	-1.33	Matches
87	Tommy Betts		GK	Sheffield United			0					0		0	0		1							Matches
88	Florian Bianchini	fr FRA	MF	Portsmouth	24	2001	10	512	51	12.4	5.7	1.05	71	0.18	0.70	21	1.58	1.10	1.40	1.23	0.18	+0.18	+0.57	Matches
89	Josh Bickerton	eng ENG	MF	Stoke City	19	2005	0					0		0	0		2							Matches
90	Jake Bidwell	eng ENG	DF	Coventry City	32	1993	11	431	39	10.4	4.8	0.63	84	0.42	1.67	22	7.29	2.36	2.08	1.04	1.04	+1.04	-0.10	Matches
91	Krystian Bielik	pl POL	DF,MF	Birmingham City	27	1998	0					0		0	0		1							Matches
92	Krystian Bielik	pl POL	DF,MF	West Brom	27	1998	17	942	55	22.8	10.5	1.05	77	0.48	0.57	17	1.05	1.00	0.86	1.62	-0.76	-0.76	-0.71	Matches
93	Tyler Bindon	nz NZL	DF	Sheffield United	20	2005	25	2,029	81	49.0	22.5	0.98	88	0.89	0.13	35	0.53	1.28	1.47	1.42	0.04	+0.04	+0.09	Matches
94	Max Bird	eng ENG	MF	Bristol City	24	2000	15	565	38	13.6	6.3	0.63	71	0.00	1.75	26	0.00	1.33	0.95	1.11	-0.16	-0.16	-0.18	Matches
95	Colby Bishop	eng ENG	FW	Portsmouth	28	1996	42	3,397	81	82.1	37.7	0.98	87	0.80	0.13	32	0.00	1.21	1.14	1.25	-0.11	-0.11	+1.23	Matches
96	Corey Blackett-Taylor	eng ENG	MF	Derby County	27	1997	9	273	30	6.6	3.0	0.67	69	0.00	2.33	19	3.67	0.56	1.00	0.67	0.33	+0.33	+0.17	Matches
97	Harvey Blair	eng ENG	MF	Portsmouth	21	2003	15	485	32	11.7	5.4	0.74	60	0.00	2.04	22	1.11	0.93	1.11	1.67	-0.56	-0.56	-0.26	Matches
98	Eric Bocat	fr FRA	DF,MF	Stoke City	26	1999	29	1,816	63	43.9	20.2	1.04	81	0.69	0.40	15	0.54	1.14	0.99	1.58	-0.59	-0.59	-0.87	Matches
99	Marc Bola	eng ENG	DF,MF	Watford	27	1997	37	2,899	78	70.0	32.2	0.96	89	0.87	0.19	26	0.19	1.30	1.24	1.30	-0.06	-0.06	+0.66	Matches
100	Jack Bonham	ie IRL	GK	Stoke City	31	1993	0					0		0	0		26							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
101	Somto Boniface	eng ENG	DF	Ipswich Town	19	2006	0					0		0	0		1							Matches
102	Neto Borges	br BRA	DF,MF	Middlesbrough	28	1996	3	11	4	0.3	0.1	0.00		0.00	30.0	4	0.00	3.00	10.0	0.00	10.0	+8.18	+7.66	Matches
103	Neto Borges	br BRA	MF,DF	Bristol City	28	1996	38	2,726	72	65.8	30.3	0.99	84	0.76	0.26	25	0.03	1.26	1.16	1.32	-0.17	-0.17	-0.48	Matches
104	Raphael Borges Rodrigues	au AUS	MF	Coventry City	21	2003	2	36	18	0.9	0.4	0.00		0.00	5.00	18	5.00	3.00	2.50	2.50	0.00	0.00	-1.14	Matches
105	Ollie Bostock	wls WAL	MF	West Brom	18	2007	7	205	29	5.0	2.3	0.87	57	0.00	2.17	18	13.0	0.71	0.43	2.17	-1.74	-1.76	-1.62	Matches
106	Edoardo Bove	it ITA	MF,FW	Watford	23	2002	11	275	25	6.6	3.1	0.65	59	0.00	2.90	18	0.97	0.82	0.97	1.94	-0.97	-0.98	-0.77	Matches
107	Ibane Bowat	sct SCO	DF	Portsmouth	22	2002	17	802	47	19.4	8.9	0.90	81	0.56	1.01	17	1.69	1.65	1.12	1.57	-0.45	-0.45	-0.15	Matches
108	Róbert Boženík	sk SVK	FW	Stoke City	25	1999	22	829	38	20.0	9.2	0.98	71	0.11	1.41	14	0.76	1.23	1.09	1.09	0.00	0.00	+0.14	Matches
109	Tom Bradshaw	wls WAL	FW	Oxford United	33	1992	5	69	14	1.7	0.8	0.00		0.00	6.25	14	7.50	0.20	0.00	2.50	-2.50	-2.61	-2.34	Matches
110	Robbie Brady	ie IRL	DF,FW	Preston	33	1992	5	95	19	2.3	1.1	0.00		0.00	4.55	19	1.82	0.60	0.91	3.64	-2.73	-2.84	-2.75	Matches
111	Cameron Bragg	eng ENG	MF	Southampton	20	2005	16	688	43	16.6	7.6	0.92	76	0.13	1.18	18	1.32	1.71	2.11	0.92	1.18	+1.18	+0.73	Matches
112	Cameron Brannagan	eng ENG	MF	Oxford United	29	1996	37	3,085	83	74.5	34.3	1.05	84	0.82	0.03	75	0.00	1.05	0.96	1.28	-0.32	-0.32	-0.06	Matches
113	Brau	es ESP	DF	Coventry City	23	2001	9	203	23	4.9	2.3	0.43	90	0.43	3.48	14	6.52	1.78	0.43	1.74	-1.30	-1.33	-2.59	Matches
114	James Bree	eng ENG	MF,DF	Charlton Athletic	27	1997	21	1,671	80	40.4	18.6	1.02	84	0.65	0.11	34	0.00	1.33	1.02	1.08	-0.05	-0.05	+0.42	Matches
115	James Bree	eng ENG	DF	Southampton	27	1997	18	1,444	80	34.9	16.0	1.06	84	0.63	0.06	23	0.00	2.40	2.06	0.94	1.13	+1.12	+0.85	Matches
116	Ben Brereton	cl CHI	MF	Derby County	26	1999	40	3,044	76	73.5	33.8	1.15	77	0.30	0.03	32	0.00	1.65	1.54	1.07	0.47	+0.47	+1.13	Matches
117	Ben Brereton	cl CHI	FW,MF	Southampton	26	1999	0					0		0	0		2							Matches
118	Rhian Brewster	eng ENG	MF,FW	Derby County	25	2000	29	1,460	50	35.3	16.2	1.17	65	0.00	0.62	23	0.00	1.79	1.67	0.93	0.74	+0.74	+0.87	Matches
119	Callum Brittain	eng ENG	DF,MF	Middlesbrough	27	1998	41	3,615	88	87.3	40.2	1.02	88	0.87	0.00		0.02	1.55	1.44	1.09	0.35	+0.35	-1.54	Matches
120	Nathan Broadhead	wls WAL	FW,MF	Ipswich Town	27	1998	1	23	23	0.6	0.3	0.00		0.00	3.33	23	0.00	1.00	3.33	0.00	3.33	+3.91	+3.21	Matches
121	Nathan Broadhead	wls WAL	MF,FW	Wrexham	27	1998	37	1,903	51	46.0	21.1	0.95	75	0.19	0.81	24	0.28	1.41	1.52	1.33	0.19	+0.19	+0.19	Matches
122	Andre Brooks	jm JAM	MF	Sheffield United	21	2003	39	2,432	62	58.7	27.0	1.04	77	0.33	0.41	26	0.04	1.38	1.59	1.30	0.30	+0.30	+0.72	Matches
123	Tiernan Brooks	ie IRL	GK	Charlton Athletic	23	2002	0					0		0	0		5							Matches
124	Ciaron Brown	nir NIR	DF	Oxford United	27	1998	37	3,320	90	80.2	36.9	1.00	90	0.98	0.00		0.00	1.11	0.92	1.25	-0.33	-0.33	-0.11	Matches
125	Dajaune Brown	jm JAM	FW	Derby County	19	2005	1	2	2	0.0	0.0	0		0	1	2	1	0.00	0	0	0	0.00	-0.17	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
126	George Brown		FW	Sheffield Weds			7	310	44	7.5	3.4	0.88	69	0.00	1.18	26	0.88	0.71	1.47	2.06	-0.59	-0.58	+0.78	Matches
127	Jacob Brown	sct SCO	FW,MF	Portsmouth	27	1998	15	493	33	11.9	5.5	0.91	75	0.18	1.82	12	0.36	1.20	1.09	2.36	-1.27	-1.28	-1.08	Matches
128	Pharrell Brown		MF	Hull City			0					0		0	0		6							Matches
129	Alan Browne	ie IRL	MF,DF	Middlesbrough	30	1995	38	2,471	65	59.7	27.5	0.95	83	0.76	0.44	25	0.11	1.51	1.60	1.20	0.40	+0.40	-0.35	Matches
130	Lewis Brunt	eng ENG	DF	Wrexham	24	2000	9	552	61	13.3	6.1	0.98	79	0.82	0.49	27	1.97	1.44	1.97	1.64	0.33	+0.33	+0.28	Matches
131	Joe Bryan	eng ENG	DF	Millwall	31	1993	19	738	39	17.8	8.2	0.73	83	0.37	1.59	18	0.85	1.11	0.73	1.83	-1.10	-1.10	-1.73	Matches
132	Solomon Brynn	eng ENG	GK	Middlesbrough	24	2000	46	4,140	90	100.0	46.0	1.00	90	1.00	0.00		0.00	1.65	1.57	1.02	0.54	+0.54		Matches
133	Cameron Burgess	au AUS	DF	Swansea City	29	1995	46	4,140	90	100.0	46.0	1.00	90	1.00	0.00		0.00	1.39	1.24	1.28	-0.04	-0.04		Matches
134	Delano Burgzorg	sr SUR	MF,FW	Middlesbrough	26	1998	25	1,083	43	26.2	12.0	0.92	74	0.17	1.17	19	0.25	1.96	1.42	1.33	0.08	+0.08	-0.62	Matches
135	Delano Burgzorg	sr SUR	FW,MF	Bristol City	26	1998	15	547	36	13.2	6.1	0.66	79	0.16	1.80	21	0.16	1.00	0.98	1.80	-0.82	-0.82	-0.95	Matches
136	Reece Burke	eng ENG	DF	Charlton Athletic	28	1996	17	942	55	22.8	10.5	1.14	67	0.29	0.48	28	0.57	1.24	1.24	1.24	0.00	0.00	+0.39	Matches
137	Wes Burns	wls WAL	MF	Ipswich Town	30	1994	18	795	44	19.2	8.8	1.02	66	0.00	1.02	22	0.00	2.00	2.05	0.91	1.14	+1.13	+0.51	Matches
138	Rumarn Burrell	jm JAM	FW	QPR	24	2000	30	2,000	67	48.3	22.2	0.99	81	0.68	0.36	28	0.00	1.30	1.44	1.62	-0.18	-0.18	+0.16	Matches
139	William Burrell	eng ENG	DF	Birmingham City	18	2007	0					0		0	0		2							Matches
140	Harrison Burrows	eng ENG	DF	Sheffield United	23	2002	44	2,966	67	71.6	33.0	0.91	88	0.73	0.42	23	0.06	1.30	1.24	1.48	-0.24	-0.24	-0.86	Matches
141	Josef Bursik	eng ENG	GK	Portsmouth	25	2000	10	813	81	19.6	9.0	1.11	81	1.00	0.00		3.33	0.90	0.89	1.67	-0.78	-0.77	-0.56	Matches
142	Callum Burton	eng ENG	GK	Wrexham	28	1996	0					0		0	0		26							Matches
143	David Button	eng ENG	GK	Ipswich Town	36	1989	0					0		0	0		9							Matches
144	Gustavo Caballero	py PAR	MF	Portsmouth	23	2001	12	759	63	18.3	8.4	1.07	76	0.36	0.36	25	0.12	1.00	1.07	1.43	-0.36	-0.36	-0.04	Matches
145	Ben Cabango	wls WAL	DF	Swansea City	25	2000	45	4,034	90	97.4	44.8	1.00	90	0.98	0.00		0.00	1.42	1.27	1.25	0.02	+0.02	+2.57	Matches
146	Liberato Cacace	nz NZL	MF	Wrexham	24	2000	12	721	60	17.4	8.0	1.00	82	0.50	0.50	16	0.75	1.75	1.00	0.50	0.50	+0.50	+0.50	Matches
147	Bailey-Tye Cadamarteri	jm JAM	FW	Sheffield Weds	20	2005	29	2,103	73	50.8	23.4	0.98	85	0.60	0.26	27	0.00	0.38	0.73	1.84	-1.11	-1.11	+0.39	Matches
148	Bailey-Tye Cadamarteri	jm JAM	FW	Wrexham	20	2005	3	29	10	0.7	0.3	0.00		0.00	10.0	10	30.0	1.00	3.33	3.33	0.00	0.00	-0.09	Matches
149	Jens Cajuste	se SWE	MF	Ipswich Town	25	1999	30	1,194	40	28.8	13.3	0.98	68	0.00	1.28	19	0.83	1.83	1.88	1.05	0.83	+0.83	+0.16	Matches
150	George Campbell	us USA	DF	West Brom	24	2001	39	3,081	79	74.4	34.2	0.96	89	0.85	0.18	27	0.03	1.21	1.20	1.14	0.06	+0.06	+1.08	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
