Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	James Abankwah	ie IRL	DF	Watford	21	2004	31	2,596	84	62.7	28.8	1.04	86	0.76	0.03	25	0.38	1.13	1.08	1.53	-0.45	-0.45	-0.51	Matches
2	Ebou Adams	gm GAM	MF	Derby County	29	1996	23	1,506	65	36.4	16.7	0.96	82	0.66	0.42	27	0.12	1.35	1.20	1.68	-0.48	-0.48	-1.02	Matches
3	Ebou Adams	gm GAM	MF	Portsmouth	29	1996	16	1,234	77	29.8	13.7	1.02	85	0.51	0.15	25	0.15	1.13	1.17	1.61	-0.44	-0.44	-0.16	Matches
4	Kealey Adamson	au AUS	DF	QPR	22	2003	7	223	32	5.4	2.5	0.40	90	0.40	2.40	22	6.40	0.29	1.20	2.00	-0.80	-0.81	-0.58	Matches
5	Tayo Adaramola	ie IRL	MF,DF	Sheffield Weds	21	2003	16	1,328	83	32.1	14.8	1.01	86	0.74	0.07	32	0.00	0.44	0.74	1.82	-1.08	-1.08	+0.32	Matches
6	Theodore Adelusi	eng ENG	DF	Norwich City	18	2007	0					0		0	0		5							Matches
7	Dapo Afolayan	eng ENG	MF	Blackburn	27	1997	8	164	21	4.0	1.8	0.56	45	0.00	3.89	17	5.00	1.25	2.78	2.22	0.56	+0.55	+0.89	Matches
8	Sydney Agina	ke KEN	DF	Stoke City	17	2007	5	255	51	6.2	2.8	1.07	71	0.36	0.71	21	4.29	0.20	1.07	2.50	-1.43	-1.41	-1.39	Matches
9	Patrick Agyemang	us USA	FW,MF	Derby County	24	2000	37	2,740	74	66.2	30.4	1.09	79	0.33	0.13	31	0.00	1.65	1.55	1.09	0.46	+0.46	+0.85	Matches
10	Ali Ahmed	ca CAN	MF	Norwich City	24	2000	19	1,304	69	31.5	14.5	1.10	77	0.21	0.21	25	0.00	2.00	1.59	0.90	0.69	+0.69	+0.79	Matches
11	Semi Ajayi	ng NGA	DF	Hull City	31	1993	22	1,656	75	40.0	18.4	0.98	88	0.92	0.22	20	0.27	1.63	1.30	1.47	-0.16	-0.16	-0.42	Matches
12	Timothy Akindileni		DF	QPR	17	2007	0					0		0	0		1							Matches
13	Babajide Akintola	ng NGA	MF	Hull City	29	1996	20	510	26	12.3	5.7	0.88	57	0.00	2.63	15	0.88	1.67	1.93	1.58	0.35	+0.35	+0.30	Matches
14	Chuba Akpom	eng ENG	MF,FW	Ipswich Town	29	1995	29	900	31	21.7	10.0	0.70	75	0.10	2.20	17	1.20	1.59	1.70	0.90	0.80	+0.80	+0.11	Matches
15	Yisa Alao		MF	Sheffield Weds			2	63	32	1.5	0.7	1.43	62	0.00	1.43	1	20.0	0.00	0.00	0.00	0.00	0.00	+1.32	Matches
16	Ryan Alebiosu	ng NGA	MF,DF	Blackburn	23	2001	39	3,195	82	77.2	35.5	1.04	85	0.87	0.06	30	0.00	1.18	0.99	1.07	-0.08	-0.08	+0.96	Matches
17	Isak Alemayehu Mulugeta	se SWE	MF	QPR	18	2006	1	11	11	0.3	0.1	0.00		0.00	10.0	11	60.0	0.00	0.00	10.0	-10.00	-8.18	-7.94	Matches
18	Ajibola Alese	eng ENG	DF	Portsmouth	24	2001	1	5	5	0.1	0.1	0.00		0.00	10.0	5	10.0	0.00	0.00	0.00	0.00	0.00	+0.33	Matches
19	Cruz Allen	wls WAL	MF	Derby County	18	2007	3	7	2	0.2	0.1	0.00		0.00	30.0	2	120.0	1.00	0.00	0.00	0.00	0.00	-0.17	Matches
20	Jamie Allen	eng ENG	MF	Coventry City	30	1995	23	586	25	14.2	6.5	0.62	86	0.46	2.92	13	1.38	2.26	2.92	1.23	1.69	+1.69	+0.65	Matches
21	Max Alleyne	eng ENG	DF	Watford	20	2005	16	1,264	79	30.5	14.0	1.00	87	0.79	0.14	25	0.57	1.69	1.43	1.00	0.43	+0.43	+0.99	Matches
22	Millenic Alli	ie IRL	MF	Portsmouth	25	2000	21	1,558	74	37.6	17.3	1.10	81	0.46	0.12	13	0.06	1.29	1.21	1.27	-0.06	-0.06	+0.43	Matches
