Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Birmingham City	32	46.0	89	5	3	536	464	81	1024	351	418			3
Blackburn	37	46.0	98	1	0	485	444	83	941	451	529			3
Bristol City	30	46.0	82	1	1	438	527	93	746	429	433			2
Charlton Athletic	32	46.0	98	1	1	552	428	86	785	369	378			2
Coventry City	27	46.0	69	3	0	444	491	109	1023	333	415			1
Derby County	34	46.0	115	3	3	568	467	69	777	429	428			3
Hull City	34	46.0	117	2	1	526	454	73	827	403	509			1
Ipswich Town	29	46.0	88	0	0	514	596	92	869	367	360			1
Leicester City	34	46.0	84	4	1	495	486	68	777	384	455			2
Middlesbrough	34	46.0	71	1	0	428	557	84	964	334	479			1
Millwall	32	46.0	85	3	0	587	365	99	1056	463	474			3
Norwich City	35	46.0	88	1	0	469	491	89	796	398	480			1
Oxford United	35	46.0	74	1	1	495	490	79	761	491	522			2
Portsmouth	37	46.0	86	2	0	466	517	76	1024	379	393			3
Preston	30	46.0	93	3	0	487	407	78	870	404	460			4
QPR	32	46.0	86	1	1	504	425	83	835	359	437			1
Sheffield United	34	46.0	79	6	1	475	499	92	848	412	455			3
Sheffield Weds	40	46.0	73	3	2	542	435	57	679	454	469			3
Southampton	36	46.0	84	1	0	483	543	82	935	344	426			2
Stoke City	29	46.0	96	5	4	478	441	124	892	357	358			1
Swansea City	29	46.0	90	1	0	454	578	92	762	446	469			4
Watford	36	46.0	96	3	0	504	463	57	847	401	444			1
West Brom	34	46.0	79	3	2	471	467	77	976	386	448			4
Wrexham	29	46.0	73	1	0	446	420	92	925	378	448			3
