Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
39	Tom Barkhuizen	eng ENG	MF,FW	Preston	26	1993	34.4	0.26	1.60	0.73	45.5	1.60	0.73	0.16	0.36	0.00	0.00	Matches
40	Josh Barrett	ie IRL	MF,FW	Reading	21	1998	2.0	0.00	2.50	0.00	0.0	2.49	0.00	0.00		0.00	0.00	Matches
41	Modou Barrow	gm GAM	MF	Reading	26	1992	1.0	0.00	1.00	0.00	0.0	1.00	0.00	0.00		0.00	0.00	Matches
42	Gareth Barry	eng ENG	MF	West Brom	38	1981	1.0	0.00	1.00	0.00	0.0	1.00	0.00	0.00		0.00	0.00	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	28	1991	36.3	0.06	0.52	0.11	21.1	0.52	0.11	0.11	0.50	0.00	0.00	Matches
44	Borja Bastón	es ESP	FW	Swansea City	26	1992	14.0	0.43	2.64	0.86	32.4	2.64	0.86	0.11	0.33	0.14	0.14	Matches
45	Danny Batth	eng ENG	DF	Stoke City	28	1990	41.9	0.10	0.55	0.24	43.5	0.55	0.24	0.17	0.40	0.00	0.00	Matches
46	Daniel Batty	eng ENG	MF	Hull City	21	1997	18.7	0.00	0.80	0.16	20.0	0.80	0.16	0.00	0.00	0.00	0.00	Matches
47	Patrick Bauer	de GER	DF	Preston	26	1992	40.2	0.07	0.75	0.17	23.3	0.75	0.17	0.10	0.43	0.00	0.00	Matches
48	Tom Bayliss	eng ENG	MF	Preston	20	1999	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
49	Mads Bech Sørensen	dk DEN	DF	Brentford	20	1999	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
50	Jérémie Bela	ao ANG	MF	Birmingham City	26	1993	21.8	0.09	2.43	0.73	30.2	2.43	0.73	0.04	0.13	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Amari'i Bell	jm JAM	DF	Blackburn	25	1994	20.1	0.00	0.40	0.05	12.5	0.40	0.05	0.00	0.00	0.00	0.00	Matches
52	Jude Bellingham	eng ENG	MF	Birmingham City	16	2003	29.9	0.13	1.74	0.40	23.1	1.74	0.40	0.08	0.33	0.00	0.00	Matches
53	Yohan Benalouane	tn TUN	DF	Nottingham	32	1987	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
54	Filip Benković	hr CRO	DF	Bristol City	22	1997	7.2	0.28	1.25	0.56	44.4	1.26	0.56	0.22	0.50	0.00	0.00	Matches
55	Elliott Bennett	eng ENG	DF,MF	Blackburn	30	1988	31.1	0.00	0.32	0.13	40.0	0.32	0.13	0.00	0.00	0.00	0.00	Matches
56	Joe Bennett	eng ENG	DF	Cardiff City	29	1990	42.9	0.00	0.42	0.09	22.2	0.42	0.09	0.00	0.00	0.00	0.00	Matches
57	Mason Bennett	eng ENG	MF	Derby County	23	1996	2.0	0.00	2.50	0.50	20.0	2.49	0.50	0.00	0.00	0.00	0.00	Matches
58	Mason Bennett	eng ENG	FW,MF	Millwall	23	1996	4.8	0.42	2.29	0.42	18.2	2.28	0.41	0.18	1.00	0.00	0.00	Matches
59	Saïd Benrahma	dz ALG	FW	Brentford	23	1995	39.4	0.43	4.21	1.62	38.6	4.21	1.62	0.08	0.20	0.10	0.10	Matches
60	Daniel Bentley	eng ENG	GK	Bristol City	26	1993	42.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
61	Gaetano Berardi	ch SUI	DF	Leeds United	30	1988	12.5	0.00	0.24	0.08	33.3	0.24	0.08	0.00	0.00	0.00	0.00	Matches
62	James Berry	eng ENG	MF	Hull City	18	2000	0.1	0.00	10.0	0.00	0.0	11.25	0.00	0.00		0.00	0.00	Matches
63	Luke Berry	eng ENG	MF,FW	Luton Town	27	1992	15.1	0.07	1.26	0.13	10.5	1.26	0.13	0.05	0.50	0.00	0.00	Matches
64	Faysal Bettache	eng ENG	MF	QPR	19	2000	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
65	Marcus Bettinelli	eng ENG	GK	Fulham	27	1992	13.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
66	Bartosz Białkowski	pl POL	GK	Millwall	32	1987	45.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
67	Jake Bidwell	eng ENG	DF,MF	Swansea City	26	1993	36.2	0.00	0.22	0.00	0.0	0.22	0.00	0.00		0.00	0.00	Matches
68	Krystian Bielik	pl POL	MF,DF	Derby County	21	1998	16.5	0.00	0.42	0.06	14.3	0.42	0.06	0.00	0.00	0.00	0.00	Matches
69	Mame Biram Diouf	sn SEN	FW,MF	Stoke City	31	1987	1.0	1.00	5.00	3.00	60.0	4.84	2.90	0.20	0.33	0.00	0.00	Matches
70	Max Bird	eng ENG	MF	Derby County	18	2000	21.2	0.00	0.47	0.19	40.0	0.47	0.19	0.00	0.00	0.00	0.00	Matches
71	Tyler Blackett	eng ENG	DF	Reading	25	1994	15.4	0.00	0.19	0.00	0.0	0.19	0.00	0.00		0.00	0.00	Matches
72	Billy Bodin	wls WAL	MF	Preston	27	1992	10.4	0.19	2.69	0.87	32.1	2.69	0.87	0.07	0.22	0.00	0.00	Matches
73	Jayden Bogle	eng ENG	DF	Derby County	19	2000	32.2	0.03	0.50	0.12	25.0	0.50	0.12	0.06	0.25	0.00	0.00	Matches
74	Omar Bogle	eng ENG	FW	Cardiff City	26	1993	3.6	0.28	4.17	1.39	33.3	4.15	1.38	0.07	0.20	0.00	0.00	Matches
75	Mateusz Bogusz	pl POL	FW,MF	Leeds United	17	2001	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Marc Bola	eng ENG	DF,MF	Middlesbrough	21	1997	5.7	0.00	0.18	0.00	0.0	0.17	0.00	0.00		0.00	0.00	Matches
77	Luke Bolton	eng ENG	DF,MF	Luton Town	19	1999	12.2	0.00	0.16	0.00	0.0	0.16	0.00	0.00		0.00	0.00	Matches
78	Gaëtan Bong	cm CMR	DF	Nottingham	31	1988	0.6	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
79	Macauley Bonne	zw ZIM	FW	Charlton Athletic	23	1995	26.1	0.42	1.92	0.88	46.0	1.92	0.88	0.22	0.48	0.00	0.00	Matches
80	Julian Börner	de GER	DF	Sheffield Weds	28	1991	34.1	0.03	0.67	0.09	13.0	0.67	0.09	0.04	0.33	0.00	0.00	Matches
81	John Bostock	tt TRI	MF	Nottingham	27	1992	1.8	0.00	2.22	1.11	50.0	2.21	1.10	0.00	0.00	0.00	0.00	Matches
82	Jarrod Bowen	eng ENG	MF,FW	Hull City	22	1996	29.0	0.55	3.48	1.38	39.6	3.48	1.38	0.16	0.40	0.00	0.03	Matches
83	Josh Bowler	eng ENG	MF	Hull City	20	1999	11.6	0.09	1.98	0.69	34.8	1.98	0.69	0.04	0.13	0.00	0.00	Matches
84	Caolan Boyd-Munce	nir NIR	MF	Birmingham City	19	2000	0.8	0.00	1.25	0.00	0.0	1.27	0.00	0.00		0.00	0.00	Matches
85	Lucas Boyé	ar ARG	FW,MF	Reading	23	1996	6.5	0.00	2.62	0.46	17.6	2.62	0.46	0.00	0.00	0.00	0.00	Matches
86	Sonny Bradley	eng ENG	DF	Luton Town	27	1991	39.1	0.08	0.56	0.18	31.8	0.56	0.18	0.14	0.43	0.00	0.00	Matches
87	Tom Bradshaw	wls WAL	FW	Millwall	27	1992	29.6	0.27	1.99	0.74	37.3	2.00	0.74	0.14	0.36	0.00	0.00	Matches
88	James Bree	eng ENG	DF	Luton Town	21	1997	33.8	0.00	0.30	0.12	40.0	0.30	0.12	0.00	0.00	0.00	0.00	Matches
89	Ben Brereton	cl CHI	FW	Blackburn	20	1999	6.6	0.15	2.12	0.45	21.4	2.12	0.46	0.07	0.33	0.00	0.00	Matches
90	Rhian Brewster	eng ENG	FW	Swansea City	19	2000	18.5	0.54	2.59	1.14	43.8	2.60	1.14	0.21	0.48	0.00	0.00	Matches
91	Izzy Brown	eng ENG	FW,MF	Luton Town	22	1997	16.2	0.06	1.30	0.12	9.5	1.30	0.12	0.05	0.50	0.00	0.00	Matches
92	Jacob Brown	sct SCO	FW,MF	Barnsley	21	1998	37.1	0.08	2.10	0.65	30.8	2.10	0.65	0.04	0.13	0.00	0.00	Matches
93	Jaden Brown	eng ENG	DF	Huddersfield	20	1999	11.4	0.00	0.26	0.09	33.3	0.26	0.09	0.00	0.00	0.00	0.00	Matches
94	James Brown	mt MLT	DF	Millwall	21	1998	0.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
95	Jordan Brown	eng ENG	DF,MF	Derby County	18	2001	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
96	Alan Browne	ie IRL	MF,DF	Preston	24	1995	35.6	0.11	1.52	0.25	16.7	1.52	0.25	0.07	0.44	0.00	0.00	Matches
97	Marcus Browne	eng ENG	FW	Middlesbrough	21	1997	4.7	0.00	0.64	0.21	33.3	0.64	0.21	0.00	0.00	0.00	0.00	Matches
98	Josh Brownhill	eng ENG	MF	Bristol City	23	1995	27.3	0.18	1.10	0.48	43.3	1.10	0.48	0.17	0.38	0.00	0.00	Matches
99	Chris Brunt	nir NIR	DF,MF	West Brom	34	1984	0.9	0.00	2.22	0.00	0.0	2.22	0.00	0.00		0.00	0.00	Matches
100	Joe Bryan	eng ENG	DF	Fulham	25	1993	37.9	0.03	1.00	0.29	28.9	1.00	0.29	0.03	0.09	0.00	0.00	Matches
