Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Barnsley	32	46.0	48	637	182	28.6	13.85	3.96	0.07	0.25	2	2
Birmingham City	32	46.0	51	580	161	27.8	12.61	3.50	0.09	0.31	1	3
Blackburn	27	46.0	62	524	172	32.8	11.39	3.74	0.11	0.34	4	5
Brentford	29	46.0	78	659	217	32.9	14.33	4.72	0.11	0.34	5	6
Bristol City	32	46.0	57	463	150	32.4	10.07	3.26	0.12	0.37	2	3
Cardiff City	29	46.0	66	575	180	31.3	12.50	3.91	0.11	0.35	3	4
Charlton Athletic	33	46.0	50	423	143	33.8	9.20	3.11	0.11	0.31	5	5
Derby County	31	46.0	61	504	169	33.5	10.96	3.67	0.11	0.32	7	9
Fulham	28	46.0	63	616	204	33.1	13.39	4.43	0.10	0.29	4	5
Huddersfield	39	46.0	51	474	153	32.3	10.30	3.33	0.09	0.29	7	8
Hull City	33	46.0	56	555	158	28.5	12.07	3.43	0.10	0.35	1	2
Leeds United	28	46.0	69	750	239	31.9	16.30	5.20	0.09	0.27	4	6
Luton Town	28	46.0	49	421	120	28.5	9.15	2.61	0.10	0.36	6	7
Middlesbrough	30	46.0	47	565	150	26.5	12.28	3.26	0.08	0.29	4	6
Millwall	26	46.0	57	524	171	32.6	11.39	3.72	0.10	0.30	5	6
Nottingham	30	46.0	57	585	141	24.1	12.72	3.07	0.09	0.38	4	5
Preston	26	46.0	59	531	151	28.4	11.54	3.28	0.09	0.32	10	11
QPR	29	46.0	66	548	183	33.4	11.91	3.98	0.11	0.34	4	4
Reading	31	46.0	58	538	164	30.5	11.70	3.57	0.09	0.31	7	8
Sheffield Weds	29	46.0	57	600	180	30.0	13.04	3.91	0.08	0.28	7	7
Stoke City	35	46.0	59	547	166	30.3	11.89	3.61	0.10	0.34	3	3
Swansea City	29	46.0	61	571	177	31.0	12.41	3.85	0.09	0.31	7	7
West Brom	25	46.0	74	669	215	32.1	14.54	4.67	0.10	0.31	7	7
Wigan Athletic	30	46.0	53	534	181	33.9	11.61	3.93	0.10	0.28	2	4
