Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Charlie Adam	sct SCO	MF	Reading	33	1985	21	8	782	8.7	0.23	0.11	0.34	0.11	0.11	0.11	0.46	0.00	0.23	0.12	0.35	0.12	0.23	Matches
2	Tosin Adarabioyo	eng ENG	DF	Blackburn	21	1997	34	33	2,966	33.0	0.09	0.03	0.12	0.09	0.00	0.00	0.00	0.00	0.09	0.03	0.12	0.09	0.12	Matches
3	Albert Adomah	gh GHA	MF,FW	Cardiff City	31	1987	9	9	733	8.1	0.00	0.25	0.25	0.00	0.00	0.00	0.25	0.00	0.00	0.25	0.25	0.00	0.25	Matches
4	Albert Adomah	gh GHA	MF	Nottingham	31	1987	24	5	612	6.8	0.29	0.15	0.44	0.29	0.00	0.00	0.29	0.00	0.29	0.15	0.44	0.29	0.44	Matches
5	Benik Afobe	cd COD	FW	Bristol City	26	1993	12	8	739	8.2	0.37	0.00	0.37	0.24	0.12	0.12	0.00	0.00	0.37	0.00	0.37	0.24	0.24	Matches
6	Benik Afobe	cd COD	FW	Stoke City	26	1993	1	1	70	0.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
7	Semi Ajayi	ng NGA	DF	West Brom	25	1993	43	42	3,783	42.0	0.12	0.00	0.12	0.12	0.00	0.00	0.12	0.00	0.12	0.00	0.12	0.12	0.12	Matches
8	Ezgjan Alioski	mk MKD	DF,MF	Leeds United	27	1992	39	21	2,262	25.1	0.20	0.12	0.32	0.20	0.00	0.00	0.32	0.00	0.20	0.12	0.32	0.20	0.32	Matches
9	Joe Allen	wls WAL	MF	Stoke City	29	1990	35	34	2,938	32.6	0.12	0.06	0.18	0.12	0.00	0.00	0.15	0.03	0.12	0.06	0.18	0.12	0.18	Matches
10	Sone Aluko	ng NGA	FW,MF	Reading	30	1989	2	0	41	0.5	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
11	Sammy Ameobi	eng ENG	MF,FW	Nottingham	27	1992	45	37	3,095	34.4	0.15	0.20	0.35	0.15	0.00	0.00	0.20	0.00	0.15	0.20	0.35	0.15	0.35	Matches
12	Luke Amos	eng ENG	MF	QPR	22	1997	34	26	2,111	23.5	0.09	0.00	0.09	0.09	0.00	0.00	0.21	0.00	0.09	0.00	0.09	0.09	0.09	Matches
13	Chuks Aneke	eng ENG	FW	Charlton Athletic	26	1993	20	2	589	6.5	0.15	0.15	0.31	0.15	0.00	0.00	0.31	0.00	0.15	0.15	0.31	0.15	0.31	Matches
14	Felipe Araruna	br BRA	MF	Reading	23	1996	3	2	163	1.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
15	Adam Armstrong	eng ENG	MF,FW	Blackburn	22	1997	46	40	3,471	38.6	0.41	0.16	0.57	0.36	0.05	0.05	0.00	0.00	0.41	0.16	0.57	0.36	0.52	Matches
16	Harry Arter	ie IRL	MF	Fulham	29	1989	28	21	1,724	19.2	0.10	0.05	0.16	0.10	0.00	0.00	0.36	0.05	0.10	0.05	0.16	0.10	0.16	Matches
