Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
17	Britt Assombalonga	cd COD	FW	Middlesbrough	26	1992	35	27	2,511	27.9	0.39	0.07	0.47	0.36	0.04	0.07	0.07	0.00	0.39	0.07	0.47	0.36	0.43	Matches
18	Jean-Kévin Augustin	fr FRA	FW	Leeds United	22	1997	3	0	51	0.6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
19	Charlie Austin	eng ENG	FW	West Brom	30	1989	34	18	1,508	16.8	0.60	0.12	0.71	0.36	0.24	0.24	0.30	0.00	0.60	0.12	0.72	0.36	0.48	Matches
20	Daniel Ayala	es ESP	DF	Middlesbrough	28	1990	25	23	2,081	23.1	0.09	0.00	0.09	0.09	0.00	0.00	0.17	0.00	0.09	0.00	0.09	0.09	0.09	Matches
21	André Ayew	gh GHA	MF,FW	Swansea City	29	1989	44	43	3,905	43.4	0.35	0.16	0.51	0.23	0.12	0.12	0.07	0.00	0.35	0.16	0.51	0.23	0.39	Matches
22	Floyd Ayité	tg TOG	FW,MF	Fulham	30	1988	1	0	17	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
23	Luke Ayling	eng ENG	DF	Leeds United	27	1991	37	35	3,176	35.3	0.11	0.11	0.23	0.11	0.00	0.00	0.25	0.00	0.11	0.11	0.23	0.11	0.23	Matches
24	Juninho Bacuna	cw CUW	MF,DF	Huddersfield	21	1997	38	25	2,326	25.8	0.23	0.16	0.39	0.23	0.00	0.00	0.27	0.04	0.23	0.15	0.39	0.23	0.39	Matches
25	Leandro Bacuna	cw CUW	MF,DF	Cardiff City	27	1991	41	35	3,151	35.0	0.03	0.06	0.09	0.03	0.00	0.00	0.14	0.00	0.03	0.06	0.09	0.03	0.09	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Mike-Steven Bähre	de GER	MF	Barnsley	23	1995	26	20	1,617	18.0	0.06	0.17	0.22	0.06	0.00	0.00	0.17	0.00	0.06	0.17	0.22	0.06	0.22	Matches
27	Odin Bailey	eng ENG	FW,MF	Birmingham City	19	1999	6	0	90	1.0	1.00	0.00	1.00	1.00	0.00	0.00	1.00	0.00	1.00	0.00	1.00	1.00	1.00	Matches
28	Geraldo Bajrami	al ALB	DF	Birmingham City	19	1999	2	2	180	2.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
29	Nathan Baker	eng ENG	DF	Bristol City	28	1991	34	33	2,678	29.8	0.03	0.00	0.03	0.03	0.00	0.00	0.10	0.00	0.03	0.00	0.03	0.03	0.03	Matches
30	Sam Baldock	eng ENG	FW	Reading	30	1989	24	12	1,105	12.3	0.41	0.08	0.49	0.33	0.08	0.08	0.16	0.00	0.41	0.08	0.49	0.33	0.41	Matches
31	Dominic Ball	eng ENG	MF	QPR	23	1995	31	30	2,442	27.1	0.04	0.07	0.11	0.04	0.00	0.00	0.15	0.00	0.04	0.07	0.11	0.04	0.11	Matches
32	Norbert Balogh	hu HUN	FW	Hull City	23	1996	3	0	60	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
33	Leon Balogun	ng NGA	DF	Wigan Athletic	31	1988	11	10	806	9.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
34	Sol Bamba	ci CIV	DF	Cardiff City	34	1985	6	1	104	1.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
35	Patrick Bamford	eng ENG	FW	Leeds United	25	1993	45	43	3,445	38.3	0.42	0.05	0.47	0.37	0.05	0.08	0.10	0.00	0.42	0.05	0.47	0.37	0.42	Matches
36	Barry Bannan	sct SCO	MF	Sheffield Weds	29	1989	44	42	3,848	42.8	0.05	0.19	0.23	0.02	0.02	0.02	0.19	0.00	0.05	0.19	0.23	0.02	0.21	Matches
37	Shandon Baptiste	gd GRN	MF	Brentford	21	1998	12	3	335	3.7	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	Matches
38	Yoann Barbet	fr FRA	DF	QPR	26	1993	27	27	2,421	26.9	0.00	0.07	0.07	0.00	0.00	0.00	0.19	0.04	0.00	0.07	0.07	0.00	0.07	Matches
39	Tom Barkhuizen	eng ENG	MF,FW	Preston	26	1993	44	35	3,093	34.4	0.26	0.15	0.41	0.26	0.00	0.00	0.06	0.00	0.26	0.15	0.41	0.26	0.41	Matches
40	Josh Barrett	ie IRL	MF,FW	Reading	21	1998	5	2	181	2.0	0.00	0.50	0.50	0.00	0.00	0.00	0.00	0.00	0.00	0.50	0.50	0.00	0.50	Matches
41	Modou Barrow	gm GAM	MF	Reading	26	1992	1	1	90	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
42	Gareth Barry	eng ENG	MF	West Brom	38	1981	3	1	90	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	28	1991	38	37	3,265	36.3	0.06	0.06	0.11	0.06	0.00	0.00	0.19	0.00	0.06	0.06	0.11	0.06	0.11	Matches
44	Borja Bastón	es ESP	FW	Swansea City	26	1992	20	15	1,262	14.0	0.43	0.00	0.43	0.29	0.14	0.14	0.21	0.00	0.43	0.00	0.43	0.29	0.29	Matches
45	Danny Batth	eng ENG	DF	Stoke City	28	1990	43	40	3,775	41.9	0.10	0.02	0.12	0.10	0.00	0.00	0.07	0.00	0.10	0.02	0.12	0.10	0.12	Matches
46	Daniel Batty	eng ENG	MF	Hull City	21	1997	30	19	1,686	18.7	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	Matches
47	Patrick Bauer	de GER	DF	Preston	26	1992	41	41	3,616	40.2	0.07	0.00	0.07	0.07	0.00	0.00	0.05	0.00	0.07	0.00	0.07	0.07	0.07	Matches
48	Tom Bayliss	eng ENG	MF	Preston	20	1999	1	0	16	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
49	Mads Bech Sørensen	dk DEN	DF	Brentford	20	1999	1	0	29	0.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
50	Jérémie Bela	ao ANG	MF	Birmingham City	26	1993	30	22	1,965	21.8	0.09	0.32	0.41	0.09	0.00	0.00	0.00	0.00	0.09	0.32	0.41	0.09	0.41	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Amari'i Bell	jm JAM	DF	Blackburn	25	1994	21	19	1,809	20.1	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	Matches
52	Jude Bellingham	eng ENG	MF	Birmingham City	16	2003	41	32	2,694	29.9	0.13	0.07	0.20	0.13	0.00	0.00	0.23	0.00	0.13	0.07	0.20	0.13	0.20	Matches
53	Yohan Benalouane	tn TUN	DF	Nottingham	32	1987	1	0	6	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
54	Filip Benković	hr CRO	DF	Bristol City	22	1997	10	6	644	7.2	0.28	0.00	0.28	0.28	0.00	0.00	0.42	0.00	0.28	0.00	0.28	0.28	0.28	Matches
55	Elliott Bennett	eng ENG	DF,MF	Blackburn	30	1988	41	29	2,797	31.1	0.00	0.13	0.13	0.00	0.00	0.00	0.26	0.00	0.00	0.13	0.13	0.00	0.13	Matches
56	Joe Bennett	eng ENG	DF	Cardiff City	29	1990	44	44	3,860	42.9	0.00	0.12	0.12	0.00	0.00	0.00	0.12	0.00	0.00	0.12	0.12	0.00	0.12	Matches
57	Mason Bennett	eng ENG	MF	Derby County	23	1996	7	2	181	2.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
58	Mason Bennett	eng ENG	FW,MF	Millwall	23	1996	9	7	434	4.8	0.42	0.00	0.42	0.42	0.00	0.00	0.21	0.00	0.41	0.00	0.41	0.41	0.41	Matches
59	Saïd Benrahma	dz ALG	FW	Brentford	23	1995	43	39	3,545	39.4	0.43	0.20	0.63	0.33	0.10	0.10	0.13	0.00	0.43	0.20	0.63	0.33	0.53	Matches
60	Daniel Bentley	eng ENG	GK	Bristol City	26	1993	43	42	3,843	42.7	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Matches
61	Gaetano Berardi	ch SUI	DF	Leeds United	30	1988	22	13	1,127	12.5	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.08	0.00	0.00	0.00	0.00	0.00	Matches
62	James Berry	eng ENG	MF	Hull City	18	2000	1	0	8	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
63	Luke Berry	eng ENG	MF,FW	Luton Town	27	1992	21	15	1,358	15.1	0.07	0.07	0.13	0.07	0.00	0.00	0.33	0.00	0.07	0.07	0.13	0.07	0.13	Matches
64	Faysal Bettache	eng ENG	MF	QPR	19	2000	3	0	26	0.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
65	Marcus Bettinelli	eng ENG	GK	Fulham	27	1992	14	13	1,242	13.8	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	Matches
66	Bartosz Białkowski	pl POL	GK	Millwall	32	1987	46	45	4,098	45.5	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Matches
67	Jake Bidwell	eng ENG	DF,MF	Swansea City	26	1993	37	36	3,260	36.2	0.00	0.08	0.08	0.00	0.00	0.00	0.08	0.03	0.00	0.08	0.08	0.00	0.08	Matches
68	Krystian Bielik	pl POL	MF,DF	Derby County	21	1998	20	19	1,487	16.5	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.06	0.00	0.00	0.00	0.00	0.00	Matches
69	Mame Biram Diouf	sn SEN	FW,MF	Stoke City	31	1987	8	0	93	1.0	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.97	0.00	0.97	0.97	0.97	Matches
70	Max Bird	eng ENG	MF	Derby County	18	2000	22	21	1,905	21.2	0.00	0.09	0.09	0.00	0.00	0.00	0.05	0.00	0.00	0.09	0.09	0.00	0.09	Matches
71	Tyler Blackett	eng ENG	DF	Reading	25	1994	20	16	1,386	15.4	0.00	0.19	0.19	0.00	0.00	0.00	0.19	0.00	0.00	0.19	0.19	0.00	0.19	Matches
72	Billy Bodin	wls WAL	MF	Preston	27	1992	18	11	936	10.4	0.19	0.00	0.19	0.19	0.00	0.00	0.10	0.00	0.19	0.00	0.19	0.19	0.19	Matches
73	Jayden Bogle	eng ENG	DF	Derby County	19	2000	37	33	2,900	32.2	0.03	0.16	0.19	0.03	0.00	0.00	0.22	0.00	0.03	0.16	0.19	0.03	0.19	Matches
74	Omar Bogle	eng ENG	FW	Cardiff City	26	1993	11	2	325	3.6	0.28	0.00	0.28	0.28	0.00	0.00	0.28	0.00	0.28	0.00	0.28	0.28	0.28	Matches
75	Mateusz Bogusz	pl POL	FW,MF	Leeds United	17	2001	1	0	18	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Marc Bola	eng ENG	DF,MF	Middlesbrough	21	1997	7	6	517	5.7	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	Matches
77	Luke Bolton	eng ENG	DF,MF	Luton Town	19	1999	24	10	1,094	12.2	0.00	0.16	0.16	0.00	0.00	0.00	0.08	0.00	0.00	0.16	0.16	0.00	0.16	Matches
78	Gaëtan Bong	cm CMR	DF	Nottingham	31	1988	1	1	58	0.6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
79	Macauley Bonne	zw ZIM	FW	Charlton Athletic	23	1995	33	26	2,349	26.1	0.42	0.08	0.50	0.42	0.00	0.00	0.19	0.00	0.42	0.08	0.50	0.42	0.50	Matches
80	Julian Börner	de GER	DF	Sheffield Weds	28	1991	37	34	3,072	34.1	0.03	0.00	0.03	0.03	0.00	0.00	0.21	0.00	0.03	0.00	0.03	0.03	0.03	Matches
81	John Bostock	tt TRI	MF	Nottingham	27	1992	7	1	163	1.8	0.00	0.56	0.56	0.00	0.00	0.00	0.56	0.00	0.00	0.55	0.55	0.00	0.55	Matches
82	Jarrod Bowen	eng ENG	MF,FW	Hull City	22	1996	29	29	2,610	29.0	0.55	0.21	0.76	0.55	0.00	0.03	0.17	0.00	0.55	0.21	0.76	0.55	0.76	Matches
83	Josh Bowler	eng ENG	MF	Hull City	20	1999	28	11	1,048	11.6	0.09	0.00	0.09	0.09	0.00	0.00	0.26	0.00	0.09	0.00	0.09	0.09	0.09	Matches
84	Caolan Boyd-Munce	nir NIR	MF	Birmingham City	19	2000	6	0	71	0.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
85	Lucas Boyé	ar ARG	FW,MF	Reading	23	1996	19	5	584	6.5	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.00	Matches
86	Sonny Bradley	eng ENG	DF	Luton Town	27	1991	40	39	3,517	39.1	0.08	0.00	0.08	0.08	0.00	0.00	0.05	0.00	0.08	0.00	0.08	0.08	0.08	Matches
87	Tom Bradshaw	wls WAL	FW	Millwall	27	1992	45	29	2,661	29.6	0.27	0.03	0.30	0.27	0.00	0.00	0.03	0.00	0.27	0.03	0.30	0.27	0.30	Matches
88	James Bree	eng ENG	DF	Luton Town	21	1997	39	34	3,038	33.8	0.00	0.15	0.15	0.00	0.00	0.00	0.06	0.00	0.00	0.15	0.15	0.00	0.15	Matches
89	Ben Brereton	cl CHI	FW	Blackburn	20	1999	15	7	593	6.6	0.15	0.00	0.15	0.15	0.00	0.00	0.00	0.15	0.15	0.00	0.15	0.15	0.15	Matches
90	Rhian Brewster	eng ENG	FW	Swansea City	19	2000	20	19	1,664	18.5	0.54	0.00	0.54	0.54	0.00	0.00	0.32	0.00	0.54	0.00	0.54	0.54	0.54	Matches
91	Izzy Brown	eng ENG	FW,MF	Luton Town	22	1997	25	17	1,455	16.2	0.06	0.43	0.49	0.06	0.00	0.00	0.31	0.00	0.06	0.43	0.49	0.06	0.49	Matches
92	Jacob Brown	sct SCO	FW,MF	Barnsley	21	1998	40	39	3,335	37.1	0.08	0.24	0.32	0.08	0.00	0.00	0.11	0.00	0.08	0.24	0.32	0.08	0.32	Matches
93	Jaden Brown	eng ENG	DF	Huddersfield	20	1999	15	12	1,025	11.4	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	Matches
94	James Brown	mt MLT	DF	Millwall	21	1998	1	1	60	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
95	Jordan Brown	eng ENG	DF,MF	Derby County	18	2001	1	0	7	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
96	Alan Browne	ie IRL	MF,DF	Preston	24	1995	43	35	3,203	35.6	0.11	0.06	0.17	0.11	0.00	0.00	0.08	0.00	0.11	0.06	0.17	0.11	0.17	Matches
97	Marcus Browne	eng ENG	FW	Middlesbrough	21	1997	13	5	422	4.7	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.21	0.00	0.00	0.00	0.00	0.00	Matches
98	Josh Brownhill	eng ENG	MF	Bristol City	23	1995	28	28	2,459	27.3	0.18	0.07	0.26	0.18	0.00	0.00	0.15	0.00	0.18	0.07	0.26	0.18	0.26	Matches
99	Chris Brunt	nir NIR	DF,MF	West Brom	34	1984	7	0	81	0.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
100	Joe Bryan	eng ENG	DF	Fulham	25	1993	43	39	3,412	37.9	0.03	0.18	0.21	0.03	0.00	0.00	0.16	0.00	0.03	0.18	0.21	0.03	0.21	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Lee Buchanan	eng ENG	DF	Derby County	18	2001	5	3	278	3.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
102	John Buckley	eng ENG	MF,DF	Blackburn	19	1999	20	5	612	6.8	0.29	0.00	0.29	0.29	0.00	0.00	0.44	0.15	0.29	0.00	0.29	0.29	0.29	Matches
103	Tyler Burey	eng ENG	FW	Millwall	17	2001	1	0	11	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
104	Oliver Burke	sct SCO	FW,MF	West Brom	22	1997	2	0	39	0.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
105	Reece Burke	eng ENG	DF	Hull City	22	1996	36	36	3,188	35.4	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.00	Matches
106	Ryan Burke	ie IRL	DF	Birmingham City	18	2000	1	0	19	0.2	0.00	0.00	0.00	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
107	Jack Butland	eng ENG	GK	Stoke City	26	1993	35	35	3,150	35.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
108	Jacob Butterfield	eng ENG	MF	Luton Town	29	1990	15	11	855	9.5	0.11	0.00	0.11	0.11	0.00	0.00	0.21	0.00	0.11	0.00	0.11	0.11	0.11	Matches
109	George Byers	sct SCO	MF	Swansea City	23	1996	35	22	2,086	23.2	0.09	0.00	0.09	0.09	0.00	0.00	0.30	0.00	0.09	0.00	0.09	0.09	0.09	Matches
110	Nathan Byrne	eng ENG	DF	Wigan Athletic	27	1992	39	39	3,491	38.8	0.03	0.15	0.18	0.03	0.00	0.00	0.21	0.00	0.03	0.15	0.18	0.03	0.18	Matches
111	Ben Cabango	wls WAL	DF	Swansea City	19	2000	21	19	1,769	19.7	0.05	0.00	0.05	0.05	0.00	0.00	0.10	0.00	0.05	0.00	0.05	0.05	0.05	Matches
112	Rafael Cabral	br BRA	GK	Reading	29	1990	44	44	3,960	44.0	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	Matches
113	Tom Cairney	sct SCO	MF	Fulham	28	1991	39	38	3,263	36.3	0.22	0.08	0.30	0.22	0.00	0.00	0.14	0.00	0.22	0.08	0.30	0.22	0.30	Matches
114	Geoff Cameron	us USA	MF,DF	QPR	34	1985	36	36	3,051	33.9	0.03	0.03	0.06	0.03	0.00	0.00	0.35	0.03	0.03	0.03	0.06	0.03	0.06	Matches
115	Lee Camp	nir NIR	GK	Birmingham City	34	1984	36	36	3,240	36.0	0.00	0.03	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.03	0.00	0.03	Matches
116	Fraizer Campbell	eng ENG	FW	Huddersfield	31	1987	33	21	1,559	17.3	0.17	0.12	0.29	0.17	0.00	0.00	0.46	0.00	0.17	0.12	0.29	0.17	0.29	Matches
117	Tyrese Campbell	eng ENG	FW,MF	Stoke City	19	1999	33	18	1,618	18.0	0.50	0.11	0.61	0.44	0.06	0.06	0.11	0.00	0.50	0.11	0.61	0.44	0.56	Matches
118	Sergi Canós	es ESP	FW,MF	Brentford	22	1997	13	11	990	11.0	0.00	0.27	0.27	0.00	0.00	0.00	0.27	0.00	0.00	0.27	0.27	0.00	0.27	Matches
119	Tom Carroll	eng ENG	MF	Swansea City	27	1992	8	5	390	4.3	0.00	0.00	0.00	0.00	0.00	0.00	0.70	0.23	0.00	0.00	0.00	0.00	0.00	Matches
120	Hayden Carter	eng ENG	DF	Blackburn	19	1999	2	2	180	2.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
121	Cameron Carter-Vickers	us USA	DF	Stoke City	21	1997	12	12	998	11.1	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	Matches
122	Cameron Carter-Vickers	us USA	DF	Luton Town	21	1997	16	15	1,368	15.2	0.00	0.07	0.07	0.00	0.00	0.00	0.13	0.00	0.00	0.07	0.07	0.00	0.07	Matches
123	João Carvalho	pt POR	MF	Nottingham	22	1997	23	9	863	9.6	0.10	0.10	0.21	0.10	0.00	0.00	0.10	0.00	0.10	0.10	0.21	0.10	0.21	Matches
124	Oliver Casey	eng ENG	DF	Leeds United	18	2000	1	0	6	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
125	Matty Cash	pl POL	DF	Nottingham	21	1997	42	40	3,615	40.2	0.07	0.12	0.20	0.07	0.00	0.00	0.17	0.00	0.07	0.12	0.20	0.07	0.20	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Kiko Casilla	es ESP	GK	Leeds United	32	1986	36	36	3,240	36.0	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	Matches
127	Ivan Cavaleiro	pt POR	FW,MF	Fulham	25	1993	43	36	3,025	33.6	0.18	0.21	0.39	0.18	0.00	0.00	0.12	0.00	0.18	0.21	0.39	0.18	0.39	Matches
128	Dimitri Cavaré	fr FRA	DF,MF	Barnsley	24	1995	11	11	950	10.6	0.00	0.09	0.09	0.00	0.00	0.00	0.28	0.00	0.00	0.09	0.09	0.00	0.09	Matches
129	Bersant Celina	xk KVX	MF,FW	Swansea City	22	1996	35	28	2,470	27.4	0.07	0.07	0.15	0.07	0.00	0.00	0.07	0.00	0.07	0.07	0.15	0.07	0.15	Matches
130	Ilias Chair	ma MAR	MF,FW	QPR	21	1997	41	26	2,428	27.0	0.15	0.22	0.37	0.15	0.00	0.00	0.11	0.00	0.15	0.22	0.37	0.15	0.37	Matches
131	Trevoh Chalobah	eng ENG	MF,DF	Huddersfield	20	1999	36	30	2,735	30.4	0.03	0.03	0.07	0.03	0.00	0.00	0.23	0.03	0.03	0.03	0.07	0.03	0.07	Matches
132	Conor Chaplin	eng ENG	FW,MF	Barnsley	22	1997	44	36	3,302	36.7	0.30	0.11	0.41	0.30	0.00	0.00	0.14	0.00	0.30	0.11	0.41	0.30	0.41	Matches
133	Harry Chapman	eng ENG	FW,MF	Blackburn	21	1997	5	0	83	0.9	0.00	1.11	1.11	0.00	0.00	0.00	1.11	0.00	0.00	1.08	1.08	0.00	1.08	Matches
134	Chema	es ESP	DF	Nottingham	27	1992	8	7	620	6.9	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	Matches
135	James Chester	wls WAL	DF	Stoke City	30	1989	16	13	1,237	13.7	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.07	0.00	0.07	Matches
