Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Blackburn	33	46.0	101	4	3	586	507	95	775	381	520	3	4	0
Bristol City	24	46.0	77	3	1	470	497	77	858	355	487	3	2	0
Burnley	38	46.0	84	3	1	530	531	65	773	336	420	3	2	0
Cardiff City	33	46.0	79	4	0	542	485	94	885	371	512	2	4	4
Coventry City	26	46.0	75	1	0	504	463	82	1015	355	427	3	1	3
Derby County	33	46.0	90	0	0	555	418	81	916	440	532	2	3	1
Hull City	37	46.0	77	3	2	543	471	91	864	314	458	5	6	2
Leeds United	28	46.0	70	0	0	472	557	104	926	345	411	4	4	4
Luton Town	37	46.0	90	7	4	577	525	91	972	353	454	1	3	1
Middlesbrough	33	46.0	69	2	2	432	540	99	716	334	478	7	0	3
Millwall	34	46.0	75	1	0	597	519	99	838	441	587	3	3	4
Norwich City	35	46.0	86	2	1	543	486	87	754	335	482	1	7	2
Oxford United	34	46.0	81	0	0	477	482	78	595	413	445	0	4	2
Plymouth Argyle	34	46.0	85	6	2	541	506	83	586	375	532	2	4	2
Portsmouth	37	46.0	113	1	0	554	538	79	994	434	392	6	4	5
Preston	28	46.0	119	5	3	583	515	89	733	371	489	2	7	1
QPR	30	46.0	95	3	1	500	548	84	761	354	462	1	3	3
Sheffield United	33	46.0	96	2	1	512	505	69	686	364	491	5	5	1
Sheffield Weds	28	46.0	87	2	1	558	518	81	969	410	451	4	6	0
Stoke City	32	46.0	107	0	0	540	427	99	720	369	442	6	5	5
Sunderland	30	46.0	101	4	1	493	571	79	813	358	456	5	5	5
Swansea City	26	46.0	71	1	0	483	583	97	993	353	458	1	4	3
Watford	32	46.0	103	6	3	564	487	81	767	369	481	5	1	1
West Brom	30	46.0	79	4	1	427	552	76	867	327	413	1	1	3
