Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%	Matches
1	Jak Alnwick	eng ENG	GK	Cardiff City	31	1993	29	29	2,610	29.0	1.55	1.55	4.38	2.83	64.6	0.24	0.38	0.38	0.17	17.2	0.14	0.10	0.03	0.00	25.0	Matches
2	Jordan Archer	sct SCO	GK	Portsmouth	31	1993	2	1	150	1.7	1.18	1.20	6.47	5.29	81.8	0.00	0.00	0.59	0.00	0.0	0.00	0.00	0.00	0.00		Matches
3	Daniel Bachmann	at AUT	GK	Watford	30	1994	22	22	1,902	21.1	1.33	1.32	4.17	2.84	68.2	0.43	0.19	0.43	0.24	22.7	0.05	0.00	0.05	0.00	100.0	Matches
4	James Beadle	eng ENG	GK	Sheffield Weds	20	2004	38	38	3,420	38.0	1.55	1.55	3.58	2.13	56.6	0.37	0.24	0.39	0.24	23.7	0.13	0.11	0.03	0.00	20.0	Matches
5	Jonathan Bond	eng ENG	GK	Watford	31	1993	9	8	798	8.9	1.57	1.58	4.94	3.37	68.2	0.34	0.11	0.45	0.11	12.5	0.00	0.00	0.00	0.00		Matches
6	Solomon Brynn	eng ENG	GK	Middlesbrough	23	2000	6	6	509	5.7	1.58	1.59	4.39	2.81	64.0	0.53	0.35	0.18	0.18	16.7	0.00	0.00	0.00	0.00		Matches
7	Pierce Charles	nir NIR	GK	Sheffield Weds	19	2005	8	8	720	8.0	1.25	1.25	3.63	2.38	65.5	0.13	0.50	0.38	0.00	0.0	0.13	0.00	0.13	0.00	100.0	Matches
8	Bradley Collins	eng ENG	GK	Coventry City	27	1997	15	14	1,313	14.6	1.58	1.58	3.56	1.99	55.8	0.27	0.27	0.41	0.21	21.4	0.00	0.00	0.00	0.00		Matches
9	Michael Cooper	eng ENG	GK	Sheffield United	24	1999	43	43	3,870	43.0	0.77	0.77	3.30	2.53	76.8	0.63	0.14	0.23	0.49	48.8	0.12	0.09	0.02	0.00	20.0	Matches
10	David Cornell	wls WAL	GK	Preston	33	1991	10	9	811	9.0	1.78	1.78	4.00	2.22	55.6	0.00	0.44	0.56	0.11	11.1	0.33	0.33	0.00	0.00	0.0	Matches
