Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
37	Adil Aouchiche	dz ALG	MF	Portsmouth	22	2002	12	683	57	16.5	7.6	1.18	68	0.13	0.39	24	0.26	1.75	1.45	0.92	0.53	+0.53	+0.97	Matches
38	Adil Aouchiche	dz ALG	MF	Sunderland	22	2002	8	296	37	7.1	3.3	0.91	84	0.30	1.52	9	3.33	1.75	1.21	0.91	0.30	+0.30	0.00	Matches
39	Oliver Arblaster	eng ENG	MF	Sheffield United	20	2004	12	978	82	23.6	10.9	1.01	86	0.92	0.09	33	0.00	2.17	1.47	0.64	0.83	+0.83	+0.32	Matches
40	Jordan Archer	sct SCO	GK	Portsmouth	31	1993	2	150	75	3.6	1.7	0.59	90	0.59	0.59	60	21.2	0.00	0.59	1.18	-0.59	-0.60	-0.33	Matches
41	Adam Armstrong	eng ENG	FW,MF	West Brom	27	1997	16	1,008	63	24.3	11.2	1.07	76	0.09	0.36	23	0.00	1.25	0.80	0.98	-0.18	-0.18	-0.52	Matches
42	Harrison Armstrong	eng ENG	MF	Derby County	17	2007	15	1,105	74	26.7	12.3	0.98	88	0.73	0.24	15	0.08	1.53	1.30	0.73	0.57	+0.57	+1.01	Matches
43	Sinclair Armstrong	ie IRL	FW	Bristol City	21	2003	36	1,555	43	37.6	17.3	0.98	63	0.00	1.10	25	0.23	1.35	0.75	1.39	-0.64	-0.64	-1.16	Matches
44	Stuart Armstrong	sct SCO	MF	Sheffield Weds	32	1992	11	536	49	12.9	6.0	1.00	64	0.00	0.83	31	0.00	0.82	0.83	1.33	-0.50	-0.50	-0.35	Matches
45	Stanley Ashbee	ie IRL	DF	Hull City	17	2006	0					0		0	0		1							Matches
46	Harrison Ashby	sct SCO	DF,MF	QPR	22	2001	29	1,583	55	38.2	17.6	0.97	78	0.45	0.68	22	0.63	1.31	1.02	1.14	-0.11	-0.11	+0.17	Matches
47	Cian Ashford	wls WAL	MF,FW	Cardiff City	19	2004	28	1,522	54	36.8	16.9	1.01	78	0.18	0.65	18	0.53	0.93	1.42	1.36	0.06	+0.06	+0.95	Matches
48	Tom Atcheson	nir NIR	DF	Blackburn	17	2006	0					0		0	0		3							Matches
49	Robert Atkinson	eng ENG	DF	Bristol City	26	1998	0					0		0	0		11							Matches
50	Robert Atkinson	eng ENG	DF	Portsmouth	26	1998	14	1,098	78	26.5	12.2	1.07	83	0.74	0.08	22	0.08	1.79	1.56	0.98	0.57	+0.57	+1.17	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
51	Luke Ayling	eng ENG	DF	Middlesbrough	32	1991	26	1,951	75	47.1	21.7	1.06	82	0.74	0.14	18	0.18	1.50	1.61	1.11	0.51	+0.51	+0.63	Matches
52	Finn Azaz	ie IRL	MF	Middlesbrough	23	2000	45	3,544	79	85.6	39.4	1.09	81	0.46	0.05	20	0.00	1.42	1.52	1.12	0.41	+0.41	+1.61	Matches
53	Femi Azeez	ng NGA	MF	Millwall	23	2001	34	1,906	56	46.0	21.2	0.99	78	0.33	0.61	20	0.00	1.29	1.04	1.04	0.00	0.00	+0.08	Matches
54	Abdoullah Ba	fr FRA	MF	Sunderland	21	2003	0					0		0	0		6							Matches
55	Kwadwo Baah	eng ENG	MF,FW	Watford	21	2003	27	1,459	54	35.2	16.2	0.99	72	0.25	0.68	27	0.06	1.41	1.42	1.23	0.19	+0.19	+0.55	Matches
56	Daniel Bachmann	at AUT	GK	Watford	30	1994	22	1,902	86	45.9	21.1	1.04	86	1.00	0.00		0.19	1.41	1.42	1.33	0.09	+0.09	+0.50	Matches
57	Joel Bagan	ie IRL	DF	Cardiff City	24	2000	31	1,612	52	38.9	17.9	0.95	75	0.56	0.78	24	0.73	0.97	1.12	1.68	-0.56	-0.56	-0.02	Matches
58	Michael Baidoo	gh GHA	MF,FW	Plymouth Argyle	25	1999	11	452	41	10.9	5.0	0.80	74	0.20	1.40	22	1.00	1.09	0.60	2.40	-1.80	-1.79	-1.11	Matches
59	Oliver Bainbridge	eng ENG	DF	Sunderland	19	2005	0					0		0	0		4							Matches
60	Stefan Bajic	fr FRA	GK	Bristol City	22	2001	0					0		0	0		46							Matches
61	Lewis Baker	eng ENG	MF	Blackburn	29	1995	13	596	46	14.4	6.6	1.06	75	0.30	0.91	11	1.21	1.69	1.06	0.76	0.30	+0.30	+0.23	Matches
62	Lewis Baker	eng ENG	MF	Stoke City	29	1995	19	1,475	78	35.6	16.4	0.98	89	0.79	0.18	18	0.12	1.21	1.10	1.46	-0.37	-0.37	+0.01	Matches
63	Zak Baker	eng ENG	GK	Plymouth Argyle	18	2006	0					0		0	0		5							Matches
64	Daniel Ballard	nir NIR	DF	Sunderland	24	1999	20	1,127	56	27.2	12.5	0.96	86	0.80	0.64	12	0.16	1.65	1.44	1.28	0.16	+0.16	-0.20	Matches
65	Patrick Bamford	eng ENG	FW,MF	Leeds United	30	1993	17	252	15	6.1	2.8	0.00		0.00	6.07	15	3.93	1.82	2.14	0.71	1.43	+1.43	+0.02	Matches
66	Raees Bangura-Williams		MF	Millwall			10	608	61	14.7	6.8	1.03	78	0.29	0.44	21	0.44	1.70	1.32	0.88	0.44	+0.44	+0.57	Matches
67	Tamer Bani Odeh	jo JOR	FW	West Brom	20	2003	4	53	13	1.3	0.6	0.00		0.00	6.67	13	3.33	0.75	1.67	3.33	-1.67	-1.70	-1.94	Matches
68	Barry Bannan	sct SCO	MF	Sheffield Weds	34	1989	41	3,461	84	83.6	38.5	1.04	86	0.75	0.03	33	0.03	1.29	1.30	1.48	-0.18	-0.18	+0.08	Matches
69	Jamal Baptiste	eng ENG	DF	Sheffield United	20	2003	1	7	7	0.2	0.1	0.00		0.00	10.0	7	120.0	3.00	0.00	0.00	0.00	0.00	-0.59	Matches
70	Shandon Baptiste	gd GRN	MF	Luton Town	26	1998	16	717	45	17.3	8.0	0.88	74	0.00	1.13	22	0.13	0.94	0.88	2.00	-1.13	-1.13	-0.74	Matches
71	Daniel Barden	wls WAL	GK	Norwich City	23	2001	0					0		0	0		2							Matches
72	Tom Barkhuizen	eng ENG	MF,FW	Derby County	31	1993	19	404	21	9.8	4.5	0.44	65	0.00	3.78	16	4.00	0.53	0.67	2.00	-1.33	-1.34	-1.29	Matches
73	Daniel Barlaser	tr TUR	MF	Middlesbrough	27	1997	23	1,155	50	27.9	12.8	0.94	83	0.70	0.86	14	1.80	1.48	1.95	1.64	0.31	+0.31	+0.19	Matches
