Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
15	Joe Allen	wls WAL	MF	Swansea City	34	1990	25	8	709	7.9	0.13	0.13	0.25	0.13	0.00	0.00	0.25	0.00	0.13	0.13	0.25	0.13	0.25	Matches
16	Millenic Alli	ie IRL	MF,FW	Luton Town	24	2000	16	6	766	8.5	0.47	0.00	0.47	0.47	0.00	0.00	0.12	0.00	0.47	0.00	0.47	0.47	0.47	Matches
17	Jak Alnwick	eng ENG	GK	Cardiff City	31	1993	29	29	2,610	29.0	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	Matches
18	Will Alves	eng ENG	MF,FW	Cardiff City	19	2005	14	8	667	7.4	0.14	0.41	0.54	0.14	0.00	0.00	0.00	0.00	0.13	0.40	0.54	0.13	0.54	Matches
19	Steven Alzate	co COL	MF	Hull City	25	1998	28	21	1,941	21.6	0.00	0.05	0.05	0.00	0.00	0.00	0.09	0.00	0.00	0.05	0.05	0.00	0.05	Matches
20	Zeki Amdouni	ch SUI	FW,MF	Burnley	23	2000	2	0	35	0.4	2.50	0.00	2.50	2.50	0.00	0.00	0.00	0.00	2.57	0.00	2.57	2.57	2.57	Matches
21	Ethan Ampadu	wls WAL	DF,MF	Leeds United	23	2000	29	26	2,285	25.4	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	Matches
22	Nordin Amrabat	ma MAR	MF	Hull City	37	1987	10	2	288	3.2	0.00	0.31	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.31	0.00	0.31	Matches
23	Lucas Andersen	dk DEN	MF	QPR	29	1994	33	13	1,165	12.9	0.16	0.00	0.16	0.16	0.00	0.00	0.08	0.00	0.15	0.00	0.15	0.15	0.15	Matches
24	Joe Anderson	eng ENG	DF	Sunderland	23	2001	2	1	99	1.1	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	Matches
25	Ryan Andrews	eng ENG	MF,DF	Watford	19	2004	38	21	2,086	23.2	0.13	0.09	0.22	0.13	0.00	0.00	0.13	0.00	0.13	0.09	0.22	0.13	0.22	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Jaidon Anthony	eng ENG	MF	Burnley	24	1999	43	42	3,661	40.7	0.20	0.17	0.37	0.20	0.00	0.00	0.10	0.00	0.20	0.17	0.37	0.20	0.37	Matches
27	Adil Aouchiche	dz ALG	MF	Portsmouth	22	2002	12	9	683	7.6	0.13	0.13	0.26	0.13	0.00	0.00	0.26	0.00	0.13	0.13	0.26	0.13	0.26	Matches
28	Adil Aouchiche	dz ALG	MF	Sunderland	22	2002	8	3	296	3.3	0.00	0.30	0.30	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.30	0.00	0.30	Matches
29	Oliver Arblaster	eng ENG	MF	Sheffield United	20	2004	12	11	978	10.9	0.18	0.09	0.28	0.18	0.00	0.00	0.28	0.00	0.18	0.09	0.28	0.18	0.28	Matches
30	Jordan Archer	sct SCO	GK	Portsmouth	31	1993	2	1	150	1.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
31	Adam Armstrong	eng ENG	FW,MF	West Brom	27	1997	16	12	1,008	11.2	0.27	0.00	0.27	0.18	0.09	0.09	0.00	0.00	0.27	0.00	0.27	0.18	0.18	Matches
32	Harrison Armstrong	eng ENG	MF	Derby County	17	2007	15	12	1,105	12.3	0.08	0.00	0.08	0.08	0.00	0.00	0.24	0.00	0.08	0.00	0.08	0.08	0.08	Matches
33	Sinclair Armstrong	ie IRL	FW	Bristol City	21	2003	36	17	1,555	17.3	0.17	0.00	0.17	0.17	0.00	0.00	0.06	0.00	0.17	0.00	0.17	0.17	0.17	Matches
34	Stuart Armstrong	sct SCO	MF	Sheffield Weds	32	1992	11	6	536	6.0	0.00	0.17	0.17	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.17	0.00	0.17	Matches
35	Harrison Ashby	sct SCO	DF,MF	QPR	22	2001	29	17	1,583	17.6	0.00	0.06	0.06	0.00	0.00	0.00	0.34	0.00	0.00	0.06	0.06	0.00	0.06	Matches
36	Cian Ashford	wls WAL	MF,FW	Cardiff City	19	2004	28	17	1,522	16.9	0.12	0.18	0.30	0.12	0.00	0.00	0.00	0.00	0.12	0.18	0.30	0.12	0.30	Matches
37	Robert Atkinson	eng ENG	DF	Portsmouth	26	1998	14	13	1,098	12.2	0.16	0.08	0.25	0.16	0.00	0.00	0.33	0.00	0.16	0.08	0.25	0.16	0.25	Matches
38	Luke Ayling	eng ENG	DF	Middlesbrough	32	1991	26	23	1,951	21.7	0.00	0.09	0.09	0.00	0.00	0.00	0.18	0.00	0.00	0.09	0.09	0.00	0.09	Matches
39	Finn Azaz	ie IRL	MF	Middlesbrough	23	2000	45	43	3,544	39.4	0.30	0.28	0.58	0.30	0.00	0.00	0.15	0.00	0.30	0.28	0.58	0.30	0.58	Matches
40	Femi Azeez	ng NGA	MF	Millwall	23	2001	34	21	1,906	21.2	0.09	0.24	0.33	0.09	0.00	0.00	0.19	0.00	0.09	0.24	0.33	0.09	0.33	Matches
41	Kwadwo Baah	eng ENG	MF,FW	Watford	21	2003	27	16	1,459	16.2	0.25	0.19	0.43	0.25	0.00	0.00	0.31	0.06	0.25	0.19	0.43	0.25	0.43	Matches
42	Daniel Bachmann	at AUT	GK	Watford	30	1994	22	22	1,902	21.1	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	Matches
43	Joel Bagan	ie IRL	DF	Cardiff City	24	2000	31	17	1,612	17.9	0.00	0.06	0.06	0.00	0.00	0.00	0.22	0.06	0.00	0.06	0.06	0.00	0.06	Matches
44	Michael Baidoo	gh GHA	MF,FW	Plymouth Argyle	25	1999	11	4	452	5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
45	Lewis Baker	eng ENG	MF	Blackburn	29	1995	13	7	596	6.6	0.15	0.00	0.15	0.15	0.00	0.00	0.30	0.00	0.15	0.00	0.15	0.15	0.15	Matches
46	Lewis Baker	eng ENG	MF	Stoke City	29	1995	19	16	1,475	16.4	0.37	0.12	0.49	0.24	0.12	0.12	0.18	0.00	0.37	0.12	0.49	0.24	0.37	Matches
47	Daniel Ballard	nir NIR	DF	Sunderland	24	1999	20	12	1,127	12.5	0.16	0.08	0.24	0.16	0.00	0.00	0.24	0.00	0.16	0.08	0.24	0.16	0.24	Matches
48	Patrick Bamford	eng ENG	FW,MF	Leeds United	30	1993	17	0	252	2.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
49	Raees Bangura-Williams		MF	Millwall			10	7	608	6.8	0.00	0.44	0.44	0.00	0.00	0.00	0.29	0.00	0.00	0.44	0.44	0.00	0.44	Matches
50	Tamer Bani Odeh	jo JOR	FW	West Brom	20	2003	4	0	53	0.6	0.00	1.67	1.67	0.00	0.00	0.00	1.67	0.00	0.00	1.70	1.70	0.00	1.70	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Barry Bannan	sct SCO	MF	Sheffield Weds	34	1989	41	40	3,461	38.5	0.10	0.13	0.23	0.10	0.00	0.00	0.18	0.00	0.10	0.13	0.23	0.10	0.23	Matches
52	Jamal Baptiste	eng ENG	DF	Sheffield United	20	2003	1	0	7	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
53	Shandon Baptiste	gd GRN	MF	Luton Town	26	1998	16	7	717	8.0	0.13	0.00	0.13	0.13	0.00	0.00	0.25	0.00	0.13	0.00	0.13	0.13	0.13	Matches
54	Tom Barkhuizen	eng ENG	MF,FW	Derby County	31	1993	19	2	404	4.5	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	Matches
55	Daniel Barlaser	tr TUR	MF	Middlesbrough	27	1997	23	12	1,155	12.8	0.08	0.08	0.16	0.08	0.00	0.00	0.16	0.00	0.08	0.08	0.16	0.08	0.16	Matches
56	Ashley Barnes	eng ENG	FW	Norwich City	34	1989	8	1	173	1.9	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	Matches
57	Ashley Barnes	eng ENG	FW	Burnley	34	1989	13	1	134	1.5	0.67	0.67	1.33	0.67	0.00	0.00	0.67	0.00	0.67	0.67	1.34	0.67	1.34	Matches
58	Louie Barry	eng ENG	MF	Hull City	21	2003	4	2	165	1.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
59	Kyle Bartley	eng ENG	DF	West Brom	33	1991	31	30	2,610	29.0	0.00	0.00	0.00	0.00	0.00	0.00	0.17	0.03	0.00	0.00	0.00	0.00	0.00	Matches
60	Norman Bassette	be BEL	FW	Coventry City	19	2004	25	11	907	10.1	0.20	0.00	0.20	0.20	0.00	0.00	0.50	0.00	0.20	0.00	0.20	0.20	0.20	Matches
61	Danny Batth	eng ENG	DF	Blackburn	33	1990	37	34	3,009	33.4	0.06	0.00	0.06	0.06	0.00	0.00	0.15	0.00	0.06	0.00	0.06	0.06	0.06	Matches
62	Patrick Bauer	de GER	DF	Preston	31	1992	1	0	6	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
63	Vakoun Bayo	ci CIV	FW	Watford	27	1997	41	25	2,242	24.9	0.40	0.00	0.40	0.36	0.04	0.04	0.20	0.04	0.40	0.00	0.40	0.36	0.36	Matches
64	James Beadle	eng ENG	GK	Sheffield Weds	20	2004	38	38	3,420	38.0	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	Matches
65	Owen Beck	wls WAL	DF,MF	Blackburn	21	2002	24	21	1,874	20.8	0.05	0.00	0.05	0.05	0.00	0.00	0.14	0.05	0.05	0.00	0.05	0.05	0.05	Matches
66	Chris Bedia	ci CIV	FW	Hull City	28	1996	21	9	921	10.2	0.29	0.00	0.29	0.20	0.10	0.10	0.00	0.00	0.29	0.00	0.29	0.20	0.20	Matches
67	Amari'i Bell	jm JAM	DF,MF	Luton Town	30	1994	31	31	2,706	30.1	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	Matches
68	Sam Bell	eng ENG	FW,MF	Bristol City	22	2002	20	0	440	4.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
69	Jobe Bellingham	eng ENG	MF	Sunderland	18	2005	40	39	3,507	39.0	0.10	0.08	0.18	0.10	0.00	0.00	0.26	0.03	0.10	0.08	0.18	0.10	0.18	Matches
70	Bachir Belloumi	dz ALG	FW,MF	Hull City	22	2002	10	10	815	9.1	0.22	0.22	0.44	0.22	0.00	0.00	0.11	0.00	0.22	0.22	0.44	0.22	0.44	Matches
71	Anis Ben Slimane	tn TUN	MF	Norwich City	23	2001	33	25	2,091	23.2	0.09	0.09	0.17	0.09	0.00	0.00	0.26	0.00	0.09	0.09	0.17	0.09	0.17	Matches
72	Anis Ben Slimane	tn TUN	MF	Sheffield United	23	2001	3	0	46	0.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
73	Joe Bennett	eng ENG	DF	Oxford United	34	1990	12	8	744	8.3	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	Matches
74	Daniel Bennie	au AUS	FW	QPR	18	2006	12	1	216	2.4	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	Matches
75	Jóhann Berg Guðmundsson	is ISL	FW,MF	Burnley	33	1990	1	0	16	0.2	5.00	0.00	5.00	5.00	0.00	0.00	0.00	0.00	5.63	0.00	5.63	5.63	5.63	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Di'Shon Bernard	jm JAM	DF	Sheffield Weds	23	2000	27	26	2,235	24.8	0.08	0.00	0.08	0.08	0.00	0.00	0.36	0.08	0.08	0.00	0.08	0.08	0.08	Matches
77	Kian Best	eng ENG	DF	Preston	18	2005	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
78	Florian Bianchini	fr FRA	FW	Swansea City	23	2001	36	8	1,103	12.3	0.24	0.00	0.24	0.24	0.00	0.00	0.16	0.00	0.24	0.00	0.24	0.24	0.24	Matches
79	Jake Bidwell	eng ENG	DF,MF	Coventry City	31	1993	29	23	2,062	22.9	0.04	0.04	0.09	0.04	0.00	0.00	0.22	0.00	0.04	0.04	0.09	0.04	0.09	Matches
80	Luis Binks	eng ENG	DF	Coventry City	22	2001	22	21	1,852	20.6	0.00	0.05	0.05	0.00	0.00	0.00	0.34	0.00	0.00	0.05	0.05	0.00	0.05	Matches
81	Max Bird	eng ENG	MF	Bristol City	23	2000	46	43	3,481	38.7	0.03	0.21	0.23	0.03	0.00	0.00	0.03	0.00	0.03	0.21	0.23	0.03	0.23	Matches
82	Colby Bishop	eng ENG	FW	Portsmouth	27	1996	32	31	2,629	29.2	0.38	0.10	0.48	0.27	0.10	0.14	0.10	0.00	0.38	0.10	0.48	0.27	0.38	Matches
83	Billy Blacker	eng ENG	FW	Sheffield United	18	2006	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
84	Corey Blackett-Taylor	eng ENG	MF,FW	Derby County	26	1997	12	4	404	4.5	0.22	0.00	0.22	0.22	0.00	0.00	0.22	0.00	0.22	0.00	0.22	0.22	0.22	Matches
85	Harvey Blair	eng ENG	MF	Portsmouth	20	2003	12	3	294	3.3	0.30	0.00	0.30	0.30	0.00	0.00	0.91	0.00	0.31	0.00	0.31	0.31	0.31	Matches
86	Malachi Boateng	eng ENG	MF	Plymouth Argyle	22	2002	7	1	198	2.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
87	Eric Bocat	fr FRA	DF	Stoke City	25	1999	30	23	2,041	22.7	0.00	0.04	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.04	0.04	0.00	0.04	Matches
88	Jayden Bogle	eng ENG	DF	Leeds United	24	2000	44	44	3,824	42.5	0.14	0.09	0.24	0.14	0.00	0.00	0.28	0.00	0.14	0.09	0.24	0.14	0.24	Matches
89	Jonathan Bond	eng ENG	GK	Watford	31	1993	9	8	798	8.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
90	Neto Borges	br BRA	DF	Middlesbrough	27	1996	35	34	2,891	32.1	0.03	0.09	0.12	0.03	0.00	0.00	0.12	0.00	0.03	0.09	0.12	0.03	0.12	Matches
91	Raphael Borges Rodrigues	au AUS	MF	Coventry City	20	2003	3	0	10	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
92	Josh Bowler	eng ENG	MF,FW	Preston	25	1999	10	6	456	5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
93	Josh Bowler	eng ENG	MF	Luton Town	25	1999	8	0	150	1.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
94	Sonny Bradley	eng ENG	DF	Derby County	32	1991	7	3	303	3.4	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	Matches
95	Tom Bradshaw	wls WAL	FW	Oxford United	32	1992	11	4	359	4.0	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	Matches
96	Tom Bradshaw	wls WAL	FW	Millwall	32	1992	11	4	450	5.0	0.20	0.00	0.20	0.00	0.20	0.20	0.00	0.00	0.20	0.00	0.20	0.00	0.00	Matches
97	Robbie Brady	ie IRL	MF	Preston	32	1992	29	17	1,638	18.2	0.00	0.22	0.22	0.00	0.00	0.00	0.44	0.00	0.00	0.22	0.22	0.00	0.22	Matches
98	Cohen Bramall	eng ENG	DF	Portsmouth	28	1996	12	4	460	5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	Matches
99	Cameron Brannagan	eng ENG	MF	Oxford United	28	1996	33	33	2,900	32.2	0.09	0.12	0.22	0.09	0.00	0.00	0.31	0.00	0.09	0.12	0.22	0.09	0.22	Matches
100	Ben Brereton	cl CHI	MF	Sheffield United	25	1999	17	13	984	10.9	0.37	0.28	0.64	0.37	0.00	0.00	0.37	0.00	0.37	0.27	0.64	0.37	0.64	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Rhian Brewster	eng ENG	MF,FW	Sheffield United	24	2000	36	16	1,558	17.3	0.23	0.17	0.40	0.23	0.00	0.00	0.12	0.00	0.23	0.17	0.40	0.23	0.40	Matches
102	Callum Brittain	eng ENG	DF	Blackburn	26	1998	33	30	2,659	29.5	0.07	0.17	0.24	0.07	0.00	0.00	0.17	0.00	0.07	0.17	0.24	0.07	0.24	Matches
103	Andre Brooks	jm JAM	MF	Sheffield United	20	2003	22	10	951	10.6	0.28	0.19	0.47	0.28	0.00	0.00	0.28	0.00	0.28	0.19	0.47	0.28	0.47	Matches
104	Ciaron Brown	nir NIR	DF	Oxford United	26	1998	41	41	3,611	40.1	0.10	0.07	0.17	0.10	0.00	0.00	0.15	0.00	0.10	0.07	0.17	0.10	0.17	Matches
105	Dajaune Brown	jm JAM	FW	Derby County	18	2005	15	3	387	4.3	0.23	0.00	0.23	0.23	0.00	0.00	0.00	0.00	0.23	0.00	0.23	0.23	0.23	Matches
106	Jacob Brown	sct SCO	MF,FW	Luton Town	26	1998	29	11	1,217	13.5	0.30	0.07	0.37	0.30	0.00	0.00	0.30	0.00	0.30	0.07	0.37	0.30	0.37	Matches
107	Alan Browne	ie IRL	MF,DF	Sunderland	29	1995	22	13	1,212	13.5	0.07	0.00	0.07	0.07	0.00	0.00	0.07	0.00	0.07	0.00	0.07	0.07	0.07	Matches
108	Josh Brownhill	eng ENG	MF	Burnley	28	1995	42	39	3,474	38.6	0.47	0.16	0.62	0.39	0.08	0.08	0.13	0.00	0.47	0.16	0.62	0.39	0.54	Matches
109	Joe Bryan	eng ENG	DF	Millwall	30	1993	39	37	3,275	36.4	0.03	0.03	0.05	0.03	0.00	0.00	0.22	0.00	0.03	0.03	0.05	0.03	0.05	Matches
110	Solomon Brynn	eng ENG	GK	Middlesbrough	23	2000	6	6	509	5.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
111	John Buckley	eng ENG	MF	Blackburn	24	1999	23	8	855	9.5	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	Matches
112	Mustapha Bundu	sl SLE	FW,MF	Plymouth Argyle	27	1997	37	27	2,302	25.6	0.39	0.23	0.63	0.39	0.00	0.00	0.16	0.00	0.39	0.23	0.63	0.39	0.63	Matches
113	Wouter Burger	nl NED	MF	Stoke City	23	2001	39	37	3,002	33.4	0.03	0.03	0.06	0.03	0.00	0.00	0.30	0.00	0.03	0.03	0.06	0.03	0.06	Matches
114	Delano Burgzorg	sr SUR	MF	Middlesbrough	25	1998	42	23	2,187	24.3	0.21	0.08	0.29	0.16	0.04	0.04	0.08	0.00	0.21	0.08	0.29	0.16	0.25	Matches
115	Reece Burke	eng ENG	DF,MF	Luton Town	27	1996	17	10	852	9.5	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	Matches
116	Finley Burns	eng ENG	DF,MF	Hull City	21	2003	9	4	311	3.5	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	Matches
117	Harrison Burrows	eng ENG	DF	Sheffield United	22	2002	43	39	3,460	38.4	0.13	0.08	0.21	0.08	0.05	0.05	0.05	0.00	0.13	0.08	0.21	0.08	0.16	Matches
118	Mason Burstow	eng ENG	FW,MF	Hull City	20	2003	31	8	953	10.6	0.19	0.09	0.28	0.19	0.00	0.00	0.09	0.00	0.19	0.09	0.28	0.19	0.28	Matches
119	Sam Byram	eng ENG	DF	Leeds United	30	1993	36	16	1,409	15.7	0.06	0.06	0.13	0.06	0.00	0.00	0.25	0.00	0.06	0.06	0.13	0.06	0.13	Matches
120	Ben Cabango	wls WAL	DF	Swansea City	24	2000	45	45	4,032	44.8	0.04	0.02	0.07	0.04	0.00	0.00	0.20	0.00	0.04	0.02	0.07	0.04	0.07	Matches
121	Tyrese Campbell	eng ENG	FW	Sheffield United	24	1999	33	20	1,580	17.6	0.57	0.06	0.63	0.57	0.00	0.00	0.11	0.00	0.57	0.06	0.63	0.57	0.63	Matches
122	Tom Cannon	ie IRL	FW	Stoke City	21	2002	22	22	1,857	20.6	0.44	0.05	0.49	0.29	0.15	0.19	0.15	0.00	0.44	0.05	0.48	0.29	0.34	Matches
123	Tom Cannon	ie IRL	FW	Sheffield United	21	2002	15	7	682	7.6	0.13	0.13	0.26	0.13	0.00	0.00	0.00	0.00	0.13	0.13	0.26	0.13	0.26	Matches
124	Todd Cantwell	eng ENG	MF	Blackburn	26	1998	37	27	2,479	27.5	0.11	0.25	0.36	0.04	0.07	0.07	0.22	0.00	0.11	0.25	0.36	0.04	0.29	Matches
125	Theo Carroll	eng ENG	MF	Preston	17	2007	1	0	4	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Hayden Carter	eng ENG	DF	Blackburn	24	1999	16	16	1,363	15.1	0.00	0.07	0.07	0.00	0.00	0.00	0.33	0.00	0.00	0.07	0.07	0.00	0.07	Matches
127	Eiran Cashin	ie IRL	DF	Derby County	22	2001	21	21	1,786	19.8	0.05	0.00	0.05	0.05	0.00	0.00	0.25	0.00	0.05	0.00	0.05	0.05	0.05	Matches
128	Žan Celar	si SVN	FW	QPR	25	1999	19	10	944	10.5	0.19	0.00	0.19	0.19	0.00	0.10	0.10	0.00	0.19	0.00	0.19	0.19	0.19	Matches
129	Ilias Chair	ma MAR	MF,FW	QPR	26	1997	28	20	1,698	18.9	0.11	0.32	0.42	0.11	0.00	0.00	0.11	0.00	0.11	0.32	0.42	0.11	0.42	Matches
130	Giorgi Chakvetadze	ge GEO	MF,FW	Watford	24	1999	39	37	3,281	36.5	0.05	0.16	0.22	0.05	0.00	0.00	0.16	0.00	0.05	0.16	0.22	0.05	0.22	Matches
131	Nathaniel Chalobah	eng ENG	MF	Sheffield Weds	29	1994	16	4	444	4.9	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	Matches
132	Calum Chambers	eng ENG	DF,MF	Cardiff City	29	1995	41	41	3,513	39.0	0.05	0.03	0.08	0.05	0.00	0.00	0.21	0.03	0.05	0.03	0.08	0.05	0.08	Matches
133	Samuel Chambers	eng ENG	MF	Leeds United	16	2007	1	0	17	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
134	Pierce Charles	nir NIR	GK	Sheffield Weds	19	2005	8	8	720	8.0	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	Matches
135	Shea Charles	nir NIR	MF	Sheffield Weds	20	2003	43	42	3,631	40.3	0.02	0.12	0.15	0.02	0.00	0.00	0.25	0.00	0.02	0.12	0.15	0.02	0.15	Matches
