Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Brenden Aaronson	us USA	MF	Leeds United	23	2000	46	43	3,551	39.5	0.23	0.05	0.28	0.23	0.00	0.00	0.03	0.00	0.23	0.05	0.28	0.23	0.28	Matches
2	Thelo Aasgaard	no NOR	MF,FW	Luton Town	22	2002	17	17	1,513	16.8	0.12	0.06	0.18	0.12	0.00	0.00	0.06	0.00	0.12	0.06	0.18	0.12	0.18	Matches
3	James Abankwah	ie IRL	DF	Watford	20	2004	19	17	1,384	15.4	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.06	0.00	0.00	0.00	0.00	0.00	Matches
4	Salis Abdul Samed	gh GHA	MF	Sunderland	24	2000	10	3	283	3.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
5	Azeem Abdulai	sct SCO	MF	Swansea City	21	2002	17	2	348	3.9	0.26	0.00	0.26	0.26	0.00	0.00	0.26	0.00	0.26	0.00	0.26	0.26	0.26	Matches
6	Ebou Adams	gm GAM	MF	Derby County	28	1996	44	42	3,789	42.1	0.14	0.02	0.17	0.14	0.00	0.00	0.29	0.00	0.14	0.02	0.17	0.14	0.17	Matches
7	Elijah Adebayo	eng ENG	FW	Luton Town	26	1998	39	31	2,425	26.9	0.19	0.00	0.19	0.19	0.00	0.00	0.04	0.00	0.19	0.00	0.19	0.19	0.19	Matches
8	Michael Adu-Poku	eng ENG	FW	Watford	18	2005	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
9	Enock Agyei	be BEL	FW	Burnley	19	2005	3	0	58	0.6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
10	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	25	1999	38	35	3,136	34.8	0.09	0.03	0.11	0.09	0.00	0.00	0.32	0.03	0.09	0.03	0.11	0.09	0.11	Matches
11	Semi Ajayi	ng NGA	DF	West Brom	30	1993	15	14	1,228	13.6	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	Matches
12	Milan Aleksić	rs SRB	MF	Sunderland	18	2005	8	3	290	3.2	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	Matches
13	Ajibola Alese	eng ENG	DF	Sunderland	23	2001	12	8	703	7.8	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	Matches
14	Jamie Allen	eng ENG	MF	Coventry City	29	1995	21	12	1,004	11.2	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.00	Matches
