Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	Brenden Aaronson	us USA	MF	Leeds United	23	2000	39.5	0.03	0.00	0.00	1.09	1.70	0.13	1.47	0.23	0.84			0.00	Matches
2	Thelo Aasgaard	no NOR	MF,FW	Luton Town	22	2002	16.8	0.06	0.00	0.00	0.71	1.96	0.00	1.79	0.42	0.60			0.00	Matches
3	James Abankwah	ie IRL	DF	Watford	20	2004	15.4	0.26	0.06	0.06	1.17	1.69	0.06	0.26	0.58	1.36			0.00	Matches
4	Salis Abdul Samed	gh GHA	MF	Sunderland	24	2000	3.1	0.00	0.00	0.00	1.94	1.94	0.00	0.00	0.65	0.00			0.00	Matches
5	Azeem Abdulai	sct SCO	MF	Swansea City	21	2002	3.9	0.26	0.00	0.00	1.28	2.31	0.00	5.13	0.51	1.28			0.00	Matches
6	Ebou Adams	gm GAM	MF	Derby County	28	1996	42.1	0.29	0.00	0.00	2.07	2.33	0.07	0.76	1.40	2.38			0.00	Matches
7	Elijah Adebayo	eng ENG	FW	Luton Town	26	1998	26.9	0.04	0.00	0.00	2.12	1.08	1.00	0.37	0.26	0.41			0.00	Matches
8	Michael Adu-Poku	eng ENG	FW	Watford	18	2005	0.0	0	0	0	0	0	0	0	0	0			0	Matches
9	Enock Agyei	be BEL	FW	Burnley	19	2005	0.6	0.00	0.00	0.00	1.67	1.67	0.00	5.00	0.00	0.00			0.00	Matches
10	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	25	1999	34.8	0.32	0.03	0.00	0.75	0.80	0.11	0.20	1.32	1.29			0.00	Matches
11	Semi Ajayi	ng NGA	DF	West Brom	30	1993	13.6	0.29	0.00	0.00	0.74	0.37	0.00	0.22	0.74	0.44			0.00	Matches
12	Milan Aleksić	rs SRB	MF	Sunderland	18	2005	3.2	0.31	0.00	0.00	2.19	0.63	0.00	1.88	0.94	1.25			0.00	Matches
13	Ajibola Alese	eng ENG	DF	Sunderland	23	2001	7.8	0.26	0.00	0.00	1.03	0.38	0.13	1.15	1.15	0.64			0.00	Matches
14	Jamie Allen	eng ENG	MF	Coventry City	29	1995	11.2	0.09	0.00	0.00	1.16	0.63	0.00	0.00	0.80	1.43			0.00	Matches
15	Joe Allen	wls WAL	MF	Swansea City	34	1990	7.9	0.25	0.00	0.00	2.03	1.01	0.00	1.65	0.63	1.01			0.00	Matches
16	Millenic Alli	ie IRL	MF,FW	Luton Town	24	2000	8.5	0.12	0.00	0.00	1.41	1.41	0.35	3.65	0.12	0.71			0.00	Matches
17	Jak Alnwick	eng ENG	GK	Cardiff City	31	1993	29.0	0.07	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.03			0.00	Matches
18	Will Alves	eng ENG	MF,FW	Cardiff City	19	2005	7.4	0.00	0.00	0.00	0.00	1.08	0.00	3.38	0.41	1.49			0.00	Matches
19	Steven Alzate	co COL	MF	Hull City	25	1998	21.6	0.09	0.00	0.00	0.93	0.88	0.05	1.11	1.39	2.41			0.00	Matches
20	Zeki Amdouni	ch SUI	FW,MF	Burnley	23	2000	0.4	0.00	0.00	0.00	2.50	5.00	0.00	0.00	2.50	2.50			0.00	Matches
21	Ethan Ampadu	wls WAL	DF,MF	Leeds United	23	2000	25.4	0.28	0.00	0.00	1.50	1.42	0.00	0.20	1.06	1.30			0.00	Matches
22	Nordin Amrabat	ma MAR	MF	Hull City	37	1987	3.2	0.00	0.00	0.00	3.44	1.88	1.88	9.38	0.31	1.56			0.00	Matches
23	Lucas Andersen	dk DEN	MF	QPR	29	1994	12.9	0.08	0.00	0.00	0.85	1.01	0.23	5.74	0.54	1.24			0.00	Matches
24	Joe Anderson	eng ENG	DF	Sunderland	23	2001	1.1	0.91	0.00	0.00	2.73	0.91	0.00	3.64	0.00	1.82			0.00	Matches
25	Ryan Andrews	eng ENG	MF,DF	Watford	19	2004	23.2	0.13	0.00	0.00	1.42	0.95	0.04	2.41	1.08	0.95			0.00	Matches
