Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Brenden Aaronson	us USA	MF	Leeds United	23	2000	39.5	0.23	2.18	0.71	32.6	2.18	0.71	0.10	0.32	0.00	0.00	Matches
2	Thelo Aasgaard	no NOR	MF,FW	Luton Town	22	2002	16.8	0.12	2.26	0.65	28.9	2.26	0.65	0.05	0.18	0.00	0.00	Matches
3	James Abankwah	ie IRL	DF	Watford	20	2004	15.4	0.00	0.26	0.06	25.0	0.26	0.07	0.00	0.00	0.00	0.00	Matches
4	Salis Abdul Samed	gh GHA	MF	Sunderland	24	2000	3.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
5	Azeem Abdulai	sct SCO	MF	Swansea City	21	2002	3.9	0.26	0.51	0.26	50.0	0.52	0.26	0.50	1.00	0.00	0.00	Matches
6	Ebou Adams	gm GAM	MF	Derby County	28	1996	42.1	0.14	1.21	0.26	21.6	1.21	0.26	0.12	0.55	0.00	0.00	Matches
7	Elijah Adebayo	eng ENG	FW	Luton Town	26	1998	26.9	0.19	2.57	1.19	46.4	2.56	1.19	0.07	0.16	0.00	0.00	Matches
8	Michael Adu-Poku	eng ENG	FW	Watford	18	2005	0.0	0	0	0		0.00	0.00			0	0	Matches
9	Enock Agyei	be BEL	FW	Burnley	19	2005	0.6	0.00	3.33	0.00	0.0	3.10	0.00	0.00		0.00	0.00	Matches
10	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	25	1999	34.8	0.09	0.34	0.11	33.3	0.34	0.11	0.25	0.75	0.00	0.00	Matches
11	Semi Ajayi	ng NGA	DF	West Brom	30	1993	13.6	0.00	0.37	0.07	20.0	0.37	0.07	0.00	0.00	0.00	0.00	Matches
12	Milan Aleksić	rs SRB	MF	Sunderland	18	2005	3.2	0.00	1.88	1.25	66.7	1.86	1.24	0.00	0.00	0.00	0.00	Matches
13	Ajibola Alese	eng ENG	DF	Sunderland	23	2001	7.8	0.00	0.38	0.13	33.3	0.38	0.13	0.00	0.00	0.00	0.00	Matches
14	Jamie Allen	eng ENG	MF	Coventry City	29	1995	11.2	0.00	0.89	0.18	20.0	0.90	0.18	0.00	0.00	0.00	0.00	Matches
15	Joe Allen	wls WAL	MF	Swansea City	34	1990	7.9	0.13	0.76	0.38	50.0	0.76	0.38	0.17	0.33	0.00	0.00	Matches
16	Millenic Alli	ie IRL	MF,FW	Luton Town	24	2000	8.5	0.47	2.59	0.82	31.8	2.58	0.82	0.18	0.57	0.00	0.00	Matches
17	Jak Alnwick	eng ENG	GK	Cardiff City	31	1993	29.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
18	Will Alves	eng ENG	MF,FW	Cardiff City	19	2005	7.4	0.14	1.76	0.54	30.8	1.75	0.54	0.08	0.25	0.00	0.00	Matches
19	Steven Alzate	co COL	MF	Hull City	25	1998	21.6	0.00	0.69	0.05	6.7	0.70	0.05	0.00	0.00	0.00	0.00	Matches
20	Zeki Amdouni	ch SUI	FW,MF	Burnley	23	2000	0.4	2.50	2.50	2.50	100.0	2.57	2.57	1.00	1.00	0.00	0.00	Matches
21	Ethan Ampadu	wls WAL	DF,MF	Leeds United	23	2000	25.4	0.00	0.43	0.08	18.2	0.43	0.08	0.00	0.00	0.00	0.00	Matches
22	Nordin Amrabat	ma MAR	MF	Hull City	37	1987	3.2	0.00	1.25	0.31	25.0	1.25	0.31	0.00	0.00	0.00	0.00	Matches
23	Lucas Andersen	dk DEN	MF	QPR	29	1994	12.9	0.16	1.47	0.62	42.1	1.47	0.62	0.11	0.25	0.00	0.00	Matches
24	Joe Anderson	eng ENG	DF	Sunderland	23	2001	1.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
25	Ryan Andrews	eng ENG	MF,DF	Watford	19	2004	23.2	0.13	1.38	0.43	31.3	1.38	0.43	0.09	0.30	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Jaidon Anthony	eng ENG	MF	Burnley	24	1999	40.7	0.20	2.38	0.84	35.1	2.38	0.84	0.08	0.24	0.00	0.00	Matches
27	Adil Aouchiche	dz ALG	MF	Portsmouth	22	2002	7.6	0.13	1.84	0.79	42.9	1.84	0.79	0.07	0.17	0.00	0.00	Matches
28	Adil Aouchiche	dz ALG	MF	Sunderland	22	2002	3.3	0.00	4.24	2.12	50.0	4.26	2.13	0.00	0.00	0.00	0.00	Matches
29	Oliver Arblaster	eng ENG	MF	Sheffield United	20	2004	10.9	0.18	0.92	0.28	30.0	0.92	0.28	0.20	0.67	0.00	0.00	Matches
30	Jordan Archer	sct SCO	GK	Portsmouth	31	1993	1.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
31	Adam Armstrong	eng ENG	FW,MF	West Brom	27	1997	11.2	0.27	2.32	0.98	42.3	2.32	0.98	0.08	0.18	0.09	0.09	Matches
32	Harrison Armstrong	eng ENG	MF	Derby County	17	2007	12.3	0.08	0.73	0.24	33.3	0.73	0.24	0.11	0.33	0.00	0.00	Matches
33	Sinclair Armstrong	ie IRL	FW	Bristol City	21	2003	17.3	0.17	2.37	0.98	41.5	2.37	0.98	0.07	0.18	0.00	0.00	Matches
34	Stuart Armstrong	sct SCO	MF	Sheffield Weds	32	1992	6.0	0.00	2.17	0.33	15.4	2.18	0.34	0.00	0.00	0.00	0.00	Matches
35	Harrison Ashby	sct SCO	DF,MF	QPR	22	2001	17.6	0.00	0.74	0.23	30.8	0.74	0.23	0.00	0.00	0.00	0.00	Matches
36	Cian Ashford	wls WAL	MF,FW	Cardiff City	19	2004	16.9	0.12	1.24	0.24	19.0	1.24	0.24	0.10	0.50	0.00	0.00	Matches
37	Robert Atkinson	eng ENG	DF	Portsmouth	26	1998	12.2	0.16	0.49	0.16	33.3	0.49	0.16	0.33	1.00	0.00	0.00	Matches
38	Luke Ayling	eng ENG	DF	Middlesbrough	32	1991	21.7	0.00	0.65	0.09	14.3	0.65	0.09	0.00	0.00	0.00	0.00	Matches
39	Finn Azaz	ie IRL	MF	Middlesbrough	23	2000	39.4	0.30	3.12	1.02	32.5	3.12	1.02	0.10	0.30	0.00	0.00	Matches
40	Femi Azeez	ng NGA	MF	Millwall	23	2001	21.2	0.09	2.45	0.90	36.5	2.46	0.90	0.04	0.11	0.00	0.00	Matches
41	Kwadwo Baah	eng ENG	MF,FW	Watford	21	2003	16.2	0.25	1.54	0.74	48.0	1.54	0.74	0.16	0.33	0.00	0.00	Matches
42	Daniel Bachmann	at AUT	GK	Watford	30	1994	21.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
43	Joel Bagan	ie IRL	DF	Cardiff City	24	2000	17.9	0.00	0.11	0.11	100.0	0.11	0.11	0.00	0.00	0.00	0.00	Matches
44	Michael Baidoo	gh GHA	MF,FW	Plymouth Argyle	25	1999	5.0	0.00	0.40	0.20	50.0	0.40	0.20	0.00	0.00	0.00	0.00	Matches
45	Lewis Baker	eng ENG	MF	Blackburn	29	1995	6.6	0.15	1.82	0.61	33.3	1.81	0.60	0.08	0.25	0.00	0.00	Matches
46	Lewis Baker	eng ENG	MF	Stoke City	29	1995	16.4	0.37	1.65	0.73	44.4	1.65	0.73	0.15	0.33	0.12	0.12	Matches
47	Daniel Ballard	nir NIR	DF	Sunderland	24	1999	12.5	0.16	1.04	0.48	46.2	1.04	0.48	0.15	0.33	0.00	0.00	Matches
48	Patrick Bamford	eng ENG	FW,MF	Leeds United	30	1993	2.8	0.00	4.29	0.71	16.7	4.29	0.71	0.00	0.00	0.00	0.00	Matches
49	Raees Bangura-Williams		MF	Millwall			6.8	0.00	1.18	0.29	25.0	1.18	0.30	0.00	0.00	0.00	0.00	Matches
50	Tamer Bani Odeh	jo JOR	FW	West Brom	20	2003	0.6	0.00	5.00	0.00	0.0	5.09	0.00	0.00		0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Barry Bannan	sct SCO	MF	Sheffield Weds	34	1989	38.5	0.10	1.25	0.26	20.8	1.25	0.26	0.08	0.40	0.00	0.00	Matches
52	Jamal Baptiste	eng ENG	DF	Sheffield United	20	2003	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
53	Shandon Baptiste	gd GRN	MF	Luton Town	26	1998	8.0	0.13	0.75	0.25	33.3	0.75	0.25	0.17	0.50	0.00	0.00	Matches
54	Tom Barkhuizen	eng ENG	MF,FW	Derby County	31	1993	4.5	0.00	0.89	0.22	25.0	0.89	0.22	0.00	0.00	0.00	0.00	Matches
55	Daniel Barlaser	tr TUR	MF	Middlesbrough	27	1997	12.8	0.08	0.63	0.16	25.0	0.62	0.16	0.13	0.50	0.00	0.00	Matches
56	Ashley Barnes	eng ENG	FW	Norwich City	34	1989	1.9	0.00	2.11	0.53	25.0	2.08	0.52	0.00	0.00	0.00	0.00	Matches
57	Ashley Barnes	eng ENG	FW	Burnley	34	1989	1.5	0.67	2.00	0.67	33.3	2.01	0.67	0.33	1.00	0.00	0.00	Matches
58	Louie Barry	eng ENG	MF	Hull City	21	2003	1.8	0.00	1.67	0.56	33.3	1.64	0.55	0.00	0.00	0.00	0.00	Matches
59	Kyle Bartley	eng ENG	DF	West Brom	33	1991	29.0	0.00	0.83	0.21	25.0	0.83	0.21	0.00	0.00	0.00	0.00	Matches
60	Norman Bassette	be BEL	FW	Coventry City	19	2004	10.1	0.20	1.78	0.69	38.9	1.79	0.69	0.11	0.29	0.00	0.00	Matches
61	Danny Batth	eng ENG	DF	Blackburn	33	1990	33.4	0.06	0.48	0.18	37.5	0.48	0.18	0.13	0.33	0.00	0.00	Matches
62	Patrick Bauer	de GER	DF	Preston	31	1992	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
63	Vakoun Bayo	ci CIV	FW	Watford	27	1997	24.9	0.40	2.37	0.88	37.3	2.37	0.88	0.15	0.41	0.04	0.04	Matches
64	James Beadle	eng ENG	GK	Sheffield Weds	20	2004	38.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
65	Owen Beck	wls WAL	DF,MF	Blackburn	21	2002	20.8	0.05	0.43	0.10	22.2	0.43	0.10	0.11	0.50	0.00	0.00	Matches
66	Chris Bedia	ci CIV	FW	Hull City	28	1996	10.2	0.29	1.86	0.78	42.1	1.86	0.78	0.11	0.25	0.10	0.10	Matches
67	Amari'i Bell	jm JAM	DF,MF	Luton Town	30	1994	30.1	0.00	0.13	0.00	0.0	0.13	0.00	0.00		0.00	0.00	Matches
68	Sam Bell	eng ENG	FW,MF	Bristol City	22	2002	4.9	0.00	3.06	1.43	46.7	3.07	1.43	0.00	0.00	0.00	0.00	Matches
69	Jobe Bellingham	eng ENG	MF	Sunderland	18	2005	39.0	0.10	1.36	0.23	17.0	1.36	0.23	0.08	0.44	0.00	0.00	Matches
70	Bachir Belloumi	dz ALG	FW,MF	Hull City	22	2002	9.1	0.22	2.64	1.10	41.7	2.65	1.10	0.08	0.20	0.00	0.00	Matches
71	Anis Ben Slimane	tn TUN	MF	Norwich City	23	2001	23.2	0.09	0.82	0.26	31.6	0.82	0.26	0.11	0.33	0.00	0.00	Matches
72	Anis Ben Slimane	tn TUN	MF	Sheffield United	23	2001	0.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
73	Joe Bennett	eng ENG	DF	Oxford United	34	1990	8.3	0.00	0.12	0.00	0.0	0.12	0.00	0.00		0.00	0.00	Matches
74	Daniel Bennie	au AUS	FW	QPR	18	2006	2.4	0.00	1.25	0.42	33.3	1.25	0.42	0.00	0.00	0.00	0.00	Matches
75	Jóhann Berg Guðmundsson	is ISL	FW,MF	Burnley	33	1990	0.2	5.00	5.00	5.00	100.0	5.63	5.63	1.00	1.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Di'Shon Bernard	jm JAM	DF	Sheffield Weds	23	2000	24.8	0.08	0.69	0.16	23.5	0.68	0.16	0.12	0.50	0.00	0.00	Matches
77	Kian Best	eng ENG	DF	Preston	18	2005	0.0	0	0	0		0.00	0.00			0	0	Matches
78	Florian Bianchini	fr FRA	FW	Swansea City	23	2001	12.3	0.24	1.46	0.73	50.0	1.47	0.73	0.17	0.33	0.00	0.00	Matches
79	Jake Bidwell	eng ENG	DF,MF	Coventry City	31	1993	22.9	0.04	0.52	0.04	8.3	0.52	0.04	0.08	1.00	0.00	0.00	Matches
80	Luis Binks	eng ENG	DF	Coventry City	22	2001	20.6	0.00	0.39	0.15	37.5	0.39	0.15	0.00	0.00	0.00	0.00	Matches
81	Max Bird	eng ENG	MF	Bristol City	23	2000	38.7	0.03	1.11	0.31	27.9	1.11	0.31	0.02	0.08	0.00	0.00	Matches
82	Colby Bishop	eng ENG	FW	Portsmouth	27	1996	29.2	0.38	2.29	0.86	37.3	2.29	0.86	0.12	0.32	0.10	0.14	Matches
83	Billy Blacker	eng ENG	FW	Sheffield United	18	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
84	Corey Blackett-Taylor	eng ENG	MF,FW	Derby County	26	1997	4.5	0.22	2.44	0.89	36.4	2.45	0.89	0.09	0.25	0.00	0.00	Matches
85	Harvey Blair	eng ENG	MF	Portsmouth	20	2003	3.3	0.30	1.21	0.61	50.0	1.22	0.61	0.25	0.50	0.00	0.00	Matches
86	Malachi Boateng	eng ENG	MF	Plymouth Argyle	22	2002	2.2	0.00	1.36	0.00	0.0	1.36	0.00	0.00		0.00	0.00	Matches
87	Eric Bocat	fr FRA	DF	Stoke City	25	1999	22.7	0.00	0.75	0.18	23.5	0.75	0.18	0.00	0.00	0.00	0.00	Matches
88	Jayden Bogle	eng ENG	DF	Leeds United	24	2000	42.5	0.14	1.11	0.33	29.8	1.11	0.33	0.13	0.43	0.00	0.00	Matches
89	Jonathan Bond	eng ENG	GK	Watford	31	1993	8.9	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
90	Neto Borges	br BRA	DF	Middlesbrough	27	1996	32.1	0.03	0.59	0.12	21.1	0.59	0.12	0.05	0.25	0.00	0.00	Matches
91	Raphael Borges Rodrigues	au AUS	MF	Coventry City	20	2003	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
