Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Blackburn	33	27.1	49.1	46	506	4,140	46.0	52	43	95	49	3	3	101	4	1.13	0.93	2.07	1.07	2.00
Bristol City	24	25.6	51.0	46	506	4,140	46.0	59	39	98	56	3	3	77	3	1.28	0.85	2.13	1.22	2.07
Burnley	38	24.9	56.6	46	506	4,140	46.0	66	45	111	62	4	4	84	3	1.43	0.98	2.41	1.35	2.33
Cardiff City	33	26.7	46.8	46	506	4,140	46.0	46	31	77	45	1	2	79	4	1.00	0.67	1.67	0.98	1.65
Coventry City	26	25.2	54.3	46	506	4,140	46.0	63	45	108	61	2	4	75	1	1.37	0.98	2.35	1.33	2.30
Derby County	33	27.5	43.8	46	506	4,140	46.0	43	29	72	41	2	2	90	0	0.93	0.63	1.57	0.89	1.52
Hull City	37	25.2	50.0	46	506	4,140	46.0	40	25	65	36	4	5	77	3	0.87	0.54	1.41	0.78	1.33
Leeds United	28	25.4	61.3	46	506	4,140	46.0	91	65	156	88	3	4	70	0	1.98	1.41	3.39	1.91	3.33
Luton Town	37	26.5	45.2	46	506	4,140	46.0	43	30	73	41	2	2	90	7	0.93	0.65	1.59	0.89	1.54
Middlesbrough	33	25.3	55.4	46	506	4,140	46.0	62	46	108	57	5	7	69	2	1.35	1.00	2.35	1.24	2.24
Millwall	34	26.7	43.0	46	506	4,140	46.0	47	31	78	45	2	4	75	1	1.02	0.67	1.70	0.98	1.65
Norwich City	35	25.1	57.8	46	506	4,140	46.0	68	55	123	67	1	2	86	2	1.48	1.20	2.67	1.46	2.65
Oxford United	34	26.7	43.6	46	506	4,140	46.0	49	36	85	49	0	0	81	0	1.07	0.78	1.85	1.07	1.85
Plymouth Argyle	34	25.4	42.3	46	506	4,140	46.0	46	28	74	43	3	3	85	6	1.00	0.61	1.61	0.93	1.54
Portsmouth	37	26.5	45.1	46	506	4,140	46.0	57	35	92	52	5	7	113	1	1.24	0.76	2.00	1.13	1.89
Preston	28	26.8	48.3	46	506	4,140	46.0	47	35	82	45	2	2	119	5	1.02	0.76	1.78	0.98	1.74
QPR	30	26.1	46.5	46	506	4,140	46.0	49	34	83	47	2	3	95	3	1.07	0.74	1.80	1.02	1.76
Sheffield United	33	24.8	51.4	46	506	4,140	46.0	59	38	97	56	3	5	96	2	1.28	0.83	2.11	1.22	2.04
Sheffield Weds	28	27.1	48.2	46	506	4,140	46.0	56	43	99	54	2	4	87	2	1.22	0.93	2.15	1.17	2.11
Stoke City	32	24.1	46.9	46	506	4,140	46.0	44	29	73	39	5	6	107	0	0.96	0.63	1.59	0.85	1.48
Sunderland	30	23.5	49.2	46	506	4,140	46.0	55	37	92	54	1	5	101	4	1.20	0.80	2.00	1.17	1.98
Swansea City	26	25.5	57.6	46	506	4,140	46.0	48	35	83	46	2	3	71	1	1.04	0.76	1.80	1.00	1.76
Watford	32	25.3	52.4	46	506	4,140	46.0	52	33	85	45	7	7	103	6	1.13	0.72	1.85	0.98	1.70
West Brom	30	26.7	54.1	46	506	4,140	46.0	56	43	99	55	1	1	79	4	1.22	0.93	2.15	1.20	2.13
