Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	Rolando Aarons	eng ENG	MF	Huddersfield	25	1995	0.1	0.00	0.00	0.00	0.00	10.0	0.00	10.0	0.00	0.00			0.00	Matches
2	Kelvin Abrefa	eng ENG	DF	Reading	17	2003	0.4	0.00	0.00	0.00	2.50	2.50	0.00	2.50	0.00	0.00			0.00	Matches
3	Tosin Adarabioyo	eng ENG	DF	Fulham	23	1997	40.9	0.07	0.02	0.00	0.46	0.22	0.02	0.07	1.22	0.68			0.02	Matches
4	Elijah Adebayo	eng ENG	FW	Luton Town	23	1998	37.4	0.16	0.00	0.00	2.03	1.36	1.12	0.70	0.37	0.40			0.00	Matches
5	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	23	1998	10.7	0.19	0.00	0.00	0.84	0.56	0.19	0.93	0.47	0.56			0.00	Matches
6	Albert Adomah	gh GHA	MF	QPR	33	1987	24.5	0.12	0.00	0.00	0.78	0.69	0.33	6.65	1.10	2.20			0.04	Matches
7	Benik Afobe	cd COD	FW,MF	Millwall	28	1993	33.8	0.12	0.00	0.00	0.53	1.09	0.83	0.59	0.12	0.47			0.00	Matches
8	Osazee Aghatise	eng ENG	MF	Derby County	18	2002	0.1	0.00	0.00	0.00	10.0	0.00	0.00	0.00	0.00	10.0			0.00	Matches
9	Semi Ajayi	ng NGA	DF	West Brom	27	1993	27.5	0.11	0.00	0.00	0.84	0.62	0.00	0.65	0.95	1.24			0.00	Matches
10	Chuba Akpom	eng ENG	FW,MF	Middlesbrough	25	1995	0.2	0.00	0.00	0.00	5.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
11	Jamie Allen	eng ENG	MF	Coventry City	26	1995	29.1	0.03	0.00	0.00	0.96	0.76	0.10	0.82	1.17	0.86			0.00	Matches
12	Joe Allen	wls WAL	MF	Stoke City	31	1990	38.6	0.18	0.03	0.03	1.37	1.09	0.03	0.52	2.15	1.42			0.00	Matches
13	Ryan Allsop	eng ENG	GK	Derby County	29	1992	29.2	0.10	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00			0.00	Matches
14	Luke Amos	eng ENG	MF	QPR	24	1997	15.0	0.27	0.00	0.00	1.20	1.00	0.07	0.33	1.60	1.33			0.00	Matches
15	Keshi Anderson	eng ENG	MF	Blackpool	26	1995	29.0	0.21	0.00	0.00	1.10	2.34	0.14	1.14	0.97	0.97			0.00	Matches
16	Chuks Aneke	eng ENG	FW	Birmingham City	28	1993	4.4	0.23	0.00	0.00	3.41	0.45	0.45	0.91	0.00	1.59			0.00	Matches
17	Faustino Anjorin	eng ENG	MF	Huddersfield	19	2001	1.6	0.00	0.00	0.00	1.88	3.13	0.00	4.38	0.63	0.00			0.00	Matches
18	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	21	1999	36.1	0.08	0.00	0.00	1.27	0.86	0.08	4.24	0.58	1.02			0.00	Matches
19	Felipe Araruna	br BRA	MF	Reading	25	1996	0.5	0.00	0.00	0.00	0.00	2.00	0.00	2.00	0.00	2.00			0.00	Matches
20	Cameron Archer	eng ENG	FW	Preston	20	2001	18.0	0.06	0.00	0.00	1.00	1.00	0.67	0.44	0.17	0.33			0.00	Matches
21	Tyrell Ashcroft	eng ENG	MF,DF	Reading	17	2004	3.4	0.00	0.00	0.00	0.29	0.29	0.00	1.47	0.59	1.47			0.00	Matches
22	Zachary Ashworth	wls WAL	DF,MF	West Brom	18	2002	0.8	1.25	0.00	0.00	1.25	1.25	0.00	3.75	0.00	3.75			0.00	Matches
23	Robert Atkinson	eng ENG	DF	Bristol City	23	1998	29.6	0.14	0.00	0.00	0.81	0.98	0.00	0.20	1.99	1.45			0.00	Matches
24	Charlie Austin	eng ENG	FW	QPR	32	1989	17.4	0.23	0.00	0.00	0.86	1.03	0.75	0.52	0.11	0.11			0.00	Matches
25	Daniel Ayala	es ESP	DF	Blackburn	30	1990	16.1	0.19	0.00	0.00	1.24	0.37	0.00	0.06	1.24	0.50			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
26	Femi Azeez	ng NGA	MF,FW	Reading	20	2001	6.2	0.00	0.00	0.00	1.13	0.65	0.48	1.61	0.16	0.81			0.00	Matches
27	Fin Back	eng ENG	MF,DF	Nottingham	18	2002	2.8	0.00	0.00	0.00	1.07	0.71	0.00	1.07	2.50	0.71			0.00	Matches
28	Juninho Bacuna	cw CUW	MF,FW	Birmingham City	23	1997	14.5	0.28	0.00	0.00	1.79	1.03	0.00	2.83	0.90	0.90			0.00	Matches
29	Leandro Bacuna	cw CUW	MF,FW	Cardiff City	29	1991	11.4	0.35	0.09	0.00	1.40	0.35	0.35	1.32	0.35	0.44			0.00	Matches
30	Joel Bagan	ie IRL	DF,MF	Cardiff City	21	2000	22.8	0.22	0.00	0.00	0.79	0.09	0.09	3.03	0.83	1.67			0.00	Matches
31	Lewis Baker	eng ENG	MF	Stoke City	26	1995	20.0	0.05	0.00	0.00	1.00	1.05	0.05	4.30	0.75	0.80			0.05	Matches
32	Nathan Baker	eng ENG	DF	Bristol City	30	1991	11.1	0.09	0.00	0.00	0.81	0.90	0.00	0.27	1.71	0.27			0.00	Matches
33	Tyreeq Bakinson	eng ENG	MF	Bristol City	22	1998	9.5	0.32	0.00	0.00	0.42	0.32	0.21	0.42	1.05	0.53			0.00	Matches
34	George Baldock	gr GRE	MF,DF	Sheffield United	28	1993	22.6	0.27	0.00	0.00	1.46	1.11	0.44	2.48	0.80	0.66			0.00	Matches
35	Sam Baldock	eng ENG	FW	Derby County	32	1989	8.9	0.00	0.00	0.00	1.12	0.11	0.79	0.22	0.11	0.34			0.00	Matches
36	Dominic Ball	eng ENG	MF	QPR	25	1995	13.5	0.30	0.00	0.00	2.07	1.26	0.07	0.30	1.85	1.04			0.00	Matches
37	Daniel Ballard	nir NIR	DF	Millwall	21	1999	29.3	0.20	0.00	0.00	1.26	1.43	0.03	0.10	1.64	1.02			0.00	Matches
38	Folarin Balogun	us USA	FW	Middlesbrough	20	2001	9.9	0.00	0.00	0.00	1.31	1.31	0.40	0.81	0.10	0.40			0.00	Matches
39	Sol Bamba	ci CIV	DF	Middlesbrough	36	1985	18.5	0.22	0.00	0.00	0.59	0.97	0.00	0.05	2.11	1.14			0.05	Matches
40	Yoann Barbet	fr FRA	DF	QPR	28	1993	41.0	0.12	0.00	0.00	0.41	0.51	0.02	1.54	1.80	0.93			0.02	Matches
41	Brandon Barker	eng ENG	FW,MF	Reading	24	1996	0.3	0.00	0.00	0.00	0.00	3.33	0.00	10.0	0.00	0.00			0.00	Matches
42	Tom Barkhuizen	eng ENG	MF,FW	Preston	28	1993	8.8	0.23	0.00	0.00	0.68	1.14	0.11	3.30	0.80	1.02			0.00	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	30	1991	38.2	0.18	0.00	0.00	1.07	0.60	0.03	0.05	1.23	0.71			0.00	Matches
44	Chris Basham	eng ENG	DF	Sheffield United	33	1988	24.5	0.04	0.00	0.00	0.41	0.98	0.12	0.86	1.71	1.31			0.00	Matches
45	Amine Bassi	fr FRA	MF,FW	Barnsley	23	1997	13.3	0.00	0.00	0.00	0.83	0.98	0.75	5.56	0.45	0.45			0.00	Matches
46	Danny Batth	eng ENG	DF	Stoke City	30	1990	10.1	0.30	0.00	0.00	1.39	0.30	0.00	0.00	1.39	0.89			0.00	Matches
47	Patrick Bauer	de GER	DF	Preston	28	1992	31.8	0.16	0.00	0.00	1.04	0.75	0.00	0.03	1.86	0.85			0.00	Matches
48	Nathan Baxter	eng ENG	GK	Hull City	22	1998	16.0	0.13	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00			0.00	Matches
