Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Barnsley	34	46.0	82	0	0	532	425	90	643	543	476	2	6	1
Birmingham City	35	46.0	83	4	1	560	409	81	873	518	435	2	9	2
Blackburn	32	46.0	115	5	4	507	485	110	722	497	417	5	1	2
Blackpool	34	46.0	71	2	1	457	520	90	723	445	433	7	1	0
Bournemouth	32	46.0	99	5	2	531	455	47	700	445	385	4	3	3
Bristol City	30	46.0	87	1	1	466	467	104	759	547	388	1	9	1
Cardiff City	32	46.0	104	3	0	544	374	90	907	447	402	1	2	2
Coventry City	25	46.0	76	3	0	508	444	85	949	455	448	4	7	2
Derby County	31	46.0	92	7	2	446	510	87	686	394	378	4	3	2
Fulham	29	46.0	70	2	0	474	478	72	954	449	385	6	5	2
Huddersfield	28	46.0	73	0	0	415	455	82	752	385	355	3	4	2
Hull City	34	46.0	76	3	2	471	467	118	887	487	453	1	5	0
Luton Town	29	46.0	90	2	1	559	475	122	781	491	400	5	5	1
Middlesbrough	30	46.0	100	3	0	470	573	74	755	396	432	6	1	6
Millwall	26	46.0	83	0	0	496	454	87	965	503	412	4	4	5
Nottingham	33	46.0	88	3	2	499	552	91	693	486	413	6	6	2
Peterborough	33	46.0	84	2	1	493	515	79	698	475	452	5	4	4
Preston	29	46.0	90	4	2	543	436	94	772	537	467	3	3	2
QPR	27	46.0	91	3	2	483	496	77	937	506	403	4	4	3
Reading	36	46.0	71	1	1	450	554	93	721	470	442	4	4	3
Sheffield United	33	46.0	89	2	1	503	425	104	978	412	402	3	4	2
Stoke City	34	46.0	89	4	1	487	437	79	897	497	424	3	4	2
Swansea City	31	46.0	89	4	2	436	548	94	513	347	355	1	6	2
West Brom	29	46.0	81	7	2	503	446	64	1100	472	411	7	4	1
