Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Rolando Aarons	eng ENG	MF	Huddersfield	25	1995	1	9	9	0.2	0.1	0.00		0.00	10.0	9	80.0	1.00	0.00	0.00	0.00	0.00	-0.37	Matches
2	Nelson Abbey	eng ENG	DF	Reading	17	2003	0					0		0	0		1							Matches
3	Azeem Abdulai	sct SCO	MF	Swansea City	18	2002	0					0		0	0		4							Matches
4	Kelvin Abrefa	eng ENG	DF	Reading	17	2003	3	38	13	0.9	0.4	0.00		0.00	7.50	13	37.5	0.00	0.00	2.50	-2.50	-2.37	-1.67	Matches
5	Tosin Adarabioyo	eng ENG	DF	Fulham	23	1997	41	3,684	90	89.0	40.9	1.00	90	0.98	0.00		0.05	1.98	2.27	0.83	1.44	+1.44	+0.65	Matches
6	Elijah Adebayo	eng ENG	FW	Luton Town	23	1998	40	3,370	84	81.4	37.4	1.02	87	0.72	0.05	33	0.00	1.63	1.52	1.07	0.45	+0.45	+1.51	Matches
7	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	23	1998	26	965	37	23.3	10.7	0.65	78	0.37	1.78	22	0.65	0.35	0.47	1.96	-1.50	-1.49	-0.81	Matches
8	Albert Adomah	gh GHA	MF	QPR	33	1987	33	2,205	67	53.3	24.5	0.90	88	0.73	0.45	25	0.45	1.42	1.39	0.98	0.41	+0.41	+0.83	Matches
9	Benik Afobe	cd COD	FW,MF	Millwall	28	1993	38	3,043	80	73.5	33.8	1.01	87	0.62	0.12	20	0.03	1.42	1.21	1.07	0.15	+0.15	-0.10	Matches
10	Osazee Aghatise	eng ENG	MF	Derby County	18	2002	3	6	2	0.1	0.1	0.00		0.00	30.0	2	20.0	2.33	0.00	0.00	0.00	0.00	+0.17	Matches
11	Semi Ajayi	ng NGA	DF	West Brom	27	1993	31	2,476	80	59.8	27.5	0.98	89	0.95	0.15	19	0.40	1.68	1.20	1.02	0.18	+0.18	+0.07	Matches
12	Chuba Akpom	eng ENG	FW,MF	Middlesbrough	25	1995	1	20	20	0.5	0.2	0.00		0.00	5.00	20	0.00	0.00	5.00	5.00	0.00	0.00	-0.20	Matches
13	Jamie Allen	eng ENG	MF	Coventry City	26	1995	38	2,623	69	63.4	29.1	1.00	85	0.76	0.31	17	0.27	1.34	1.27	1.34	-0.07	-0.07	-0.25	Matches
14	Joe Allen	wls WAL	MF	Stoke City	31	1990	41	3,478	85	84.0	38.6	0.98	89	0.88	0.08	33	0.03	1.41	1.32	1.17	0.16	+0.16	+0.29	Matches
15	Ryan Allsop	eng ENG	GK	Derby County	29	1992	30	2,624	87	63.4	29.2	0.99	89	0.96	0.03	33	0.48	1.20	0.99	1.23	-0.24	-0.24	-0.18	Matches
16	Luke Amos	eng ENG	MF	QPR	24	1997	29	1,348	46	32.6	15.0	1.00	72	0.20	0.93	19	0.60	1.62	1.47	1.33	0.13	+0.13	+0.17	Matches
17	Keshi Anderson	eng ENG	MF	Blackpool	26	1995	32	2,614	82	63.1	29.0	1.00	87	0.79	0.10	28	0.00	1.19	1.10	1.21	-0.10	-0.10	-0.04	Matches
18	Chuks Aneke	eng ENG	FW	Birmingham City	28	1993	18	395	22	9.5	4.4	0.23	67	0.00	3.86	19	1.36	0.72	1.14	1.82	-0.68	-0.68	-0.15	Matches
19	Faustino Anjorin	eng ENG	MF	Huddersfield	19	2001	7	140	20	3.4	1.6	0.00		0.00	4.38	20	1.25	1.57	1.25	0.63	0.63	+0.64	+0.28	Matches
20	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	21	1999	45	3,251	72	78.5	36.1	1.05	81	0.50	0.19	24	0.00	1.89	1.66	0.89	0.78	+0.78	+0.07	Matches
21	Cameron Antwi	eng ENG	MF	Blackpool	19	2001	0					0		0	0		1							Matches
22	Rob Apter	sct SCO	MF	Blackpool	18	2003	0					0		0	0		1							Matches
23	Felipe Araruna	br BRA	MF	Reading	25	1996	1	45	45	1.1	0.5	0.00		0.00	2.00	45	2.00	1.00	2.00	4.00	-2.00	-2.00	-1.30	Matches
24	Oliver Arblaster	eng ENG	MF	Sheffield United	17	2004	0					0		0	0		2							Matches
25	Cameron Archer	eng ENG	FW	Preston	20	2001	20	1,619	81	39.1	18.0	1.00	87	0.61	0.11	23	0.00	1.55	1.17	1.06	0.11	+0.11	+0.33	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
26	Jordan Archer	sct SCO	GK	QPR	28	1993	0					0		0	0		21							Matches
27	Amir Ariely	il ISR	DF	Barnsley	18	2003	0					0		0	0		3							Matches
28	Festus Arthur	de GER	DF,MF	Hull City	20	2001	0					0		0	0		3							Matches
29	Tyrell Ashcroft	eng ENG	MF,DF	Reading	17	2004	4	303	76	7.3	3.4	1.18	76	0.59	0.00		3.24	0.25	0.29	1.18	-0.88	-0.89	-0.19	Matches
30	Zachary Ashworth	wls WAL	DF,MF	West Brom	18	2002	2	69	35	1.7	0.8	0.00		0.00	2.50	35	3.75	3.00	1.25	0.00	1.25	+1.30	+1.17	Matches
31	Robert Atkinson	eng ENG	DF	Bristol City	23	1998	34	2,664	78	64.3	29.6	0.98	86	0.88	0.17	35	0.07	1.29	1.25	1.45	-0.20	-0.20	+0.35	Matches
32	Charlie Austin	eng ENG	FW	QPR	32	1989	34	1,562	46	37.7	17.4	0.86	76	0.17	1.09	22	0.40	1.62	1.55	0.98	0.57	+0.58	+0.89	Matches
33	Daniel Ayala	es ESP	DF	Blackburn	30	1990	21	1,445	69	34.9	16.1	0.99	83	0.87	0.31	24	0.62	1.62	1.55	1.12	0.43	+0.44	+0.37	Matches
34	Femi Azeez	ng NGA	MF,FW	Reading	20	2001	13	557	43	13.5	6.2	0.81	73	0.32	1.29	24	0.48	1.31	1.45	2.42	-0.97	-0.97	-0.29	Matches
35	Fin Back	eng ENG	MF,DF	Nottingham	18	2002	3	254	85	6.1	2.8	0.71	90	0.71	0.36	74	1.07	0.00	0.36	1.79	-1.43	-1.42	-2.27	Matches
36	Juninho Bacuna	cw CUW	MF,FW	Birmingham City	23	1997	17	1,304	77	31.5	14.5	1.10	81	0.48	0.07	15	0.07	0.88	1.24	1.45	-0.21	-0.21	+0.49	Matches
37	Leandro Bacuna	cw CUW	MF,FW	Cardiff City	29	1991	15	1,022	68	24.7	11.4	1.14	76	0.44	0.18	16	0.35	1.00	1.05	2.19	-1.14	-1.14	-1.00	Matches
38	Joel Bagan	ie IRL	DF,MF	Cardiff City	21	2000	26	2,053	79	49.6	22.8	0.96	89	0.92	0.18	22	0.39	1.31	1.27	1.32	-0.04	-0.04	+0.69	Matches
39	Lewis Baker	eng ENG	MF	Stoke City	26	1995	21	1,798	86	43.4	20.0	1.00	89	0.95	0.05	19	0.00	1.14	1.25	1.30	-0.05	-0.05	-0.28	Matches
40	Nathan Baker	eng ENG	DF	Bristol City	30	1991	15	1,003	67	24.2	11.1	1.17	74	0.72	0.18	21	0.09	1.13	0.90	1.17	-0.27	-0.27	+0.08	Matches
41	Tyreeq Bakinson	eng ENG	MF	Bristol City	22	1998	13	854	66	20.6	9.5	1.05	81	0.63	0.32	15	0.95	1.08	0.95	1.26	-0.32	-0.32	+0.01	Matches
42	George Baldock	gr GRE	MF,DF	Sheffield United	28	1993	25	2,037	81	49.2	22.6	1.06	84	0.88	0.04	11	0.31	1.26	1.11	0.97	0.13	+0.13	-0.51	Matches
43	Sam Baldock	eng ENG	FW	Derby County	32	1989	13	799	61	19.3	8.9	1.35	63	0.11	0.11	45	0.22	1.46	0.90	0.79	0.11	+0.11	+0.36	Matches
44	Dominic Ball	eng ENG	MF	QPR	25	1995	20	1,215	61	29.3	13.5	0.96	82	0.67	0.52	21	1.33	1.85	1.70	1.19	0.52	+0.52	+0.70	Matches
45	Daniel Ballard	nir NIR	DF	Millwall	21	1999	31	2,636	85	63.7	29.3	1.02	87	0.89	0.03	27	0.03	1.42	1.13	1.06	0.07	+0.07	-0.29	Matches
46	Folarin Balogun	us USA	FW	Middlesbrough	20	2001	18	891	50	21.5	9.9	0.91	73	0.20	0.91	26	0.30	1.50	1.82	0.81	1.01	+1.01	+1.04	Matches
47	Sol Bamba	ci CIV	DF	Middlesbrough	36	1985	24	1,664	69	40.2	18.5	0.97	88	0.92	0.32	13	1.08	1.71	1.08	1.08	0.00	0.00	-0.33	Matches
48	Will Bapaga	eng ENG	MF	Coventry City	18	2002	0					0		0	0		3							Matches
49	Yoann Barbet	fr FRA	DF	QPR	28	1993	41	3,690	90	89.1	41.0	1.00	90	1.00	0.00		0.05	1.54	1.34	1.17	0.17	+0.17	+1.37	Matches
50	Max Bardell	eng ENG	DF	Derby County	18	2002	0					0		0	0		2							Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
51	Brandon Barker	eng ENG	FW,MF	Reading	24	1996	4	27	7	0.7	0.3	0.00		0.00	13.3	7	30.0	0.75	0.00	3.33	-3.33	-3.33	-2.63	Matches
52	Kyle Barker	eng ENG	MF	Peterborough	20	2000	0					0		0	0		4							Matches
53	Tom Barkhuizen	eng ENG	MF,FW	Preston	28	1993	13	788	61	19.0	8.8	1.14	73	0.57	0.34	20	0.00	1.23	0.68	1.82	-1.14	-1.14	-1.30	Matches
