Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
54	Kyle Bartley	eng ENG	DF	West Brom	30	1991	39	3,439	88	83.1	38.2	0.99	89	0.92	0.03	72	0.05	1.44	1.10	1.07	0.03	+0.03	-0.74	Matches
55	Chris Basham	eng ENG	DF	Sheffield United	33	1988	28	2,202	79	53.2	24.5	0.98	88	0.94	0.16	22	0.33	1.77	1.39	0.90	0.49	+0.49	+0.21	Matches
56	Amine Bassi	fr FRA	MF,FW	Barnsley	23	1997	15	1,199	80	29.0	13.3	1.05	85	0.68	0.08	14	0.00	1.07	1.13	1.28	-0.15	-0.15	+1.01	Matches
57	Danny Batth	eng ENG	DF	Stoke City	30	1990	11	913	83	22.1	10.1	0.99	90	0.99	0.10	13	1.09	1.73	1.09	0.79	0.30	+0.30	+0.24	Matches
58	Patrick Bauer	de GER	DF	Preston	28	1992	34	2,858	84	69.0	31.8	1.07	84	0.91	0.00		0.22	1.59	1.23	1.01	0.22	+0.22	+0.99	Matches
59	Nathan Baxter	eng ENG	GK	Hull City	22	1998	16	1,440	90	34.8	16.0	1.00	90	1.00	0.00		1.13	1.69	1.31	1.06	0.25	+0.25	+0.82	Matches
60	Tom Bayliss	eng ENG	MF	Preston	22	1999	0					0		0	0		1							Matches
61	Jake Beesley	eng ENG	FW	Blackpool	24	1996	6	344	57	8.3	3.8	1.05	84	0.53	0.53	5	1.58	2.17	2.11	2.11	0.00	0.00	+0.09	Matches
62	Mark Beevers	eng ENG	DF	Peterborough	31	1989	14	1,152	82	27.8	12.8	1.09	82	0.63	0.00		0.78	0.86	0.63	1.95	-1.33	-1.33	-0.51	Matches
63	Jérémie Bela	ao ANG	MF,DF	Birmingham City	28	1993	31	2,300	74	55.6	25.6	1.02	82	0.66	0.20	35	0.31	1.06	1.05	1.64	-0.59	-0.59	-0.10	Matches
64	Amari'i Bell	jm JAM	MF,DF	Luton Town	27	1994	41	3,580	87	86.5	39.8	1.01	88	0.95	0.03	45	0.05	1.63	1.36	1.11	0.25	+0.25	+0.57	Matches
65	Sam Bell	eng ENG	DF,MF	Bristol City	19	2002	5	241	48	5.8	2.7	1.11	61	0.00	0.74	29	6.30	1.40	1.11	1.85	-0.74	-0.75	-0.45	Matches
66	Giosue Bellagambi	ug UGA	GK	Huddersfield	19	2001	0					0		0	0		1							Matches
67	Jobe Bellingham	eng ENG	MF	Birmingham City	15	2005	2	40	20	1.0	0.4	0.00		0.00	5.00	20	20.0	0.50	5.00	0.00	5.00	+4.50	+5.09	Matches
68	Ayman Benarous	eng ENG	MF	Bristol City	18	2003	11	604	55	14.6	6.7	1.04	71	0.30	0.60	27	2.39	1.64	1.64	1.34	0.30	+0.30	+0.73	Matches
69	Steven Benda	de GER	GK	Peterborough	22	1998	9	810	90	19.6	9.0	1.00	90	1.00	0.00		0.11	0.22	0.33	2.00	-1.67	-1.67	-0.88	Matches
70	Steven Benda	de GER	GK	Swansea City	22	1998	5	450	90	10.9	5.0	1.00	90	1.00	0.00		3.40	0.80	0.80	1.60	-0.80	-0.80	-0.65	Matches
71	Mason Bennett	eng ENG	FW,MF	Millwall	25	1996	29	1,383	48	33.4	15.4	1.04	69	0.06	0.84	22	0.06	1.48	1.17	0.71	0.45	+0.46	+0.42	Matches
72	Ryan Bennett	eng ENG	DF	Swansea City	31	1990	18	1,437	80	34.7	16.0	1.00	85	0.69	0.13	41	0.38	1.17	1.38	1.81	-0.44	-0.44	-0.34	Matches
73	Josh Benson	eng ENG	MF	Barnsley	21	1999	25	1,362	54	32.9	15.1	0.93	80	0.40	0.73	23	0.20	0.76	0.60	1.32	-0.73	-0.73	+0.21	Matches
74	Daniel Bentley	eng ENG	GK	Bristol City	28	1993	38	3,358	88	81.1	37.3	0.99	90	0.99	0.03	28	0.19	1.18	1.23	1.50	-0.27	-0.27	+0.31	Matches
75	Sander Berge	no NOR	MF	Sheffield United	23	1998	31	2,082	67	50.3	23.1	0.95	86	0.74	0.39	20	0.13	1.58	1.17	0.87	0.30	+0.30	-0.18	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
76	Di'Shon Bernard	jm JAM	DF	Hull City	20	2000	26	2,143	82	51.8	23.8	1.01	89	0.97	0.08	8	0.71	1.15	0.84	1.09	-0.25	-0.25	+0.06	Matches
77	Luke Berry	eng ENG	MF	Luton Town	29	1992	13	709	55	17.1	7.9	1.27	66	0.13	0.38	17	1.01	2.00	2.41	0.51	1.90	+1.90	+2.09	Matches
78	Faysal Bettache	eng ENG	MF	QPR	21	2000	0					0		0	0		1							Matches
79	Bartosz Białkowski	pl POL	GK	Millwall	34	1987	46	4,140	90	100.0	46.0	1.00	90	1.00	0.00		0.00	1.50	1.15	0.98	0.17	+0.17		Matches
80	Jake Bidwell	eng ENG	MF,DF	Coventry City	28	1993	16	1,138	71	27.5	12.6	1.03	82	0.63	0.24	22	0.24	1.19	1.35	1.90	-0.56	-0.55	-0.79	Matches
81	Jake Bidwell	eng ENG	MF	Swansea City	28	1993	16	1,361	85	32.9	15.1	1.06	85	0.73	0.00		0.26	1.56	1.13	1.13	0.00	0.00	+0.32	Matches
82	Krystian Bielik	pl POL	MF	Derby County	23	1998	15	1,003	67	24.2	11.1	1.08	75	0.27	0.27	33	0.09	1.13	1.17	1.26	-0.09	-0.09	+0.11	Matches
83	Philip Billing	dk DEN	MF	Bournemouth	25	1996	40	3,304	83	79.8	36.7	1.01	87	0.74	0.08	31	0.00	2.05	1.66	0.79	0.87	+0.87	+0.55	Matches
84	Nicholas Bilokapic	au AUS	GK	Huddersfield	18	2002	0					0		0	0		15							Matches
85	Max Bird	eng ENG	MF	Derby County	20	2000	42	3,614	86	87.3	40.2	1.02	88	0.92	0.02	10	0.00	1.24	1.02	1.14	-0.12	-0.12	+0.39	Matches
86	Jamal Blackman	eng ENG	GK	Huddersfield	27	1993	1	90	90	2.2	1.0	1.00	90	1.00	0.00		15.0	3.00	2.00	0.00	2.00	+2.00	+1.67	Matches
87	Will Blackmore	eng ENG	GK	Peterborough	18	2003	0					0		0	0		30							Matches
88	Nana Boateng	eng ENG	FW	Millwall	18	2002	0					0		0	0		2							Matches
89	Gergő Bodnár	hu HUN	DF	Peterborough	16	2005	0					0		0	0		1							Matches
90	Jayden Bogle	eng ENG	MF,DF	Sheffield United	21	2000	18	1,468	82	35.5	16.3	0.98	87	0.86	0.12	37	0.37	1.83	1.35	0.80	0.55	+0.55	+0.25	Matches
91	Marc Bola	eng ENG	MF,DF	Middlesbrough	23	1997	23	1,761	77	42.5	19.6	0.97	88	0.87	0.20	22	0.15	1.35	0.97	1.02	-0.05	-0.05	-0.43	Matches
92	Gaëtan Bong	cm CMR	DF,MF	Nottingham	33	1988	7	444	63	10.7	4.9	0.82	90	0.82	0.61	28	3.27	1.00	0.61	1.02	-0.41	-0.41	-1.26	Matches
93	Jack Bonham	ie IRL	GK	Stoke City	27	1993	15	1,350	90	32.6	15.0	1.00	90	1.00	0.00		0.93	1.20	1.20	1.13	0.07	+0.07	-0.06	Matches
94	Sam Bowen	wls WAL	MF	Cardiff City	20	2001	4	244	61	5.9	2.7	1.11	66	0.00	0.37	45	1.11	0.75	0.00	1.48	-1.48	-1.48	-1.15	Matches
95	Josh Bowler	eng ENG	MF	Blackpool	22	1999	42	2,824	67	68.2	31.4	0.96	85	0.54	0.38	23	0.03	1.29	1.34	1.05	0.29	+0.29	+1.18	Matches
96	Coniah Boyce-Clarke	jm JAM	GK	Reading	18	2003	0					0		0	0		4							Matches
97	Caolan Boyd-Munce	nir NIR	MF	Middlesbrough	21	2000	1	22	22	0.5	0.2	0.00		0.00	5.00	22	10.0	0.00	5.00	0.00	5.00	+4.09	+3.92	Matches
98	Sonny Bradley	eng ENG	DF	Luton Town	29	1991	22	1,770	80	42.8	19.7	1.02	86	0.86	0.10	27	0.10	1.46	1.42	0.96	0.46	+0.46	+0.50	Matches
99	Tom Bradshaw	wls WAL	FW,MF	Millwall	29	1992	24	1,346	56	32.5	15.0	1.07	75	0.27	0.53	18	0.67	1.33	1.27	1.20	0.07	+0.07	-0.16	Matches
100	Robbie Brady	ie IRL	MF,DF	Bournemouth	29	1992	6	194	32	4.7	2.2	0.91	75	0.45	1.82	11	3.64	1.00	1.36	0.91	0.45	+0.46	-0.31	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
101	James Bree	eng ENG	MF,DF	Luton Town	23	1997	42	3,730	89	90.1	41.4	1.01	89	0.97	0.00		0.00	1.64	1.43	1.09	0.34	+0.34	+1.65	Matches
102	David Bremang	eng ENG	FW	Barnsley	21	2000	2	39	20	0.9	0.4	0.00		0.00	5.00	20	5.00	0.00	0.00	0.00	0.00	0.00	+0.88	Matches
103	Ben Brereton	cl CHI	FW,MF	Blackburn	22	1999	37	3,066	83	74.1	34.1	1.00	87	0.88	0.09	31	0.00	1.57	1.50	1.14	0.35	+0.35	+0.60	Matches
104	Rhian Brewster	eng ENG	FW,MF	Sheffield United	21	2000	14	797	57	19.3	8.9	1.12	69	0.22	0.45	26	0.79	1.43	1.35	0.79	0.56	+0.56	+0.21	Matches
105	Tyrese Briscoe	eng ENG	FW	Millwall	18	2002	0					0		0	0		2							Matches
106	Ethan Bristow	kn SKN	MF,DF	Reading	19	2001	6	495	83	12.0	5.5	1.09	83	0.91	0.00		1.45	0.50	1.09	3.09	-2.00	-2.00	-1.46	Matches
107	Callum Brittain	eng ENG	MF,DF	Barnsley	23	1998	36	3,073	85	74.2	34.1	1.00	89	0.91	0.06	19	0.00	0.72	0.67	1.50	-0.82	-0.82	+0.19	Matches
108	David Brooks	wls WAL	FW,MF	Bournemouth	24	1997	7	500	71	12.1	5.6	1.25	71	0.18	0.00		0.54	1.86	1.79	1.07	0.71	+0.72	-0.05	Matches
109	Ciaron Brown	nir NIR	DF,MF	Cardiff City	23	1998	5	421	84	10.2	4.7	1.06	84	0.64	0.00		2.77	0.00	0.00	2.34	-2.34	-2.35	-2.18	Matches
110	Jacob Brown	sct SCO	FW	Stoke City	23	1998	45	3,249	72	78.5	36.1	1.05	81	0.53	0.19	23	0.00	1.38	1.33	1.16	0.17	+0.17	+0.27	Matches
111	James Brown	ie IRL	DF	Blackburn	23	1998	1	90	90	2.2	1.0	1.00	90	1.00	0.00		7.00	3.00	2.00	1.00	1.00	+1.00	+0.82	Matches
112	Jordan Brown	eng ENG	DF,MF	Derby County	20	2001	0					0		0	0		2							Matches
113	Reece Brown	eng ENG	MF	Peterborough	25	1996	8	453	57	10.9	5.0	1.00	76	0.40	0.60	24	0.80	0.63	0.00	1.60	-1.60	-1.59	-0.71	Matches
114	Reece Brown	eng ENG	FW,MF	Huddersfield	25	1996	0					0		0	0		2							Matches
115	Alan Browne	ie IRL	MF	Preston	26	1995	39	3,210	82	77.5	35.7	0.98	88	0.90	0.11	31	0.03	1.41	1.23	1.23	0.00	0.00	+0.39	Matches
116	Joe Bryan	eng ENG	DF	Fulham	27	1993	15	1,045	70	25.2	11.6	1.12	80	0.69	0.17	6	1.03	2.07	1.64	0.86	0.78	+0.78	-0.80	Matches
117	Kean Bryan	eng ENG	DF	West Brom	24	1996	3	49	16	1.2	0.5	2.00	39	0.00	4.00	5	10.0	3.00	0.00	0.00	0.00	0.00	-0.15	Matches
118	Lee Buchanan	eng ENG	DF	Derby County	20	2001	30	2,220	74	53.6	24.7	0.97	86	0.77	0.24	25	0.12	1.10	0.89	1.34	-0.45	-0.45	-0.59	Matches
119	John Buckley	eng ENG	MF,FW	Blackburn	21	1999	42	3,133	75	75.7	34.8	1.12	78	0.46	0.09	28	0.11	1.50	1.35	0.86	0.49	+0.49	+1.20	Matches
120	Tyler Burey	eng ENG	FW,MF	Millwall	19	2001	15	618	41	14.9	6.9	0.87	73	0.00	1.30	20	0.87	2.00	1.30	0.29	1.01	+1.02	+0.99	Matches
121	Oliver Burke	sct SCO	FW,MF	Millwall	24	1997	14	806	58	19.5	9.0	1.11	71	0.22	0.44	23	0.00	1.57	1.44	1.00	0.44	+0.45	+0.34	Matches
122	Oliver Burke	sct SCO	MF,FW	Sheffield United	24	1997	3	170	57	4.1	1.9	1.05	68	0.00	0.53	34	3.68	0.33	0.00	1.05	-1.05	-1.06	-1.51	Matches
123	Reece Burke	eng ENG	DF	Luton Town	24	1996	27	2,115	78	51.1	23.5	1.06	84	0.89	0.09	9	0.26	1.76	1.32	1.28	0.04	+0.04	-0.27	Matches
124	Finley Burns	eng ENG	DF	Swansea City	18	2003	3	209	70	5.0	2.3	1.30	70	0.43	0.00		3.48	1.33	0.43	2.17	-1.74	-1.72	-1.59	Matches
125	Harrison Burrows	eng ENG	MF,DF	Peterborough	19	2002	37	2,614	71	63.1	29.0	1.00	84	0.72	0.28	23	0.10	0.97	1.17	1.72	-0.55	-0.55	+1.10	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
126	Josef Bursik	eng ENG	GK	Stoke City	21	2000	19	1,710	90	41.3	19.0	1.00	90	1.00	0.00		0.84	1.58	1.47	1.32	0.16	+0.16	+0.08	Matches
127	Dan Butler	eng ENG	DF,MF	Peterborough	26	1994	22	1,664	76	40.2	18.5	1.03	83	0.81	0.16	28	0.00	0.86	0.81	1.89	-1.08	-1.08	-0.21	Matches
128	Daniel Butterworth	eng ENG	FW	Blackburn	21	1999	11	260	24	6.3	2.9	0.34	66	0.00	3.45	19	5.17	1.82	1.38	1.03	0.34	+0.35	+0.16	Matches
129	David Button	eng ENG	GK	West Brom	32	1989	10	900	90	21.7	10.0	1.00	90	1.00	0.00		3.40	1.40	1.20	1.20	0.00	0.00	-0.19	Matches
130	Nathan Byrne	eng ENG	DF	Derby County	29	1992	41	3,663	89	88.5	40.7	1.01	89	0.98	0.00		0.02	1.10	0.96	1.23	-0.27	-0.27	-0.84	Matches
131	Ben Cabango	wls WAL	DF	Swansea City	21	2000	37	3,073	83	74.2	34.1	1.00	89	0.94	0.09	20	0.12	1.41	1.26	1.26	0.00	0.00	+0.84	Matches
132	Rafael Cabral	br BRA	GK	Reading	31	1990	6	540	90	13.0	6.0	1.00	90	1.00	0.00		2.67	0.67	1.67	2.67	-1.00	-1.00	-0.32	Matches
133	Cafú	pt POR	MF	Nottingham	28	1993	14	356	25	8.6	4.0	0.50	90	0.50	3.00	15	5.25	1.73	2.50	0.75	1.75	+1.77	+1.15	Matches
134	Gary Cahill	eng ENG	DF	Bournemouth	35	1985	22	1,939	88	46.8	21.5	0.98	90	0.93	0.05	52	0.47	1.91	1.58	0.79	0.79	+0.79	+0.05	Matches
135	Tom Cairney	sct SCO	MF	Fulham	30	1991	26	1,547	60	37.4	17.2	0.93	79	0.29	0.58	29	0.06	2.04	3.14	0.64	2.50	+2.50	+1.81	Matches
136	Mamadi Camará	gw GNB	FW,MF	Reading	17	2003	6	151	25	3.6	1.7	0.00		0.00	3.53	25	10.0	0.67	1.18	5.88	-4.71	-4.77	-4.20	Matches
137	Brennan Camp	sct SCO	DF	Bournemouth	20	2000	0					0		0	0		4							Matches
138	Allan Campbell	sct SCO	MF	Luton Town	23	1998	33	2,583	78	62.4	28.7	1.08	82	0.66	0.07	26	0.24	1.63	1.25	0.91	0.35	+0.35	+0.46	Matches
139	Fraizer Campbell	eng ENG	FW	Huddersfield	33	1987	19	614	32	14.8	6.8	0.59	64	0.00	2.21	24	0.59	1.37	1.18	1.91	-0.74	-0.73	-1.29	Matches
140	Tate Campbell	eng ENG	MF	Birmingham City	19	2002	0					0		0	0		11							Matches
141	Tyrese Campbell	eng ENG	FW,MF	Stoke City	21	1999	26	1,049	40	25.3	11.7	0.85	77	0.34	1.37	18	0.43	1.15	1.11	1.28	-0.17	-0.17	-0.38	Matches
142	Andy Cannon	eng ENG	MF	Hull City	25	1996	10	440	44	10.6	4.9	0.82	87	0.61	1.22	16	2.65	1.10	0.82	1.22	-0.41	-0.41	-0.14	Matches
143	Todd Cantwell	eng ENG	MF	Bournemouth	23	1998	11	639	58	15.4	7.1	1.13	73	0.42	0.42	20	0.42	1.73	1.55	0.56	0.99	+0.99	+0.27	Matches
144	Sonny Carey	eng ENG	MF,FW	Blackpool	20	2001	11	491	45	11.9	5.5	0.91	78	0.36	1.09	17	1.64	1.18	1.45	1.64	-0.18	-0.18	-0.11	Matches
145	Juan Carlos Familia	do DOM	MF	Birmingham City	21	2000	3	84	28	2.0	0.9	1.11	45	0.00	2.22	20	10.0	1.33	0.00	1.11	-1.11	-1.07	-0.54	Matches
146	Andy Carroll	eng ENG	FW	Reading	32	1989	8	592	74	14.3	6.6	0.91	88	0.76	0.30	31	0.00	0.75	1.21	2.27	-1.06	-1.06	-0.40	Matches
147	Andy Carroll	eng ENG	FW	West Brom	32	1989	15	1,034	69	25.0	11.5	0.96	88	0.87	0.35	15	0.00	1.00	0.70	1.57	-0.87	-0.87	-1.36	Matches
148	Hayden Carter	eng ENG	DF	Blackburn	21	1999	9	584	65	14.1	6.5	0.77	88	0.62	0.62	37	0.62	1.22	1.38	2.46	-1.08	-1.08	-1.48	Matches
149	Harvey Cartwright	eng ENG	GK	Hull City	19	2002	2	114	57	2.8	1.3	0.77	90	0.77	0.77	24	9.23	0.50	0.00	2.31	-2.31	-2.37	-2.14	Matches
150	Fabio Carvalho	pt POR	MF	Fulham	18	2002	36	2,831	79	68.4	31.5	1.05	85	0.70	0.10	13	0.03	1.97	2.13	0.95	1.17	+1.18	-0.61	Matches
