Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Rolando Aarons	eng ENG	MF	Huddersfield	25	1995	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
2	Kelvin Abrefa	eng ENG	DF	Reading	17	2003	0.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
3	Tosin Adarabioyo	eng ENG	DF	Fulham	23	1997	40.9	0.05	0.66	0.24	37.0	0.66	0.24	0.07	0.20	0.00	0.00	Matches
4	Elijah Adebayo	eng ENG	FW	Luton Town	23	1998	37.4	0.43	2.06	0.86	41.6	2.06	0.85	0.17	0.41	0.08	0.13	Matches
5	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	23	1998	10.7	0.28	1.40	0.75	53.3	1.40	0.75	0.20	0.38	0.00	0.00	Matches
6	Albert Adomah	gh GHA	MF	QPR	33	1987	24.5	0.08	0.69	0.16	23.5	0.69	0.16	0.12	0.50	0.00	0.00	Matches
7	Benik Afobe	cd COD	FW,MF	Millwall	28	1993	33.8	0.36	2.07	1.01	48.6	2.07	1.01	0.14	0.29	0.06	0.06	Matches
8	Osazee Aghatise	eng ENG	MF	Derby County	18	2002	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
9	Semi Ajayi	ng NGA	DF	West Brom	27	1993	27.5	0.04	0.55	0.07	13.3	0.55	0.07	0.07	0.50	0.00	0.00	Matches
10	Chuba Akpom	eng ENG	FW,MF	Middlesbrough	25	1995	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
11	Jamie Allen	eng ENG	MF	Coventry City	26	1995	29.1	0.03	0.89	0.24	26.9	0.89	0.24	0.04	0.14	0.00	0.00	Matches
12	Joe Allen	wls WAL	MF	Stoke City	31	1990	38.6	0.00	0.34	0.03	7.7	0.34	0.03	0.00	0.00	0.00	0.00	Matches
13	Ryan Allsop	eng ENG	GK	Derby County	29	1992	29.2	0.00	0.03	0.00	0.0	0.03	0.00	0.00		0.00	0.00	Matches
14	Luke Amos	eng ENG	MF	QPR	24	1997	15.0	0.40	1.00	0.53	53.3	1.00	0.53	0.40	0.75	0.00	0.00	Matches
15	Keshi Anderson	eng ENG	MF	Blackpool	26	1995	29.0	0.14	1.17	0.45	38.2	1.17	0.45	0.12	0.31	0.00	0.00	Matches
16	Chuks Aneke	eng ENG	FW	Birmingham City	28	1993	4.4	0.45	6.14	1.59	25.9	6.15	1.59	0.07	0.29	0.00	0.00	Matches
17	Faustino Anjorin	eng ENG	MF	Huddersfield	19	2001	1.6	0.63	2.50	1.25	50.0	2.57	1.29	0.00	0.00	0.63	0.63	Matches
18	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	21	1999	36.1	0.22	1.72	0.66	38.7	1.72	0.66	0.13	0.33	0.00	0.00	Matches
