Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%	Matches
1	Ryan Allsop	eng ENG	GK	Derby County	29	1992	30	29	2,624	29.2	1.23	1.23	4.04	2.84	70.3	0.34	0.21	0.45	0.31	31.0	0.03	0.03	0.00	0.00	0.0	Matches
2	Nathan Baxter	eng ENG	GK	Hull City	22	1998	16	16	1,440	16.0	1.06	1.06	4.94	4.06	82.3	0.50	0.19	0.31	0.44	43.8	0.19	0.19	0.00	0.00	0.0	Matches
3	Steven Benda	de GER	GK	Peterborough	22	1998	9	9	810	9.0	2.00	2.00	5.22	3.33	63.8	0.00	0.22	0.78	0.11	11.1	0.11	0.11	0.00	0.00	0.0	Matches
4	Steven Benda	de GER	GK	Swansea City	22	1998	5	5	450	5.0	1.60	1.60	5.40	4.00	74.1	0.20	0.20	0.60	0.40	40.0	0.20	0.20	0.00	0.00	0.0	Matches
5	Daniel Bentley	eng ENG	GK	Bristol City	28	1993	38	37	3,358	37.3	1.50	1.50	4.69	3.35	70.3	0.32	0.24	0.43	0.16	16.2	0.16	0.11	0.05	0.00	33.3	Matches
6	Bartosz Białkowski	pl POL	GK	Millwall	34	1987	46	46	4,140	46.0	0.98	0.98	3.59	2.67	73.9	0.39	0.33	0.28	0.30	30.4	0.09	0.04	0.02	0.02	33.3	Matches
7	Jamal Blackman	eng ENG	GK	Huddersfield	27	1993	1	1	90	1.0	0.00	0.00	3.00	3.00	100.0	1.00	0.00	0.00	1.00	100.0	0.00	0.00	0.00	0.00		Matches
8	Jack Bonham	ie IRL	GK	Stoke City	27	1993	15	15	1,350	15.0	1.13	1.13	3.33	2.33	68.0	0.33	0.20	0.47	0.27	26.7	0.13	0.07	0.07	0.00	50.0	Matches
9	Josef Bursik	eng ENG	GK	Stoke City	21	2000	19	19	1,710	19.0	1.32	1.32	3.16	1.89	58.3	0.42	0.32	0.26	0.32	31.6	0.05	0.00	0.05	0.00	100.0	Matches
10	David Button	eng ENG	GK	West Brom	32	1989	10	10	900	10.0	1.20	1.20	2.80	1.70	60.7	0.40	0.20	0.40	0.40	40.0	0.10	0.10	0.00	0.00	0.0	Matches
11	Rafael Cabral	br BRA	GK	Reading	31	1990	6	6	540	6.0	2.67	2.67	6.00	3.50	58.3	0.17	0.17	0.67	0.00	0.0	0.17	0.17	0.00	0.00	0.0	Matches
12	Harvey Cartwright	eng ENG	GK	Hull City	19	2002	2	1	114	1.3	2.31	2.37	5.38	3.08	57.1	0.00	0.00	0.77	0.00	0.0	0.00	0.00	0.00	0.00		Matches
13	Bradley Collins	eng ENG	GK	Barnsley	24	1997	40	40	3,533	39.3	1.40	1.40	4.45	3.16	69.7	0.15	0.28	0.59	0.18	17.5	0.10	0.05	0.05	0.00	50.0	Matches
14	Murphy Cooper	eng ENG	GK	QPR	19	2001	2	2	180	2.0	2.50	2.50	7.50	5.00	66.7	0.00	0.00	1.00	0.00	0.0	0.00	0.00	0.00	0.00		Matches
15	David Cornell	wls WAL	GK	Peterborough	30	1991	30	30	2,700	30.0	1.73	1.73	4.47	2.80	62.7	0.27	0.23	0.50	0.17	16.7	0.10	0.07	0.00	0.03	0.0	Matches
