Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
31	Lewis Baker	eng ENG	MF	Stoke City	26	1995	21	20	1,798	20.0	0.40	0.10	0.50	0.25	0.15	0.15	0.05	0.00	0.40	0.10	0.50	0.25	0.35	Matches
32	Nathan Baker	eng ENG	DF	Bristol City	30	1991	15	13	1,003	11.1	0.09	0.00	0.09	0.09	0.00	0.00	0.09	0.00	0.09	0.00	0.09	0.09	0.09	Matches
33	Tyreeq Bakinson	eng ENG	MF	Bristol City	22	1998	13	10	854	9.5	0.11	0.00	0.11	0.11	0.00	0.00	0.32	0.00	0.11	0.00	0.11	0.11	0.11	Matches
34	George Baldock	gr GRE	MF,DF	Sheffield United	28	1993	25	24	2,037	22.6	0.04	0.09	0.13	0.04	0.00	0.00	0.27	0.00	0.04	0.09	0.13	0.04	0.13	Matches
35	Sam Baldock	eng ENG	FW	Derby County	32	1989	13	12	799	8.9	0.22	0.00	0.22	0.22	0.00	0.00	0.00	0.00	0.23	0.00	0.23	0.23	0.23	Matches
36	Dominic Ball	eng ENG	MF	QPR	25	1995	20	13	1,215	13.5	0.00	0.07	0.07	0.00	0.00	0.00	0.30	0.00	0.00	0.07	0.07	0.00	0.07	Matches
37	Daniel Ballard	nir NIR	DF	Millwall	21	1999	31	30	2,636	29.3	0.03	0.00	0.03	0.03	0.00	0.00	0.20	0.00	0.03	0.00	0.03	0.03	0.03	Matches
38	Folarin Balogun	us USA	FW	Middlesbrough	20	2001	18	9	891	9.9	0.30	0.30	0.61	0.30	0.00	0.00	0.00	0.00	0.30	0.30	0.61	0.30	0.61	Matches
39	Sol Bamba	ci CIV	DF	Middlesbrough	36	1985	24	18	1,664	18.5	0.00	0.05	0.05	0.00	0.00	0.00	0.22	0.00	0.00	0.05	0.05	0.00	0.05	Matches
40	Yoann Barbet	fr FRA	DF	QPR	28	1993	41	41	3,690	41.0	0.05	0.02	0.07	0.05	0.00	0.00	0.12	0.00	0.05	0.02	0.07	0.05	0.07	Matches
41	Brandon Barker	eng ENG	FW,MF	Reading	24	1996	4	0	27	0.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
42	Tom Barkhuizen	eng ENG	MF,FW	Preston	28	1993	13	10	788	8.8	0.00	0.23	0.23	0.00	0.00	0.00	0.23	0.00	0.00	0.23	0.23	0.00	0.23	Matches
43	Kyle Bartley	eng ENG	DF	West Brom	30	1991	39	38	3,439	38.2	0.05	0.03	0.08	0.05	0.00	0.00	0.18	0.00	0.05	0.03	0.08	0.05	0.08	Matches
44	Chris Basham	eng ENG	DF	Sheffield United	33	1988	28	24	2,202	24.5	0.00	0.04	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.04	0.04	0.00	0.04	Matches
45	Amine Bassi	fr FRA	MF,FW	Barnsley	23	1997	15	14	1,199	13.3	0.15	0.38	0.53	0.15	0.00	0.00	0.00	0.00	0.15	0.38	0.53	0.15	0.53	Matches
46	Danny Batth	eng ENG	DF	Stoke City	30	1990	11	10	913	10.1	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	0.00	Matches
47	Patrick Bauer	de GER	DF	Preston	28	1992	34	34	2,858	31.8	0.09	0.00	0.09	0.09	0.00	0.00	0.16	0.00	0.09	0.00	0.09	0.09	0.09	Matches
48	Nathan Baxter	eng ENG	GK	Hull City	22	1998	16	16	1,440	16.0	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	Matches
49	Jake Beesley	eng ENG	FW	Blackpool	24	1996	6	4	344	3.8	0.53	0.26	0.79	0.53	0.00	0.00	0.00	0.00	0.52	0.26	0.78	0.52	0.78	Matches
50	Mark Beevers	eng ENG	DF	Peterborough	31	1989	14	14	1,152	12.8	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Jérémie Bela	ao ANG	MF,DF	Birmingham City	28	1993	31	26	2,300	25.6	0.08	0.16	0.23	0.08	0.00	0.00	0.12	0.00	0.08	0.16	0.23	0.08	0.23	Matches
52	Amari'i Bell	jm JAM	MF,DF	Luton Town	27	1994	41	40	3,580	39.8	0.03	0.05	0.08	0.03	0.00	0.00	0.08	0.00	0.03	0.05	0.08	0.03	0.08	Matches
53	Sam Bell	eng ENG	DF,MF	Bristol City	19	2002	5	3	241	2.7	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	Matches
54	Jobe Bellingham	eng ENG	MF	Birmingham City	15	2005	2	0	40	0.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
55	Ayman Benarous	eng ENG	MF	Bristol City	18	2003	11	7	604	6.7	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	Matches
56	Steven Benda	de GER	GK	Peterborough	22	1998	9	9	810	9.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
57	Steven Benda	de GER	GK	Swansea City	22	1998	5	5	450	5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	Matches
58	Mason Bennett	eng ENG	FW,MF	Millwall	25	1996	29	16	1,383	15.4	0.19	0.00	0.19	0.19	0.00	0.00	0.32	0.00	0.20	0.00	0.20	0.20	0.20	Matches
59	Ryan Bennett	eng ENG	DF	Swansea City	31	1990	18	16	1,437	16.0	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.06	0.00	0.00	0.00	0.00	0.00	Matches
60	Josh Benson	eng ENG	MF	Barnsley	21	1999	25	14	1,362	15.1	0.00	0.07	0.07	0.00	0.00	0.00	0.33	0.00	0.00	0.07	0.07	0.00	0.07	Matches
61	Daniel Bentley	eng ENG	GK	Bristol City	28	1993	38	37	3,358	37.3	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	Matches
62	Sander Berge	no NOR	MF	Sheffield United	23	1998	31	22	2,082	23.1	0.22	0.13	0.35	0.22	0.00	0.00	0.09	0.00	0.22	0.13	0.35	0.22	0.35	Matches
63	Di'Shon Bernard	jm JAM	DF	Hull City	20	2000	26	24	2,143	23.8	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	Matches
