Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Barnsley	34	23.1	44.9	46	506	4,140	46.0	33	25	58	31	2	2	82	0	0.72	0.54	1.26	0.67	1.22
Birmingham City	35	27.3	44.3	46	506	4,140	46.0	49	34	83	46	3	3	83	4	1.07	0.74	1.80	1.00	1.74
Blackburn	32	24.4	45.2	46	506	4,140	46.0	58	40	98	54	4	6	115	5	1.26	0.87	2.13	1.17	2.04
Blackpool	34	26.0	46.1	46	506	4,140	46.0	53	34	87	47	6	7	71	2	1.15	0.74	1.89	1.02	1.76
Bournemouth	32	24.8	56.4	46	506	4,140	46.0	73	52	125	69	4	5	99	5	1.59	1.13	2.72	1.50	2.63
Bristol City	30	26.2	45.1	46	506	4,140	46.0	60	50	110	59	1	1	87	1	1.30	1.09	2.39	1.28	2.37
Cardiff City	32	25.7	45.2	46	506	4,140	46.0	49	44	93	48	1	1	104	3	1.07	0.96	2.02	1.04	2.00
Coventry City	25	26.1	53.3	46	506	4,140	46.0	56	43	99	53	3	4	76	3	1.22	0.93	2.15	1.15	2.09
Derby County	31	26.6	51.2	46	506	4,140	46.0	43	29	72	39	4	4	92	7	0.93	0.63	1.57	0.85	1.48
Fulham	29	26.7	60.3	46	506	4,140	46.0	102	78	180	96	6	7	70	2	2.22	1.70	3.91	2.09	3.78
Huddersfield	28	26.1	47.8	46	506	4,140	46.0	61	39	100	59	2	3	73	0	1.33	0.85	2.17	1.28	2.13
Hull City	34	24.5	46.6	46	506	4,140	46.0	39	29	68	39	0	1	76	3	0.85	0.63	1.48	0.85	1.48
Luton Town	29	26.9	44.5	46	506	4,140	46.0	58	45	103	54	4	6	90	2	1.26	0.98	2.24	1.17	2.15
Middlesbrough	30	26.7	49.5	46	506	4,140	46.0	54	40	94	48	6	7	100	3	1.17	0.87	2.04	1.04	1.91
Millwall	26	27.5	46.8	46	506	4,140	46.0	51	35	86	48	3	5	83	0	1.11	0.76	1.87	1.04	1.80
Nottingham	33	25.2	50.4	46	506	4,140	46.0	71	51	122	65	6	7	88	3	1.54	1.11	2.65	1.41	2.52
Peterborough	33	25.1	47.8	46	506	4,140	46.0	41	27	68	36	5	5	84	2	0.89	0.59	1.48	0.78	1.37
Preston	29	25.5	49.7	46	506	4,140	46.0	49	35	84	45	4	5	90	4	1.07	0.76	1.83	0.98	1.74
QPR	27	26.8	53.7	46	506	4,140	46.0	59	42	101	56	3	4	91	3	1.28	0.91	2.20	1.22	2.13
Reading	36	26.7	47.7	46	506	4,140	46.0	53	38	91	49	4	4	71	1	1.15	0.83	1.98	1.07	1.89
Sheffield United	33	27.8	56.8	46	506	4,140	46.0	62	51	113	59	3	4	89	2	1.35	1.11	2.46	1.28	2.39
Stoke City	34	26.6	52.1	46	506	4,140	46.0	53	41	94	50	3	5	89	4	1.15	0.89	2.04	1.09	1.98
Swansea City	31	25.6	63.3	46	506	4,140	46.0	58	46	104	57	1	1	89	4	1.26	1.00	2.26	1.24	2.24
West Brom	29	27.0	51.3	46	506	4,140	46.0	48	34	82	44	4	7	81	7	1.04	0.74	1.78	0.96	1.70
