Squad	# Pl	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%
Barnsley	2	46	46	4,140	46.0	73	1.59	219	144	68.0	6	12	28	7	15.2	6	3	3	0	50.0
Birmingham City	4	46	46	4,140	46.0	75	1.63	198	124	66.2	11	14	21	14	30.4	9	8	1	0	11.1
Blackburn	2	46	46	4,140	46.0	50	1.09	178	130	72.5	19	12	15	15	32.6	1	1	0	0	0.0
Blackpool	3	46	46	4,140	46.0	58	1.26	187	128	69.0	16	12	18	11	23.9	1	0	1	0	100.0
Bournemouth	2	46	46	4,140	46.0	39	0.85	153	117	76.5	25	13	8	21	45.7	3	3	0	0	0.0
Bristol City	2	46	46	4,140	46.0	77	1.67	217	139	67.7	15	10	21	6	13.0	9	7	2	0	22.2
Cardiff City	2	46	46	4,140	46.0	68	1.48	167	100	60.5	15	8	23	7	15.2	2	2	0	0	0.0
Coventry City	2	46	46	4,140	46.0	59	1.28	158	100	66.5	17	13	16	10	21.7	7	6	1	0	14.3
Derby County	2	46	46	4,139	46.0	53	1.15	183	131	72.1	14	13	19	14	30.4	3	2	1	0	33.3
Fulham	2	46	46	4,140	46.0	43	0.93	135	94	71.9	27	9	10	17	37.0	5	5	0	0	0.0
Huddersfield	3	46	46	4,140	46.0	47	1.02	194	149	77.3	23	13	10	19	41.3	4	3	0	1	0.0
Hull City	3	46	46	4,140	46.0	54	1.17	219	164	77.2	14	9	23	15	32.6	5	4	1	0	20.0
Luton Town	6	46	46	4,140	46.0	55	1.20	160	105	68.1	21	12	13	19	41.3	5	4	1	0	20.0
Middlesbrough	2	46	46	4,140	46.0	50	1.09	139	95	64.7	20	10	16	16	34.8	1	1	0	0	0.0
Millwall	1	46	46	4,140	46.0	45	0.98	162	121	73.5	18	15	13	14	30.4	4	2	1	1	33.3
Nottingham	2	46	46	4,134	46.0	40	0.87	169	130	79.3	23	11	12	17	37.0	6	5	1	0	16.7
Peterborough	3	46	46	4,140	46.0	87	1.89	214	131	60.7	9	10	27	6	13.0	4	3	0	1	0.0
Preston	2	46	46	4,140	46.0	56	1.22	181	127	70.7	16	16	14	13	28.3	3	3	0	0	0.0
QPR	4	46	46	4,140	46.0	59	1.28	195	139	71.8	19	9	18	12	26.1	4	4	0	0	0.0
Reading	4	46	46	4,140	46.0	87	1.89	234	150	64.5	13	8	25	5	10.9	4	4	0	0	0.0
Sheffield United	4	46	46	4,140	46.0	45	0.98	147	102	70.7	21	12	13	20	43.5	4	2	2	0	50.0
Stoke City	3	46	46	4,140	46.0	52	1.13	153	100	66.7	17	11	18	15	32.6	4	1	3	0	75.0
Swansea City	3	46	46	4,140	46.0	68	1.48	199	133	68.8	16	13	17	16	34.8	6	6	0	0	0.0
West Brom	2	46	46	4,139	46.0	45	0.98	117	72	64.1	18	13	15	19	41.3	4	3	1	0	25.0
