Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Barnsley	34	46.0	33	466	154	33.0	10.13	3.35	0.07	0.20	2	2
Birmingham City	35	46.0	49	528	154	29.2	11.48	3.35	0.09	0.30	3	3
Blackburn	32	46.0	58	502	181	36.1	10.91	3.93	0.11	0.30	4	6
Blackpool	34	46.0	53	496	151	30.4	10.78	3.28	0.09	0.31	6	7
Bournemouth	32	46.0	73	576	204	35.4	12.52	4.43	0.12	0.34	4	5
Bristol City	30	46.0	60	476	160	33.6	10.35	3.48	0.12	0.37	1	1
Cardiff City	32	46.0	49	509	169	33.2	11.07	3.67	0.09	0.28	1	1
Coventry City	25	46.0	56	655	218	33.3	14.24	4.74	0.08	0.24	3	4
Derby County	31	46.0	43	465	144	31.0	10.11	3.13	0.08	0.27	4	4
Fulham	29	46.0	102	732	265	36.2	15.91	5.76	0.13	0.36	6	7
Huddersfield	28	46.0	61	504	184	36.5	10.96	4.00	0.12	0.32	2	3
Hull City	34	46.0	39	466	137	29.4	10.13	2.98	0.08	0.28	0	1
Luton Town	29	46.0	58	473	152	32.1	10.28	3.30	0.11	0.36	4	6
Middlesbrough	30	46.0	54	536	187	34.9	11.65	4.07	0.09	0.26	6	7
Millwall	26	46.0	51	522	176	33.7	11.35	3.83	0.09	0.27	3	5
Nottingham	33	46.0	71	566	189	33.4	12.30	4.11	0.11	0.34	6	7
Peterborough	33	46.0	41	434	144	33.2	9.43	3.13	0.08	0.25	5	5
Preston	29	46.0	49	516	165	32.0	11.22	3.59	0.09	0.27	4	5
QPR	27	46.0	59	524	183	34.9	11.39	3.98	0.11	0.31	3	4
Reading	36	46.0	53	462	158	34.2	10.04	3.43	0.11	0.31	4	4
Sheffield United	33	46.0	62	569	183	32.2	12.37	3.98	0.10	0.32	3	4
Stoke City	34	46.0	53	529	160	30.2	11.50	3.48	0.09	0.31	3	5
Swansea City	31	46.0	58	495	183	37.0	10.76	3.98	0.12	0.31	1	1
West Brom	29	46.0	48	640	176	27.5	13.91	3.83	0.07	0.25	4	7
