Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Azeem Abdulai	sct SCO	MF	Swansea City	20	2002	7	139	20	3.4	1.5	0.00		0.00	4.67	20	5.33	1.14	2.00	1.33	0.67	+0.65	+0.80	Matches
2	Ken Aboh	eng ENG	FW,MF	Norwich City	18	2004	1	10	10	0.2	0.1	0.00		0.00	10.0	10	90.0	3.00	0.00	0.00	0.00	0.00	-0.33	Matches
3	Ché Adams	sct SCO	FW,MF	Southampton	27	1996	40	2,289	57	55.3	25.4	0.98	74	0.12	0.59	29	0.08	1.83	2.05	1.42	0.63	+0.63	+0.24	Matches
4	Ebou Adams	gm GAM	MF,DF	Cardiff City	27	1996	11	310	28	7.5	3.4	0.88	71	0.29	2.35	12	4.41	2.00	0.88	2.06	-1.18	-1.16	-0.86	Matches
5	Sashiel Adom-Malaki		DF	Millwall			0					0		0	0		10							Matches
6	Albert Adomah	gh GHA	MF	QPR	35	1987	16	370	23	8.9	4.1	0.49	80	0.00	3.41	15	2.44	1.00	0.98	2.44	-1.46	-1.46	-1.34	Matches
7	Evan Aisowieren	at AUT	FW	Coventry City	17	2005	0					0		0	0		2							Matches
8	Emanuel Aiwum	at AUT	DF	Birmingham City	22	2000	24	1,941	81	46.9	21.6	1.02	88	0.88	0.09	5	0.60	0.75	1.02	1.81	-0.79	-0.79	-0.87	Matches
9	Semi Ajayi	ng NGA	DF	West Brom	29	1993	26	1,210	47	29.2	13.4	0.75	90	0.75	1.19	19	0.82	1.48	1.42	1.12	0.30	+0.30	-0.29	Matches
10	Yunus Akgün	tr TUR	MF,FW	Leicester City	23	2000	23	890	39	21.5	9.9	0.91	63	0.10	1.41	23	1.21	2.00	2.73	1.11	1.62	+1.62	+0.73	Matches
11	Chuba Akpom	eng ENG	FW,MF	Middlesbrough	27	1995	0					0		0	0		1							Matches
12	Marc Albrighton	eng ENG	MF	Leicester City	33	1989	12	129	11	3.1	1.4	0.00		0.00	8.57	11	9.29	2.33	1.43	2.14	-0.71	-0.70	-1.80	Matches
13	Carlos Alcaraz	ar ARG	FW,MF	Southampton	20	2002	23	1,102	48	26.6	12.2	1.07	72	0.33	0.82	17	0.33	2.09	2.30	1.07	1.23	+1.23	+0.96	Matches
14	Ajibola Alese	eng ENG	DF	Sunderland	22	2001	8	462	58	11.2	5.1	0.98	79	0.20	0.59	22	0.39	1.00	0.59	1.18	-0.59	-0.58	-0.61	Matches
15	Rúnar Alex Rúnarsson	is ISL	GK	Cardiff City	28	1995	6	540	90	13.0	6.0	1.00	90	1.00	0.00		3.00	1.00	0.83	1.33	-0.50	-0.50	-0.15	Matches
16	Jamie Allen	eng ENG	MF	Coventry City	28	1995	22	1,158	53	28.0	12.9	1.09	75	0.31	0.62	14	0.39	1.41	1.63	1.09	0.54	+0.54	+0.42	Matches
17	Joe Allen	wls WAL	MF	Swansea City	33	1990	19	642	34	15.5	7.1	0.85	62	0.00	1.83	21	0.56	1.05	1.27	1.13	0.14	+0.14	+0.32	Matches
18	Ryan Allsop	eng ENG	GK	Hull City	31	1992	37	3,321	90	80.2	36.9	1.00	90	0.98	0.00		0.08	1.51	1.46	1.25	0.22	+0.22	+0.22	Matches
19	Jak Alnwick	eng ENG	GK	Cardiff City	30	1993	24	2,160	90	52.2	24.0	1.00	90	1.00	0.00		0.25	1.42	1.29	1.38	-0.08	-0.08	+0.60	Matches
20	Sone Aluko	ng NGA	FW,MF	Ipswich Town	34	1989	1	3	3	0.1	0.0	0		0	1	3	3	1.00	0	0	0	0.00	-0.76	Matches
21	Will Alves	eng ENG	MF	Leicester City	18	2005	0					0		0	0		1							Matches
22	Samuel Amo-Ameyaw	eng ENG	FW	Southampton	17	2006	3	75	25	1.8	0.8	1.25	55	0.00	2.50	10	17.5	2.33	3.75	1.25	2.50	+2.40	+1.91	Matches
23	Ethan Ampadu	wls WAL	MF,DF	Leeds United	22	2000	46	4,138	90	100.0	46.0	1.00	90	0.96	0.00		0.00	1.92	1.76	0.93	0.83	+0.83	+0.83	Matches
24	Lucas Andersen	dk DEN	MF	QPR	28	1994	16	909	57	22.0	10.1	1.19	69	0.20	0.40	21	0.00	1.75	1.19	0.89	0.30	+0.30	+0.69	Matches
25	Keshi Anderson	eng ENG	MF	Birmingham City	28	1995	20	1,021	51	24.7	11.3	1.06	73	0.00	0.71	18	0.44	1.35	0.88	0.71	0.18	+0.18	+0.67	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
26	Kai Andrews	wls WAL	MF	Coventry City	16	2006	2	4	2	0.1	0.0	0		0	2	2	15	3.00	1	0	+1	+22.50	+22.28	Matches
27	Ryan Andrews	eng ENG	DF,MF	Watford	18	2004	40	2,575	64	62.2	28.6	0.91	85	0.66	0.49	27	0.07	1.13	1.22	1.19	0.03	+0.03	+0.09	Matches
28	Caleb Ansen	eng ENG	GK	Norwich City	17	2005	0					0		0	0		2							Matches
29	Jaidon Anthony	eng ENG	MF	Leeds United	23	1999	31	500	16	12.1	5.6	0.36	67	0.00	5.18	13	1.07	2.00	1.61	0.71	0.89	+0.90	+0.08	Matches
30	Cameron Antwi	eng ENG	MF	Cardiff City	21	2001	0					0		0	0		3							Matches
31	Alex Aoraha	iq IRQ	MF	QPR	20	2003	0					0		0	0		2							Matches
32	Adil Aouchiche	dz ALG	MF,FW	Sunderland	21	2002	28	1,102	39	26.6	12.2	0.82	67	0.16	1.48	24	0.82	1.11	0.66	1.56	-0.90	-0.90	-1.16	Matches
33	Arvin Appiah	eng ENG	MF,FW	Rotherham	22	2001	29	834	29	20.1	9.3	0.75	54	0.00	2.37	21	1.40	0.52	1.18	1.51	-0.32	-0.32	+1.01	Matches
34	Raphael Araoye	eng ENG	DF	Bristol City	19	2004	0					0		0	0		3							Matches
35	Jordan Archer	sct SCO	GK	QPR	30	1993	0					0		0	0		28							Matches
36	Joe Aribo	ng NGA	MF	Southampton	27	1996	35	1,606	46	38.8	17.8	0.90	79	0.34	1.07	18	0.34	1.84	1.85	1.18	0.67	+0.67	+0.25	Matches
37	Adam Armstrong	eng ENG	FW,MF	Southampton	26	1997	46	3,745	81	90.5	41.6	1.06	84	0.55	0.05	22	0.00	1.92	1.78	1.35	0.43	+0.43	-0.93	Matches
38	Sinclair Armstrong	ie IRL	FW	QPR	20	2003	39	1,779	46	43.0	19.8	0.96	74	0.15	1.01	19	0.20	1.10	1.06	1.21	-0.15	-0.15	+0.15	Matches
39	Stuart Armstrong	sct SCO	MF	Southampton	31	1992	42	2,829	67	68.3	31.4	1.05	78	0.22	0.29	27	0.00	1.98	1.85	1.18	0.67	+0.67	+0.46	Matches
40	Stanley Ashbee	ie IRL	DF	Hull City	16	2006	0					0		0	0		3							Matches
41	Harrison Ashby	sct SCO	MF,DF	Swansea City	21	2001	13	798	61	19.3	8.9	1.35	66	0.22	0.11	1	0.67	0.77	0.67	1.46	-0.79	-0.79	-0.82	Matches
42	Cian Ashford	wls WAL	MF	Cardiff City	18	2004	5	312	62	7.5	3.5	0.86	90	0.86	0.57	21	2.57	1.20	1.43	3.14	-1.71	-1.73	-1.47	Matches
43	Yaser Asprilla	co COL	MF,FW	Watford	19	2003	44	2,733	62	66.0	30.4	0.92	78	0.26	0.53	34	0.07	1.14	1.28	1.38	-0.10	-0.10	-0.29	Matches
44	Tom Atcheson	nir NIR	DF	Blackburn	16	2006	0					0		0	0		9							Matches
45	Josh Austerfield	eng ENG	MF	Huddersfield	21	2001	3	70	23	1.7	0.8	1.25	45	0.00	2.50	13	18.8	0.33	0.00	3.75	-3.75	-3.86	-3.28	Matches
46	Daniel Ayala	es ESP	DF	Rotherham	32	1990	7	350	50	8.5	3.9	1.28	61	0.51	0.51	22	0.51	0.57	0.77	1.79	-1.03	-1.03	+0.11	Matches
47	Yasin Ayari	se SWE	MF	Blackburn	19	2003	10	334	33	8.1	3.7	0.54	73	0.27	2.16	24	1.89	0.80	1.35	0.27	1.08	+1.08	+1.50	Matches
48	Yasin Ayari	se SWE	MF	Coventry City	19	2003	13	550	42	13.3	6.1	0.98	65	0.16	1.15	23	1.64	1.08	1.15	1.48	-0.33	-0.33	-0.65	Matches
49	Loick Ayina	cg CGO	DF	Huddersfield	20	2003	2	78	39	1.9	0.9	0.00		0.00	2.22	39	10.0	1.50	2.22	4.44	-2.22	-2.31	-1.71	Matches
50	Luke Ayling	eng ENG	DF	Leeds United	31	1991	14	749	54	18.1	8.3	0.96	89	0.60	0.72	7	0.60	2.00	1.33	0.84	0.48	+0.48	-0.42	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
51	Luke Ayling	eng ENG	DF,MF	Middlesbrough	31	1991	19	1,639	86	39.6	18.2	1.04	86	0.71	0.00		0.00	1.74	1.65	1.04	0.60	+0.60	+0.68	Matches
52	Josh Ayres		MF	Rotherham			0					0		0	0		3							Matches
53	Finn Azaz	ie IRL	MF	Plymouth Argyle	22	2000	26	1,763	68	42.6	19.6	1.07	79	0.46	0.26	19	0.00	1.12	1.63	1.73	-0.10	-0.10	+0.24	Matches
54	Finn Azaz	ie IRL	MF	Middlesbrough	22	2000	20	1,359	68	32.8	15.1	0.99	82	0.53	0.33	26	0.00	1.65	1.66	1.32	0.33	+0.33	+0.20	Matches
55	Abdoullah Ba	fr FRA	MF,FW	Sunderland	20	2003	39	1,927	49	46.5	21.4	0.98	72	0.19	0.84	24	0.28	1.15	1.26	1.21	0.05	+0.05	+0.17	Matches
56	Daniel Bachmann	at AUT	GK	Watford	29	1994	27	2,429	90	58.7	27.0	1.00	90	0.96	0.00		0.63	1.11	1.07	1.19	-0.11	-0.11	-0.27	Matches
57	Tommy Backwell	eng ENG	MF	Bristol City	20	2003	0					0		0	0		3							Matches
58	Juninho Bacuna	cw CUW	MF	Birmingham City	25	1997	45	2,970	66	71.7	33.0	0.94	84	0.45	0.42	25	0.00	1.11	1.09	1.45	-0.36	-0.36	-0.13	Matches
59	Elkan Baggott	id IDN	DF	Ipswich Town	20	2002	0					0		0	0		1							Matches
60	Oliver Bainbridge	eng ENG	DF	Sunderland	18	2005	0					0		0	0		1							Matches
61	Stefan Bajic	fr FRA	GK	Bristol City	21	2001	0					0		0	0		44							Matches
62	Lewis Baker	eng ENG	MF	Stoke City	28	1995	20	1,067	53	25.8	11.9	1.01	79	0.59	0.67	15	0.50	1.15	0.76	1.01	-0.25	-0.25	-0.02	Matches
63	Tyreeq Bakinson	eng ENG	MF	Sheffield Weds	24	1998	8	290	36	7.0	3.2	0.94	75	0.31	1.56	13	2.50	0.88	0.63	2.19	-1.56	-1.55	-1.11	Matches
64	Steven Bala	al ALB	MF	QPR	19	2003	0					0		0	0		1							Matches
65	Radinio Balker	sr SUR	DF	Huddersfield	24	1998	7	408	58	9.9	4.5	1.11	75	0.44	0.44	18	0.00	1.14	1.56	1.11	0.44	+0.44	+1.19	Matches
66	Dominic Ball	eng ENG	MF	Ipswich Town	27	1995	10	146	15	3.5	1.6	0.63	63	0.00	5.63	9	11.3	2.10	0.63	0.00	0.63	+0.62	-0.15	Matches
67	Daniel Ballard	nir NIR	DF	Sunderland	23	1999	43	3,834	89	92.6	42.6	1.01	89	0.94	0.00		0.00	1.23	1.13	1.13	0.00	0.00	+0.59	Matches
68	Dominic Ballard	eng ENG	FW	Southampton	18	2005	0					0		0	0		1							Matches
69	Patrick Bamford	eng ENG	FW	Leeds United	29	1993	33	1,493	45	36.1	16.6	0.90	81	0.30	1.08	15	0.00	2.06	1.87	0.66	1.20	+1.21	+0.59	Matches
70	Alex Bangura	sl SLE	DF	Middlesbrough	24	1999	14	585	42	14.1	6.5	0.92	77	0.15	1.23	15	1.38	1.50	2.15	1.69	0.46	+0.46	+0.31	Matches
