Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Azeem Abdulai	sct SCO	MF	Swansea City	20	2002	7	0	139	1.5	0.00	0.67	0.67	0.00	0.00	0.00	0.67	0.00	0.00	0.65	0.65	0.00	0.65	Matches
2	Ken Aboh	eng ENG	FW,MF	Norwich City	18	2004	1	0	10	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
3	Ché Adams	sct SCO	FW,MF	Southampton	27	1996	40	25	2,289	25.4	0.63	0.16	0.79	0.63	0.00	0.00	0.20	0.00	0.63	0.16	0.79	0.63	0.79	Matches
4	Ebou Adams	gm GAM	MF,DF	Cardiff City	27	1996	11	3	310	3.4	0.00	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.00	0.00	0.00	Matches
5	Albert Adomah	gh GHA	MF	QPR	35	1987	16	2	370	4.1	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	Matches
6	Emanuel Aiwum	at AUT	DF	Birmingham City	22	2000	24	22	1,941	21.6	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	Matches
7	Semi Ajayi	ng NGA	DF	West Brom	29	1993	26	10	1,210	13.4	0.15	0.07	0.22	0.15	0.00	0.00	0.07	0.00	0.15	0.07	0.22	0.15	0.22	Matches
8	Yunus Akgün	tr TUR	MF,FW	Leicester City	23	2000	23	9	890	9.9	0.10	0.20	0.30	0.10	0.00	0.00	0.10	0.00	0.10	0.20	0.30	0.10	0.30	Matches
9	Marc Albrighton	eng ENG	MF	Leicester City	33	1989	12	0	129	1.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
10	Carlos Alcaraz	ar ARG	FW,MF	Southampton	20	2002	23	13	1,102	12.2	0.25	0.08	0.33	0.25	0.00	0.08	0.33	0.00	0.25	0.08	0.33	0.25	0.33	Matches
11	Ajibola Alese	eng ENG	DF	Sunderland	22	2001	8	5	462	5.1	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	Matches
12	Rúnar Alex Rúnarsson	is ISL	GK	Cardiff City	28	1995	6	6	540	6.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
13	Jamie Allen	eng ENG	MF	Coventry City	28	1995	22	14	1,158	12.9	0.08	0.08	0.16	0.08	0.00	0.00	0.08	0.00	0.08	0.08	0.16	0.08	0.16	Matches
14	Joe Allen	wls WAL	MF	Swansea City	33	1990	19	6	642	7.1	0.28	0.14	0.42	0.28	0.00	0.00	0.70	0.00	0.28	0.14	0.42	0.28	0.42	Matches
