Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Birmingham City	30	25.9	44.1	46	506	4,140	46.0	48	30	78	46	2	3	101	3	1.04	0.65	1.70	1.00	1.65
Blackburn	31	24.8	51.6	46	506	4,140	46.0	59	48	107	59	0	1	96	5	1.28	1.04	2.33	1.28	2.33
Bristol City	26	25.7	47.8	46	506	4,140	46.0	52	28	80	45	7	7	71	1	1.13	0.61	1.74	0.98	1.59
Cardiff City	34	26.8	45.5	46	506	4,140	46.0	48	34	82	46	2	2	81	1	1.04	0.74	1.78	1.00	1.74
Coventry City	26	25.7	51.3	46	506	4,140	46.0	66	39	105	63	3	6	89	3	1.43	0.85	2.28	1.37	2.22
Huddersfield	33	26.4	40.0	46	506	4,140	46.0	46	34	80	45	1	1	89	2	1.00	0.74	1.74	0.98	1.72
Hull City	33	25.4	55.4	46	506	4,140	46.0	68	41	109	64	4	7	97	1	1.48	0.89	2.37	1.39	2.28
Ipswich Town	32	26.9	53.0	46	506	4,140	46.0	88	63	151	86	2	3	101	0	1.91	1.37	3.28	1.87	3.24
Leeds United	33	24.0	58.2	46	506	4,140	46.0	78	56	134	71	7	9	73	2	1.70	1.22	2.91	1.54	2.76
Leicester City	27	25.9	61.6	46	506	4,140	46.0	88	57	145	76	12	13	83	1	1.91	1.24	3.15	1.65	2.89
Middlesbrough	35	25.6	52.9	46	506	4,140	46.0	69	56	125	67	2	5	85	2	1.50	1.22	2.72	1.46	2.67
Millwall	27	27.0	42.3	46	506	4,140	46.0	44	30	74	43	1	2	103	2	0.96	0.65	1.61	0.93	1.59
Norwich City	31	27.3	49.3	46	506	4,140	46.0	76	52	128	74	2	3	84	2	1.65	1.13	2.78	1.61	2.74
Plymouth Argyle	31	24.5	45.0	46	506	4,140	46.0	58	39	97	57	1	1	101	2	1.26	0.85	2.11	1.24	2.09
Preston	28	27.2	44.6	46	506	4,140	46.0	53	38	91	50	3	3	109	1	1.15	0.83	1.98	1.09	1.91
QPR	30	27.4	46.3	46	506	4,140	46.0	44	30	74	43	1	2	99	4	0.96	0.65	1.61	0.93	1.59
Rotherham	35	26.9	37.2	46	506	4,140	46.0	37	23	60	35	2	2	88	4	0.80	0.50	1.30	0.76	1.26
Sheffield Weds	33	27.3	43.4	46	506	4,140	46.0	43	33	76	43	0	0	108	5	0.93	0.72	1.65	0.93	1.65
Southampton	28	25.4	65.5	46	506	4,140	46.0	85	58	143	81	4	5	103	3	1.85	1.26	3.11	1.76	3.02
Stoke City	35	25.4	50.6	46	506	4,140	46.0	46	35	81	45	1	4	113	3	1.00	0.76	1.76	0.98	1.74
Sunderland	32	22.6	55.4	46	506	4,140	46.0	51	34	85	45	6	6	95	2	1.11	0.74	1.85	0.98	1.72
Swansea City	30	25.3	54.8	46	506	4,140	46.0	57	40	97	53	4	7	96	4	1.24	0.87	2.11	1.15	2.02
Watford	27	25.5	51.9	46	506	4,140	46.0	61	45	106	60	1	1	104	3	1.33	0.98	2.30	1.30	2.28
West Brom	28	28.0	52.2	46	506	4,140	46.0	68	45	113	63	5	5	79	1	1.48	0.98	2.46	1.37	2.35
