Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%	Matches
1	Rúnar Alex Rúnarsson	is ISL	GK	Cardiff City	28	1995	6	6	540	6.0	1.33	1.33	4.00	2.67	66.7	0.33	0.00	0.67	0.17	16.7	0.00	0.00	0.00	0.00		Matches
2	Ryan Allsop	eng ENG	GK	Hull City	31	1992	37	37	3,321	36.9	1.25	1.25	3.96	2.71	68.5	0.41	0.30	0.30	0.27	27.0	0.08	0.08	0.00	0.00	0.0	Matches
3	Jak Alnwick	eng ENG	GK	Cardiff City	30	1993	24	24	2,160	24.0	1.38	1.37	4.08	2.67	66.3	0.42	0.17	0.42	0.29	29.2	0.04	0.00	0.00	0.04		Matches
4	Daniel Bachmann	at AUT	GK	Watford	29	1994	27	27	2,429	27.0	1.19	1.19	4.04	2.85	70.6	0.22	0.44	0.33	0.37	37.0	0.15	0.07	0.07	0.00	50.0	Matches
5	Gavin Bazunu	ie IRL	GK	Southampton	21	2002	41	41	3,690	41.0	1.32	1.32	3.49	2.20	62.2	0.59	0.22	0.20	0.27	26.8	0.07	0.05	0.00	0.02	0.0	Matches
6	James Beadle	eng ENG	GK	Sheffield Weds	19	2004	19	19	1,710	19.0	1.26	1.26	4.11	2.79	69.2	0.47	0.21	0.32	0.32	31.6	0.05	0.00	0.00	0.05		Matches
7	Asmir Begović	ba BIH	GK	QPR	36	1987	45	45	4,049	45.0	1.27	1.27	4.00	2.73	68.3	0.31	0.24	0.44	0.29	28.9	0.02	0.02	0.00	0.00	0.0	Matches
8	Bartosz Białkowski	pl POL	GK	Millwall	36	1987	14	14	1,260	14.0	1.50	1.50	4.64	3.14	67.7	0.21	0.36	0.43	0.29	28.6	0.14	0.14	0.00	0.00	0.0	Matches
9	Nathan Bishop	eng ENG	GK	Sunderland	23	1999	1	1	90	1.0	2.00	2.00	2.00	0.00	0.0	0.00	0.00	1.00	0.00	0.0	0.00	0.00	0.00	0.00		Matches
10	Jack Bonham	ie IRL	GK	Stoke City	29	1993	14	14	1,260	14.0	1.36	1.36	4.21	3.00	67.8	0.14	0.50	0.36	0.36	35.7	0.21	0.21	0.00	0.00	0.0	Matches
11	Jacob Chapman	au AUS	GK	Huddersfield	22	2000	2	1	139	1.5	1.33	1.29	2.00	0.67	33.3	0.00	0.00	0.67	0.67	100.0	0.67	0.00	0.67	0.00	100.0	Matches
12	Bradley Collins	eng ENG	GK	Coventry City	26	1997	28	28	2,520	28.0	1.18	1.18	4.86	3.71	75.7	0.46	0.25	0.29	0.29	28.6	0.07	0.07	0.00	0.00	0.0	Matches
13	Michael Cooper	eng ENG	GK	Plymouth Argyle	23	1999	19	19	1,710	19.0	1.26	1.26	4.47	3.21	71.8	0.32	0.21	0.47	0.32	31.6	0.11	0.05	0.05	0.00	50.0	Matches
14	David Cornell	wls WAL	GK	Preston	32	1991	2	2	180	2.0	2.00	2.00	4.50	2.50	55.6	0.00	0.00	1.00	0.00	0.0	0.50	0.50	0.00	0.00	0.0	Matches
