Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Birmingham City	30	46.0	48	579	167	28.8	12.59	3.63	0.08	0.28	2	3
Blackburn	31	46.0	59	565	193	34.2	12.28	4.20	0.10	0.31	0	1
Bristol City	26	46.0	52	522	159	30.5	11.35	3.46	0.09	0.28	7	7
Cardiff City	34	46.0	48	499	170	34.1	10.85	3.70	0.09	0.27	2	2
Coventry City	26	46.0	66	601	189	31.4	13.07	4.11	0.10	0.33	3	6
Huddersfield	33	46.0	46	523	163	31.2	11.37	3.54	0.09	0.28	1	1
Hull City	33	46.0	68	610	216	35.4	13.26	4.70	0.10	0.30	4	7
Ipswich Town	32	46.0	88	716	254	35.5	15.57	5.52	0.12	0.34	2	3
Leeds United	33	46.0	78	687	229	33.3	14.93	4.98	0.10	0.31	7	9
Leicester City	27	46.0	88	647	223	34.5	14.07	4.85	0.12	0.34	12	13
Middlesbrough	35	46.0	69	621	217	34.9	13.50	4.72	0.11	0.31	2	5
Millwall	27	46.0	44	487	157	32.2	10.59	3.41	0.09	0.27	1	2
Norwich City	31	46.0	76	627	193	30.8	13.63	4.20	0.12	0.38	2	3
Plymouth Argyle	31	46.0	58	596	206	34.6	12.96	4.48	0.10	0.28	1	1
Preston	28	46.0	53	426	137	32.2	9.26	2.98	0.12	0.36	3	3
QPR	30	46.0	44	522	168	32.2	11.35	3.65	0.08	0.26	1	2
Rotherham	35	46.0	37	374	104	27.8	8.13	2.26	0.09	0.34	2	2
Sheffield Weds	33	46.0	43	513	150	29.2	11.15	3.26	0.08	0.29	0	0
Southampton	28	46.0	85	710	247	34.8	15.43	5.37	0.11	0.33	4	5
Stoke City	35	46.0	46	581	160	27.5	12.63	3.48	0.08	0.28	1	4
Sunderland	32	46.0	51	660	212	32.1	14.35	4.61	0.07	0.21	6	6
Swansea City	30	46.0	57	529	168	31.8	11.50	3.65	0.10	0.32	4	7
Watford	27	46.0	61	616	186	30.2	13.39	4.04	0.10	0.32	1	1
West Brom	28	46.0	68	528	155	29.4	11.48	3.37	0.12	0.41	5	5
