Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Birmingham City	30	46.0	101	3	1	582	476	80	658	478	512	3	0	2
Blackburn	31	46.0	96	5	1	480	413	108	662	442	513	1	6	3
Bristol City	26	46.0	71	1	1	446	470	88	814	428	447	4	5	2
Cardiff City	34	46.0	81	1	1	436	442	55	700	495	492	1	4	1
Coventry City	26	46.0	89	3	0	523	526	76	870	424	489	5	3	4
Huddersfield	33	46.0	89	2	2	496	529	97	900	433	451	0	4	2
Hull City	33	46.0	97	1	0	447	566	82	753	351	374	6	3	0
Ipswich Town	32	46.0	101	0	0	568	469	81	862	416	495	3	3	6
Leeds United	33	46.0	73	2	1	461	560	98	756	390	504	8	1	2
Leicester City	27	46.0	83	1	0	472	482	80	774	409	490	13	1	1
Middlesbrough	35	46.0	85	2	2	492	478	102	768	403	445	3	3	2
Millwall	27	46.0	103	2	0	591	420	78	771	491	520	0	8	1
Norwich City	31	46.0	84	2	1	461	499	104	892	430	475	3	5	2
Plymouth Argyle	31	46.0	101	2	1	465	522	67	626	410	420	1	3	4
Preston	28	46.0	109	1	1	583	429	85	799	536	521	3	4	2
QPR	30	46.0	99	4	2	551	488	82	952	442	460	1	1	1
Rotherham	35	46.0	88	4	4	527	405	83	744	459	461	2	6	1
Sheffield Weds	33	46.0	108	5	2	571	442	80	830	433	484	0	7	3
Southampton	28	46.0	103	3	1	453	541	85	907	388	406	4	3	0
Stoke City	35	46.0	113	3	3	580	429	98	912	461	509	4	6	1
Sunderland	32	46.0	95	2	2	466	597	88	793	399	497	6	3	2
Swansea City	30	46.0	96	4	3	476	550	86	927	446	443	7	5	2
Watford	27	46.0	104	3	1	581	468	76	875	431	482	0	7	3
West Brom	28	46.0	79	1	1	377	464	81	905	388	364	4	7	0
