Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
31	Harrison Ashby	sct SCO	MF,DF	Swansea City	21	2001	8.9	0.11	0.45	0.11	25.0	0.45	0.11	0.25	1.00	0.00	0.00	Matches
32	Cian Ashford	wls WAL	MF	Cardiff City	18	2004	3.5	0.29	2.29	0.57	25.0	2.31	0.58	0.13	0.50	0.00	0.00	Matches
33	Yaser Asprilla	co COL	MF,FW	Watford	19	2003	30.4	0.20	2.50	0.86	34.2	2.50	0.86	0.08	0.23	0.00	0.00	Matches
34	Josh Austerfield	eng ENG	MF	Huddersfield	21	2001	0.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
35	Daniel Ayala	es ESP	DF	Rotherham	32	1990	3.9	0.00	0.77	0.26	33.3	0.77	0.26	0.00	0.00	0.00	0.00	Matches
36	Yasin Ayari	se SWE	MF	Blackburn	19	2003	3.7	0.00	1.35	0.27	20.0	1.35	0.27	0.00	0.00	0.00	0.00	Matches
37	Yasin Ayari	se SWE	MF	Coventry City	19	2003	6.1	0.16	2.62	0.16	6.3	2.62	0.16	0.06	1.00	0.00	0.00	Matches
38	Loick Ayina	cg CGO	DF	Huddersfield	20	2003	0.9	0.00	1.11	0.00	0.0	1.15	0.00	0.00		0.00	0.00	Matches
39	Luke Ayling	eng ENG	DF	Leeds United	31	1991	8.3	0.12	0.96	0.12	12.5	0.96	0.12	0.13	1.00	0.00	0.00	Matches
40	Luke Ayling	eng ENG	DF,MF	Middlesbrough	31	1991	18.2	0.00	0.88	0.16	18.8	0.88	0.16	0.00	0.00	0.00	0.00	Matches
41	Finn Azaz	ie IRL	MF	Plymouth Argyle	22	2000	19.6	0.36	2.65	0.97	36.5	2.65	0.97	0.12	0.32	0.05	0.05	Matches
42	Finn Azaz	ie IRL	MF	Middlesbrough	22	2000	15.1	0.26	2.19	0.53	24.2	2.19	0.53	0.12	0.50	0.00	0.00	Matches
43	Abdoullah Ba	fr FRA	MF,FW	Sunderland	20	2003	21.4	0.14	1.87	0.56	30.0	1.87	0.56	0.08	0.25	0.00	0.00	Matches
44	Daniel Bachmann	at AUT	GK	Watford	29	1994	27.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
45	Juninho Bacuna	cw CUW	MF	Birmingham City	25	1997	33.0	0.21	2.76	0.70	25.3	2.76	0.70	0.07	0.26	0.03	0.03	Matches
46	Lewis Baker	eng ENG	MF	Stoke City	28	1995	11.9	0.17	1.93	1.01	52.2	1.94	1.01	0.09	0.17	0.00	0.00	Matches
47	Tyreeq Bakinson	eng ENG	MF	Sheffield Weds	24	1998	3.2	0.00	1.56	0.31	20.0	1.55	0.31	0.00	0.00	0.00	0.00	Matches
48	Radinio Balker	sr SUR	DF	Huddersfield	24	1998	4.5	0.00	0.89	0.00	0.0	0.88	0.00	0.00		0.00	0.00	Matches
49	Dominic Ball	eng ENG	MF	Ipswich Town	27	1995	1.6	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
50	Daniel Ballard	nir NIR	DF	Sunderland	23	1999	42.6	0.07	0.82	0.23	28.6	0.82	0.23	0.09	0.30	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Patrick Bamford	eng ENG	FW	Leeds United	29	1993	16.6	0.48	3.25	1.45	44.4	3.26	1.45	0.15	0.33	0.00	0.06	Matches
52	Alex Bangura	sl SLE	DF	Middlesbrough	24	1999	6.5	0.31	0.62	0.31	50.0	0.62	0.31	0.50	1.00	0.00	0.00	Matches
53	Barry Bannan	sct SCO	MF	Sheffield Weds	33	1989	38.0	0.03	1.08	0.24	22.0	1.08	0.24	0.02	0.11	0.00	0.00	Matches
54	Daniel Barlaser	tr TUR	MF	Middlesbrough	26	1997	25.9	0.00	0.27	0.04	14.3	0.27	0.04	0.00	0.00	0.00	0.00	Matches
55	Ashley Barnes	eng ENG	MF,FW	Norwich City	33	1989	27.8	0.22	1.94	0.72	37.0	1.94	0.72	0.09	0.25	0.04	0.04	Matches
56	Kyle Bartley	eng ENG	DF	West Brom	32	1991	29.0	0.14	0.97	0.24	25.0	0.97	0.24	0.14	0.57	0.00	0.00	Matches
57	Danny Batth	eng ENG	DF	Norwich City	32	1990	6.5	0.15	0.92	0.46	50.0	0.92	0.46	0.17	0.33	0.00	0.00	Matches
58	Patrick Bauer	de GER	DF	Preston	30	1992	0.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
59	Vakoun Bayo	ci CIV	FW	Watford	26	1997	24.7	0.24	2.02	0.69	34.0	2.02	0.69	0.12	0.35	0.00	0.00	Matches
60	Gavin Bazunu	ie IRL	GK	Southampton	21	2002	41.0	0.00	0.02	0.00	0.0	0.02	0.00	0.00		0.00	0.00	Matches
61	James Beadle	eng ENG	GK	Sheffield Weds	19	2004	19.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
62	Jan Bednarek	pl POL	DF	Southampton	27	1996	39.4	0.05	0.61	0.20	33.3	0.61	0.20	0.08	0.25	0.00	0.00	Matches
63	Asmir Begović	ba BIH	GK	QPR	36	1987	45.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
64	Sam Bell	eng ENG	MF,FW	Bristol City	21	2002	20.1	0.25	1.84	0.50	27.0	1.84	0.50	0.14	0.50	0.00	0.00	Matches
65	Jobe Bellingham	eng ENG	MF,FW	Sunderland	17	2005	40.3	0.17	1.44	0.60	41.4	1.44	0.60	0.12	0.29	0.00	0.00	Matches
66	Jewison Bennette	cr CRC	MF	Sunderland	19	2004	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
67	Di'Shon Bernard	jm JAM	DF	Sheffield Weds	22	2000	30.3	0.00	0.46	0.10	21.4	0.46	0.10	0.00	0.00	0.00	0.00	Matches
68	Kian Best	eng ENG	MF,DF	Preston	17	2005	7.7	0.00	0.26	0.00	0.0	0.26	0.00	0.00		0.00	0.00	Matches
69	Bartosz Białkowski	pl POL	GK	Millwall	36	1987	14.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
70	Jake Bidwell	eng ENG	DF	Coventry City	30	1993	22.8	0.04	0.44	0.09	20.0	0.44	0.09	0.10	0.50	0.00	0.00	Matches
71	Krystian Bielik	pl POL	MF,DF	Birmingham City	25	1998	33.1	0.00	0.60	0.21	35.0	0.60	0.21	0.00	0.00	0.00	0.00	Matches
72	Luis Binks	eng ENG	DF	Coventry City	21	2001	14.8	0.00	0.20	0.07	33.3	0.20	0.07	0.00	0.00	0.00	0.00	Matches
73	Nathan Bishop	eng ENG	GK	Sunderland	23	1999	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
74	Tyler Blackett	eng ENG	DF	Rotherham	29	1994	10.0	0.10	0.20	0.10	50.0	0.20	0.10	0.50	1.00	0.00	0.00	Matches
75	Thomas Bloxham	ie IRL	FW	Blackburn	18	2005	0.1	0.00	20.0	10.0	50.0	13.85	6.92	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Tolaji Bola	eng ENG	DF	Rotherham	24	1999	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
77	Yannick Bolasie	cd COD	MF,FW	Swansea City	34	1989	3.4	0.00	3.53	0.59	16.7	3.53	0.59	0.00	0.00	0.00	0.00	Matches
78	Jack Bonham	ie IRL	GK	Stoke City	29	1993	14.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
79	Josh Bowler	eng ENG	MF	Cardiff City	24	1999	26.4	0.19	1.86	0.72	38.8	1.85	0.72	0.10	0.26	0.00	0.00	Matches
80	Tom Bradshaw	wls WAL	FW	Millwall	31	1992	22.3	0.18	1.75	0.67	38.5	1.75	0.67	0.10	0.27	0.00	0.00	Matches
81	Robbie Brady	ie IRL	MF	Preston	31	1992	17.4	0.06	0.92	0.23	25.0	0.92	0.23	0.06	0.25	0.00	0.00	Matches
82	Cohen Bramall	eng ENG	DF,MF	Rotherham	27	1996	32.7	0.03	0.37	0.06	16.7	0.37	0.06	0.08	0.50	0.00	0.00	Matches
83	James Bree	eng ENG	DF	Southampton	25	1997	12.0	0.00	0.33	0.17	50.0	0.33	0.17	0.00	0.00	0.00	0.00	Matches
84	Callum Brittain	eng ENG	MF,DF	Blackburn	25	1998	40.3	0.02	0.94	0.20	21.1	0.94	0.20	0.03	0.13	0.00	0.00	Matches
85	Nathan Broadhead	wls WAL	MF	Ipswich Town	25	1998	25.5	0.51	2.94	0.90	30.7	2.94	0.90	0.17	0.57	0.00	0.00	Matches
86	David Brooks	wls WAL	FW	Southampton	26	1997	9.9	0.20	2.02	0.91	45.0	2.01	0.91	0.10	0.22	0.00	0.00	Matches
87	Jacob Brown	sct SCO	MF	Stoke City	25	1998	1.0	1.00	2.00	1.00	50.0	2.00	1.00	0.50	1.00	0.00	0.00	Matches
88	Alan Browne	ie IRL	MF	Preston	28	1995	35.2	0.11	1.25	0.28	22.7	1.25	0.28	0.07	0.30	0.03	0.03	Matches
89	Joe Bryan	eng ENG	MF,DF	Millwall	29	1993	16.1	0.12	0.87	0.25	28.6	0.87	0.25	0.14	0.50	0.00	0.00	Matches
90	Gerard Buabo		FW	Ipswich Town			0.0	0	0	0		0.00	0.00			0	0	Matches
91	Lee Buchanan	eng ENG	DF	Birmingham City	22	2001	30.3	0.00	0.50	0.03	6.7	0.49	0.03	0.00	0.00	0.00	0.00	Matches
92	John Buckley	eng ENG	MF,FW	Sheffield Weds	23	1999	5.2	0.00	0.96	0.00	0.0	0.97	0.00	0.00		0.00	0.00	Matches
93	John Buckley	eng ENG	MF	Blackburn	23	1999	5.6	0.00	0.71	0.00	0.0	0.72	0.00	0.00		0.00	0.00	Matches
94	Mustapha Bundu	sl SLE	MF,FW	Plymouth Argyle	26	1997	10.7	0.28	2.34	1.12	48.0	2.33	1.12	0.12	0.25	0.00	0.00	Matches
95	Wouter Burger	nl NED	MF	Stoke City	22	2001	29.2	0.10	1.34	0.41	30.8	1.34	0.41	0.08	0.25	0.00	0.00	Matches
96	Cameron Burgess	au AUS	DF	Ipswich Town	27	1995	38.0	0.05	0.55	0.11	19.0	0.55	0.11	0.10	0.50	0.00	0.00	Matches
97	Delano Burgzorg	sr SUR	FW,MF	Huddersfield	24	1998	24.5	0.29	2.24	1.02	45.5	2.24	1.02	0.11	0.24	0.04	0.04	Matches
98	Oliver Burke	sct SCO	MF,FW	Birmingham City	26	1997	11.2	0.00	0.80	0.27	33.3	0.80	0.27	0.00	0.00	0.00	0.00	Matches
99	Wes Burns	wls WAL	MF	Ipswich Town	28	1994	26.5	0.23	2.00	0.72	35.8	2.00	0.72	0.11	0.32	0.00	0.00	Matches
100	Mason Burstow	eng ENG	FW	Sunderland	19	2003	9.9	0.10	1.31	0.61	46.2	1.31	0.61	0.08	0.17	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
101	Matt Butcher	eng ENG	MF	Plymouth Argyle	26	1997	3.8	0.00	0.26	0.00	0.0	0.26	0.00	0.00		0.00	0.00	Matches
102	George Byers	sct SCO	MF	Sheffield Weds	27	1996	15.3	0.07	1.05	0.26	25.0	1.04	0.26	0.06	0.25	0.00	0.00	Matches
103	Sam Byram	eng ENG	DF	Leeds United	29	1993	21.5	0.09	1.07	0.23	21.7	1.07	0.23	0.09	0.40	0.00	0.00	Matches
104	Ben Cabango	wls WAL	DF	Swansea City	23	2000	32.1	0.00	0.75	0.09	12.5	0.75	0.09	0.00	0.00	0.00	0.00	Matches
105	Bailey-Tye Cadamarteri	jm JAM	FW	Sheffield Weds	18	2005	12.2	0.33	2.05	0.74	36.0	2.04	0.74	0.16	0.44	0.00	0.00	Matches
106	Cafú	pt POR	MF	Rotherham	30	1993	20.0	0.10	1.15	0.20	17.4	1.15	0.20	0.04	0.25	0.05	0.05	Matches
107	Allan Campbell	sct SCO	MF	Millwall	25	1998	8.0	0.00	0.88	0.13	14.3	0.87	0.12	0.00	0.00	0.00	0.00	Matches
108	Tyrese Campbell	eng ENG	FW,MF	Stoke City	23	1999	13.3	0.23	3.76	0.90	24.0	3.77	0.90	0.06	0.25	0.00	0.00	Matches
109	Reggie Cannon	us USA	DF	QPR	25	1998	15.9	0.00	0.19	0.00	0.0	0.19	0.00	0.00		0.00	0.00	Matches
110	Tom Cannon	ie IRL	FW	Leicester City	20	2002	4.8	0.42	3.33	1.25	37.5	3.35	1.26	0.13	0.33	0.00	0.00	Matches
111	Hayden Carter	eng ENG	DF	Blackburn	23	1999	28.4	0.00	0.56	0.07	12.5	0.56	0.07	0.00	0.00	0.00	0.00	Matches
112	Fabio Carvalho	pt POR	FW,MF	Hull City	20	2002	19.1	0.47	1.94	0.99	51.4	1.94	1.00	0.22	0.42	0.05	0.10	Matches
113	Cesare Casadei	it ITA	MF	Leicester City	20	2003	9.8	0.20	2.04	0.71	35.0	2.04	0.71	0.10	0.29	0.00	0.00	Matches
114	Ilias Chair	ma MAR	MF,FW	QPR	25	1997	41.5	0.17	2.77	0.89	32.2	2.77	0.89	0.06	0.19	0.00	0.00	Matches
115	Giorgi Chakvetadze	ge GEO	MF,FW	Watford	23	1999	17.8	0.06	1.52	0.51	33.3	1.52	0.51	0.04	0.11	0.00	0.00	Matches
116	Nathaniel Chalobah	eng ENG	MF	West Brom	28	1994	10.0	0.00	1.10	0.40	36.4	1.10	0.40	0.00	0.00	0.00	0.00	Matches
117	Conor Chaplin	eng ENG	MF	Ipswich Town	26	1997	37.1	0.35	3.72	1.08	29.0	3.72	1.08	0.09	0.33	0.00	0.00	Matches
118	Jacob Chapman	au AUS	GK	Huddersfield	22	2000	1.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
119	Shea Charles	nir NIR	MF,DF	Southampton	19	2003	16.0	0.00	0.63	0.13	20.0	0.63	0.13	0.00	0.00	0.00	0.00	Matches
120	Chiquinho	pt POR	MF	Stoke City	23	2000	0.7	0.00	1.43	0.00	0.0	1.50	0.00	0.00		0.00	0.00	Matches
121	Hamza Choudhury	bd BAN	DF,MF	Leicester City	25	1997	16.4	0.00	0.30	0.12	40.0	0.31	0.12	0.00	0.00	0.00	0.00	Matches
122	Benjamin Chrisene	eng ENG	MF,DF	Blackburn	19	2004	9.1	0.00	0.22	0.11	50.0	0.22	0.11	0.00	0.00	0.00	0.00	Matches
123	Cyrus Christie	ie IRL	DF	Hull City	30	1992	14.4	0.00	0.56	0.14	25.0	0.56	0.14	0.00	0.00	0.00	0.00	Matches
124	Dennis Cirkin	lv LVA	DF	Sunderland	21	2002	5.6	0.00	1.61	0.18	11.1	1.60	0.18	0.00	0.00	0.00	0.00	Matches
125	Ciaran Clark	ie IRL	DF	Stoke City	33	1989	3.0	0.00	0.33	0.33	100.0	0.33	0.33	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
126	Harry Clarke	eng ENG	DF	Ipswich Town	22	2001	26.2	0.04	0.76	0.19	25.0	0.76	0.19	0.05	0.20	0.00	0.00	Matches
127	Jack Clarke	eng ENG	MF,FW	Sunderland	22	2000	38.8	0.39	2.89	1.21	42.0	2.88	1.21	0.09	0.21	0.13	0.13	Matches
128	Matthew Clarke	eng ENG	DF	Middlesbrough	26	1996	20.2	0.05	1.09	0.20	18.2	1.09	0.20	0.05	0.25	0.00	0.00	Matches
129	Jake Clarke-Salter	eng ENG	DF	QPR	25	1997	29.6	0.03	0.47	0.10	21.4	0.47	0.10	0.07	0.33	0.00	0.00	Matches
130	Sam Clucas	eng ENG	MF	Rotherham	32	1990	20.9	0.05	0.81	0.24	29.4	0.81	0.24	0.06	0.20	0.00	0.00	Matches
131	Conor Coady	eng ENG	DF	Leicester City	30	1993	7.8	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
132	Josh Coburn	eng ENG	FW	Middlesbrough	20	2002	11.1	0.45	2.07	0.90	43.5	2.08	0.90	0.22	0.50	0.00	0.09	Matches
133	Jack Colback	eng ENG	MF	QPR	33	1989	22.1	0.14	0.54	0.23	41.7	0.54	0.23	0.25	0.60	0.00	0.00	Matches
134	Bradley Collins	eng ENG	GK	Coventry City	26	1997	28.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
135	Jamilu Collins	ng NGA	DF	Cardiff City	28	1994	33.2	0.03	0.36	0.12	33.3	0.36	0.12	0.08	0.25	0.00	0.00	Matches
136	Joel Colwill	wls WAL	MF	Cardiff City	18	2004	0.4	0.00	2.50	0.00	0.0	2.25	0.00	0.00		0.00	0.00	Matches
137	Rubin Colwill	wls WAL	MF,FW	Cardiff City	21	2002	17.7	0.06	2.26	0.45	20.0	2.26	0.45	0.03	0.13	0.00	0.00	Matches
138	Aaron Connolly	ie IRL	FW	Hull City	23	2000	13.5	0.59	3.04	1.33	43.9	3.04	1.33	0.20	0.44	0.00	0.00	Matches
139	Raheem Conte	eng ENG	MF	Cardiff City	20	2002	1.0	0.00	2.00	0.00	0.0	1.96	0.00	0.00		0.00	0.00	Matches
140	Tommy Conway	sct SCO	FW	Bristol City	20	2002	25.4	0.39	2.09	1.14	54.7	2.09	1.14	0.09	0.17	0.20	0.20	Matches
141	Steve Cook	eng ENG	DF	QPR	32	1991	34.1	0.06	0.67	0.26	39.1	0.67	0.26	0.09	0.22	0.00	0.00	Matches
142	Jake Cooper	eng ENG	DF	Millwall	28	1995	44.0	0.05	1.11	0.27	24.5	1.11	0.27	0.04	0.17	0.00	0.00	Matches
143	Liam Cooper	sct SCO	DF	Leeds United	31	1991	7.8	0.13	0.38	0.26	66.7	0.38	0.25	0.33	0.50	0.00	0.00	Matches
144	Michael Cooper	eng ENG	GK	Plymouth Argyle	23	1999	19.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
145	Oliver Cooper	wls WAL	MF	Swansea City	23	1999	13.6	0.07	0.96	0.29	30.8	0.96	0.29	0.08	0.25	0.00	0.00	Matches
146	David Cornell	wls WAL	GK	Preston	32	1991	2.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
147	Harry Cornick	eng ENG	MF,FW	Bristol City	28	1995	12.2	0.16	1.23	0.57	46.7	1.23	0.57	0.13	0.29	0.00	0.00	Matches
148	Hayden Coulson	eng ENG	DF	Middlesbrough	25	1998	1.6	0.00	1.88	0.00	0.0	1.82	0.00	0.00		0.00	0.00	Matches
149	Lewie Coyle	eng ENG	DF	Hull City	27	1995	34.4	0.03	0.67	0.15	21.7	0.67	0.15	0.04	0.20	0.00	0.00	Matches
150	Charlie Cresswell	eng ENG	DF	Leeds United	20	2002	1.5	0.00	1.33	0.00	0.0	1.31	0.00	0.00		0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
151	Matt Crooks	eng ENG	MF	Middlesbrough	29	1994	17.0	0.18	1.94	0.76	39.4	1.94	0.76	0.09	0.23	0.00	0.00	Matches
152	Liam Cullen	wls WAL	FW,MF	Swansea City	24	1999	26.4	0.27	2.12	0.80	37.5	2.12	0.80	0.13	0.33	0.00	0.04	Matches
153	Luke Cundle	eng ENG	MF	Stoke City	21	2002	10.9	0.18	0.92	0.37	40.0	0.91	0.37	0.20	0.50	0.00	0.00	Matches
154	Luke Cundle	eng ENG	MF	Plymouth Argyle	21	2002	13.7	0.22	1.75	0.80	45.8	1.76	0.80	0.13	0.27	0.00	0.00	Matches
155	Greg Cunningham	ie IRL	DF	Preston	32	1991	8.1	0.00	0.25	0.12	50.0	0.25	0.12	0.00	0.00	0.00	0.00	Matches
156	Bradley Dack	eng ENG	FW,MF	Sunderland	29	1993	6.5	0.15	2.00	0.77	38.5	1.99	0.77	0.08	0.20	0.00	0.00	Matches
157	Patson Daka	zm ZAM	FW	Leicester City	24	1998	12.1	0.58	3.22	1.24	38.5	3.23	1.24	0.10	0.27	0.25	0.25	Matches
158	Harry Darling	eng ENG	DF	Swansea City	23	1999	32.9	0.09	1.79	0.73	40.7	1.79	0.73	0.05	0.13	0.00	0.00	Matches
159	Karl Darlow	wls WAL	GK	Leeds United	32	1990	1.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
160	Jay Dasilva	wls WAL	MF,DF	Coventry City	25	1998	25.6	0.00	0.27	0.00	0.0	0.27	0.00	0.00		0.00	0.00	Matches
161	Aidan Dausch	eng ENG	FW	Coventry City	17	2006	0.1	0.00	10.0	0.00	0.0	15.00	0.00	0.00		0.00	0.00	Matches
162	Leif Davis	eng ENG	DF	Ipswich Town	23	1999	42.0	0.05	0.74	0.31	41.9	0.74	0.31	0.06	0.15	0.00	0.00	Matches
163	Cameron Dawson	eng ENG	GK	Sheffield Weds	28	1995	18.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
164	Liam Delap	eng ENG	FW,MF	Hull City	20	2003	24.5	0.33	2.65	1.31	49.2	2.65	1.31	0.12	0.25	0.00	0.00	Matches
165	Tom Dele-Bashiru	ng NGA	MF,DF	Watford	23	1999	25.1	0.08	0.80	0.28	35.0	0.80	0.28	0.05	0.14	0.04	0.04	Matches
166	Juan Delgado	cl CHI	MF,DF	Sheffield Weds	30	1993	7.6	0.13	1.32	0.39	30.0	1.32	0.40	0.10	0.33	0.00	0.00	Matches
167	Siriki Dembélé	ci CIV	MF,FW	Birmingham City	26	1996	22.0	0.27	1.82	0.82	45.0	1.82	0.82	0.15	0.33	0.00	0.00	Matches
168	Rav van den Berg	nl NED	DF	Middlesbrough	19	2004	32.1	0.03	0.37	0.16	41.7	0.37	0.16	0.08	0.20	0.00	0.00	Matches
169	Emmanuel Dennis	ng NGA	FW,MF	Watford	25	1997	9.5	0.42	2.21	1.05	47.6	2.20	1.05	0.19	0.40	0.00	0.00	Matches
170	Alfie Devine	eng ENG	MF,FW	Plymouth Argyle	18	2004	9.4	0.00	1.28	0.32	25.0	1.27	0.32	0.00	0.00	0.00	0.00	Matches
171	Kiernan Dewsbury-Hall	eng ENG	MF	Leicester City	24	1998	40.4	0.30	2.18	0.77	35.2	2.18	0.77	0.13	0.35	0.02	0.02	Matches
172	Bambo Diaby	sn SEN	DF	Sheffield Weds	25	1997	25.2	0.00	0.44	0.12	27.3	0.44	0.12	0.00	0.00	0.00	0.00	Matches
