Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Azeem Abdulai	sct SCO	MF	Swansea City	20	2002	1.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
2	Ken Aboh	eng ENG	FW,MF	Norwich City	18	2004	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
3	Ché Adams	sct SCO	FW,MF	Southampton	27	1996	25.4	0.63	3.11	1.22	39.2	3.11	1.22	0.20	0.52	0.00	0.00	Matches
4	Ebou Adams	gm GAM	MF,DF	Cardiff City	27	1996	3.4	0.00	0.59	0.00	0.0	0.58	0.00	0.00		0.00	0.00	Matches
5	Albert Adomah	gh GHA	MF	QPR	35	1987	4.1	0.00	0.49	0.00	0.0	0.49	0.00	0.00		0.00	0.00	Matches
6	Emanuel Aiwum	at AUT	DF	Birmingham City	22	2000	21.6	0.00	0.23	0.09	40.0	0.23	0.09	0.00	0.00	0.00	0.00	Matches
7	Semi Ajayi	ng NGA	DF	West Brom	29	1993	13.4	0.15	0.45	0.15	33.3	0.45	0.15	0.33	1.00	0.00	0.00	Matches
8	Yunus Akgün	tr TUR	MF,FW	Leicester City	23	2000	9.9	0.10	1.62	0.30	18.8	1.62	0.30	0.06	0.33	0.00	0.00	Matches
9	Marc Albrighton	eng ENG	MF	Leicester City	33	1989	1.4	0.00	0.71	0.00	0.0	0.70	0.00	0.00		0.00	0.00	Matches
10	Carlos Alcaraz	ar ARG	FW,MF	Southampton	20	2002	12.2	0.25	3.36	1.31	39.0	3.35	1.31	0.07	0.19	0.00	0.08	Matches
11	Ajibola Alese	eng ENG	DF	Sunderland	22	2001	5.1	0.00	0.20	0.00	0.0	0.19	0.00	0.00		0.00	0.00	Matches
12	Rúnar Alex Rúnarsson	is ISL	GK	Cardiff City	28	1995	6.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
13	Jamie Allen	eng ENG	MF	Coventry City	28	1995	12.9	0.08	0.85	0.31	36.4	0.85	0.31	0.09	0.25	0.00	0.00	Matches
14	Joe Allen	wls WAL	MF	Swansea City	33	1990	7.1	0.28	1.27	0.28	22.2	1.26	0.28	0.22	1.00	0.00	0.00	Matches
15	Ryan Allsop	eng ENG	GK	Hull City	31	1992	36.9	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
16	Jak Alnwick	eng ENG	GK	Cardiff City	30	1993	24.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
17	Sone Aluko	ng NGA	FW,MF	Ipswich Town	34	1989	0.0	0	1	0	0.0	30.00	0.00	0.00		0	0	Matches
18	Samuel Amo-Ameyaw	eng ENG	FW	Southampton	17	2006	0.8	0.00	1.25	0.00	0.0	1.20	0.00	0.00		0.00	0.00	Matches
19	Ethan Ampadu	wls WAL	MF,DF	Leeds United	22	2000	46.0	0.00	0.63	0.13	20.7	0.63	0.13	0.00	0.00	0.00	0.00	Matches
20	Lucas Andersen	dk DEN	MF	QPR	28	1994	10.1	0.10	1.49	0.59	40.0	1.49	0.59	0.07	0.17	0.00	0.00	Matches
21	Keshi Anderson	eng ENG	MF	Birmingham City	28	1995	11.3	0.00	1.68	0.35	21.1	1.67	0.35	0.00	0.00	0.00	0.00	Matches
22	Kai Andrews	wls WAL	MF	Coventry City	16	2006	0.0	0	0	0		0.00	0.00			0	0	Matches
23	Ryan Andrews	eng ENG	DF,MF	Watford	18	2004	28.6	0.10	1.29	0.35	27.0	1.29	0.35	0.08	0.30	0.00	0.00	Matches
24	Jaidon Anthony	eng ENG	MF	Leeds United	23	1999	5.6	0.18	3.57	1.07	30.0	3.60	1.08	0.05	0.17	0.00	0.00	Matches
25	Adil Aouchiche	dz ALG	MF,FW	Sunderland	21	2002	12.2	0.16	3.44	1.23	35.7	3.43	1.23	0.02	0.07	0.08	0.08	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Arvin Appiah	eng ENG	MF,FW	Rotherham	22	2001	9.3	0.00	0.97	0.11	11.1	0.97	0.11	0.00	0.00	0.00	0.00	Matches
27	Joe Aribo	ng NGA	MF	Southampton	27	1996	17.8	0.22	1.18	0.39	33.3	1.18	0.39	0.19	0.57	0.00	0.00	Matches
28	Adam Armstrong	eng ENG	FW,MF	Southampton	26	1997	41.6	0.50	3.44	1.54	44.8	3.44	1.54	0.12	0.27	0.10	0.10	Matches
29	Sinclair Armstrong	ie IRL	FW	QPR	20	2003	19.8	0.15	2.22	1.06	47.7	2.23	1.06	0.07	0.14	0.00	0.00	Matches
30	Stuart Armstrong	sct SCO	MF	Southampton	31	1992	31.4	0.16	2.13	0.73	34.3	2.13	0.73	0.07	0.22	0.00	0.00	Matches
