Squad	# Pl	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%
Birmingham City	2	46	46	4,140	46.0	65	1.41	215	152	69.8	13	11	22	11	23.9	0	0	0	0	
Blackburn	2	46	46	4,140	46.0	74	1.61	226	154	67.3	14	11	21	10	21.7	6	4	1	1	20.0
Bristol City	1	46	46	4,140	46.0	51	1.11	188	138	72.9	17	11	18	13	28.3	5	4	1	0	20.0
Cardiff City	3	46	46	4,140	46.0	70	1.52	195	126	64.1	19	5	22	12	26.1	4	2	0	2	0.0
Coventry City	2	46	46	4,140	46.0	59	1.28	197	142	70.1	17	13	16	12	26.1	3	3	0	0	0.0
Huddersfield	3	46	46	4,140	46.0	77	1.67	206	130	62.6	9	18	19	8	17.4	4	3	1	0	25.0
Hull City	2	46	46	4,140	46.0	60	1.30	175	115	65.7	19	13	14	11	23.9	3	3	0	0	0.0
Ipswich Town	2	46	46	4,140	46.0	57	1.24	166	115	65.7	28	12	6	15	32.6	3	2	0	1	0.0
Leeds United	3	46	46	4,138	46.0	43	0.94	127	86	66.1	27	9	10	19	41.3	1	1	0	0	0.0
Leicester City	2	46	46	4,140	46.0	41	0.89	158	117	74.1	31	4	11	15	32.6	1	0	1	0	100.0
Middlesbrough	2	46	46	4,140	46.0	62	1.35	177	117	65.0	20	9	17	11	23.9	3	3	0	0	0.0
Millwall	2	46	46	4,140	46.0	55	1.20	167	111	67.1	16	11	19	16	34.8	8	6	2	0	25.0
Norwich City	2	46	46	4,140	46.0	64	1.39	196	134	67.3	21	10	15	12	26.1	5	5	0	0	0.0
Plymouth Argyle	2	46	46	4,140	46.0	70	1.52	219	149	68.0	13	12	21	11	23.9	3	2	1	0	33.3
Preston	2	46	46	4,140	46.0	67	1.46	205	140	67.3	18	9	19	10	21.7	4	4	0	0	0.0
QPR	2	46	46	4,139	46.0	58	1.26	185	127	68.6	15	11	20	13	28.3	1	1	0	0	0.0
Rotherham	2	46	46	4,140	46.0	89	1.93	271	183	67.2	5	12	29	5	10.9	6	5	0	1	0.0
Sheffield Weds	3	46	46	4,140	46.0	68	1.48	175	109	61.1	15	8	23	13	28.3	7	5	1	1	16.7
Southampton	2	46	46	4,140	46.0	63	1.37	169	106	62.7	26	9	11	12	26.1	3	2	0	1	0.0
Stoke City	4	46	46	4,140	46.0	60	1.30	179	120	66.5	15	11	20	14	30.4	6	5	0	1	0.0
Sunderland	2	46	46	4,140	46.0	54	1.17	167	114	67.7	16	8	22	13	28.3	3	2	1	0	33.3
Swansea City	1	46	46	4,140	46.0	65	1.41	206	143	68.4	15	12	19	10	21.7	5	5	0	0	0.0
Watford	2	46	46	4,139	46.0	61	1.33	199	137	69.3	13	17	16	14	30.4	7	3	4	0	57.1
West Brom	1	46	46	4,140	46.0	47	1.02	148	98	68.2	21	12	13	18	39.1	7	3	3	1	50.0
