Squad	# Pl	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%
Birmingham City	2	46	46	4,140	46.0	58	1.26	173	113	66.5	14	11	21	14	30.4	5	3	2	0	40.0
Blackburn	2	46	46	4,140	46.0	54	1.17	177	123	69.5	20	9	17	15	32.6	1	1	0	0	0.0
Blackpool	2	46	46	4,140	46.0	72	1.57	215	147	66.5	11	11	24	11	23.9	6	5	0	1	0.0
Bristol City	2	46	46	4,140	46.0	56	1.22	166	110	66.3	15	14	17	12	26.1	4	3	1	0	25.0
Burnley	2	46	46	4,140	46.0	35	0.76	134	99	73.9	29	14	3	21	45.7	3	2	1	0	33.3
Cardiff City	3	46	46	4,139	46.0	58	1.26	154	95	62.3	13	10	23	12	26.1	4	2	2	0	50.0
Coventry City	2	46	46	4,140	46.0	46	1.00	156	112	70.5	18	16	12	20	43.5	1	1	0	0	0.0
Huddersfield	3	46	46	4,140	46.0	62	1.35	206	143	69.9	14	11	21	10	21.7	5	3	2	0	40.0
Hull City	3	46	46	4,140	46.0	61	1.33	192	136	68.2	14	16	16	14	30.4	7	5	1	1	16.7
Luton Town	3	46	46	4,140	46.0	39	0.85	127	92	69.3	21	17	8	20	43.5	5	5	0	0	0.0
Middlesbrough	2	46	46	4,140	46.0	56	1.22	167	112	66.5	22	9	15	10	21.7	3	2	1	0	33.3
Millwall	2	46	46	4,140	46.0	50	1.09	150	101	66.7	19	11	16	15	32.6	3	2	1	0	33.3
Norwich City	2	46	46	4,140	46.0	54	1.17	176	123	69.3	17	11	18	12	26.1	3	2	1	0	33.3
Preston	1	46	46	4,140	46.0	59	1.28	180	121	67.2	17	12	17	17	37.0	1	1	0	0	0.0
QPR	1	46	46	4,140	46.0	71	1.54	187	115	62.0	13	11	22	9	19.6	6	4	2	0	33.3
Reading	3	46	46	4,140	46.0	68	1.48	178	110	61.8	13	11	22	8	17.4	6	6	0	0	0.0
Rotherham	3	46	46	4,140	46.0	60	1.30	227	168	73.6	11	17	18	14	30.4	7	4	2	1	33.3
Sheffield United	3	46	46	4,137	46.0	39	0.85	134	94	70.9	28	7	11	19	41.3	4	2	2	0	50.0
Stoke City	3	46	46	4,140	46.0	54	1.17	147	94	63.3	14	11	21	13	28.3	2	1	1	0	50.0
Sunderland	1	46	46	4,140	46.0	55	1.20	163	108	66.3	18	15	13	14	30.4	6	3	2	1	40.0
Swansea City	2	46	46	4,140	46.0	64	1.39	165	102	61.2	18	12	16	11	23.9	5	2	2	1	50.0
Watford	2	46	46	4,139	46.0	53	1.15	192	140	72.4	16	15	15	16	34.8	2	2	0	0	0.0
West Brom	3	46	46	4,140	46.0	53	1.15	145	92	63.4	18	12	16	16	34.8	4	3	1	0	25.0
Wigan Athletic	3	46	46	4,140	46.0	65	1.41	159	94	59.1	10	15	21	10	21.7	5	4	0	1	0.0
