Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Max Aarons	eng ENG	DF	Norwich City	22	2000	45	3,851	86	93.0	42.8	1.03	87	0.77	0.02	7	0.02	1.31	1.26	1.19	0.07	+0.07	+0.07	Matches
2	Thelo Aasgaard	no NOR	MF	Wigan Athletic	20	2002	41	1,587	39	38.3	17.6	0.68	77	0.23	1.65	23	0.28	0.85	1.02	1.36	-0.34	-0.34	+0.40	Matches
3	Nelson Abbey	eng ENG	DF	Reading	18	2003	3	20	7	0.5	0.2	0.00		0.00	15.0	7	45.0	2.00	5.00	10.0	-5.00	-4.50	-4.04	Matches
4	Kelvin Abrefa	eng ENG	DF	Reading	18	2003	8	127	16	3.1	1.4	0.00		0.00	5.71	16	6.43	1.25	0.00	2.14	-2.14	-2.13	-1.70	Matches
5	Finlay Adair	eng ENG	FW	Preston	17	2005	4	61	15	1.5	0.7	0.00		0.00	5.71	15	4.29	0.75	0.00	0.00	0.00	0.00	+0.31	Matches
6	Gabriel Adebambo	ie IRL	MF	Stoke City	20	2002	0					0		0	0		3							Matches
7	Elijah Adebayo	eng ENG	FW	Luton Town	24	1998	42	3,216	77	77.7	35.7	1.09	80	0.45	0.08	27	0.03	1.64	1.04	0.84	0.20	+0.20	-0.88	Matches
8	Babajide Adeeko	ie IRL	MF	Wigan Athletic	19	2003	0					0		0	0		1							Matches
9	Toby Adeyemo	eng ENG	FW	Watford	17	2005	4	96	24	2.3	1.1	0.00		0.00	3.64	24	0.00	1.25	1.82	0.00	1.82	+1.87	+1.85	Matches
10	Albert Adomah	gh GHA	MF,FW	QPR	34	1987	38	1,270	33	30.7	14.1	0.85	69	0.14	1.84	17	0.35	0.97	0.64	1.42	-0.78	-0.78	-0.28	Matches
11	Michael Adu-Poku	eng ENG	FW	Watford	16	2005	1	12	12	0.3	0.1	0.00		0.00	10.0	12	0.00	1.00	0.00	0.00	0.00	0.00	-0.07	Matches
