Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Birmingham City	31	46.0	93	0	0	531	452	54	866	444	470	6	5	0
Blackburn	28	46.0	96	3	1	459	436	82	639	401	498	2	1	1
Blackpool	35	46.0	85	9	4	489	519	65	733	463	414	3	6	4
Bristol City	28	46.0	81	2	0	443	476	77	905	401	452	1	4	1
Burnley	28	46.0	81	2	0	449	490	98	898	415	417	1	3	1
Cardiff City	31	46.0	85	5	1	441	465	75	832	428	411	6	4	1
Coventry City	28	46.0	94	3	2	487	443	71	679	491	519	6	1	2
Huddersfield	40	46.0	85	3	2	454	419	80	786	430	384	0	5	1
Hull City	36	46.0	73	2	0	490	417	95	724	420	403	4	7	6
Luton Town	30	46.0	93	4	3	572	449	91	1012	429	417	1	5	4
Middlesbrough	29	46.0	84	3	0	463	506	84	986	372	381	6	3	2
Millwall	26	46.0	80	0	0	505	452	88	890	470	435	3	3	2
Norwich City	31	46.0	89	4	1	459	515	63	766	418	442	1	3	2
Preston	28	46.0	103	4	2	514	441	80	794	536	463	2	1	1
QPR	29	46.0	85	0	0	511	488	70	995	511	461	4	6	1
Reading	32	46.0	97	2	1	488	471	51	801	433	445	8	6	0
Rotherham	33	46.0	93	2	1	502	408	71	815	399	427	4	7	3
Sheffield United	32	46.0	101	3	1	481	434	72	937	486	528	2	4	1
Stoke City	32	46.0	83	1	1	551	466	64	1044	491	460	3	2	2
Sunderland	30	46.0	92	4	1	484	580	73	602	472	462	6	6	2
Swansea City	24	46.0	108	3	1	458	540	90	848	339	379	1	5	3
Watford	41	46.0	99	3	1	539	512	86	861	503	473	4	2	1
West Brom	31	46.0	76	1	1	444	460	72	1041	427	368	7	4	1
Wigan Athletic	37	46.0	85	2	1	500	492	76	875	421	448	3	5	0
