Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Birmingham City	31	46.0	47	481	144	29.9	10.46	3.13	0.09	0.30	4	6
Blackburn	28	46.0	50	459	162	35.3	9.98	3.52	0.11	0.30	1	2
Blackpool	35	46.0	48	493	139	28.2	10.72	3.02	0.09	0.32	3	4
Bristol City	28	46.0	52	450	144	32.0	9.78	3.13	0.11	0.35	2	2
Burnley	28	46.0	85	622	212	34.1	13.52	4.61	0.13	0.39	3	3
Cardiff City	31	46.0	41	531	149	28.1	11.54	3.24	0.08	0.27	1	6
Coventry City	28	46.0	57	586	186	31.7	12.74	4.04	0.09	0.27	6	7
Huddersfield	40	46.0	43	439	144	32.8	9.54	3.13	0.10	0.29	1	1
Hull City	36	46.0	48	467	134	28.7	10.15	2.91	0.10	0.34	3	4
Luton Town	30	46.0	56	551	167	30.3	11.98	3.63	0.10	0.33	1	3
Middlesbrough	29	46.0	81	561	185	33.0	12.20	4.02	0.13	0.41	6	8
Millwall	26	46.0	54	614	179	29.2	13.35	3.89	0.08	0.29	2	3
Norwich City	31	46.0	55	636	188	29.6	13.83	4.09	0.09	0.29	0	1
Preston	28	46.0	43	488	152	31.1	10.61	3.30	0.08	0.26	3	3
QPR	29	46.0	43	547	149	27.2	11.89	3.24	0.07	0.27	3	5
Reading	32	46.0	44	443	126	28.4	9.63	2.74	0.08	0.29	7	8
Rotherham	33	46.0	47	399	125	31.3	8.67	2.72	0.11	0.35	3	4
Sheffield United	32	46.0	71	626	221	35.3	13.61	4.80	0.11	0.32	0	2
Stoke City	32	46.0	53	583	199	34.1	12.67	4.33	0.09	0.26	2	3
Sunderland	30	46.0	68	564	188	33.3	12.26	4.09	0.11	0.34	5	6
Swansea City	24	46.0	67	597	212	35.5	12.98	4.61	0.11	0.31	2	3
Watford	41	46.0	54	511	164	32.1	11.11	3.57	0.10	0.32	2	4
West Brom	31	46.0	58	604	184	30.5	13.13	4.00	0.09	0.29	5	7
Wigan Athletic	37	46.0	35	466	123	26.4	10.13	2.67	0.07	0.26	3	3
