Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Max Aarons	eng ENG	DF	Norwich City	22	2000	45	44	3,851	42.8	0.02	0.07	0.09	0.02	0.00	0.00	0.23	0.00	0.02	0.07	0.09	0.02	0.09	Matches
2	Thelo Aasgaard	no NOR	MF	Wigan Athletic	20	2002	41	12	1,587	17.6	0.17	0.06	0.23	0.17	0.00	0.00	0.06	0.00	0.17	0.06	0.23	0.17	0.23	Matches
3	Nelson Abbey	eng ENG	DF	Reading	18	2003	3	0	20	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
4	Kelvin Abrefa	eng ENG	DF	Reading	18	2003	8	0	127	1.4	0.00	0.00	0.00	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00	Matches
5	Finlay Adair	eng ENG	FW	Preston	17	2005	4	0	61	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
6	Elijah Adebayo	eng ENG	FW	Luton Town	24	1998	42	39	3,216	35.7	0.20	0.08	0.28	0.20	0.00	0.03	0.22	0.00	0.20	0.08	0.28	0.20	0.28	Matches
7	Toby Adeyemo	eng ENG	FW	Watford	17	2005	4	0	96	1.1	0.91	0.00	0.91	0.91	0.00	0.00	0.91	0.00	0.94	0.00	0.94	0.94	0.94	Matches
8	Albert Adomah	gh GHA	MF,FW	QPR	34	1987	38	12	1,270	14.1	0.14	0.00	0.14	0.14	0.00	0.00	0.14	0.00	0.14	0.00	0.14	0.14	0.14	Matches
9	Michael Adu-Poku	eng ENG	FW	Watford	16	2005	1	0	12	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
10	Benik Afobe	cd COD	FW	Millwall	29	1993	19	8	927	10.3	0.19	0.10	0.29	0.19	0.00	0.10	0.10	0.00	0.19	0.10	0.29	0.19	0.29	Matches
11	Anel Ahmedhodžić	ba BIH	DF	Sheffield United	23	1999	34	32	2,860	31.8	0.19	0.06	0.25	0.19	0.00	0.00	0.38	0.00	0.19	0.06	0.25	0.19	0.25	Matches
12	Semi Ajayi	ng NGA	DF	West Brom	28	1993	22	17	1,462	16.2	0.12	0.00	0.12	0.12	0.00	0.00	0.12	0.00	0.12	0.00	0.12	0.12	0.12	Matches
13	Chuba Akpom	eng ENG	MF,FW	Middlesbrough	26	1995	38	35	3,108	34.5	0.81	0.06	0.87	0.70	0.12	0.17	0.14	0.00	0.81	0.06	0.87	0.69	0.75	Matches
14	Marc Albrighton	eng ENG	MF	West Brom	32	1989	17	8	673	7.5	0.00	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	Matches
15	Ajibola Alese	eng ENG	DF	Sunderland	21	2001	20	17	1,407	15.6	0.06	0.00	0.06	0.06	0.00	0.00	0.06	0.00	0.06	0.00	0.06	0.06	0.06	Matches
16	Jamie Allen	eng ENG	MF,FW	Coventry City	27	1995	37	34	2,817	31.3	0.19	0.06	0.26	0.19	0.00	0.00	0.06	0.00	0.19	0.06	0.26	0.19	0.26	Matches
17	Joe Allen	wls WAL	MF	Swansea City	32	1990	25	17	1,235	13.7	0.07	0.07	0.15	0.07	0.00	0.00	0.15	0.07	0.07	0.07	0.15	0.07	0.15	Matches
18	Ryan Allsop	eng ENG	GK	Cardiff City	30	1992	43	43	3,845	42.7	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.02	0.00	0.00	0.00	0.00	0.00	Matches
19	Jak Alnwick	eng ENG	GK	Cardiff City	29	1993	4	3	293	3.3	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.00	0.00	0.00	Matches
20	Jordan Amissah	gh GHA	GK	Sheffield United	20	2001	1	0	13	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
21	Ben Amos	eng ENG	GK	Wigan Athletic	32	1990	29	29	2,572	28.6	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	Matches
22	Luke Amos	eng ENG	MF	QPR	25	1997	21	8	893	9.9	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	Matches
23	Joe Anderson	eng ENG	DF	Sunderland	21	2001	4	0	43	0.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
24	Keshi Anderson	eng ENG	MF	Blackpool	27	1995	9	5	433	4.8	0.00	0.42	0.42	0.00	0.00	0.00	0.21	0.00	0.00	0.42	0.42	0.00	0.42	Matches
25	Ryan Andrews	eng ENG	DF	Watford	17	2004	6	6	483	5.4	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Faustino Anjorin	eng ENG	MF,FW	Huddersfield	20	2001	8	6	439	4.9	0.41	0.00	0.41	0.41	0.00	0.00	0.00	0.00	0.41	0.00	0.41	0.41	0.41	Matches
27	Rob Apter	sct SCO	MF	Blackpool	19	2003	1	0	21	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
28	Henrique Araújo	pt POR	FW	Watford	20	2002	8	3	342	3.8	0.00	0.26	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.26	0.00	0.26	Matches
29	Oliver Arblaster	eng ENG	MF	Sheffield United	18	2004	4	1	74	0.8	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
30	Cameron Archer	eng ENG	FW	Middlesbrough	21	2001	20	17	1,368	15.2	0.72	0.39	1.12	0.72	0.00	0.00	0.07	0.00	0.72	0.39	1.12	0.72	1.12	Matches
31	Sinclair Armstrong	ie IRL	MF,FW	QPR	19	2003	22	3	545	6.1	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	0.00	0.00	Matches
32	Yaser Asprilla	co COL	MF	Watford	18	2003	37	14	1,507	16.7	0.06	0.12	0.18	0.06	0.00	0.00	0.24	0.00	0.06	0.12	0.18	0.06	0.18	Matches
33	Britt Assombalonga	cd COD	FW	Watford	29	1992	11	1	185	2.1	0.95	0.00	0.95	0.95	0.00	0.00	0.00	0.00	0.97	0.00	0.97	0.97	0.97	Matches
34	Robert Atkinson	eng ENG	DF	Bristol City	24	1998	26	25	2,141	23.8	0.17	0.04	0.21	0.17	0.00	0.00	0.13	0.00	0.17	0.04	0.21	0.17	0.21	Matches
35	Daniel Ayala	es ESP	DF	Blackburn	31	1990	25	23	1,984	22.0	0.05	0.05	0.09	0.05	0.00	0.00	0.36	0.05	0.05	0.05	0.09	0.05	0.09	Matches
36	Femi Azeez	ng NGA	MF,FW	Reading	21	2001	20	5	659	7.3	0.00	0.27	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.27	0.00	0.27	Matches
37	Miguel Azeez	eng ENG	MF	Wigan Athletic	19	2002	2	1	104	1.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
38	Abdoullah Ba	fr FRA	MF,FW	Sunderland	19	2003	27	8	798	8.9	0.11	0.11	0.22	0.11	0.00	0.00	0.11	0.00	0.11	0.11	0.23	0.11	0.23	Matches
39	Daniel Bachmann	at AUT	GK	Watford	28	1994	45	45	4,049	45.0	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.02	0.00	0.00	0.00	0.00	0.00	Matches
40	Juninho Bacuna	cw CUW	MF	Birmingham City	24	1997	43	33	2,894	32.2	0.06	0.19	0.25	0.06	0.00	0.00	0.34	0.00	0.06	0.19	0.25	0.06	0.25	Matches
41	Leandro Bacuna	cw CUW	MF	Watford	30	1991	14	10	796	8.8	0.00	0.00	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.00	0.00	Matches
42	Joel Bagan	ie IRL	DF	Cardiff City	22	2000	1	1	7	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
43	Lewis Baker	eng ENG	MF	Stoke City	27	1995	44	30	2,764	30.7	0.23	0.16	0.39	0.16	0.07	0.10	0.20	0.00	0.23	0.16	0.39	0.16	0.33	Matches
44	George Baldock	gr GRE	MF	Sheffield United	29	1993	36	33	2,876	32.0	0.03	0.09	0.13	0.03	0.00	0.00	0.22	0.00	0.03	0.09	0.13	0.03	0.13	Matches
45	Daniel Ballard	nir NIR	DF	Sunderland	22	1999	19	18	1,615	17.9	0.00	0.06	0.06	0.00	0.00	0.00	0.17	0.00	0.00	0.06	0.06	0.00	0.06	Matches
46	Leon Balogun	ng NGA	DF	QPR	34	1988	16	15	1,237	13.7	0.07	0.00	0.07	0.07	0.00	0.00	0.29	0.00	0.07	0.00	0.07	0.07	0.07	Matches
47	Daniel Barlaser	tr TUR	MF	Middlesbrough	25	1997	11	3	411	4.6	0.00	0.22	0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.22	0.00	0.22	Matches
48	Daniel Barlaser	tr TUR	MF	Rotherham	25	1997	28	28	2,425	26.9	0.07	0.26	0.33	0.04	0.04	0.07	0.15	0.00	0.07	0.26	0.33	0.04	0.30	Matches
49	Ashley Barnes	eng ENG	FW,MF	Burnley	32	1989	39	22	1,904	21.2	0.33	0.14	0.47	0.28	0.05	0.05	0.24	0.00	0.33	0.14	0.47	0.28	0.43	Matches
50	Kyle Bartley	eng ENG	DF	West Brom	31	1991	13	7	663	7.4	0.27	0.00	0.27	0.27	0.00	0.00	0.54	0.14	0.27	0.00	0.27	0.27	0.27	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
51	Chris Basham	eng ENG	DF	Sheffield United	34	1988	29	18	1,736	19.3	0.00	0.10	0.10	0.00	0.00	0.00	0.05	0.00	0.00	0.10	0.10	0.00	0.10	Matches
52	Samuel Bastien	cd COD	MF,FW	Burnley	25	1996	18	7	551	6.1	0.16	0.16	0.33	0.16	0.00	0.00	0.00	0.00	0.16	0.16	0.33	0.16	0.33	Matches
53	Danny Batth	eng ENG	DF	Sunderland	31	1990	40	39	3,466	38.5	0.00	0.03	0.03	0.00	0.00	0.00	0.16	0.00	0.00	0.03	0.03	0.00	0.03	Matches
54	Patrick Bauer	de GER	DF	Preston	29	1992	6	4	347	3.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
55	Nathan Baxter	eng ENG	GK	Hull City	23	1998	12	12	1,080	12.0	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	Matches
56	Vakoun Bayo	ci CIV	FW	Watford	25	1997	24	9	935	10.4	0.38	0.10	0.48	0.38	0.00	0.00	0.00	0.00	0.39	0.10	0.48	0.39	0.48	Matches
57	Jake Beesley	eng ENG	MF	Blackpool	25	1996	5	2	195	2.2	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.00	Matches
58	Amari'i Bell	jm JAM	MF,DF	Luton Town	28	1994	44	43	3,865	42.9	0.02	0.02	0.05	0.02	0.00	0.00	0.14	0.02	0.02	0.02	0.05	0.02	0.05	Matches
59	Sam Bell	eng ENG	MF,FW	Bristol City	20	2002	24	14	1,151	12.8	0.23	0.08	0.31	0.23	0.00	0.00	0.00	0.00	0.23	0.08	0.31	0.23	0.31	Matches
60	Jobe Bellingham	eng ENG	MF	Birmingham City	16	2005	22	5	612	6.8	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	Matches
61	Steven Benda	de GER	GK	Swansea City	23	1998	21	21	1,860	20.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
62	Joe Bennett	eng ENG	DF	Wigan Athletic	32	1990	15	9	743	8.3	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.12	0.00	0.00	0.00	0.00	0.00	Matches
63	Mason Bennett	eng ENG	MF,FW	Millwall	26	1996	21	7	564	6.3	0.00	0.16	0.16	0.00	0.00	0.00	0.32	0.00	0.00	0.16	0.16	0.00	0.16	Matches
64	Jewison Bennette	cr CRC	MF	Sunderland	18	2004	15	0	250	2.8	0.36	0.36	0.71	0.36	0.00	0.00	0.71	0.00	0.36	0.36	0.72	0.36	0.72	Matches
65	Daniel Bentley	eng ENG	GK	Bristol City	29	1993	13	13	1,170	13.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
66	Jóhann Berg Guðmundsson	is ISL	MF	Burnley	31	1990	37	23	1,962	21.8	0.18	0.28	0.46	0.18	0.00	0.00	0.09	0.00	0.18	0.28	0.46	0.18	0.46	Matches
67	Sander Berge	no NOR	MF	Sheffield United	24	1998	37	34	3,103	34.5	0.17	0.14	0.32	0.17	0.00	0.00	0.12	0.00	0.17	0.15	0.32	0.17	0.32	Matches
68	Luke Berry	eng ENG	MF	Luton Town	30	1992	21	4	675	7.5	0.40	0.00	0.40	0.40	0.00	0.00	0.40	0.00	0.40	0.00	0.40	0.40	0.40	Matches
69	Jordan Beyer	de GER	DF	Burnley	22	2000	30	29	2,531	28.1	0.04	0.07	0.11	0.04	0.00	0.00	0.14	0.00	0.04	0.07	0.11	0.04	0.11	Matches
70	Bartosz Białkowski	pl POL	GK	Millwall	35	1987	10	10	900	10.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
71	Jake Bidwell	eng ENG	MF	Coventry City	29	1993	45	40	3,487	38.7	0.03	0.10	0.13	0.03	0.00	0.00	0.16	0.00	0.03	0.10	0.13	0.03	0.13	Matches
72	Krystian Bielik	pl POL	MF	Birmingham City	24	1998	35	35	2,909	32.3	0.03	0.03	0.06	0.03	0.00	0.00	0.37	0.00	0.03	0.03	0.06	0.03	0.06	Matches
73	Nicholas Bilokapic	au AUS	GK	Huddersfield	19	2002	6	5	480	5.3	0.00	0.19	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.19	0.00	0.19	Matches
74	Tyler Blackett	eng ENG	DF	Rotherham	28	1994	6	3	317	3.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
75	Adrian Blake	eng ENG	FW,MF	Watford	17	2005	1	0	6	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
76	Jayden Bogle	eng ENG	MF	Sheffield United	22	2000	20	16	1,386	15.4	0.13	0.06	0.19	0.13	0.00	0.00	0.45	0.00	0.13	0.06	0.19	0.13	0.19	Matches
77	Marc Bola	eng ENG	DF,MF	Middlesbrough	24	1997	25	9	1,021	11.3	0.00	0.00	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.00	0.00	Matches
78	Tolaji Bola	eng ENG	DF	Rotherham	23	1999	2	0	38	0.4	0.00	2.50	2.50	0.00	0.00	0.00	0.00	0.00	0.00	2.37	2.37	0.00	2.37	Matches
79	Jack Bonham	ie IRL	GK	Stoke City	28	1993	23	22	2,025	22.5	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	Matches
80	Macauley Bonne	zw ZIM	DF,FW	QPR	26	1995	8	0	67	0.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
81	Dean Bouzanis	au AUS	GK	Reading	31	1990	5	4	419	4.7	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	Matches
82	Josh Bowler	eng ENG	MF,FW	Blackpool	23	1999	25	19	1,744	19.4	0.21	0.10	0.31	0.21	0.00	0.00	0.00	0.00	0.21	0.10	0.31	0.21	0.31	Matches
83	Coniah Boyce-Clarke	jm JAM	GK	Reading	19	2003	1	1	90	1.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
84	Caolan Boyd-Munce	nir NIR	MF	Middlesbrough	22	2000	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
85	Will Boyle	eng ENG	DF	Huddersfield	26	1995	16	8	808	9.0	0.00	0.11	0.11	0.00	0.00	0.00	0.44	0.11	0.00	0.11	0.11	0.00	0.11	Matches
86	Sonny Bradley	eng ENG	DF	Luton Town	30	1991	19	14	1,222	13.6	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	0.00	Matches
87	Tom Bradshaw	wls WAL	FW	Millwall	30	1992	41	38	3,052	33.9	0.50	0.12	0.62	0.50	0.00	0.00	0.15	0.00	0.50	0.12	0.62	0.50	0.62	Matches
88	Robbie Brady	ie IRL	MF	Preston	30	1992	34	24	2,099	23.3	0.00	0.26	0.26	0.00	0.00	0.00	0.34	0.04	0.00	0.26	0.26	0.00	0.26	Matches
