Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
89	Cohen Bramall	eng ENG	MF,DF	Rotherham	26	1996	39	27	2,577	28.6	0.03	0.00	0.03	0.03	0.00	0.00	0.31	0.03	0.03	0.00	0.03	0.03	0.03	Matches
90	James Bree	eng ENG	MF,DF	Luton Town	24	1997	27	27	2,430	27.0	0.00	0.15	0.15	0.00	0.00	0.00	0.11	0.00	0.00	0.15	0.15	0.00	0.15	Matches
91	Ben Brereton	cl CHI	MF,FW	Blackburn	23	1999	43	39	3,457	38.4	0.36	0.10	0.47	0.34	0.03	0.03	0.13	0.00	0.36	0.10	0.47	0.34	0.44	Matches
92	Rhian Brewster	eng ENG	FW	Sheffield United	22	2000	16	5	570	6.3	0.16	0.16	0.32	0.16	0.00	0.16	0.16	0.00	0.16	0.16	0.32	0.16	0.32	Matches
93	Liam Bridcutt	sct SCO	MF	Blackpool	33	1989	4	2	182	2.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
94	Callum Brittain	eng ENG	DF,MF	Blackburn	24	1998	27	15	1,425	15.8	0.00	0.06	0.06	0.00	0.00	0.00	0.13	0.00	0.00	0.06	0.06	0.00	0.06	Matches
95	Nathan Broadhead	wls WAL	FW,MF	Wigan Athletic	24	1998	22	11	1,069	11.9	0.42	0.00	0.42	0.42	0.00	0.00	0.00	0.00	0.42	0.00	0.42	0.42	0.42	Matches
96	Andre Brooks	jm JAM	MF	Sheffield United	18	2003	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
97	Jacob Brown	sct SCO	MF,FW	Stoke City	24	1998	38	30	2,768	30.8	0.23	0.03	0.26	0.23	0.00	0.00	0.29	0.00	0.23	0.03	0.26	0.23	0.26	Matches
98	Alan Browne	ie IRL	MF	Preston	27	1995	36	31	2,631	29.2	0.03	0.07	0.10	0.03	0.00	0.00	0.17	0.00	0.03	0.07	0.10	0.03	0.10	Matches
99	Josh Brownhill	eng ENG	MF	Burnley	26	1995	41	41	3,574	39.7	0.18	0.20	0.38	0.18	0.00	0.00	0.23	0.00	0.18	0.20	0.38	0.18	0.38	Matches
100	John Buckley	eng ENG	MF	Blackburn	22	1999	21	17	1,465	16.3	0.00	0.06	0.06	0.00	0.00	0.00	0.31	0.06	0.00	0.06	0.06	0.00	0.06	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
101	Tyler Burey	eng ENG	MF,FW	Millwall	20	2001	24	8	922	10.2	0.10	0.10	0.20	0.10	0.00	0.00	0.39	0.00	0.10	0.10	0.20	0.10	0.20	Matches
102	Oliver Burke	sct SCO	MF	Millwall	25	1997	17	8	767	8.5	0.24	0.24	0.47	0.24	0.00	0.00	0.12	0.00	0.23	0.23	0.47	0.23	0.47	Matches
103	Reece Burke	eng ENG	DF	Luton Town	25	1996	20	15	1,305	14.5	0.14	0.00	0.14	0.14	0.00	0.00	0.21	0.00	0.14	0.00	0.14	0.14	0.14	Matches
104	Jack Burroughs	sct SCO	MF	Coventry City	21	2001	12	5	439	4.9	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	Matches
105	Josef Bursik	eng ENG	GK	Stoke City	22	2000	16	16	1,440	16.0	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	Matches
106	David Button	eng ENG	GK	West Brom	33	1989	13	13	1,170	13.0	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	Matches
107	Jili Buyabu	eng ENG	MF	Sheffield United	20	2001	1	0	17	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
108	Sam Byram	eng ENG	DF	Norwich City	28	1993	15	11	1,080	12.0	0.08	0.00	0.08	0.08	0.00	0.00	0.42	0.00	0.08	0.00	0.08	0.08	0.08	Matches
109	Ben Cabango	wls WAL	DF	Swansea City	22	2000	43	42	3,744	41.6	0.05	0.00	0.05	0.05	0.00	0.00	0.26	0.02	0.05	0.00	0.05	0.05	0.05	Matches
110	Etienne Camara	fr FRA	MF	Huddersfield	19	2003	20	13	1,247	13.9	0.00	0.00	0.00	0.00	0.00	0.00	0.36	0.00	0.00	0.00	0.00	0.00	0.00	Matches
111	Mamadi Camará	gw GNB	MF	Reading	18	2003	5	1	107	1.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
112	Allan Campbell	sct SCO	MF	Luton Town	24	1998	42	38	3,253	36.1	0.08	0.06	0.14	0.08	0.00	0.00	0.17	0.00	0.08	0.06	0.14	0.08	0.14	Matches
113	Tate Campbell	eng ENG	MF	Birmingham City	20	2002	1	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
114	Tyrese Campbell	eng ENG	FW,MF	Stoke City	22	1999	41	30	2,656	29.5	0.31	0.17	0.47	0.31	0.00	0.00	0.14	0.00	0.30	0.17	0.47	0.30	0.47	Matches
115	Andy Cannon	eng ENG	MF	Hull City	26	1996	5	1	192	2.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
116	Tom Cannon	ie IRL	FW	Preston	19	2002	20	19	1,674	18.6	0.43	0.05	0.48	0.43	0.00	0.00	0.16	0.00	0.43	0.05	0.48	0.43	0.48	Matches
117	Todd Cantwell	eng ENG	FW,MF	Norwich City	24	1998	18	9	861	9.6	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	Matches
118	Sonny Carey	eng ENG	MF,FW	Blackpool	21	2001	37	26	2,448	27.2	0.11	0.04	0.15	0.11	0.00	0.00	0.04	0.04	0.11	0.04	0.15	0.11	0.15	Matches
119	Álvaro Carreras	es ESP	MF	Preston	19	2003	39	27	2,654	29.5	0.00	0.14	0.14	0.00	0.00	0.00	0.20	0.00	0.00	0.14	0.14	0.00	0.14	Matches
120	Andy Carroll	eng ENG	FW	Reading	33	1989	30	23	1,940	21.6	0.42	0.09	0.51	0.28	0.14	0.14	0.32	0.05	0.42	0.09	0.51	0.28	0.37	Matches
121	Hayden Carter	eng ENG	DF	Blackburn	22	1999	30	24	2,251	25.0	0.04	0.00	0.04	0.04	0.00	0.00	0.20	0.00	0.04	0.00	0.04	0.04	0.04	Matches
122	Cesare Casadei	it ITA	MF	Reading	19	2003	15	13	1,108	12.3	0.08	0.00	0.08	0.08	0.00	0.00	0.08	0.00	0.08	0.00	0.08	0.08	0.08	Matches
123	Craig Cathcart	nir NIR	DF	Watford	33	1989	28	26	2,268	25.2	0.00	0.04	0.04	0.00	0.00	0.00	0.08	0.00	0.00	0.04	0.04	0.00	0.04	Matches
124	Steven Caulker	sl SLE	DF	Wigan Athletic	30	1991	9	5	497	5.5	0.00	0.00	0.00	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	Matches
125	Bersant Celina	xk KVX	MF,FW	Stoke City	25	1996	6	3	265	2.9	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
126	Ilias Chair	ma MAR	MF,FW	QPR	24	1997	40	38	3,271	36.3	0.14	0.25	0.39	0.14	0.00	0.03	0.06	0.00	0.14	0.25	0.39	0.14	0.39	Matches
127	Nathaniel Chalobah	eng ENG	MF	West Brom	27	1994	13	7	610	6.8	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	0.00	0.00	Matches
128	Alfie Chang	eng ENG	MF	Birmingham City	19	2002	13	7	693	7.7	0.00	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	Matches
129	Ismaila Cheick Coulibaly	ml MLI	MF	Sheffield United	21	2000	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
130	Youssef Chentouf	eng ENG	FW	Wigan Athletic	18	2004	1	0	3	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
131	Tahith Chong	cw CUW	MF,FW	Birmingham City	22	1999	38	35	2,838	31.5	0.13	0.16	0.29	0.13	0.00	0.00	0.13	0.00	0.13	0.16	0.29	0.13	0.29	Matches
132	Hamza Choudhury	bd BAN	MF	Watford	24	1997	36	36	3,033	33.7	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	Matches
133	Cyrus Christie	ie IRL	DF,MF	Hull City	29	1992	28	24	2,080	23.1	0.13	0.04	0.17	0.13	0.00	0.00	0.13	0.00	0.13	0.04	0.17	0.13	0.17	Matches
134	Darko Churlinov	mk MKD	MF	Burnley	22	2000	7	1	202	2.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
135	Dennis Cirkin	lv LVA	DF	Sunderland	20	2002	28	21	1,843	20.5	0.24	0.05	0.29	0.24	0.00	0.00	0.39	0.05	0.24	0.05	0.29	0.24	0.29	Matches
136	Ciaran Clark	ie IRL	DF	Sheffield United	32	1989	10	7	664	7.4	0.27	0.00	0.27	0.27	0.00	0.00	0.54	0.00	0.27	0.00	0.27	0.27	0.27	Matches
