Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
39	Daniel Bachmann	at AUT	GK	Watford	28	1994	45.0	0.16	0.02	0.02	0.02	0.13	0.00	0.00	0.00	0.00			0.00	Matches
40	Juninho Bacuna	cw CUW	MF	Birmingham City	24	1997	32.2	0.34	0.00	0.00	2.27	1.24	0.00	4.57	1.02	1.37			0.00	Matches
41	Leandro Bacuna	cw CUW	MF	Watford	30	1991	8.8	0.34	0.00	0.00	1.59	0.57	0.00	0.57	1.14	0.57			0.00	Matches
42	Joel Bagan	ie IRL	DF	Cardiff City	22	2000	0.1	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
43	Lewis Baker	eng ENG	MF	Stoke City	27	1995	30.7	0.20	0.00	0.00	1.11	0.65	0.00	5.15	0.72	0.52			0.00	Matches
44	George Baldock	gr GRE	MF	Sheffield United	29	1993	32.0	0.22	0.00	0.00	1.25	0.84	0.31	2.44	0.72	1.16			0.00	Matches
45	Daniel Ballard	nir NIR	DF	Sunderland	22	1999	17.9	0.17	0.00	0.00	1.28	1.06	0.11	0.06	1.40	1.01			0.00	Matches
46	Leon Balogun	ng NGA	DF	QPR	34	1988	13.7	0.29	0.00	0.00	0.80	0.80	0.07	0.00	2.19	1.02			0.00	Matches
47	Daniel Barlaser	tr TUR	MF	Middlesbrough	25	1997	4.6	0.00	0.00	0.00	0.65	1.74	0.00	5.00	0.65	1.30			0.00	Matches
48	Daniel Barlaser	tr TUR	MF	Rotherham	25	1997	26.9	0.15	0.00	0.00	0.67	0.63	0.00	3.90	0.89	1.15			0.00	Matches
49	Ashley Barnes	eng ENG	FW,MF	Burnley	32	1989	21.2	0.24	0.00	0.00	1.89	1.51	0.85	0.14	0.24	0.38			0.00	Matches
50	Kyle Bartley	eng ENG	DF	West Brom	31	1991	7.4	0.54	0.14	0.14	0.95	0.95	0.00	0.00	1.35	0.68			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
51	Chris Basham	eng ENG	DF	Sheffield United	34	1988	19.3	0.05	0.00	0.00	0.78	1.14	0.00	0.88	1.66	1.24			0.00	Matches
52	Samuel Bastien	cd COD	MF,FW	Burnley	25	1996	6.1	0.00	0.00	0.00	0.66	0.33	0.00	0.16	0.16	0.82			0.00	Matches
53	Danny Batth	eng ENG	DF	Sunderland	31	1990	38.5	0.16	0.00	0.00	0.75	0.49	0.05	0.00	0.88	0.42			0.00	Matches
54	Patrick Bauer	de GER	DF	Preston	29	1992	3.9	0.00	0.00	0.00	1.54	0.26	0.00	0.00	1.54	1.79			0.00	Matches
55	Nathan Baxter	eng ENG	GK	Hull City	23	1998	12.0	0.08	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00			0.00	Matches
56	Vakoun Bayo	ci CIV	FW	Watford	25	1997	10.4	0.00	0.00	0.00	1.63	0.87	0.77	0.58	0.10	0.10			0.00	Matches
57	Jake Beesley	eng ENG	MF	Blackpool	25	1996	2.2	0.45	0.00	0.00	2.27	1.82	2.27	0.45	0.45	1.36			0.00	Matches
58	Amari'i Bell	jm JAM	MF,DF	Luton Town	28	1994	42.9	0.14	0.02	0.02	1.33	1.45	0.05	1.75	1.00	1.00			0.00	Matches
59	Sam Bell	eng ENG	MF,FW	Bristol City	20	2002	12.8	0.00	0.00	0.00	0.47	0.55	0.31	1.56	0.55	0.39			0.00	Matches
60	Jobe Bellingham	eng ENG	MF	Birmingham City	16	2005	6.8	0.15	0.00	0.00	0.88	1.18	0.15	0.44	0.15	1.18			0.00	Matches
