Squad	# Pl	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG
Barnsley	29	46.0	69	3	1	598	468	81	761	577	486	8	3	1
Birmingham City	34	46.0	76	4	3	682	461	104	810	521	395	4	10	1
Blackburn	32	46.0	68	1	0	538	554	104	712	544	420	8	4	2
Bournemouth	29	46.0	67	3	1	556	609	82	690	433	315	3	5	0
Brentford	29	46.0	54	3	2	569	585	54	799	434	349	8	4	1
Bristol City	39	46.0	54	2	1	516	538	67	577	600	375	2	6	0
Cardiff City	30	46.0	79	4	3	623	554	103	781	459	384	5	5	2
Coventry City	29	46.0	57	5	2	569	615	96	723	511	413	3	11	3
Derby County	37	46.0	75	1	0	556	552	78	886	423	420	3	3	1
Huddersfield	35	46.0	68	3	1	555	537	79	682	485	368	3	7	1
Luton Town	27	46.0	58	2	1	566	552	114	950	499	375	2	5	3
Middlesbrough	31	46.0	60	2	0	544	632	103	1016	503	406	3	7	2
Millwall	27	46.0	61	1	1	560	524	73	869	577	378	4	4	1
Norwich City	30	46.0	63	4	2	487	632	70	723	452	378	9	7	0
Nottingham	32	46.0	68	4	1	593	554	77	977	513	352	4	6	0
Preston	32	46.0	52	3	0	555	478	108	747	555	386	8	8	3
QPR	28	46.0	81	3	1	565	440	90	974	476	336	5	7	2
Reading	27	46.0	48	0	0	506	687	71	724	485	443	8	5	1
Rotherham	26	46.0	82	5	1	644	542	87	969	565	400	8	6	5
Sheffield Weds	29	46.0	69	7	1	579	490	76	862	550	396	3	7	2
Stoke City	33	46.0	76	4	0	588	538	86	1001	444	358	2	4	1
Swansea City	29	46.0	68	1	1	538	578	123	814	486	371	4	3	2
Watford	34	46.0	83	2	2	626	533	85	893	490	405	8	5	3
Wycombe	28	46.0	69	4	0	624	538	74	841	520	335	7	8	3
