Rk	Player	Nation	Pos	Squad	Age	Born	MP	Min	Mn/MP	Min%	90s	Starts	Mn/Start	Compl	Subs	Mn/Sub	unSub	PPM	onG	onGA	+/-	+/-90	On-Off	Matches
1	Max Aarons	eng ENG	DF	Norwich City	20	2000	45	4,046	90	97.7	45.0	1.00	90	0.93	0.00		0.00	2.13	1.64	0.78	0.87	+0.87	+0.87	Matches
2	Rolando Aarons	eng ENG	FW,MF	Huddersfield	24	1995	10	496	50	12.0	5.5	0.91	65	0.00	0.91	34	0.36	0.40	1.27	1.64	-0.36	-0.36	+0.11	Matches
3	Corey Addai	jm JAM	GK	Barnsley	22	1997	0					0			0		1							Matches
4	Elijah Adebayo	eng ENG	FW	Luton Town	22	1998	18	1,294	72	31.3	14.4	1.04	83	0.42	0.21	19	0.14	1.39	1.04	1.04	0.00	0.00	+0.35	Matches
5	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	22	1998	32	1,213	38	29.3	13.5	0.67	68	0.15	1.70	26	0.67	1.68	1.19	1.11	0.07	+0.07	-0.14	Matches
6	Hakeeb Adelakun	eng ENG	MF	Bristol City	24	1996	2	140	70	3.4	1.6	1.25	70	0.00	0.00		0.00	1.50	1.25	0.63	0.63	+0.64	+1.16	Matches
7	Dennis Adeniran	eng ENG	MF	Wycombe	21	1999	21	1,478	70	35.7	16.4	1.10	76	0.55	0.18	35	0.43	1.19	1.10	1.77	-0.67	-0.67	-0.03	Matches
8	Albert Adomah	gh GHA	MF	QPR	32	1987	34	864	25	20.9	9.6	0.73	59	0.00	2.81	17	0.83	1.47	1.56	0.94	0.63	+0.62	+0.73	Matches
9	Joost van Aken	nl NED	DF	Sheffield Weds	26	1994	17	1,273	75	30.7	14.1	1.13	79	0.64	0.07	8	0.14	0.94	0.71	0.92	-0.21	-0.21	+0.35	Matches
10	Adebayo Akinfenwa	eng ENG	FW	Wycombe	38	1982	33	1,296	39	31.3	14.4	0.76	83	0.35	1.53	17	0.14	0.82	0.97	1.39	-0.42	-0.42	+0.34	Matches
11	Chuba Akpom	eng ENG	FW	Middlesbrough	24	1995	38	1,923	51	46.4	21.4	0.93	74	0.19	0.84	25	0.19	1.39	1.36	0.98	0.37	+0.37	+0.62	Matches
12	George Alexander	eng ENG	FW	Millwall	19	2000	0					0			0		1							Matches
13	Ody Alfa	ng NGA	FW	QPR	21	1999	0					0			0		2							Matches
14	Jamie Allen	eng ENG	MF,FW	Coventry City	25	1995	22	1,330	60	32.1	14.8	1.08	78	0.61	0.41	13	1.62	0.82	0.47	1.62	-1.15	-1.15	-1.31	Matches
15	Joe Allen	wls WAL	MF	Stoke City	30	1990	18	1,379	77	33.3	15.3	0.98	86	0.59	0.20	31	0.00	1.06	0.98	1.18	-0.20	-0.20	-0.23	Matches
16	Ryan Allsop	eng ENG	GK	Wycombe	28	1992	29	2,610	90	63.0	29.0	1.00	90	1.00	0.00		0.45	0.66	0.76	1.76	-1.00	-1.00	-0.94	Matches
17	Sone Aluko	ng NGA	MF,FW	Reading	31	1989	33	991	30	23.9	11.0	0.82	75	0.09	2.18	13	1.18	1.45	1.55	1.36	0.18	+0.18	+0.01	Matches
18	Sammy Ameobi	eng ENG	MF	Nottingham	28	1992	32	2,225	70	53.7	24.7	1.09	78	0.65	0.20	22	0.12	1.16	0.85	1.09	-0.24	-0.24	-0.15	Matches
19	Luke Amos	eng ENG	MF	QPR	23	1997	5	397	79	9.6	4.4	1.14	79	0.23	0.00		0.00	1.20	0.91	0.91	0.00	0.00	-0.05	Matches
20	Curtis Anderson	eng ENG	GK	Wycombe	19	2000	0					0			0		10							Matches
21	Miguel Ángel Guerrero	es ESP	MF,FW	Nottingham	30	1990	9	392	44	9.5	4.4	0.91	69	0.00	1.14	23	2.27	0.67	1.14	0.91	0.23	+0.23	+0.45	Matches
22	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	20	1999	5	71	14	1.7	0.8	0.00		0.00	6.25	14	36.3	1.20	1.25	0.00	1.25	+1.27	+0.69	Matches
