Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
1	Max Aarons	eng ENG	DF	Norwich City	20	2000	45.0	0.11	0.00	0.00	0.47	1.44	0.09	2.96	0.89	0.42			0.00	Matches
2	Rolando Aarons	eng ENG	FW,MF	Huddersfield	24	1995	5.5	0.00	0.00	0.00	1.09	1.09	0.18	2.73	1.09	2.00			0.00	Matches
3	Elijah Adebayo	eng ENG	FW	Luton Town	22	1998	14.4	0.00	0.00	0.00	2.43	1.32	0.76	0.90	0.35	0.28			0.00	Matches
4	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	22	1998	13.5	0.00	0.00	0.00	2.07	1.19	0.30	0.89	0.67	0.74			0.07	Matches
5	Hakeeb Adelakun	eng ENG	MF	Bristol City	24	1996	1.6	0.00	0.00	0.00	0.63	0.00	0.00	1.88	1.25	0.00			0.00	Matches
6	Dennis Adeniran	eng ENG	MF	Wycombe	21	1999	16.4	0.12	0.00	0.00	1.34	1.52	0.00	0.18	1.95	0.73			0.00	Matches
7	Albert Adomah	gh GHA	MF	QPR	32	1987	9.6	0.10	0.00	0.00	1.46	0.63	0.31	6.04	1.88	1.56			0.00	Matches
8	Joost van Aken	nl NED	DF	Sheffield Weds	26	1994	14.1	0.14	0.07	0.00	0.99	0.71	0.00	0.00	1.49	1.13			0.00	Matches
9	Adebayo Akinfenwa	eng ENG	FW	Wycombe	38	1982	14.4	0.00	0.00	0.00	3.06	0.35	0.63	0.07	0.00	0.21			0.00	Matches
10	Chuba Akpom	eng ENG	FW	Middlesbrough	24	1995	21.4	0.09	0.00	0.00	0.98	1.45	0.75	0.28	0.05	0.14			0.00	Matches
11	Jamie Allen	eng ENG	MF,FW	Coventry City	25	1995	14.8	0.00	0.00	0.00	0.74	1.01	0.07	1.22	0.74	0.54			0.00	Matches
12	Joe Allen	wls WAL	MF	Stoke City	30	1990	15.3	0.13	0.00	0.00	1.05	0.92	0.00	1.50	1.83	0.52			0.00	Matches
13	Ryan Allsop	eng ENG	GK	Wycombe	28	1992	29.0	0.14	0.00	0.00	0.00	0.10	0.00	0.00	0.14	0.00			0.00	Matches
14	Sone Aluko	ng NGA	MF,FW	Reading	31	1989	11.0	0.00	0.00	0.00	1.45	1.64	0.18	5.00	1.18	1.09			0.00	Matches
15	Sammy Ameobi	eng ENG	MF	Nottingham	28	1992	24.7	0.12	0.00	0.00	1.62	0.93	0.40	2.43	1.30	1.42			0.00	Matches
16	Luke Amos	eng ENG	MF	QPR	23	1997	4.4	0.00	0.00	0.00	0.68	1.14	0.45	0.68	0.68	1.82			0.00	Matches
17	Miguel Ángel Guerrero	es ESP	MF,FW	Nottingham	30	1990	4.4	0.23	0.00	0.00	2.27	0.45	0.23	0.45	0.00	0.23			0.00	Matches
18	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	20	1999	0.8	0.00	0.00	0.00	2.50	0.00	0.00	6.25	0.00	2.50			0.00	Matches
19	Felipe Araruna	br BRA	DF	Reading	24	1996	1.7	0.00	0.00	0.00	0.59	1.76	0.00	1.18	0.00	2.35			0.00	Matches
20	Jordan Archer	sct SCO	GK	Middlesbrough	27	1993	5.0	0.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00			0.00	Matches
21	Adam Armstrong	eng ENG	FW	Blackburn	23	1997	38.4	0.08	0.00	0.00	1.33	0.86	1.04	1.15	0.18	0.21			0.00	Matches
22	Paul Arriola	us USA	FW,MF	Swansea City	25	1995	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00			0.00	Matches
23	Harry Arter	ie IRL	MF,FW	Nottingham	30	1989	8.0	0.38	0.00	0.00	1.63	0.88	0.00	3.25	0.63	1.38			0.00	Matches
24	Britt Assombalonga	cd COD	FW	Middlesbrough	27	1992	19.2	0.10	0.00	0.00	2.71	1.41	0.99	0.16	0.05	0.10			0.00	Matches
25	Charlie Austin	eng ENG	FW	QPR	31	1989	15.7	0.19	0.00	0.00	1.59	1.53	0.57	1.15	0.32	0.38			0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	CrdY	CrdR	2CrdY	Fls	Fld	Off	Crs	Int	TklW	PKwon	PKcon	OG	Matches
26	Daniel Ayala	es ESP	DF	Blackburn	29	1990	8.7	0.00	0.00	0.00	0.80	0.80	0.23	0.00	1.26	1.03			0.00	Matches
27	André Ayew	gh GHA	FW	Swansea City	30	1989	40.6	0.10	0.00	0.00	0.94	1.77	0.62	0.94	0.27	0.39			0.00	Matches
28	Femi Azeez	ng NGA	MF	Reading	19	2001	0.0	0	0	0	0	0	0	0	0	0			0	Matches
29	Fouad Bachirou	km COM	MF	Nottingham	30	1990	0.4	0.00	0.00	0.00	0.00	0.00	0.00	2.50	2.50	0.00			0.00	Matches
30	Daniel Bachmann	at AUT	GK	Watford	26	1994	23.0	0.09	0.00	0.00	0.09	0.09	0.00	0.00	0.00	0.00			0.00	Matches
31	Juninho Bacuna	cw CUW	MF,FW	Huddersfield	22	1997	36.8	0.14	0.00	0.00	1.49	1.74	0.00	2.26	0.87	0.76			0.00	Matches
32	Leandro Bacuna	cw CUW	DF,MF	Cardiff City	28	1991	32.4	0.25	0.00	0.00	1.11	0.46	0.28	1.02	0.96	1.17			0.00	Matches
33	Joel Bagan	ie IRL	DF,MF	Cardiff City	20	2000	5.2	0.00	0.00	0.00	0.77	0.38	0.00	1.73	0.58	1.15			0.00	Matches
34	Amadou Bakayoko	sl SLE	FW	Coventry City	24	1996	3.5	0.00	0.00	0.00	2.86	0.57	0.29	0.00	0.00	0.29			0.00	Matches
35	Nathan Baker	eng ENG	DF	Bristol City	29	1991	2.2	0.91	0.00	0.00	1.36	1.82	0.00	0.00	3.18	0.00			0.00	Matches
36	Tyreeq Bakinson	eng ENG	MF	Bristol City	21	1998	22.9	0.09	0.00	0.00	1.27	0.87	0.00	0.31	1.40	0.70			0.00	Matches
