Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
1	Max Aarons	eng ENG	DF	Norwich City	20	2000	45	45	4,046	45.0	0.04	0.04	0.09	0.04	0.00	0.00	0.11	0.00	0.04	0.04	0.09	0.04	0.09	Matches
2	Rolando Aarons	eng ENG	FW,MF	Huddersfield	24	1995	10	5	496	5.5	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
3	Elijah Adebayo	eng ENG	FW	Luton Town	22	1998	18	15	1,294	14.4	0.35	0.07	0.42	0.28	0.07	0.07	0.00	0.00	0.35	0.07	0.42	0.28	0.35	Matches
4	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	22	1998	32	9	1,213	13.5	0.15	0.00	0.15	0.15	0.00	0.00	0.00	0.00	0.15	0.00	0.15	0.15	0.15	Matches
5	Hakeeb Adelakun	eng ENG	MF	Bristol City	24	1996	2	2	140	1.6	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
6	Dennis Adeniran	eng ENG	MF	Wycombe	21	1999	21	18	1,478	16.4	0.00	0.06	0.06	0.00	0.00	0.00	0.12	0.00	0.00	0.06	0.06	0.00	0.06	Matches
7	Albert Adomah	gh GHA	MF	QPR	32	1987	34	7	864	9.6	0.21	0.52	0.73	0.21	0.00	0.00	0.10	0.00	0.21	0.52	0.73	0.21	0.73	Matches
8	Joost van Aken	nl NED	DF	Sheffield Weds	26	1994	17	16	1,273	14.1	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.07	0.00	0.00	0.00	0.00	0.00	Matches
9	Adebayo Akinfenwa	eng ENG	FW	Wycombe	38	1982	33	11	1,296	14.4	0.07	0.07	0.14	0.00	0.07	0.07	0.00	0.00	0.07	0.07	0.14	0.00	0.07	Matches
10	Chuba Akpom	eng ENG	FW	Middlesbrough	24	1995	38	20	1,923	21.4	0.23	0.09	0.33	0.23	0.00	0.00	0.09	0.00	0.23	0.09	0.33	0.23	0.33	Matches
11	Jamie Allen	eng ENG	MF,FW	Coventry City	25	1995	22	16	1,330	14.8	0.07	0.00	0.07	0.07	0.00	0.00	0.00	0.00	0.07	0.00	0.07	0.07	0.07	Matches
12	Joe Allen	wls WAL	MF	Stoke City	30	1990	18	15	1,379	15.3	0.00	0.13	0.13	0.00	0.00	0.00	0.13	0.00	0.00	0.13	0.13	0.00	0.13	Matches
13	Ryan Allsop	eng ENG	GK	Wycombe	28	1992	29	29	2,610	29.0	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	Matches
14	Sone Aluko	ng NGA	MF,FW	Reading	31	1989	33	9	991	11.0	0.18	0.18	0.36	0.18	0.00	0.00	0.00	0.00	0.18	0.18	0.36	0.18	0.36	Matches
15	Sammy Ameobi	eng ENG	MF	Nottingham	28	1992	32	27	2,225	24.7	0.12	0.08	0.20	0.12	0.00	0.00	0.12	0.00	0.12	0.08	0.20	0.12	0.20	Matches
16	Luke Amos	eng ENG	MF	QPR	23	1997	5	5	397	4.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
17	Miguel Ángel Guerrero	es ESP	MF,FW	Nottingham	30	1990	9	4	392	4.4	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.00	0.00	0.00	0.00	0.00	0.00	Matches
18	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	20	1999	5	0	71	0.8	0.00	1.25	1.25	0.00	0.00	0.00	0.00	0.00	0.00	1.27	1.27	0.00	1.27	Matches
19	Felipe Araruna	br BRA	DF	Reading	24	1996	2	2	150	1.7	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
20	Jordan Archer	sct SCO	GK	Middlesbrough	27	1993	5	5	450	5.0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
21	Adam Armstrong	eng ENG	FW	Blackburn	23	1997	40	40	3,459	38.4	0.73	0.13	0.86	0.60	0.13	0.21	0.08	0.00	0.73	0.13	0.86	0.60	0.73	Matches
22	Paul Arriola	us USA	FW,MF	Swansea City	25	1995	2	0	18	0.2	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
23	Harry Arter	ie IRL	MF,FW	Nottingham	30	1989	13	8	716	8.0	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	Matches
24	Britt Assombalonga	cd COD	FW	Middlesbrough	27	1992	31	19	1,725	19.2	0.26	0.00	0.26	0.21	0.05	0.05	0.10	0.00	0.26	0.00	0.26	0.21	0.21	Matches
25	Charlie Austin	eng ENG	FW	QPR	31	1989	21	19	1,414	15.7	0.51	0.06	0.57	0.51	0.00	0.00	0.19	0.00	0.51	0.06	0.57	0.51	0.57	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK	Matches
26	Daniel Ayala	es ESP	DF	Blackburn	29	1990	10	8	785	8.7	0.00	0.11	0.11	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.11	0.00	0.11	Matches
27	André Ayew	gh GHA	FW	Swansea City	30	1989	43	41	3,652	40.6	0.39	0.10	0.49	0.27	0.12	0.12	0.10	0.00	0.39	0.10	0.49	0.27	0.37	Matches
28	Femi Azeez	ng NGA	MF	Reading	19	2001	1	0	1	0.0	0	0	0	0	0	0	0	0	0.00	0.00	0.00	0.00	0.00	Matches
29	Fouad Bachirou	km COM	MF	Nottingham	30	1990	1	0	33	0.4	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	Matches
