Squad	# Pl	Age	Poss	MP	Starts	Min	90s	Gls	Ast	G+A	G-PK	PK	PKatt	CrdY	CrdR	Gls	Ast	G+A	G-PK	G+A-PK
Barnsley	29	23.7	46.9	46	506	4,140	46.0	57	35	92	50	7	8	69	3	1.24	0.76	2.00	1.09	1.85
Birmingham City	34	27.6	46.5	46	506	4,140	46.0	37	25	62	33	4	5	76	4	0.80	0.54	1.35	0.72	1.26
Blackburn	32	25.0	57.2	46	506	4,140	46.0	65	47	112	60	5	8	68	1	1.41	1.02	2.43	1.30	2.33
Bournemouth	29	26.1	57.7	46	506	4,140	46.0	72	53	125	69	3	3	67	3	1.57	1.15	2.72	1.50	2.65
Brentford	29	24.7	55.3	46	506	4,140	46.0	79	58	137	70	9	9	54	3	1.72	1.26	2.98	1.52	2.78
Bristol City	39	26.5	46.0	46	506	4,140	46.0	45	33	78	44	1	2	54	2	0.98	0.72	1.70	0.96	1.67
Cardiff City	30	27.1	44.9	46	506	4,140	46.0	65	46	111	59	6	8	79	4	1.41	1.00	2.41	1.28	2.28
Coventry City	29	25.0	47.8	46	506	4,140	46.0	46	29	75	43	3	3	57	5	1.00	0.63	1.63	0.93	1.57
Derby County	37	26.3	50.9	46	506	4,140	46.0	34	19	53	31	3	3	75	1	0.74	0.41	1.15	0.67	1.09
Huddersfield	35	25.8	55.7	46	506	4,140	46.0	46	38	84	46	0	3	68	3	1.00	0.83	1.83	1.00	1.83
Luton Town	27	26.7	49.7	46	506	4,140	46.0	40	29	69	37	3	5	58	2	0.87	0.63	1.50	0.80	1.43
Middlesbrough	31	26.1	47.2	46	506	4,140	46.0	52	40	92	50	2	3	60	2	1.13	0.87	2.00	1.09	1.96
Millwall	27	27.5	46.0	46	506	4,140	46.0	43	29	72	39	4	4	61	1	0.93	0.63	1.57	0.85	1.48
Norwich City	30	25.9	60.2	46	506	4,140	46.0	74	52	126	66	8	10	63	4	1.61	1.13	2.74	1.43	2.57
Nottingham	32	26.6	50.0	46	506	4,140	46.0	33	20	53	29	4	5	68	4	0.72	0.43	1.15	0.63	1.07
Preston	32	26.2	48.8	46	506	4,140	46.0	47	25	72	42	5	8	52	3	1.02	0.54	1.57	0.91	1.46
QPR	28	26.3	52.8	46	506	4,140	46.0	55	40	95	50	5	6	81	3	1.20	0.87	2.07	1.09	1.96
Reading	27	24.9	52.1	46	506	4,140	46.0	62	44	106	56	6	9	48	0	1.35	0.96	2.30	1.22	2.17
Rotherham	26	26.1	44.4	46	506	4,140	46.0	43	28	71	38	5	8	82	5	0.93	0.61	1.54	0.83	1.43
Sheffield Weds	29	27.7	46.0	46	506	4,140	46.0	38	28	66	35	3	4	69	7	0.83	0.61	1.43	0.76	1.37
Stoke City	33	26.5	49.5	46	506	4,140	46.0	47	36	83	46	1	2	76	4	1.02	0.78	1.80	1.00	1.78
Swansea City	29	25.8	50.8	46	506	4,140	46.0	55	36	91	49	6	6	68	1	1.20	0.78	1.98	1.07	1.85
Watford	34	26.5	53.7	46	506	4,140	46.0	61	33	94	51	10	10	83	2	1.33	0.72	2.04	1.11	1.83
Wycombe	28	27.4	40.0	46	506	4,140	46.0	38	25	63	31	7	8	69	4	0.83	0.54	1.37	0.67	1.22
