Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
1	Max Aarons	eng ENG	DF	Norwich City	20	2000	45.0	0.04	0.69	0.16	22.6	0.69	0.16	0.06	0.29	0.00	0.00	Matches
2	Rolando Aarons	eng ENG	FW,MF	Huddersfield	24	1995	5.5	0.00	0.73	0.18	25.0	0.73	0.18	0.00	0.00	0.00	0.00	Matches
3	Elijah Adebayo	eng ENG	FW	Luton Town	22	1998	14.4	0.35	2.57	1.04	40.5	2.57	1.04	0.11	0.27	0.07	0.07	Matches
4	Victor Adeboyejo	eng ENG	MF,FW	Barnsley	22	1998	13.5	0.15	1.48	0.44	30.0	1.48	0.45	0.10	0.33	0.00	0.00	Matches
5	Hakeeb Adelakun	eng ENG	MF	Bristol City	24	1996	1.6	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
6	Dennis Adeniran	eng ENG	MF	Wycombe	21	1999	16.4	0.00	0.67	0.12	18.2	0.67	0.12	0.00	0.00	0.00	0.00	Matches
7	Albert Adomah	gh GHA	MF	QPR	32	1987	9.6	0.21	1.56	0.52	33.3	1.56	0.52	0.13	0.40	0.00	0.00	Matches
8	Joost van Aken	nl NED	DF	Sheffield Weds	26	1994	14.1	0.00	0.57	0.07	12.5	0.57	0.07	0.00	0.00	0.00	0.00	Matches
9	Adebayo Akinfenwa	eng ENG	FW	Wycombe	38	1982	14.4	0.07	2.78	0.83	30.0	2.78	0.83	0.00	0.00	0.07	0.07	Matches
10	Chuba Akpom	eng ENG	FW	Middlesbrough	24	1995	21.4	0.23	1.87	0.51	27.5	1.87	0.51	0.13	0.45	0.00	0.00	Matches
11	Jamie Allen	eng ENG	MF,FW	Coventry City	25	1995	14.8	0.07	0.61	0.14	22.2	0.61	0.14	0.11	0.50	0.00	0.00	Matches
12	Joe Allen	wls WAL	MF	Stoke City	30	1990	15.3	0.00	1.11	0.26	23.5	1.11	0.26	0.00	0.00	0.00	0.00	Matches
13	Ryan Allsop	eng ENG	GK	Wycombe	28	1992	29.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
14	Sone Aluko	ng NGA	MF,FW	Reading	31	1989	11.0	0.18	1.91	0.82	42.9	1.91	0.82	0.10	0.22	0.00	0.00	Matches
15	Sammy Ameobi	eng ENG	MF	Nottingham	28	1992	24.7	0.12	2.59	0.69	26.6	2.59	0.69	0.05	0.18	0.00	0.00	Matches
16	Luke Amos	eng ENG	MF	QPR	23	1997	4.4	0.00	1.14	0.00	0.0	1.13	0.00	0.00		0.00	0.00	Matches
17	Miguel Ángel Guerrero	es ESP	MF,FW	Nottingham	30	1990	4.4	0.00	1.59	0.45	28.6	1.61	0.46	0.00	0.00	0.00	0.00	Matches
18	Jaidon Anthony	eng ENG	FW,MF	Bournemouth	20	1999	0.8	0.00	2.50	1.25	50.0	2.54	1.27	0.00	0.00	0.00	0.00	Matches
19	Felipe Araruna	br BRA	DF	Reading	24	1996	1.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
20	Jordan Archer	sct SCO	GK	Middlesbrough	27	1993	5.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
21	Adam Armstrong	eng ENG	FW	Blackburn	23	1997	38.4	0.73	4.92	2.21	45.0	4.92	2.21	0.12	0.27	0.13	0.21	Matches
22	Paul Arriola	us USA	FW,MF	Swansea City	25	1995	0.2	0.00	5.00	0.00	0.0	5.00	0.00	0.00		0.00	0.00	Matches
23	Harry Arter	ie IRL	MF,FW	Nottingham	30	1989	8.0	0.00	1.88	0.38	20.0	1.89	0.38	0.00	0.00	0.00	0.00	Matches
24	Britt Assombalonga	cd COD	FW	Middlesbrough	27	1992	19.2	0.26	2.55	0.89	34.7	2.56	0.89	0.08	0.24	0.05	0.05	Matches
25	Charlie Austin	eng ENG	FW	QPR	31	1989	15.7	0.51	3.06	1.15	37.5	3.06	1.15	0.17	0.44	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
26	Daniel Ayala	es ESP	DF	Blackburn	29	1990	8.7	0.00	0.69	0.23	33.3	0.69	0.23	0.00	0.00	0.00	0.00	Matches
27	André Ayew	gh GHA	FW	Swansea City	30	1989	40.6	0.39	2.39	0.94	39.2	2.39	0.94	0.11	0.29	0.12	0.12	Matches
28	Femi Azeez	ng NGA	MF	Reading	19	2001	0.0	0	0	0		0.00	0.00			0	0	Matches
29	Fouad Bachirou	km COM	MF	Nottingham	30	1990	0.4	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
30	Daniel Bachmann	at AUT	GK	Watford	26	1994	23.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
31	Juninho Bacuna	cw CUW	MF,FW	Huddersfield	22	1997	36.8	0.14	1.58	0.46	29.3	1.58	0.46	0.09	0.29	0.00	0.03	Matches
32	Leandro Bacuna	cw CUW	DF,MF	Cardiff City	28	1991	32.4	0.06	1.17	0.46	39.5	1.17	0.46	0.05	0.13	0.00	0.00	Matches
33	Joel Bagan	ie IRL	DF,MF	Cardiff City	20	2000	5.2	0.00	0.19	0.00	0.0	0.19	0.00	0.00		0.00	0.00	Matches
34	Amadou Bakayoko	sl SLE	FW	Coventry City	24	1996	3.5	0.00	1.71	0.57	33.3	1.71	0.57	0.00	0.00	0.00	0.00	Matches
35	Nathan Baker	eng ENG	DF	Bristol City	29	1991	2.2	0.00	0.91	0.00	0.0	0.90	0.00	0.00		0.00	0.00	Matches
36	Tyreeq Bakinson	eng ENG	MF	Bristol City	21	1998	22.9	0.17	0.96	0.31	31.8	0.96	0.31	0.18	0.57	0.00	0.00	Matches
37	Sam Baldock	eng ENG	FW	Reading	31	1989	5.7	0.00	1.40	0.35	25.0	1.40	0.35	0.00	0.00	0.00	0.00	Matches
38	Dominic Ball	eng ENG	MF	QPR	24	1995	24.3	0.04	0.95	0.33	34.8	0.95	0.33	0.04	0.13	0.00	0.00	Matches
39	Sol Bamba	ci CIV	DF	Cardiff City	35	1985	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
40	Beni Baningime	cd COD	MF	Derby County	21	1998	1.0	0.00	1.00	0.00	0.0	0.96	0.00	0.00		0.00	0.00	Matches
41	Barry Bannan	sct SCO	MF	Sheffield Weds	30	1989	44.6	0.04	0.94	0.29	31.0	0.94	0.29	0.00	0.00	0.04	0.07	Matches
