Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
42	Will Bapaga	eng ENG	MF	Coventry City	17	2002	0.3	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
43	Shandon Baptiste	gd GRN	MF	Brentford	22	1998	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
44	Yoann Barbet	fr FRA	DF	QPR	27	1993	46.0	0.04	0.85	0.20	23.1	0.85	0.20	0.05	0.22	0.00	0.00	Matches
45	Daniel Barden	wls WAL	GK	Norwich City	19	2001	1.5	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
46	Tom Barkhuizen	eng ENG	MF,FW	Preston	27	1993	29.8	0.13	1.31	0.67	51.3	1.31	0.67	0.10	0.20	0.00	0.00	Matches
47	Daniel Barlaser	tr TUR	MF	Rotherham	23	1997	26.6	0.11	0.71	0.30	42.1	0.71	0.30	0.00	0.00	0.11	0.11	Matches
48	Danny Batth	eng ENG	DF	Stoke City	29	1990	26.0	0.04	0.77	0.27	35.0	0.77	0.27	0.05	0.14	0.00	0.00	Matches
49	Patrick Bauer	de GER	DF	Preston	27	1992	11.5	0.09	0.78	0.35	44.4	0.78	0.35	0.11	0.25	0.00	0.00	Matches
50	Tom Bayliss	eng ENG	MF	Preston	21	1999	2.9	0.34	1.38	0.69	50.0	1.40	0.70	0.25	0.50	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
51	Mads Bech Sørensen	dk DEN	DF	Brentford	21	1999	29.8	0.07	0.17	0.07	40.0	0.17	0.07	0.40	1.00	0.00	0.00	Matches
52	Asmir Begović	ba BIH	GK	Bournemouth	33	1987	45.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
53	Jérémie Bela	ao ANG	MF	Birmingham City	27	1993	25.0	0.12	2.16	0.80	37.0	2.16	0.80	0.02	0.05	0.08	0.08	Matches
54	Amari'i Bell	jm JAM	DF	Blackburn	26	1994	17.0	0.00	0.59	0.18	30.0	0.59	0.18	0.00	0.00	0.00	0.00	Matches
55	Sam Bell	eng ENG	FW	Bristol City	18	2002	0.4	0.00	2.50	0.00	0.0	2.57	0.00	0.00		0.00	0.00	Matches
56	Steven Benda	de GER	GK	Swansea City	21	1998	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
57	Filip Benković	hr CRO	DF	Cardiff City	23	1997	0.8	0.00	1.25	1.25	100.0	1.27	1.27	0.00	0.00	0.00	0.00	Matches
58	Elliott Bennett	eng ENG	MF,DF	Blackburn	31	1988	2.8	0.00	0.71	0.36	50.0	0.72	0.36	0.00	0.00	0.00	0.00	Matches
59	Joe Bennett	eng ENG	DF,MF	Cardiff City	30	1990	26.5	0.04	0.34	0.08	22.2	0.34	0.08	0.11	0.50	0.00	0.00	Matches
60	Mason Bennett	eng ENG	FW,MF	Millwall	24	1996	25.5	0.24	1.92	0.59	30.6	1.92	0.59	0.12	0.40	0.00	0.00	Matches
61	Ryan Bennett	eng ENG	DF	Swansea City	30	1990	26.9	0.00	0.11	0.04	33.3	0.11	0.04	0.00	0.00	0.00	0.00	Matches
62	Saïd Benrahma	dz ALG	FW,MF	Brentford	24	1995	0.5	0.00	4.00	0.00	0.0	4.39	0.00	0.00		0.00	0.00	Matches
63	Daniel Bentley	eng ENG	GK	Bristol City	27	1993	43.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
64	Luke Berry	eng ENG	MF	Luton Town	28	1992	20.8	0.10	1.25	0.58	46.2	1.25	0.58	0.08	0.17	0.00	0.00	Matches
65	Faysal Bettache	eng ENG	MF	QPR	20	2000	0.8	0.00	2.50	0.00	0.0	2.43	0.00	0.00		0.00	0.00	Matches
66	Marcus Bettinelli	eng ENG	GK	Middlesbrough	28	1992	41.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
67	Maxime Biamou	fr FRA	FW	Coventry City	29	1990	22.4	0.22	2.54	0.67	26.3	2.55	0.67	0.09	0.33	0.00	0.00	Matches
68	Bartosz Białkowski	pl POL	GK	Millwall	33	1987	46.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
69	Mads Bidstrup	dk DEN	MF	Brentford	19	2001	1.3	0.00	0.77	0.00	0.0	0.78	0.00	0.00		0.00	0.00	Matches
70	Jake Bidwell	eng ENG	MF,DF	Swansea City	27	1993	34.9	0.03	0.83	0.29	34.5	0.83	0.29	0.03	0.10	0.00	0.00	Matches
71	Krystian Bielik	pl POL	MF	Derby County	22	1998	12.1	0.17	0.83	0.50	60.0	0.82	0.49	0.20	0.33	0.00	0.00	Matches
72	Philip Billing	dk DEN	MF	Bournemouth	24	1996	23.0	0.35	1.43	0.61	42.4	1.43	0.61	0.24	0.57	0.00	0.00	Matches
73	Max Bird	eng ENG	MF	Derby County	19	2000	23.0	0.00	0.78	0.17	22.2	0.78	0.17	0.00	0.00	0.00	0.00	Matches
74	Tyler Blackett	eng ENG	DF	Nottingham	26	1994	9.4	0.00	0.43	0.00	0.0	0.43	0.00	0.00		0.00	0.00	Matches
75	Jamal Blackman	eng ENG	GK	Rotherham	26	1993	25.9	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
76	Matt Bloomfield	eng ENG	MF	Wycombe	36	1984	7.7	0.13	1.04	0.26	25.0	1.04	0.26	0.13	0.50	0.00	0.00	Matches
77	Billy Bodin	wls WAL	MF	Preston	28	1992	1.0	0.00	1.00	1.00	100.0	0.97	0.97	0.00	0.00	0.00	0.00	Matches
78	Marc Bola	eng ENG	DF,MF	Middlesbrough	22	1997	40.1	0.02	0.52	0.10	19.0	0.52	0.10	0.05	0.25	0.00	0.00	Matches
79	Yannick Bolasie	cd COD	FW,MF	Middlesbrough	31	1989	10.3	0.29	2.91	0.68	23.3	2.92	0.68	0.10	0.43	0.00	0.00	Matches
80	Gaëtan Bong	cm CMR	DF	Nottingham	32	1988	8.7	0.00	0.23	0.00	0.0	0.23	0.00	0.00		0.00	0.00	Matches
81	Macauley Bonne	zw ZIM	FW,MF	QPR	24	1995	12.2	0.25	2.21	0.98	44.4	2.21	0.98	0.11	0.25	0.00	0.00	Matches
82	Julian Börner	de GER	DF	Sheffield Weds	29	1991	23.3	0.13	0.86	0.30	35.0	0.86	0.30	0.15	0.43	0.00	0.00	Matches
83	Caolan Boyd-Munce	nir NIR	MF	Birmingham City	20	2000	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
84	Sonny Bradley	eng ENG	DF	Luton Town	28	1991	36.5	0.00	0.71	0.14	19.2	0.71	0.14	0.00	0.00	0.00	0.00	Matches
85	Tom Bradshaw	wls WAL	FW,MF	Millwall	28	1992	11.7	0.43	2.56	0.94	36.7	2.57	0.94	0.17	0.45	0.00	0.00	Matches
86	Jarrad Branthwaite	eng ENG	DF	Blackburn	18	2002	10.0	0.00	0.10	0.00	0.0	0.10	0.00	0.00		0.00	0.00	Matches
87	James Bree	eng ENG	DF,MF	Luton Town	22	1997	17.8	0.06	0.62	0.17	27.3	0.62	0.17	0.09	0.33	0.00	0.00	Matches
88	Luke Brennan	eng ENG	FW	Blackburn	18	2001	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
89	Ben Brereton	cl CHI	FW,MF	Blackburn	21	1999	27.0	0.26	2.67	1.11	41.7	2.67	1.11	0.10	0.23	0.00	0.00	Matches
90	Callum Brittain	eng ENG	MF	Barnsley	22	1998	39.4	0.00	0.76	0.20	26.7	0.76	0.20	0.00	0.00	0.00	0.00	Matches
91	Louis Britton	eng ENG	FW	Bristol City	19	2001	0.2	5.00	5.00	5.00	100.0	4.74	4.74	1.00	1.00	0.00	0.00	Matches
92	David Brooks	wls WAL	FW,MF	Bournemouth	23	1997	23.8	0.21	2.06	0.71	34.7	2.05	0.71	0.10	0.29	0.00	0.00	Matches
93	Ciaron Brown	nir NIR	DF,MF	Cardiff City	22	1998	11.6	0.00	0.34	0.00	0.0	0.35	0.00	0.00		0.00	0.00	Matches
94	Izzy Brown	eng ENG	MF	Sheffield Weds	23	1997	6.0	0.00	0.83	0.17	20.0	0.83	0.17	0.00	0.00	0.00	0.00	Matches
95	Jacob Brown	sct SCO	FW,MF	Stoke City	22	1998	26.9	0.19	1.45	0.45	30.8	1.45	0.45	0.13	0.42	0.00	0.00	Matches
96	Jaden Brown	eng ENG	FW	Huddersfield	21	1999	2.7	0.00	0.37	0.37	100.0	0.37	0.37	0.00	0.00	0.00	0.00	Matches
97	Alan Browne	ie IRL	MF,DF	Preston	25	1995	36.0	0.11	1.17	0.31	26.2	1.17	0.31	0.07	0.27	0.03	0.03	Matches
98	Marcus Browne	eng ENG	MF	Middlesbrough	22	1997	1.6	1.25	3.75	1.25	33.3	3.80	1.27	0.33	1.00	0.00	0.00	Matches
99	Chris Brunt	nir NIR	MF	Bristol City	35	1984	5.7	0.00	0.53	0.00	0.0	0.53	0.00	0.00		0.00	0.00	Matches
100	Lee Buchanan	eng ENG	DF,MF	Derby County	19	2001	28.7	0.00	0.66	0.14	21.1	0.66	0.14	0.00	0.00	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
101	John Buckley	eng ENG	MF,FW	Blackburn	20	1999	11.1	0.09	1.17	0.63	53.8	1.17	0.63	0.08	0.14	0.00	0.00	Matches
102	Emi Buendía	ar ARG	MF	Norwich City	23	1996	36.8	0.41	2.99	0.98	32.7	2.99	0.98	0.13	0.39	0.03	0.03	Matches
103	Ajani Burchall	bm BER	FW	Bournemouth	15	2004	0.0	0	0	0		0.00	0.00			0	0	Matches
104	Tyler Burey	eng ENG	FW	Millwall	18	2001	1.6	0.00	0.63	0.00	0.0	0.63	0.00	0.00		0.00	0.00	Matches
105	Jack Burroughs	sct SCO	DF,MF	Coventry City	19	2001	1.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
106	Josef Bursik	eng ENG	GK	Stoke City	20	2000	15.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
107	Daniel Butterworth	eng ENG	FW,MF	Blackburn	20	1999	0.3	0.00	3.33	0.00	0.0	3.33	0.00	0.00		0.00	0.00	Matches
108	Nathan Byrne	eng ENG	DF,MF	Derby County	28	1992	38.5	0.00	0.23	0.10	44.4	0.23	0.10	0.00	0.00	0.00	0.00	Matches
109	Ben Cabango	wls WAL	DF	Swansea City	20	2000	28.2	0.14	0.67	0.28	42.1	0.67	0.28	0.21	0.50	0.00	0.00	Matches
110	Rafael Cabral	br BRA	GK	Reading	30	1990	45.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
111	Cafú	pt POR	MF	Nottingham	27	1993	26.0	0.00	0.65	0.15	23.5	0.65	0.15	0.00	0.00	0.00	0.00	Matches
112	Mamadi Camará	gw GNB	FW,MF	Reading	16	2003	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
113	Geoff Cameron	us USA	MF,DF	QPR	35	1985	30.9	0.00	0.49	0.16	33.3	0.49	0.16	0.00	0.00	0.00	0.00	Matches
114	Fraizer Campbell	eng ENG	FW	Huddersfield	32	1987	33.1	0.21	1.63	0.42	25.9	1.63	0.42	0.13	0.50	0.00	0.03	Matches
115	Tyrese Campbell	eng ENG	MF,FW	Stoke City	20	1999	12.1	0.50	2.89	0.99	34.3	2.90	0.99	0.17	0.50	0.00	0.00	Matches
116	Sergi Canós	es ESP	FW,MF	Brentford	23	1997	31.9	0.28	3.20	1.00	31.4	3.20	1.00	0.09	0.28	0.00	0.00	Matches
117	Todd Cantwell	eng ENG	MF	Norwich City	22	1998	29.0	0.21	2.34	0.69	29.4	2.34	0.69	0.09	0.30	0.00	0.00	Matches
118	Étienne Capoue	fr FRA	MF	Watford	32	1988	7.8	0.00	0.90	0.13	14.3	0.90	0.13	0.00	0.00	0.00	0.00	Matches
119	Tom Carroll	eng ENG	MF	QPR	28	1992	18.3	0.00	0.66	0.11	16.7	0.66	0.11	0.00	0.00	0.00	0.00	Matches
120	Hayden Carter	eng ENG	DF	Blackburn	20	1999	0.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
121	Cameron Carter-Vickers	us USA	DF	Bournemouth	22	1997	20.5	0.05	0.24	0.10	40.0	0.24	0.10	0.20	0.50	0.00	0.00	Matches
122	Joel Castro Pereira	pt POR	GK	Huddersfield	24	1996	2.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
123	Craig Cathcart	nir NIR	DF	Watford	31	1989	21.3	0.05	0.23	0.09	40.0	0.24	0.09	0.20	0.50	0.00	0.00	Matches
124	Ilias Chair	ma MAR	MF	QPR	22	1997	38.9	0.21	2.19	0.72	32.9	2.19	0.72	0.09	0.29	0.00	0.00	Matches
125	Nathaniel Chalobah	eng ENG	MF	Watford	25	1994	29.2	0.10	1.13	0.34	30.3	1.13	0.34	0.09	0.30	0.00	0.00	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
126	Conor Chaplin	eng ENG	FW,MF	Barnsley	23	1997	23.5	0.17	2.04	0.68	33.3	2.04	0.68	0.08	0.25	0.00	0.00	Matches
127	Harry Chapman	eng ENG	FW,MF	Blackburn	22	1997	1.0	0.00	5.00	1.00	20.0	5.11	1.02	0.00	0.00	0.00	0.00	Matches
128	Darius Charles	eng ENG	DF	Wycombe	32	1987	4.6	0.00	1.30	0.22	16.7	1.30	0.22	0.00	0.00	0.00	0.00	Matches
129	James Chester	wls WAL	DF	Stoke City	31	1989	31.0	0.00	0.58	0.10	16.7	0.58	0.10	0.00	0.00	0.00	0.00	Matches
130	Cyrus Christie	ie IRL	DF	Nottingham	27	1992	43.9	0.00	0.64	0.16	25.0	0.64	0.16	0.00	0.00	0.00	0.00	Matches
131	Jordan Clark	eng ENG	MF,DF	Luton Town	26	1993	24.3	0.04	1.36	0.49	36.4	1.36	0.49	0.03	0.08	0.00	0.00	Matches
132	Jack Clarke	eng ENG	MF,FW	Stoke City	19	2000	6.5	0.00	1.23	0.46	37.5	1.22	0.46	0.00	0.00	0.00	0.00	Matches
133	Matthew Clarke	eng ENG	DF	Derby County	23	1996	41.0	0.00	0.93	0.29	31.6	0.93	0.29	0.00	0.00	0.00	0.00	Matches
134	Trevor Clarke	ie IRL	MF	Rotherham	22	1998	2.2	0.00	1.36	0.45	33.3	1.38	0.46	0.00	0.00	0.00	0.00	Matches
135	Jake Clarke-Salter	eng ENG	DF	Birmingham City	22	1997	8.8	0.00	0.23	0.00	0.0	0.23	0.00	0.00		0.00	0.00	Matches
136	Adam Clayton	eng ENG	MF	Birmingham City	31	1989	9.7	0.00	0.31	0.00	0.0	0.31	0.00	0.00		0.00	0.00	Matches
137	Tom Cleverley	eng ENG	MF	Watford	30	1989	28.9	0.14	1.31	0.28	21.1	1.31	0.28	0.11	0.50	0.00	0.00	Matches
138	Sam Clucas	eng ENG	MF	Stoke City	29	1990	17.9	0.11	1.12	0.34	30.0	1.12	0.33	0.10	0.33	0.00	0.00	Matches
139	Josh Coburn	eng ENG	FW	Middlesbrough	17	2002	0.6	1.67	3.33	1.67	50.0	3.40	1.70	0.50	1.00	0.00	0.00	Matches
140	Josh Cogley	eng ENG	DF,MF	Birmingham City	24	1996	4.3	0.00	0.23	0.00	0.0	0.23	0.00	0.00		0.00	0.00	Matches
141	Jack Colback	eng ENG	MF	Nottingham	30	1989	12.2	0.00	0.08	0.08	100.0	0.08	0.08	0.00	0.00	0.00	0.00	Matches
142	Maxime Colin	fr FRA	DF,MF	Birmingham City	28	1991	39.0	0.03	0.28	0.10	36.4	0.28	0.10	0.09	0.25	0.00	0.00	Matches
143	Bradley Collins	eng ENG	GK	Barnsley	23	1997	22.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
144	James Collins	ie IRL	FW	Luton Town	29	1990	29.5	0.34	2.31	0.75	32.4	2.30	0.74	0.12	0.36	0.07	0.14	Matches
145	Nathan Collins	ie IRL	DF	Stoke City	19	2001	19.6	0.10	0.36	0.10	28.6	0.36	0.10	0.29	1.00	0.00	0.00	Matches
146	Rubin Colwill	wls WAL	MF	Cardiff City	18	2002	2.1	0.00	1.43	0.48	33.3	1.41	0.47	0.00	0.00	0.00	0.00	Matches
147	Tommy Conway	sct SCO	FW,MF	Bristol City	17	2002	3.0	0.33	1.33	0.67	50.0	1.34	0.67	0.25	0.50	0.00	0.00	Matches
148	Lewis Cook	eng ENG	MF	Bournemouth	23	1997	27.8	0.04	0.94	0.18	19.2	0.93	0.18	0.04	0.20	0.00	0.00	Matches
149	Steve Cook	eng ENG	DF	Bournemouth	29	1991	40.6	0.00	0.42	0.07	17.6	0.42	0.07	0.00	0.00	0.00	0.00	Matches
150	Brandon Cooper	wls WAL	DF	Swansea City	20	2000	0.0	0	0	0		0.00	0.00			0	0	Matches
Rk	Player	Nation	Pos	Squad	Age	Born	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt	Matches
151	Jake Cooper	eng ENG	DF	Millwall	25	1995	41.2	0.02	0.83	0.22	26.5	0.82	0.22	0.03	0.11	0.00	0.00	Matches
152	Oliver Cooper	wls WAL	MF	Swansea City	20	1999	0.6	0.00	3.33	0.00	0.0	3.40	0.00	0.00		0.00	0.00	Matches
153	Harry Cornick	eng ENG	FW,MF	Luton Town	25	1995	28.4	0.04	1.06	0.35	33.3	1.06	0.35	0.03	0.10	0.00	0.00	Matches
154	Sam Cosgrove	eng ENG	FW	Birmingham City	23	1996	2.6	0.00	0.77	0.00	0.0	0.76	0.00	0.00		0.00	0.00	Matches
155	Nuno da Costa	cv CPV	MF	Nottingham	29	1991	1.1	0.00	0.91	0.00	0.0	0.91	0.00	0.00		0.00	0.00	Matches
156	Hayden Coulson	eng ENG	MF,FW	Middlesbrough	22	1998	7.0	0.00	1.00	0.14	14.3	1.00	0.14	0.00	0.00	0.00	0.00	Matches
157	Jordan Cousins	eng ENG	MF	Stoke City	26	1994	9.4	0.00	0.53	0.21	40.0	0.53	0.21	0.00	0.00	0.00	0.00	Matches
158	Martin Cranie	eng ENG	DF,MF	Luton Town	33	1986	19.3	0.00	0.10	0.05	50.0	0.10	0.05	0.00	0.00	0.00	0.00	Matches
159	Cameron Cresswell	eng ENG	FW	Derby County	20	1999	0.1	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
160	Romoney Crichlow-Noble	eng ENG	DF	Huddersfield	21	1999	2.7	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
161	Matt Crooks	eng ENG	MF,FW	Rotherham	26	1994	34.3	0.17	1.69	0.32	19.0	1.69	0.32	0.10	0.55	0.00	0.00	Matches
162	Daniel Crowley	eng ENG	MF	Birmingham City	22	1997	1.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
163	Liam Cullen	wls WAL	FW	Swansea City	21	1999	5.6	0.18	2.50	0.54	21.4	2.51	0.54	0.07	0.33	0.00	0.00	Matches
164	Greg Cunningham	ie IRL	MF,DF	Preston	29	1991	10.1	0.10	0.40	0.10	25.0	0.39	0.10	0.25	1.00	0.00	0.00	Matches
165	Greg Cunningham	ie IRL	DF	Cardiff City	29	1991	3.2	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
166	Fankaty Dabo	eng ENG	MF,DF	Coventry City	24	1995	22.1	0.00	0.32	0.09	28.6	0.32	0.09	0.00	0.00	0.00	0.00	Matches
167	Bradley Dack	eng ENG	MF,FW	Blackburn	26	1993	9.0	0.33	1.89	0.33	17.6	1.90	0.33	0.18	1.00	0.00	0.00	Matches
168	Julien Dacosta	fr FRA	MF	Coventry City	24	1996	10.3	0.00	0.29	0.10	33.3	0.29	0.10	0.00	0.00	0.00	0.00	Matches
169	Henrik Dalsgaard	dk DEN	DF	Brentford	31	1989	33.5	0.06	0.81	0.18	22.2	0.81	0.18	0.07	0.33	0.00	0.00	Matches
170	Matty Daly	eng ENG	FW	Huddersfield	19	2001	0.8	0.00	2.50	0.00	0.0	2.50	0.00	0.00		0.00	0.00	Matches
171	Luke Daniels	eng ENG	GK	Brentford	32	1988	4.0	0.00	0.00	0.00		0.00	0.00			0.00	0.00	Matches
172	Arnaut Danjuma	nl NED	FW,MF	Bournemouth	23	1997	27.7	0.54	2.56	1.16	45.1	2.57	1.16	0.21	0.47	0.00	0.00	Matches
173	Jay Dasilva	wls WAL	MF,DF	Bristol City	22	1998	9.0	0.11	0.11	0.11	100.0	0.11	0.11	1.00	1.00	0.00	0.00	Matches
174	Josh Dasilva	eng ENG	MF	Brentford	21	1998	23.7	0.21	1.52	0.51	33.3	1.52	0.51	0.14	0.42	0.00	0.00	Matches
