Squad	# Pl	MP	Starts	Min	90s	GA	GA90	SoTA	Saves	Save%	W	D	L	CS	CS%	PKatt	PKA	PKsv	PKm	Save%
Barnsley	2	46	46	4,140	46.0	50	1.09	141	92	66.7	23	9	14	14	30.4	3	3	0	0	0.0
Birmingham City	3	46	46	4,140	46.0	61	1.33	171	108	68.4	13	13	20	14	30.4	10	7	3	0	30.0
Blackburn	2	46	46	4,140	46.0	54	1.17	155	103	67.7	15	12	19	11	23.9	4	4	0	0	0.0
Bournemouth	2	46	46	4,140	46.0	46	1.00	164	117	74.4	22	11	13	15	32.6	5	4	1	0	20.0
Brentford	2	46	46	4,140	46.0	42	0.91	143	102	73.4	24	15	7	17	37.0	4	4	0	0	0.0
Bristol City	2	46	46	4,140	46.0	68	1.48	199	130	68.3	15	6	25	10	21.7	6	5	1	0	16.7
Cardiff City	2	46	46	4,140	46.0	49	1.07	166	116	71.1	18	14	14	15	32.6	5	1	3	1	75.0
Coventry City	2	46	46	4,140	46.0	61	1.33	163	105	69.3	14	13	19	13	28.3	11	11	0	0	0.0
Derby County	2	46	46	4,140	46.0	58	1.26	159	102	64.8	11	11	24	12	26.1	3	2	0	1	0.0
Huddersfield	3	46	46	4,140	46.0	71	1.54	199	129	67.8	12	13	21	12	26.1	7	7	0	0	0.0
Luton Town	2	46	46	4,140	46.0	52	1.13	152	102	68.4	17	11	18	15	32.6	5	4	1	0	20.0
Middlesbrough	2	46	46	4,140	46.0	53	1.15	137	85	65.0	18	10	18	13	28.3	7	5	1	1	16.7
Millwall	1	46	46	4,140	46.0	52	1.13	170	118	70.6	15	17	14	17	37.0	4	2	1	1	33.3
Norwich City	3	46	46	4,140	46.0	36	0.78	154	116	78.6	29	10	7	18	39.1	7	3	2	2	40.0
Nottingham	2	46	46	4,140	46.0	45	0.98	163	117	75.5	12	16	18	14	30.4	6	5	1	0	16.7
Preston	3	46	46	4,140	46.0	56	1.22	163	110	69.9	18	7	21	16	34.8	8	7	0	1	0.0
QPR	2	46	46	4,138	46.0	55	1.20	183	129	73.2	19	11	16	14	30.4	7	6	1	0	14.3
Reading	2	46	46	4,140	46.0	54	1.17	157	102	67.5	19	13	14	17	37.0	5	3	2	0	40.0
Rotherham	2	46	46	4,140	46.0	60	1.30	180	125	70.0	11	9	26	9	19.6	6	6	0	0	0.0
Sheffield Weds	3	46	46	4,140	46.0	61	1.33	162	102	65.4	12	11	23	13	28.3	7	5	1	1	16.7
Stoke City	3	46	46	4,140	46.0	52	1.13	135	84	64.4	15	15	16	21	45.7	4	4	0	0	0.0
Swansea City	2	46	46	4,140	46.0	39	0.85	139	101	73.4	23	11	12	20	43.5	3	2	1	0	33.3
Watford	2	46	46	4,140	46.0	30	0.65	111	82	75.7	27	10	9	23	50.0	4	3	1	0	25.0
Wycombe	2	46	46	4,140	46.0	69	1.50	201	135	69.2	11	10	25	12	26.1	8	7	0	1	0.0
