Squad	# Pl	90s	Gls	Sh	SoT	SoT%	Sh/90	SoT/90	G/Sh	G/SoT	PK	PKatt
Barnsley	29	46.0	57	547	168	30.7	11.89	3.65	0.09	0.30	7	8
Birmingham City	34	46.0	37	469	123	26.2	10.20	2.67	0.07	0.27	4	5
Blackburn	32	46.0	65	619	219	35.4	13.46	4.76	0.10	0.27	5	8
Bournemouth	29	46.0	72	543	192	35.4	11.80	4.17	0.13	0.36	3	3
Brentford	29	46.0	79	608	190	31.3	13.22	4.13	0.12	0.37	9	9
Bristol City	39	46.0	45	358	122	34.1	7.78	2.65	0.12	0.36	1	2
Cardiff City	30	46.0	65	523	183	35.0	11.37	3.98	0.11	0.32	6	8
Coventry City	29	46.0	46	494	156	31.6	10.74	3.39	0.09	0.28	3	3
Derby County	37	46.0	34	475	139	29.3	10.33	3.02	0.07	0.22	3	3
Huddersfield	35	46.0	46	478	149	31.2	10.39	3.24	0.10	0.31	0	3
Luton Town	27	46.0	40	475	140	29.5	10.33	3.04	0.08	0.26	3	5
Middlesbrough	31	46.0	52	521	143	27.4	11.33	3.11	0.10	0.35	2	3
Millwall	27	46.0	43	513	143	27.9	11.15	3.11	0.08	0.27	4	4
Norwich City	30	46.0	74	706	223	31.6	15.35	4.85	0.09	0.30	8	10
Nottingham	32	46.0	33	526	124	23.6	11.43	2.70	0.06	0.23	4	5
Preston	32	46.0	47	449	146	32.5	9.76	3.17	0.09	0.29	5	8
QPR	28	46.0	55	509	159	31.2	11.07	3.46	0.10	0.31	5	6
Reading	27	46.0	62	521	188	36.1	11.33	4.09	0.11	0.30	6	9
Rotherham	26	46.0	43	515	135	26.2	11.20	2.93	0.07	0.28	5	8
Sheffield Weds	29	46.0	38	438	128	29.2	9.52	2.78	0.08	0.27	3	4
Stoke City	33	46.0	47	473	134	28.3	10.28	2.91	0.10	0.34	1	2
Swansea City	29	46.0	55	468	147	31.4	10.17	3.20	0.10	0.33	6	6
Watford	34	46.0	61	511	155	30.3	11.11	3.37	0.10	0.33	10	10
Wycombe	28	46.0	38	494	130	26.3	10.74	2.83	0.06	0.24	
