Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Squad_Original
147,Pierce Charles,nir NIR,GK,Sheffield Wed,20.0,2005.0,19,19,"1,710",19.0,0.0,0.05,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.05,0.0,0.05,Matches,GK,False,pierce charles,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,41.3,90.0,1.0,0.0,,0.0,0.53,0.68,1.95,-1.26,-1.26,0.07,0.0,0.0,0.26,0.0,0.0,0.0,0.0,,,0.0,19.0,19.0,"1,710",19.0,1.95,1.95,6.26,4.32,68.9,0.05,0.37,0.58,0.11,10.5,0.11,0.05,0.0,0.05,0.0,Sheffield Weds
169,Michael Cooper,eng ENG,GK,Sheffield Utd,25.0,1999.0,34,34,"3,015",33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,michael cooper,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,72.8,89.0,0.99,0.0,,0.0,1.32,1.43,1.34,0.09,0.09,0.33,0.0,0.03,0.24,0.0,0.0,0.0,0.0,,,0.0,34.0,34.0,"3,015",33.5,1.34,1.34,4.12,2.78,67.4,0.42,0.09,0.51,0.24,23.5,0.12,0.09,0.0,0.03,0.0,Sheffield United
170,Murphy Cooper,eng ENG,GK,Sheffield Wed,23.0,2001.0,8,8,720,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,murphy cooper,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,17.4,90.0,1.0,0.0,,0.38,0.0,0.13,1.75,-1.63,-1.62,-0.39,0.0,0.0,0.0,0.0,0.0,0.13,0.13,,,0.0,8.0,8.0,720,8.0,1.75,1.75,5.63,3.88,68.9,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sheffield Weds
173,David Cornell,wls WAL,GK,Preston,34.0,1991.0,8,7,675,7.5,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.13,0.13,0.0,0.13,Matches,GK,False,david cornell,2025-2026,standard,0.0,0.0,,0.0,0.0,,,84,16.3,90.0,0.93,0.13,45.0,1.87,0.75,0.93,1.6,-0.67,-0.67,-0.61,0.0,0.0,0.27,0.0,0.0,0.0,0.0,,,0.0,8.0,7.0,675,7.5,1.6,1.6,4.53,2.93,64.7,0.13,0.4,0.4,0.13,14.3,0.13,0.13,0.0,0.0,0.0,Preston
180,Max Crocombe,nz NZL,GK,Millwall,31.0,1993.0,23,23,"2,070",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,max crocombe,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,50.0,90.0,1.0,0.0,,1.0,1.83,1.39,1.09,0.3,0.3,-0.04,0.0,0.0,0.17,0.0,0.0,0.0,0.09,,,0.0,23.0,23.0,"2,070",23.0,1.09,1.09,4.48,3.39,75.7,0.52,0.26,0.22,0.39,39.1,0.04,0.04,0.0,0.0,0.0,Millwall
183,Jamie Cumming,eng ENG,GK,Oxford Utd,25.0,1999.0,46,46,"4,140",46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,jamie cumming,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,100.0,90.0,1.0,0.0,,0.0,1.02,0.98,1.28,-0.3,-0.3,,0.0,0.02,0.11,0.0,0.0,0.0,0.0,,,0.0,46.0,46.0,"4,140",46.0,1.28,1.28,4.2,2.89,69.4,0.24,0.3,0.46,0.17,17.4,0.04,0.04,0.0,0.0,0.0,Oxford United
189,Adam Davies,wls WAL,GK,Sheffield Utd,33.0,1992.0,13,12,"1,125",12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,adam davies,2025-2026,standard,0.0,0.0,,0.0,0.0,,,87,27.2,90.0,0.96,0.08,45.0,2.64,1.15,1.44,1.68,-0.24,-0.24,-0.33,0.0,0.08,0.24,0.0,0.0,0.0,0.0,,,0.0,13.0,12.0,"1,125",12.5,1.68,1.68,4.48,2.8,62.5,0.32,0.24,0.4,0.16,16.7,0.08,0.08,0.0,0.0,0.0,Sheffield United
206,Seny Dieng,sn SEN,GK,Sheffield Wed,30.0,1994.0,3,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,seny dieng,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,6.5,90.0,1.0,0.0,,0.0,0.0,0.67,2.33,-1.67,-1.67,-0.39,0.0,0.0,0.67,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,270,3.0,2.33,2.33,5.33,3.0,56.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sheffield Weds
262,Andy Fisher,eng ENG,GK,Swansea,27.0,1998.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,andy fisher,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,2.2,90.0,1.0,0.0,,45.0,3.0,3.0,1.0,2.0,2.0,2.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90,1.0,1.0,1.0,3.0,2.0,66.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Swansea City
306,Joshua Griffiths,eng ENG,GK,West Brom,23.0,2001.0,24,23,"2,095",23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joshua griffiths,2025-2026,standard,0.0,0.0,,0.0,0.0,,,87,50.6,90.0,0.99,0.04,25.0,0.82,1.33,1.2,1.46,-0.26,-0.26,-0.08,0.0,0.0,0.09,0.0,0.0,0.0,0.04,,,0.0,24.0,23.0,"2,095",23.3,1.46,1.46,3.65,2.15,60.0,0.34,0.21,0.43,0.26,26.1,0.04,0.0,0.04,0.0,100.0,West Brom
308,Daniel Grimshaw,eng ENG,GK,Norwich,27.0,1998.0,1,1,90,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,Matches,GK,False,daniel grimshaw,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,2.2,90.0,1.0,0.0,,42.0,3.0,3.0,0.0,3.0,3.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90,1.0,0.0,0.0,1.0,1.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,Norwich City
315,Ben Hamer,eng ENG,GK,QPR,37.0,1987.0,7,7,558,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ben hamer,2025-2026,standard,0.0,0.0,,0.0,0.0,,,80,13.5,80.0,0.97,0.0,,5.0,2.0,1.94,0.97,0.97,0.97,1.42,0.0,0.0,0.16,0.0,0.0,0.0,0.0,,,0.0,7.0,7.0,558,6.2,0.97,0.97,2.74,1.77,64.7,0.65,0.32,0.16,0.48,42.9,0.16,0.0,0.0,0.16,,QPR
337,Ethan Horvath,us USA,GK,Sheffield Wed,30.0,1995.0,14,14,"1,259",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ethan horvath,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,30.4,90.0,0.93,0.0,,0.5,0.57,0.86,2.0,-1.14,-1.14,0.23,0.0,0.07,0.21,0.0,0.0,0.0,0.0,,,0.0,14.0,14.0,"1,259",14.0,2.0,2.0,5.57,3.57,64.1,0.07,0.36,0.57,0.14,14.3,0.07,0.07,0.0,0.0,0.0,Sheffield Weds
354,Daniel Iversen,dk DEN,GK,Preston,28.0,1997.0,36,36,"3,195",35.5,0.0,0.03,0.03,0.0,0.0,0.0,0.08,0.0,0.0,0.03,0.03,0.0,0.03,Matches,GK,False,daniel iversen,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,77.2,89.0,0.99,0.0,,0.0,1.5,1.35,1.18,0.17,0.17,1.41,0.0,0.0,0.08,0.0,0.0,0.0,0.0,,,0.0,36.0,36.0,"3,195",35.5,1.18,1.18,4.0,2.79,70.4,0.39,0.34,0.28,0.23,22.2,0.08,0.06,0.03,0.0,33.3,Preston
366,Viktor Johansson,se SWE,GK,Stoke,26.0,1998.0,25,25,"2,250",25.0,0.0,0.04,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.04,0.04,0.0,0.04,Matches,GK,False,viktor johansson,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,54.3,90.0,1.0,0.0,,0.0,1.36,1.16,1.0,0.16,0.16,0.59,0.0,0.0,0.44,0.0,0.0,0.0,0.04,,,0.0,25.0,25.0,"2,250",25.0,1.0,1.0,3.92,2.92,74.5,0.4,0.16,0.44,0.32,32.0,0.04,0.04,0.0,0.0,0.0,Stoke City
381,Thomas Kaminski,be BEL,GK,Charlton Athletic,32.0,1992.0,37,37,"3,330",37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,thomas kaminski,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,80.4,90.0,1.0,0.0,,0.11,1.19,1.0,1.32,-0.32,-0.32,-0.1,0.0,0.0,0.24,0.0,0.0,0.0,0.0,,,0.0,37.0,37.0,"3,330",37.0,1.32,1.32,4.14,2.81,68.0,0.3,0.3,0.41,0.3,29.7,0.14,0.08,0.03,0.03,25.0,Charlton Athletic
393,Ben Killip,eng ENG,GK,Portsmouth,29.0,1995.0,4,2,332,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ben killip,2025-2026,standard,0.0,0.0,,0.0,0.0,,,83,8.0,90.0,0.54,0.54,76.0,3.51,1.25,1.08,1.08,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,4.0,2.0,332,3.7,1.08,1.08,4.59,3.51,76.5,0.0,0.27,0.27,0.27,50.0,0.0,0.0,0.0,0.0,,Portsmouth
408,Vladan Kovačević,ba BIH,GK,Norwich,27.0,1998.0,45,45,"4,050",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,vladan kovacevic,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,97.8,90.0,1.0,0.0,,0.0,1.38,1.33,1.24,0.09,0.09,-2.91,0.0,0.02,0.13,0.0,0.0,0.0,0.0,,,0.0,45.0,45.0,"4,050",45.0,1.24,1.24,3.82,2.58,67.4,0.4,0.18,0.42,0.18,17.8,0.11,0.07,0.04,0.0,40.0,Norwich City
440,Joe Lumley,eng ENG,GK,Sheffield Wed,30.0,1995.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joe lumley,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,4.3,90.0,1.0,0.0,,0.0,0.0,0.5,1.5,-1.0,-1.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180,2.0,1.5,1.5,5.5,4.0,72.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Sheffield Weds
455,William Mannion,eng ENG,GK,Charlton Athletic,27.0,1998.0,9,9,810,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,william mannion,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,19.6,90.0,1.0,0.0,,3.22,1.0,0.78,1.0,-0.22,-0.22,0.1,0.0,0.0,0.22,0.0,0.0,0.0,0.0,,,0.0,9.0,9.0,810,9.0,1.0,1.0,4.56,3.56,78.0,0.22,0.33,0.44,0.22,22.2,0.11,0.11,0.0,0.0,0.0,Charlton Athletic
476,Alex McCarthy,eng ENG,GK,Southampton,35.0,1989.0,7,7,630,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,alex mccarthy,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,15.2,90.0,1.0,0.0,,3.43,0.86,0.86,1.43,-0.57,-0.57,-1.34,0.0,0.0,0.29,0.0,0.0,0.0,0.0,,,0.0,7.0,7.0,630,7.0,1.43,1.43,3.57,2.14,60.0,0.14,0.43,0.43,0.14,14.3,0.0,0.0,0.0,0.0,,Southampton
529,Paul Nardi,fr FRA,GK,QPR,31.0,1994.0,17,16,"1,512",16.8,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,paul nardi,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,36.5,90.0,0.95,0.06,72.0,0.6,1.35,1.31,1.49,-0.18,-0.18,0.13,0.0,0.0,0.3,0.0,0.0,0.0,0.12,,,0.0,17.0,16.0,"1,512",16.8,1.49,1.49,3.75,2.26,60.3,0.36,0.12,0.48,0.24,25.0,0.06,0.06,0.0,0.0,0.0,QPR
550,Richard O'Donnell,eng ENG,GK,Derby,36.0,1988.0,8,7,635,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,richard o'donnell,2025-2026,standard,0.0,0.0,,0.0,0.0,,,79,15.3,90.0,0.99,0.14,5.0,1.69,1.88,1.97,0.85,1.13,1.13,1.13,0.0,0.0,0.28,0.0,0.0,0.0,0.0,,,0.0,8.0,7.0,635,7.1,0.85,0.85,3.66,2.82,76.9,0.7,0.0,0.28,0.56,57.1,0.0,0.0,0.0,0.0,,Derby County
552,Max O'Leary,ie IRL,GK,West Brom,28.0,1996.0,16,16,"1,415",15.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,max o'leary,2025-2026,standard,0.0,0.0,,0.0,0.0,,,88,34.2,88.0,0.96,0.0,,0.06,1.13,0.76,0.83,-0.06,-0.06,0.23,0.0,0.0,0.13,0.0,0.0,0.0,0.0,,,0.0,16.0,16.0,"1,415",15.7,0.83,0.83,2.8,1.97,70.5,0.19,0.57,0.25,0.51,50.0,0.0,0.0,0.0,0.0,,West Brom
553,Max O'Leary,ie IRL,GK,Bristol City,28.0,1996.0,5,5,450,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,max o'leary,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,10.9,90.0,1.0,0.0,,2.4,1.8,2.0,1.0,1.0,1.0,1.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,5.0,5.0,450,5.0,1.0,1.0,2.6,1.6,61.5,0.6,0.0,0.4,0.4,40.0,0.0,0.0,0.0,0.0,,Bristol City
562,Arthur Okonkwo,ng NGA,GK,Wrexham,23.0,2001.0,39,38,"3,421",38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,arthur okonkwo,2025-2026,standard,0.0,0.0,,0.0,0.0,,,88,82.6,90.0,1.0,0.03,1.0,0.18,1.62,1.5,1.39,0.11,0.11,0.11,0.0,0.0,0.08,0.0,0.0,0.03,0.0,,,0.0,39.0,38.0,"3,421",38.0,1.39,1.39,4.32,2.92,67.7,0.42,0.32,0.26,0.26,26.3,0.05,0.03,0.03,0.0,50.0,Wrexham
576,Alex Palmer,eng ENG,GK,Ipswich,28.0,1996.0,10,10,833,9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,alex palmer,2025-2026,standard,0.0,0.0,,0.0,0.0,,,83,20.1,83.0,0.97,0.0,,2.9,1.3,1.72,1.08,0.65,0.65,-0.09,0.0,0.0,0.32,0.0,0.0,0.0,0.11,,,0.0,10.0,10.0,833,9.3,1.08,1.08,3.01,1.94,64.3,0.32,0.43,0.32,0.11,10.0,0.22,0.22,0.0,0.0,0.0,Ipswich Town
579,Ivor Pandur,hr CRO,GK,Hull,25.0,2000.0,45,45,"4,050",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ivor pandur,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,97.8,90.0,1.0,0.0,,0.02,1.65,1.53,1.44,0.09,0.09,0.09,0.0,0.02,0.13,0.0,0.0,0.0,0.02,,,0.0,45.0,45.0,"4,050",45.0,1.44,1.44,4.6,3.16,68.6,0.47,0.2,0.33,0.24,24.4,0.11,0.07,0.04,0.0,40.0,Hull City
582,Anthony Patterson,eng ENG,GK,Millwall,25.0,2000.0,14,14,"1,260",14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,anthony patterson,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,30.4,90.0,1.0,0.0,,0.14,1.75,1.64,0.86,0.79,0.79,0.66,0.0,0.0,0.07,0.0,0.0,0.0,0.0,,,0.0,14.0,14.0,"1,260",14.0,0.86,0.86,3.14,2.29,72.7,0.57,0.21,0.21,0.43,42.9,0.0,0.0,0.0,0.0,,Millwall
583,Aynsley Pears,eng ENG,GK,Blackburn,27.0,1998.0,13,12,"1,082",12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,aynsley pears,2025-2026,standard,0.0,0.0,,0.0,0.0,,,83,26.1,90.0,1.0,0.08,2.0,1.33,1.15,0.92,1.08,-0.17,-0.17,0.19,0.0,0.0,0.17,0.0,0.0,0.08,0.0,,,0.0,13.0,12.0,"1,082",12.0,1.08,1.08,2.83,1.75,61.8,0.17,0.5,0.33,0.33,33.3,0.08,0.08,0.0,0.0,0.0,Blackburn
589,Daniel Peretz,il ISR,GK,Southampton,25.0,2000.0,20,20,"1,800",20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,daniel peretz,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,43.5,90.0,1.0,0.0,,0.0,2.32,2.2,0.9,1.3,1.3,1.3,0.0,0.0,0.25,0.0,0.0,0.0,0.0,,,0.0,20.0,20.0,"1,800",20.0,0.9,0.9,3.8,2.9,76.3,0.7,0.25,0.05,0.35,35.0,0.05,0.05,0.0,0.0,0.0,Southampton
592,Dillon Phillips,eng ENG,GK,Hull,30.0,1995.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,dillon phillips,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,2.2,90.0,1.0,0.0,,45.0,1.0,1.0,1.0,0.0,0.0,-0.09,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90,1.0,1.0,1.0,4.0,3.0,75.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,Hull City
636,Carl Rushworth,eng ENG,GK,Coventry,24.0,2001.0,46,46,"4,140",46.0,0.0,0.02,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.02,0.02,0.0,0.02,Matches,GK,False,carl rushworth,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,100.0,90.0,1.0,0.0,,0.0,2.07,2.11,0.98,1.13,1.13,,0.0,0.04,0.2,0.0,0.0,0.0,0.04,,,0.0,46.0,46.0,"4,140",46.0,0.98,0.98,3.63,2.63,73.1,0.61,0.24,0.15,0.37,37.0,0.07,0.07,0.0,0.0,0.0,Coventry City
649,Nicolas Schmid,at AUT,GK,Portsmouth,28.0,1997.0,34,34,"2,995",33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,nicolas schmid,2025-2026,standard,0.0,0.0,,0.0,0.0,,,88,72.3,88.0,0.99,0.0,,0.03,1.32,1.11,1.35,-0.24,-0.24,0.31,0.0,0.0,0.27,0.0,0.0,0.0,0.0,,,0.0,34.0,34.0,"2,995",33.3,1.35,1.35,3.72,2.37,63.7,0.36,0.27,0.39,0.24,23.5,0.06,0.06,0.0,0.0,0.0,Portsmouth
654,Egil Selvik,no NOR,GK,Watford,28.0,1997.0,40,40,"3,555",39.5,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,egil selvik,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,85.9,89.0,0.99,0.0,,0.0,1.15,1.06,1.42,-0.35,-0.35,-0.66,0.0,0.0,0.13,0.0,0.0,0.0,0.0,,,0.0,40.0,40.0,"3,555",39.5,1.42,1.42,4.23,2.81,66.5,0.28,0.33,0.41,0.18,17.5,0.05,0.03,0.03,0.0,50.0,Watford
666,Tommy Simkin,eng ENG,GK,Stoke,20.0,2004.0,15,15,"1,350",15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,tommy simkin,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,32.6,90.0,1.0,0.0,,0.47,1.07,1.2,1.53,-0.33,-0.33,-0.33,0.0,0.0,0.13,0.0,0.0,0.0,0.0,,,0.0,15.0,15.0,"1,350",15.0,1.53,1.53,3.93,2.4,61.0,0.27,0.27,0.47,0.2,20.0,0.0,0.0,0.0,0.0,,Stoke City
690,Jakub Stolarczyk,pl POL,GK,Leicester,24.0,2000.0,36,36,"3,195",35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,jakub stolarczyk,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,77.2,89.0,0.99,0.0,,0.17,1.19,1.21,1.32,-0.11,-0.11,0.46,0.0,0.0,0.2,0.0,0.0,0.03,0.0,,,0.0,36.0,36.0,"3,195",35.5,1.32,1.32,3.97,2.62,66.7,0.28,0.37,0.37,0.17,16.7,0.08,0.03,0.06,0.0,66.7,Leicester City
726,Balázs Tóth,hu HUN,GK,Blackburn,27.0,1997.0,34,34,"3,058",34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,balazs toth,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,73.9,90.0,0.97,0.0,,0.09,1.18,0.91,1.26,-0.35,-0.35,-0.19,0.0,0.0,0.09,0.0,0.0,0.03,0.06,,,0.0,34.0,34.0,"3,058",34.0,1.26,1.27,4.15,2.85,69.5,0.32,0.21,0.47,0.26,26.5,0.06,0.06,0.0,0.0,0.0,Blackburn
743,Josh Vickers,eng ENG,GK,Derby,29.0,1995.0,7,7,625,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,josh vickers,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,15.1,89.0,0.87,0.0,,4.06,1.29,1.45,1.59,-0.14,-0.14,-0.37,0.0,0.0,0.43,0.0,0.0,0.0,0.0,,,0.0,7.0,7.0,625,6.9,1.59,1.58,4.49,2.9,64.5,0.43,0.0,0.58,0.14,14.3,0.0,0.0,0.0,0.0,,Derby County
744,Lawrence Vigouroux,cl CHI,GK,Swansea,31.0,1993.0,45,45,"4,050",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,lawrence vigouroux,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,97.8,90.0,1.0,0.0,,0.0,1.36,1.2,1.29,-0.09,-0.09,-2.09,0.0,0.02,0.13,0.0,0.0,0.0,0.0,,,0.0,45.0,45.0,"4,050",45.0,1.29,1.29,4.51,3.22,71.4,0.38,0.22,0.4,0.27,26.7,0.09,0.09,0.0,0.0,0.0,Swansea City
746,Radek Vítek,,GK,Bristol City,21.0,2003.0,41,41,"3,690",41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,radek vitek,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,89.1,90.0,1.0,0.0,,0.0,1.29,1.2,1.32,-0.12,-0.12,-1.12,0.0,0.0,0.37,0.0,0.0,0.02,0.05,,,0.02,41.0,41.0,"3,690",41.0,1.32,1.32,4.59,3.24,71.3,0.34,0.27,0.39,0.29,29.3,0.05,0.05,0.0,0.0,0.0,Bristol City
754,Joe Walsh,eng ENG,GK,QPR,23.0,2002.0,23,23,"2,070",23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joe walsh,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,50.0,90.0,1.0,0.0,,0.09,1.04,1.17,1.83,-0.65,-0.65,-0.78,0.0,0.0,0.17,0.0,0.0,0.0,0.0,,,0.0,23.0,23.0,"2,070",23.0,1.83,1.83,4.74,2.91,61.5,0.26,0.26,0.48,0.17,17.4,0.09,0.09,0.0,0.0,0.0,QPR
756,Christian Walton,eng ENG,GK,Ipswich,29.0,1995.0,37,36,"3,307",36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,christian walton,2025-2026,standard,0.0,0.0,,0.0,0.0,,,89,79.9,90.0,0.98,0.03,67.0,0.25,1.92,1.74,1.01,0.74,0.73,0.09,0.0,0.03,0.14,0.0,0.0,0.0,0.0,,,0.0,37.0,36.0,"3,307",36.7,1.01,1.01,3.6,2.59,72.0,0.54,0.3,0.14,0.44,44.4,0.08,0.05,0.03,0.0,33.3,Ipswich Town
757,Jack Walton,eng ENG,GK,Preston,27.0,1998.0,3,3,270,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,jack walton,2025-2026,standard,0.0,0.0,,0.0,0.0,,,90,6.5,90.0,1.0,0.0,,12.0,0.0,0.0,2.67,-2.67,-2.67,-2.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,3.0,3.0,270,3.0,2.67,2.67,7.33,4.67,63.6,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,Preston
