Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Mn/MP,Min%,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Squad_Original
612,Carl Rushworth,eng ENG,GK,Hull,23.0,2001.0,2,2,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,carl rushworth,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,4.3,90.0,1.0,0.0,,2.0,1.5,1.0,1.0,0.0,0.0,0.23,0.0,0.0,0.5,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,180,2.0,1.0,1.0,2.0,1.0,50.0,0.5,0.0,0.5,0.5,50.0,0.0,0.0,0.0,0.0,,Hull City
630,Nicolas Schmid,at AUT,GK,Portsmouth,27.0,1997.0,35,35,"3,090",34.3,0.0,0.06,0.06,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.06,0.0,0.06,Matches,GK,False,nicolas schmid,2024-2025,standard,0.0,0.0,,0.0,0.0,,,88,74.6,88.0,0.99,0.0,,0.2,1.37,1.37,1.4,-0.03,-0.03,1.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,,,0.0,35.0,35.0,"3,090",34.3,1.4,1.4,4.43,3.0,68.4,0.41,0.17,0.44,0.23,22.9,0.03,0.03,0.0,0.0,0.0,Portsmouth
636,Egil Selvik,no NOR,GK,Watford,27.0,1997.0,16,16,"1,440",16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,egil selvik,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,34.8,90.0,1.0,0.0,,0.06,1.0,0.81,1.19,-0.38,-0.37,-0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,16.0,16.0,"1,440",16.0,1.19,1.19,4.44,3.25,73.2,0.25,0.25,0.5,0.38,37.5,0.0,0.0,0.0,0.0,,Watford
641,James Shea,eng ENG,GK,Luton,33.0,1991.0,2,1,147,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,james shea,2024-2025,standard,0.0,0.0,,0.0,0.0,,,74,3.6,90.0,0.63,0.63,57.0,5.0,0.5,0.0,0.63,-0.63,-0.61,-0.09,0.0,0.0,0.63,0.0,0.0,0.0,0.0,,,0.0,2.0,1.0,147,1.6,0.63,0.61,3.13,2.5,80.0,0.0,0.0,0.63,0.63,100.0,0.0,0.0,0.0,0.0,,Luton Town
696,Balázs Tóth,hu HUN,GK,Blackburn,26.0,1997.0,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,balazs toth,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,13.0,90.0,1.0,0.0,,5.17,2.17,1.5,0.83,0.67,0.67,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,540,6.0,0.83,0.83,3.67,2.67,77.3,0.67,0.17,0.17,0.33,33.3,0.0,0.0,0.0,0.0,,Blackburn
699,James Trafford,eng ENG,GK,Burnley,21.0,2002.0,45,45,"4,050",45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,james trafford,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,97.8,90.0,1.0,0.0,,0.0,2.16,1.42,0.36,1.07,1.07,-3.93,0.0,0.0,0.09,0.0,0.0,0.0,0.02,,,0.0,45.0,45.0,"4,050",45.0,0.36,0.36,2.22,1.89,84.0,0.6,0.36,0.04,0.64,64.4,0.04,0.0,0.04,0.0,100.0,Burnley
700,Mark Travers,ie IRL,GK,Middlesbrough,25.0,1999.0,17,17,"1,530",17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,mark travers,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,37.0,90.0,1.0,0.0,,0.0,1.18,1.0,1.18,-0.18,-0.18,-0.56,0.0,0.0,0.24,0.0,0.0,0.0,0.0,,,0.0,17.0,17.0,"1,530",17.0,1.18,1.18,4.94,3.76,76.2,0.35,0.12,0.53,0.24,23.5,0.0,0.0,0.0,0.0,,Middlesbrough
716,Josh Vickers,eng ENG,GK,Derby,28.0,1995.0,6,6,540,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,josh vickers,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,13.0,90.0,1.0,0.0,,6.5,1.67,1.17,1.0,0.17,0.17,0.39,0.0,0.0,0.33,0.0,0.0,0.0,0.0,,,0.0,6.0,6.0,540,6.0,1.0,1.0,2.83,1.83,64.7,0.5,0.17,0.33,0.5,50.0,0.0,0.0,0.0,0.0,,Derby County
718,Lawrence Vigouroux,cl CHI,GK,Swansea,30.0,1993.0,46,46,"4,140",46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,lawrence vigouroux,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,100.0,90.0,1.0,0.0,,0.0,1.33,1.11,1.22,-0.11,-0.11,,0.0,0.0,0.11,0.0,0.0,0.0,0.07,,,0.0,46.0,46.0,"4,140",46.0,1.22,1.22,3.61,2.46,66.3,0.37,0.22,0.41,0.3,30.4,0.09,0.09,0.0,0.0,0.0,Swansea City
726,Joe Walsh,eng ENG,GK,QPR,22.0,2002.0,1,1,90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joe walsh,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,2.2,90.0,1.0,0.0,,42.0,3.0,1.0,0.0,1.0,1.0,1.24,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,0.0,1.0,1.0,90,1.0,0.0,0.0,4.0,4.0,100.0,1.0,0.0,0.0,1.0,100.0,0.0,0.0,0.0,0.0,,QPR
741,Jacob Widell Zetterström,se SWE,GK,Derby,26.0,1998.0,40,40,"3,600",40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,jacob widell zetterstrom,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,87.0,90.0,1.0,0.0,,0.03,1.0,1.02,1.25,-0.23,-0.23,-0.39,0.0,0.05,0.17,0.0,0.0,0.05,0.05,,,0.0,40.0,40.0,"3,600",40.0,1.25,1.25,3.67,2.45,66.0,0.25,0.25,0.5,0.23,22.5,0.07,0.03,0.05,0.0,66.7,Derby County
742,Joe Wildsmith,eng ENG,GK,West Brom,28.0,1995.0,10,10,900,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,joe wildsmith,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,21.7,90.0,1.0,0.0,,3.5,1.3,0.9,0.9,0.0,0.0,-0.28,0.0,0.0,0.2,0.0,0.0,0.0,0.1,,,0.0,10.0,10.0,900,10.0,0.9,0.9,2.8,1.9,67.9,0.3,0.4,0.3,0.2,20.0,0.0,0.0,0.0,0.0,,West Brom
748,Ben Wilson,eng ENG,GK,Coventry,31.0,1992.0,4,4,360,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,Matches,GK,False,ben wilson,2024-2025,standard,0.0,0.0,,0.0,0.0,,,90,8.7,90.0,1.0,0.0,,3.5,1.17,1.5,1.25,0.25,0.25,0.13,0.0,0.0,0.75,0.0,0.0,0.0,0.0,,,0.0,4.0,4.0,360,4.0,1.25,1.25,5.5,4.25,77.3,0.5,0.0,0.5,0.5,50.0,0.0,0.0,0.0,0.0,,Coventry City
