Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Rk_shoot,Player_shoot,Nation_shoot,Pos_shoot,Age_shoot,Born_shoot,90s_shoot,Gls_shoot,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shoot,PKatt_shoot,Matches_shoot,Pos_Primary_shoot,Is_Multi_Pos_shoot,Table_Type_shoot,Rk_playtime,Player_playtime,Nation_playtime,Pos_playtime,Age_playtime,Born_playtime,MP_playtime,Min_playtime,Mn/MP,Min%,90s_playtime,Starts_playtime,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches_playtime,Pos_Primary_playtime,Is_Multi_Pos_playtime,Table_Type_playtime,Rk_misc,Player_misc,Nation_misc,Pos_misc,Age_misc,Born_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,Pos_Primary_misc,Is_Multi_Pos_misc,Table_Type_misc,Rk_gk,Player_gk,Nation_gk,Pos_gk,Age_gk,Born_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Matches_gk,Pos_Primary_gk,Is_Multi_Pos_gk,Table_Type_gk
183,Adam Davies,wls WAL,GK,Sheffield United,30,1992,7,6,612,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,adam davies,2022-2023,standard,183,Adam Davies,wls WAL,GK,30,1992,6.8,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,204,Adam Davies,wls WAL,GK,30,1992,7,612,87,14.8,6.8,0.88,90,0.88,0.15,72,4.26,1.86,1.62,1.03,0.59,+0.59,-0.18,Matches,GK,False,playing_time,183,Adam Davies,wls WAL,GK,30,1992,6.8,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,17,Adam Davies,wls WAL,GK,30,1992,7,6,612,6.8,1.03,1.03,3.82,2.79,73.1,0.59,0.15,0.15,0.29,33.3,0.44,0.29,0.15,0.00,33.3,Matches,GK,False,goalkeeping
199,Seny Dieng,sn SEN,GK,QPR,27,1994,46,46,"4,140",46.0,0.02,0.00,0.02,0.02,0.00,0.00,0.04,0.00,0.02,0.00,0.02,0.02,0.02,Matches,GK,False,seny dieng,2022-2023,standard,199,Seny Dieng,sn SEN,GK,27,1994,46.0,0.02,0.04,0.02,50.0,0.04,0.02,0.50,1.00,0.00,0.00,Matches,GK,False,shooting,222,Seny Dieng,sn SEN,GK,27,1994,46,"4,140",90,100.0,46.0,1.00,90,1.00,0.00,,0.00,1.09,0.96,1.54,-0.59,-0.59,,Matches,GK,False,playing_time,199,Seny Dieng,sn SEN,GK,27,1994,46.0,0.04,0.00,0.00,0.02,0.20,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,18,Seny Dieng,sn SEN,GK,27,1994,46,46,"4,140",46.0,1.54,1.54,4.13,2.59,62.6,0.28,0.24,0.48,0.20,19.6,0.13,0.09,0.04,0.00,33.3,Matches,GK,False,goalkeeping
235,Neil Etheridge,ph PHI,GK,Birmingham City,32,1990,4,3,323,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,neil etheridge,2022-2023,standard,235,Neil Etheridge,ph PHI,GK,32,1990,3.6,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,262,Neil Etheridge,ph PHI,GK,32,1990,4,323,81,7.8,3.6,0.83,90,0.83,0.28,53,11.7,0.75,0.28,1.39,-1.11,-1.11,-0.95,Matches,GK,False,playing_time,235,Neil Etheridge,ph PHI,GK,32,1990,3.6,0.00,0.00,0.00,0.00,0.56,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,19,Neil Etheridge,ph PHI,GK,32,1990,4,3,323,3.6,1.39,1.39,3.89,2.50,64.3,0.00,0.00,0.83,0.28,33.3,0.28,0.28,0.00,0.00,0.0,Matches,GK,False,goalkeeping
246,Andy Fisher,eng ENG,GK,Swansea City,24,1998,26,25,"2,280",25.3,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,andy fisher,2022-2023,standard,246,Andy Fisher,eng ENG,GK,24,1998,25.3,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,275,Andy Fisher,eng ENG,GK,24,1998,26,"2,280",88,55.1,25.3,0.99,90,0.99,0.04,30,0.79,1.31,1.38,1.46,-0.08,-0.08,-0.37,Matches,GK,False,playing_time,246,Andy Fisher,eng ENG,GK,24,1998,25.3,0.08,0.00,0.00,0.04,0.32,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,20,Andy Fisher,eng ENG,GK,24,1998,26,25,"2,280",25.3,1.46,1.46,3.87,2.41,62.2,0.36,0.24,0.40,0.24,24.0,0.12,0.08,0.04,0.00,33.3,Matches,GK,False,goalkeeping
253,Wes Foderingham,eng ENG,GK,Sheffield United,31,1991,40,40,"3,512",39.0,0.00,0.03,0.03,0.00,0.00,0.00,0.05,0.05,0.00,0.03,0.03,0.00,0.03,Matches,GK,False,wes foderingham,2022-2023,standard,253,Wes Foderingham,eng ENG,GK,31,1991,39.0,0.00,0.03,0.00,0.0,0.03,0.00,0.00,,0.00,0.00,Matches,GK,False,shooting,282,Wes Foderingham,eng ENG,GK,31,1991,40,"3,512",88,84.8,39.0,1.03,88,0.95,0.00,,0.03,1.95,1.56,0.82,0.74,+0.74,+0.03,Matches,GK,False,playing_time,253,Wes Foderingham,eng ENG,GK,31,1991,39.0,0.05,0.05,0.00,0.05,0.18,0.00,0.00,0.00,0.03,,,0.00,Matches,GK,False,misc,21,Wes Foderingham,eng ENG,GK,31,1991,40,40,"3,512",39.0,0.82,0.82,2.67,1.85,69.2,0.62,0.15,0.26,0.44,42.5,0.03,0.00,0.03,0.00,100.0,Matches,GK,False,goalkeeping
288,Joshua Griffiths,eng ENG,GK,West Brom,20,2001,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,joshua griffiths,2022-2023,standard,288,Joshua Griffiths,eng ENG,GK,20,2001,10.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,320,Joshua Griffiths,eng ENG,GK,20,2001,10,900,90,21.7,10.0,1.00,90,1.00,0.00,,0.80,1.30,1.10,1.20,-0.10,-0.10,-0.29,Matches,GK,False,playing_time,288,Joshua Griffiths,eng ENG,GK,20,2001,10.0,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,22,Joshua Griffiths,eng ENG,GK,20,2001,10,10,900,10.0,1.20,1.20,3.90,2.60,69.2,0.30,0.40,0.30,0.40,40.0,0.00,0.00,0.00,0.00,,Matches,GK,False,goalkeeping
290,Daniel Grimshaw,eng ENG,GK,Blackpool,24,1998,18,18,"1,620",18.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,daniel grimshaw,2022-2023,standard,290,Daniel Grimshaw,eng ENG,GK,24,1998,18.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,322,Daniel Grimshaw,eng ENG,GK,24,1998,18,"1,620",90,39.1,18.0,1.00,90,1.00,0.00,,1.56,1.22,1.00,1.33,-0.33,-0.33,+0.31,Matches,GK,False,playing_time,290,Daniel Grimshaw,eng ENG,GK,24,1998,18.0,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,23,Daniel Grimshaw,eng ENG,GK,24,1998,18,18,"1,620",18.0,1.33,1.33,4.78,3.44,72.1,0.33,0.22,0.44,0.33,33.3,0.06,0.06,0.00,0.00,0.0,Matches,GK,False,goalkeeping
292,Angus Gunn,sct SCO,GK,Norwich City,26,1996,30,30,"2,700",30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,angus gunn,2022-2023,standard,292,Angus Gunn,sct SCO,GK,26,1996,30.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,325,Angus Gunn,sct SCO,GK,26,1996,30,"2,700",90,65.2,30.0,1.00,90,1.00,0.00,,0.43,1.07,0.97,1.20,-0.23,-0.23,-0.86,Matches,GK,False,playing_time,292,Angus Gunn,sct SCO,GK,26,1996,30.0,0.03,0.00,0.00,0.00,0.17,0.00,0.00,0.07,0.03,,,0.00,Matches,GK,False,misc,24,Angus Gunn,sct SCO,GK,26,1996,30,30,"2,700",30.0,1.20,1.20,3.97,2.83,69.7,0.27,0.27,0.47,0.23,23.3,0.10,0.07,0.03,0.00,33.3,Matches,GK,False,goalkeeping
298,Ben Hamer,eng ENG,GK,Watford,34,1987,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,ben hamer,2022-2023,standard,298,Ben Hamer,eng ENG,GK,34,1987,1.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,332,Ben Hamer,eng ENG,GK,34,1987,1,90,90,2.2,1.0,1.00,90,1.00,0.00,,25.0,1.00,2.00,2.00,0.00,0.00,-0.07,Matches,GK,False,playing_time,298,Ben Hamer,eng ENG,GK,34,1987,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,25,Ben Hamer,eng ENG,GK,34,1987,1,1,90,1.0,2.00,2.00,6.00,4.00,66.7,0.00,1.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,,Matches,GK,False,goalkeeping
311,Robbie Hemfrey,sct SCO,GK,Rotherham,20,2002,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,robbie hemfrey,2022-2023,standard,311,Robbie Hemfrey,sct SCO,GK,20,2002,0.5,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,345,Robbie Hemfrey,sct SCO,GK,20,2002,1,45,45,1.1,0.5,0.00,,0.00,2.00,45,22.0,1.00,2.00,2.00,0.00,0.00,+0.24,Matches,GK,False,playing_time,311,Robbie Hemfrey,sct SCO,GK,20,2002,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,0.00,Matches,GK,False,misc,26,Robbie Hemfrey,sct SCO,GK,20,2002,1,0,45,0.5,2.00,2.00,12.0,10.0,83.3,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,Matches,GK,False,goalkeeping
