Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,Pos_Primary,Is_Multi_Pos,Player_Key,Season,Table_Type,Rk_shoot,Player_shoot,Nation_shoot,Pos_shoot,Age_shoot,Born_shoot,90s_shoot,Gls_shoot,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK_shoot,PKatt_shoot,Matches_shoot,Pos_Primary_shoot,Is_Multi_Pos_shoot,Table_Type_shoot,Rk_playtime,Player_playtime,Nation_playtime,Pos_playtime,Age_playtime,Born_playtime,MP_playtime,Min_playtime,Mn/MP,Min%,90s_playtime,Starts_playtime,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,Matches_playtime,Pos_Primary_playtime,Is_Multi_Pos_playtime,Table_Type_playtime,Rk_misc,Player_misc,Nation_misc,Pos_misc,Age_misc,Born_misc,90s_misc,CrdY_misc,CrdR_misc,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches_misc,Pos_Primary_misc,Is_Multi_Pos_misc,Table_Type_misc,Rk_gk,Player_gk,Nation_gk,Pos_gk,Age_gk,Born_gk,MP_gk,Starts_gk,Min_gk,90s_gk,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt_gk,PKA,PKsv,PKm,Save%.1,Matches_gk,Pos_Primary_gk,Is_Multi_Pos_gk,Table_Type_gk
60,Daniel Bentley,eng ENG,GK,Bristol City,26,1993,43,42,"3,843",42.7,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,daniel bentley,2019-2020,standard,60,Daniel Bentley,eng ENG,GK,26,1993,42.7,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,67,Daniel Bentley,eng ENG,GK,26,1993,43,"3,843",89,92.8,42.7,0.98,90,0.98,0.02,63,0.02,1.42,1.33,1.43,-0.09,-0.09,+0.21,Matches,GK,False,playing_time,60,Daniel Bentley,eng ENG,GK,26,1993,42.7,1,0,0,0,10,0,0,2,1,,,0,Matches,GK,False,misc,1,Daniel Bentley,eng ENG,GK,26,1993,43,42,"3,843",42.7,61,1.43,191,134,70.2,17,10,15,10,23.8,4,4,0,0,0.0,Matches,GK,False,goalkeeping
65,Marcus Bettinelli,eng ENG,GK,Fulham,27,1992,14,13,"1,242",13.8,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,marcus bettinelli,2019-2020,standard,65,Marcus Bettinelli,eng ENG,GK,27,1992,13.8,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,72,Marcus Bettinelli,eng ENG,GK,27,1992,14,"1,242",89,30.0,13.8,0.94,90,0.94,0.07,72,2.25,1.43,1.45,1.09,0.36,+0.36,+0.02,Matches,GK,False,playing_time,65,Marcus Bettinelli,eng ENG,GK,27,1992,13.8,3,0,0,1,7,0,0,1,0,,,0,Matches,GK,False,misc,2,Marcus Bettinelli,eng ENG,GK,27,1992,14,13,"1,242",13.8,15,1.09,35,21,60.0,5,4,4,4,30.8,1,1,0,0,0.0,Matches,GK,False,goalkeeping
66,Bartosz Białkowski,pl POL,GK,Millwall,32,1987,46,45,"4,098",45.5,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,bartosz biakowski,2019-2020,standard,66,Bartosz Białkowski,pl POL,GK,32,1987,45.5,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,73,Bartosz Białkowski,pl POL,GK,32,1987,46,"4,098",89,99.0,45.5,0.99,90,0.99,0.02,48,0.00,1.48,1.23,1.12,0.11,+0.11,-2.03,Matches,GK,False,playing_time,66,Bartosz Białkowski,pl POL,GK,32,1987,45.5,1,0,0,1,3,0,0,1,0,,,1,Matches,GK,False,misc,3,Bartosz Białkowski,pl POL,GK,32,1987,46,45,"4,098",45.5,51,1.12,190,141,74.2,16,17,12,16,35.6,3,2,1,0,33.3,Matches,GK,False,goalkeeping
107,Jack Butland,eng ENG,GK,Stoke City,26,1993,35,35,"3,150",35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,jack butland,2019-2020,standard,107,Jack Butland,eng ENG,GK,26,1993,35.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,121,Jack Butland,eng ENG,GK,26,1993,35,"3,150",90,76.1,35.0,1.00,90,1.00,0.00,,0.23,1.14,1.40,1.60,-0.20,-0.20,-0.29,Matches,GK,False,playing_time,107,Jack Butland,eng ENG,GK,26,1993,35.0,0,0,0,0,3,0,0,0,0,,,1,Matches,GK,False,misc,4,Jack Butland,eng ENG,GK,26,1993,35,35,"3,150",35.0,56,1.60,125,73,58.4,11,7,17,9,25.7,4,4,0,0,0.0,Matches,GK,False,goalkeeping
112,Rafael Cabral,br BRA,GK,Reading,29,1990,44,44,"3,960",44.0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,rafael cabral,2019-2020,standard,112,Rafael Cabral,br BRA,GK,29,1990,44.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,126,Rafael Cabral,br BRA,GK,29,1990,44,"3,960",90,95.7,44.0,1.00,90,1.00,0.00,,0.00,1.27,1.30,1.20,0.09,+0.09,+1.59,Matches,GK,False,playing_time,112,Rafael Cabral,br BRA,GK,29,1990,44.0,1,0,0,0,3,0,0,0,0,,,0,Matches,GK,False,misc,5,Rafael Cabral,br BRA,GK,29,1990,44,44,"3,960",44.0,53,1.20,198,148,74.7,15,11,18,13,29.5,3,3,0,0,0.0,Matches,GK,False,goalkeeping
115,Lee Camp,nir NIR,GK,Birmingham City,34,1984,36,36,"3,240",36.0,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Matches,GK,False,lee camp,2019-2020,standard,115,Lee Camp,nir NIR,GK,34,1984,36.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,129,Lee Camp,nir NIR,GK,34,1984,36,"3,240",90,78.3,36.0,1.00,90,1.00,0.00,,0.28,1.19,1.08,1.47,-0.39,-0.39,+0.31,Matches,GK,False,playing_time,115,Lee Camp,nir NIR,GK,34,1984,36.0,0,0,0,0,5,0,0,0,0,,,0,Matches,GK,False,misc,6,Lee Camp,nir NIR,GK,34,1984,36,36,"3,240",36.0,53,1.47,120,76,60.8,11,10,15,7,19.4,9,6,3,0,33.3,Matches,GK,False,goalkeeping
126,Kiko Casilla,es ESP,GK,Leeds United,32,1986,36,36,"3,240",36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,kiko casilla,2019-2020,standard,126,Kiko Casilla,es ESP,GK,32,1986,36.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,141,Kiko Casilla,es ESP,GK,32,1986,36,"3,240",90,78.3,36.0,1.00,90,1.00,0.00,,0.03,1.89,1.47,0.86,0.61,+0.61,-1.39,Matches,GK,False,playing_time,126,Kiko Casilla,es ESP,GK,32,1986,36.0,2,0,0,0,5,0,0,2,0,,,0,Matches,GK,False,misc,7,Kiko Casilla,es ESP,GK,32,1986,36,36,"3,240",36.0,31,0.86,99,71,71.7,20,8,8,15,41.7,3,3,0,0,0.0,Matches,GK,False,goalkeeping
145,Joel Coleman,eng ENG,GK,Huddersfield,23,1995,3,2,188,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,joel coleman,2019-2020,standard,145,Joel Coleman,eng ENG,GK,23,1995,2.1,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,161,Joel Coleman,eng ENG,GK,23,1995,3,188,63,4.5,2.1,0.95,90,0.95,0.48,8,13.3,1.00,1.90,3.33,-1.43,-1.44,-1.09,Matches,GK,False,playing_time,145,Joel Coleman,eng ENG,GK,23,1995,2.1,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,8,Joel Coleman,eng ENG,GK,23,1995,3,2,188,2.1,7,3.35,13,6,46.2,0,0,2,0,0.0,0,0,0,0,,Matches,GK,False,goalkeeping
147,Bradley Collins,eng ENG,GK,Barnsley,22,1997,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,bradley collins,2019-2020,standard,147,Bradley Collins,eng ENG,GK,22,1997,19.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,163,Bradley Collins,eng ENG,GK,22,1997,19,"1,710",90,41.3,19.0,1.00,90,1.00,0.00,,1.32,0.79,0.95,1.63,-0.68,-0.68,-0.42,Matches,GK,False,playing_time,147,Bradley Collins,eng ENG,GK,22,1997,19.0,1,0,0,0,4,0,0,0,1,,,0,Matches,GK,False,misc,9,Bradley Collins,eng ENG,GK,22,1997,19,19,"1,710",19.0,31,1.63,84,56,66.7,3,6,10,4,21.1,3,3,0,0,0.0,Matches,GK,False,goalkeeping
171,Adam Davies,wls WAL,GK,Stoke City,27,1992,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,adam davies,2019-2020,standard,171,Adam Davies,wls WAL,GK,27,1992,4.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,192,Adam Davies,wls WAL,GK,27,1992,4,360,90,8.7,4.0,1.00,90,1.00,0.00,,5.50,2.50,2.00,0.50,1.50,+1.50,+1.79,Matches,GK,False,playing_time,171,Adam Davies,wls WAL,GK,27,1992,4.0,0,0,0,0,0,0,0,0,1,,,0,Matches,GK,False,misc,10,Adam Davies,wls WAL,GK,27,1992,4,4,360,4.0,2,0.50,9,7,77.8,3,1,0,2,50.0,0,0,0,0,,Matches,GK,False,goalkeeping
178,Cameron Dawson,eng ENG,GK,Sheffield Weds,24,1995,24,23,"2,079",23.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,cameron dawson,2019-2020,standard,178,Cameron Dawson,eng ENG,GK,24,1995,23.1,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,199,Cameron Dawson,eng ENG,GK,24,1995,24,"2,079",87,50.2,23.1,1.00,90,1.00,0.04,9,0.95,1.38,1.26,1.47,-0.22,-0.22,-0.09,Matches,GK,False,playing_time,178,Cameron Dawson,eng ENG,GK,24,1995,23.1,0,0,0,0,1,0,0,0,0,,,1,Matches,GK,False,misc,11,Cameron Dawson,eng ENG,GK,24,1995,24,23,"2,079",23.1,34,1.47,83,51,61.4,8,6,9,7,30.4,3,2,0,1,0.0,Matches,GK,False,goalkeeping
180,Joe Day,eng ENG,GK,Cardiff City,28,1990,1,0,35,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,joe day,2019-2020,standard,180,Joe Day,eng ENG,GK,28,1990,0.4,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,201,Joe Day,eng ENG,GK,28,1990,1,35,35,0.8,0.4,0.00,,0.00,2.50,35,17.5,0.00,2.50,7.50,-5.00,-5.14,-5.41,Matches,GK,False,playing_time,180,Joe Day,eng ENG,GK,28,1990,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,12,Joe Day,eng ENG,GK,28,1990,1,0,35,0.4,3,7.71,4,1,25.0,0,0,0,0,,0,0,0,0,,Matches,GK,False,goalkeeping
218,Neil Etheridge,ph PHI,GK,Cardiff City,29,1990,16,16,"1,405",15.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,neil etheridge,2019-2020,standard,218,Neil Etheridge,ph PHI,GK,29,1990,15.6,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,240,Neil Etheridge,ph PHI,GK,29,1990,16,"1,405",88,33.9,15.6,1.03,88,0.96,0.00,,1.54,1.31,1.47,1.54,-0.06,-0.06,-0.43,Matches,GK,False,playing_time,218,Neil Etheridge,ph PHI,GK,29,1990,15.6,0,0,0,1,3,0,0,0,1,,,0,Matches,GK,False,misc,13,Neil Etheridge,ph PHI,GK,29,1990,16,16,"1,405",15.6,24,1.54,61,38,62.3,5,6,5,3,18.8,2,1,0,1,0.0,Matches,GK,False,goalkeeping
223,Adam Federici,au AUS,GK,Stoke City,34,1985,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,adam federici,2019-2020,standard,223,Adam Federici,au AUS,GK,34,1985,7.0,0.00,0.14,0.00,0.0,0.14,0.00,0.00,,0.00,0.00,Matches,GK,False,shooting,245,Adam Federici,au AUS,GK,34,1985,7,630,90,15.2,7.0,1.00,90,1.00,0.00,,2.00,0.86,0.71,1.43,-0.71,-0.71,-0.69,Matches,GK,False,playing_time,223,Adam Federici,au AUS,GK,34,1985,7.0,0,0,0,0,1,0,0,0,0,,,0,Matches,GK,False,misc,14,Adam Federici,au AUS,GK,34,1985,7,7,630,7.0,10,1.43,31,22,71.0,2,0,5,1,14.3,1,1,0,0,0.0,Matches,GK,False,goalkeeping
228,Frank Fielding,eng ENG,GK,Millwall,31,1988,1,1,42,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,frank fielding,2019-2020,standard,228,Frank Fielding,eng ENG,GK,31,1988,0.5,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,250,Frank Fielding,eng ENG,GK,31,1988,1,42,42,1.0,0.5,2.00,42,0.00,0.00,,2.00,3.00,2.00,0.00,2.00,+2.14,+2.03,Matches,GK,False,playing_time,228,Frank Fielding,eng ENG,GK,31,1988,0.5,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,15,Frank Fielding,eng ENG,GK,31,1988,1,1,42,0.5,0,0.00,0,0,,1,0,0,1,100.0,0,0,0,0,,Matches,GK,False,goalkeeping
264,Kamil Grabara,pl POL,GK,Huddersfield,20,1999,28,28,"2,512",27.9,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,kamil grabara,2019-2020,standard,264,Kamil Grabara,pl POL,GK,20,1999,27.9,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,290,Kamil Grabara,pl POL,GK,20,1999,28,"2,512",90,60.7,27.9,1.00,90,0.97,0.00,,0.00,1.11,1.15,1.61,-0.47,-0.47,-0.19,Matches,GK,False,playing_time,264,Kamil Grabara,pl POL,GK,20,1999,27.9,3,0,0,1,7,0,0,0,0,,,0,Matches,GK,False,misc,16,Kamil Grabara,pl POL,GK,20,1999,28,28,"2,512",27.9,45,1.61,104,61,58.7,8,7,13,5,17.9,2,2,0,0,0.0,Matches,GK,False,goalkeeping
281,Ben Hamer,eng ENG,GK,Derby County,31,1987,25,24,"2,235",24.8,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,ben hamer,2019-2020,standard,281,Ben Hamer,eng ENG,GK,31,1987,24.8,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,310,Ben Hamer,eng ENG,GK,31,1987,25,"2,235",89,54.0,24.8,0.97,90,0.97,0.04,75,0.77,1.56,1.57,1.37,0.20,+0.20,+0.53,Matches,GK,False,playing_time,281,Ben Hamer,eng ENG,GK,31,1987,24.8,2,0,0,1,5,0,0,1,0,,,0,Matches,GK,False,misc,17,Ben Hamer,eng ENG,GK,31,1987,25,24,"2,235",24.8,34,1.37,96,67,69.8,10,6,8,4,16.7,5,5,0,0,0.0,Matches,GK,False,goalkeeping
315,Matt Ingram,eng ENG,GK,Hull City,25,1993,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,matt ingram,2019-2020,standard,315,Matt Ingram,eng ENG,GK,25,1993,1.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,352,Matt Ingram,eng ENG,GK,25,1993,1,90,90,2.2,1.0,1.00,90,1.00,0.00,,45.0,0.00,0.00,1.00,-1.00,-1.00,-0.36,Matches,GK,False,playing_time,315,Matt Ingram,eng ENG,GK,25,1993,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,18,Matt Ingram,eng ENG,GK,25,1993,1,1,90,1.0,1,1.00,4,3,75.0,0,0,1,0,0.0,0,0,0,0,,Matches,GK,False,goalkeeping
332,Sam Johnstone,eng ENG,GK,West Brom,26,1993,46,46,"4,140",46.0,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,sam johnstone,2019-2020,standard,332,Sam Johnstone,eng ENG,GK,26,1993,46.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,370,Sam Johnstone,eng ENG,GK,26,1993,46,"4,140",90,100.0,46.0,1.00,90,1.00,0.00,,0.00,1.80,1.67,0.98,0.70,+0.70,,Matches,GK,False,playing_time,332,Sam Johnstone,eng ENG,GK,26,1993,46.0,1,0,0,1,1,0,0,0,0,,,2,Matches,GK,False,misc,19,Sam Johnstone,eng ENG,GK,26,1993,46,46,"4,140",46.0,45,0.98,153,113,73.2,22,17,7,14,30.4,5,4,1,0,20.0,Matches,GK,False,goalkeeping
333,Jamie Jones,eng ENG,GK,Wigan Athletic,30,1989,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,jamie jones,2019-2020,standard,333,Jamie Jones,eng ENG,GK,30,1989,7.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,372,Jamie Jones,eng ENG,GK,30,1989,7,630,90,15.2,7.0,1.00,90,1.00,0.00,,5.43,1.00,1.00,1.14,-0.14,-0.14,-0.19,Matches,GK,False,playing_time,333,Jamie Jones,eng ENG,GK,30,1989,7.0,0,0,0,1,2,0,0,0,0,,,0,Matches,GK,False,misc,20,Jamie Jones,eng ENG,GK,30,1989,7,7,630,7.0,8,1.14,23,15,65.2,1,4,2,1,14.3,0,0,0,0,,Matches,GK,False,goalkeeping
348,Liam Kelly,sct SCO,GK,QPR,23,1996,19,19,"1,710",19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,liam kelly,2019-2020,standard,348,Liam Kelly,sct SCO,GK,23,1996,19.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,389,Liam Kelly,sct SCO,GK,23,1996,19,"1,710",90,41.3,19.0,1.00,90,1.00,0.00,,0.95,1.16,1.26,1.53,-0.26,-0.26,-0.12,Matches,GK,False,playing_time,348,Liam Kelly,sct SCO,GK,23,1996,19.0,0,0,0,1,1,0,0,0,1,,,0,Matches,GK,False,misc,21,Liam Kelly,sct SCO,GK,23,1996,19,19,"1,710",19.0,29,1.53,72,48,65.3,6,4,9,3,15.8,5,4,1,0,20.0,Matches,GK,False,goalkeeping
385,George Long,eng ENG,GK,Hull City,25,1993,45,45,"4,050",45.0,0.00,0.02,0.02,0.00,0.00,0.00,0.04,0.00,0.00,0.02,0.02,0.00,0.02,Matches,GK,False,george long,2019-2020,standard,385,George Long,eng ENG,GK,25,1993,45.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,428,George Long,eng ENG,GK,25,1993,45,"4,050",90,97.8,45.0,1.00,90,1.00,0.00,,0.02,1.00,1.27,1.91,-0.64,-0.64,+0.36,Matches,GK,False,playing_time,385,George Long,eng ENG,GK,25,1993,45.0,2,0,0,0,10,0,0,2,2,,,0,Matches,GK,False,misc,22,George Long,eng ENG,GK,25,1993,45,45,"4,050",45.0,86,1.91,193,115,59.6,12,9,24,7,15.6,8,8,0,0,0.0,Matches,GK,False,goalkeeping
386,Jonas Lössl,dk DEN,GK,Huddersfield,30,1989,15,15,"1,350",15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,jonas lossl,2019-2020,standard,386,Jonas Lössl,dk DEN,GK,30,1989,15.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,429,Jonas Lössl,dk DEN,GK,30,1989,15,"1,350",90,32.6,15.0,1.00,90,1.00,0.00,,0.07,1.27,1.07,1.20,-0.13,-0.13,+0.38,Matches,GK,False,playing_time,386,Jonas Lössl,dk DEN,GK,30,1989,15.0,1,0,0,0,3,0,0,1,0,,,0,Matches,GK,False,misc,23,Jonas Lössl,dk DEN,GK,30,1989,15,15,"1,350",15.0,18,1.20,56,38,67.9,5,4,6,6,40.0,0,0,0,0,,Matches,GK,False,goalkeeping
391,Joe Lumley,eng ENG,GK,QPR,24,1995,27,27,"2,430",27.0,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches,GK,False,joe lumley,2019-2020,standard,391,Joe Lumley,eng ENG,GK,24,1995,27.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,434,Joe Lumley,eng ENG,GK,24,1995,27,"2,430",90,58.7,27.0,1.00,90,1.00,0.00,,0.67,1.33,1.59,1.74,-0.15,-0.15,+0.12,Matches,GK,False,playing_time,391,Joe Lumley,eng ENG,GK,24,1995,27.0,0,0,0,0,2,0,0,0,2,,,0,Matches,GK,False,misc,24,Joe Lumley,eng ENG,GK,24,1995,27,27,"2,430",27.0,47,1.74,111,68,62.2,10,6,11,3,11.1,5,5,0,0,0.0,Matches,GK,False,goalkeeping
397,Niki Mäenpää,fi FIN,GK,Bristol City,34,1985,4,4,297,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,niki maenpaa,2019-2020,standard,397,Niki Mäenpää,fi FIN,GK,34,1985,3.3,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,440,Niki Mäenpää,fi FIN,GK,34,1985,4,297,74,7.2,3.3,1.21,74,0.91,0.00,,6.67,0.50,0.91,1.21,-0.30,-0.30,-0.21,Matches,GK,False,playing_time,397,Niki Mäenpää,fi FIN,GK,34,1985,3.3,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,25,Niki Mäenpää,fi FIN,GK,34,1985,4,4,297,3.3,4,1.21,14,10,71.4,0,2,2,0,0.0,0,0,0,0,,Matches,GK,False,goalkeeping
406,David Marshall,sct SCO,GK,Wigan Athletic,34,1985,39,39,"3,510",39.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,david marshall,2019-2020,standard,406,David Marshall,sct SCO,GK,34,1985,39.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,452,David Marshall,sct SCO,GK,34,1985,39,"3,510",90,84.8,39.0,1.00,90,1.00,0.00,,0.10,1.33,1.28,1.23,0.05,+0.05,+0.19,Matches,GK,False,playing_time,406,David Marshall,sct SCO,GK,34,1985,39.0,0,0,0,0,7,0,0,2,0,,,0,Matches,GK,False,misc,26,David Marshall,sct SCO,GK,34,1985,39,39,"3,510",39.0,48,1.23,133,86,64.7,14,10,15,15,38.5,1,1,0,0,0.0,Matches,GK,False,goalkeeping
433,Illan Meslier,fr FRA,GK,Leeds United,19,2000,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,illan meslier,2019-2020,standard,433,Illan Meslier,fr FRA,GK,19,2000,10.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,484,Illan Meslier,fr FRA,GK,19,2000,10,900,90,21.7,10.0,1.00,90,1.00,0.00,,2.40,2.50,2.40,0.40,2.00,+2.00,+1.39,Matches,GK,False,playing_time,433,Illan Meslier,fr FRA,GK,19,2000,10.0,0,0,0,0,1,0,0,2,0,,,0,Matches,GK,False,misc,27,Illan Meslier,fr FRA,GK,19,2000,10,10,900,10.0,4,0.40,25,21,84.0,8,1,1,7,70.0,0,0,0,0,,Matches,GK,False,goalkeeping
460,Erwin Mulder,nl NED,GK,Swansea City,30,1989,4,3,271,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,erwin mulder,2019-2020,standard,460,Erwin Mulder,nl NED,GK,30,1989,3.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,515,Erwin Mulder,nl NED,GK,30,1989,4,271,68,6.5,3.0,1.00,90,1.00,0.33,1,6.00,1.67,2.33,1.00,1.33,+1.33,+1.21,Matches,GK,False,playing_time,460,Erwin Mulder,nl NED,GK,30,1989,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,GK,False,misc,28,Erwin Mulder,nl NED,GK,30,1989,4,3,271,3.0,3,1.00,8,6,75.0,2,1,0,1,33.3,2,1,0,1,0.0,Matches,GK,False,goalkeeping
464,Arijanet Muric,xk KVX,GK,Nottingham,20,1998,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,GK,False,arijanet muric,2019-2020,standard,464,Arijanet Muric,xk KVX,GK,20,1998,4.0,0.00,0.00,0.00,,0.00,0.00,,,0.00,0.00,Matches,GK,False,shooting,519,Arijanet Muric,xk KVX,GK,20,1998,4,360,90,8.7,4.0,1.00,90,1.00,0.00,,6.00,1.25,1.50,1.00,0.50,+0.50,+0.36,Matches,GK,False,playing_time,464,Arijanet Muric,xk KVX,GK,20,1998,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches,GK,False,misc,29,Arijanet Muric,xk KVX,GK,20,1998,4,4,360,4.0,4,1.00,12,8,66.7,1,2,1,1,25.0,0,0,0,0,,Matches,GK,False,goalkeeping
